,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,THEO PnL,Remarks,Qty,ROI%,Trade Year,Trade Month,Index,Strike,Option Type,Expiry,Slippages,PnL,Cumulative PnL,Strategy
214,2017-12-01 11:15:00,LONG,2017-12-01 12:15:00,10322.85,10296.3,10296.3,2017-12-01 14:15:00,10296.3,-26.55000000000109,-30.673830000001093,-19289.73103358164,Initial SL Hit,726.5435417544574,-0.7428624362458307,2017.0,12.0,,,,,,,,POSITIONAL
215,2017-12-08 09:15:00,LONG,2017-12-08 10:15:00,10241.0,10195.25,10213.3925,2017-12-13 14:15:00,10195.25,-45.75,-49.83725,-33505.02880578069,Initial SL hit,732.3503564105068,-1.2166109266673175,2017.0,12.0,,,,,,,,POSITIONAL
216,2017-12-11 13:15:00,LONG,2017-12-11 14:15:00,25377.7,25318.7,25318.7,2017-12-12 09:15:00,25318.7,-59.0,-64.06964,-13949.254660587838,Initial SL hit,236.42804509470912,-0.5049286578373927,2017.0,12.0,,,,,,,,POSITIONAL
217,2017-12-13 10:15:00,LONG,2017-12-13 11:15:00,25241.65,25040.75,25040.75,2017-12-13 13:15:00,25040.75,-200.90000000000143,-205.92824000000147,-47754.4059124506,Initial SL Hit,237.7023689021914,-1.6316543490619786,2017.0,12.0,,,,,,,,POSITIONAL
218,2017-12-14 12:15:00,LONG,2017-12-14 13:15:00,10187.1,10141.55,10273.37375,2017-12-18 09:15:00,10141.55,-45.55000000000109,-49.61573000000109,-33535.05904526393,Initial SL hit,736.2252260211444,-1.217611734448496,2017.0,12.0,,,,,,,,POSITIONAL
1571,2017-12-14 14:00:00,BUY,2017-12-14 14:05:00,61.35,42.95,66.8625,2017-12-14 14:15:00,53.85,-7.5,-9.228,,TSL Hit,543.4782608695652,-0.5015217391304349,2017.0,12.0,BANKNIFTY,25000.0,C,2017-12-14,1.728,-5015.217391304348,916479.8443441124,OPT BUY
1572,2017-12-14 14:20:00,BUY,2017-12-14 14:25:00,79.0,49.2,88.88749999999999,2017-12-14 14:40:00,84.0,5.0,2.555,,TSL Hit,335.57046979865777,0.085738255033557,2017.0,12.0,BANKNIFTY,25000.0,C,2017-12-14,2.445,857.3825503355706,917337.226894448,OPT BUY
1573,2017-12-14 14:50:00,BUY,2017-12-14 14:55:00,92.75,67.8,147.15,2017-12-14 15:20:00,156.1,63.35,59.61724999999999,,EOD Exit,400.8016032064128,2.389468937875751,2017.0,12.0,BANKNIFTY,25000.0,C,2017-12-14,3.73275,23894.68937875751,941231.9162732057,OPT BUY
219,2017-12-15 11:15:00,LONG,2017-12-15 12:15:00,25462.85,25415.15,25415.15,2017-12-18 09:15:00,25196.1,-266.75,-271.815895,-62856.27885330983,Gap Open Outside ISL,235.63740900959635,-2.1349997741808164,2017.0,12.0,,,,,,,,POSITIONAL
220,2017-12-15 13:15:00,LONG,2017-12-15 14:15:00,10440.4,10411.35,10411.35,2017-12-15 15:15:00,10411.35,-29.049999999999272,-33.22034999999927,-20868.453315964383,Initial SL hit,718.363281100341,-0.7954759875100397,2017.0,12.0,,,,,,,,POSITIONAL
221,2017-12-18 09:15:00,LONG,2017-12-18 10:15:00,10515.2,10107.9,10435.731875,2017-12-28 11:15:00,10431.5,-83.70000000000073,-87.88934000000073,-59699.29245283071,TSL Hit,713.2531953743153,-2.0895784198113376,2017.0,12.0,,,,,,,,POSITIONAL
222,2017-12-18 10:15:00,LONG,2017-12-18 11:15:00,25718.3,25581.35,25581.35,2017-12-18 14:15:00,25581.35,-136.95000000000073,-142.07996500000073,-31950.012248088107,Initial SL hit,233.2969130930116,-1.1048939082287765,2017.0,12.0,,,,,,,,POSITIONAL
223,2017-12-18 10:15:00,LONG,2017-12-18 11:15:00,10429.1,10375.95,10375.95,2017-12-18 14:15:00,10375.95,-53.14999999999964,-57.31100999999964,-38222.37776989359,Initial SL hit,719.1416325473914,-1.373824443144654,2017.0,12.0,,,,,,,,POSITIONAL
225,2017-12-19 11:15:00,LONG,2017-12-19 12:15:00,10426.35,10418.25,10418.25,2017-12-19 12:15:00,10418.25,-8.100000000000364,-12.268920000000364,-5826.583607878378,Initial SL hit,719.3313096145822,-0.2941806097052267,2017.0,12.0,,,,,,,,POSITIONAL
224,2017-12-19 11:15:00,LONG,2017-12-19 12:15:00,25688.1,25660.1,25660.1,2017-12-19 12:15:00,25660.1,-28.0,-33.13482,-6539.993226435588,Initial SL hit,233.57118665841384,-0.2579779742370981,2017.0,12.0,,,,,,,,POSITIONAL
226,2017-12-19 13:15:00,LONG,2017-12-19 14:15:00,25711.05,25638.45,25638.45,2017-12-20 09:15:00,25638.45,-72.59999999999854,-77.73494999999855,-16942.131884928513,Initial SL hit,233.36269813951589,-0.6046812557246675,2017.0,12.0,,,,,,,,POSITIONAL
227,2017-12-19 13:15:00,LONG,2017-12-19 14:15:00,10438.9,10411.65,10477.58875,2017-12-27 15:15:00,10475.1,36.20000000000073,32.01720000000073,26008.48748431401,TSL Hit,718.4665050915327,0.7667761928939046,2017.0,12.0,,,,,,,,POSITIONAL
228,2017-12-20 12:15:00,LONG,2017-12-20 13:15:00,25723.95,25678.6,25678.6,2017-12-20 13:15:00,25678.6,-45.35000000000218,-50.490255000002186,-10577.691217717853,Initial SL Hit,233.245671835002,-0.392554448286536,2017.0,12.0,,,,,,,,POSITIONAL
229,2017-12-21 10:15:00,LONG,2017-12-21 11:15:00,25593.6,25521.75,25521.75,2017-12-21 13:15:00,25521.75,-71.84999999999854,-76.96153499999855,-16844.054763690583,Initial SL Hit,234.43360840210053,-0.601412345273807,2017.0,12.0,,,,,,,,POSITIONAL
230,2017-12-22 13:15:00,LONG,2017-12-22 14:15:00,25655.75,25597.35,25597.444444444445,2017-12-26 09:15:00,25597.35,-58.400000000001455,-63.525310000001454,-13657.757033024123,Initial SL hit,233.8657026202703,-0.49521304191069415,2017.0,12.0,,,,,,,,POSITIONAL
231,2017-12-26 10:15:00,LONG,2017-12-26 11:15:00,25603.3,25562.65,25562.65,2017-12-26 12:15:00,25562.65,-40.64999999999782,-45.76659499999782,-9526.115774137976,Initial SL Hit,234.34479149172176,-0.3575054387520189,2017.0,12.0,,,,,,,,POSITIONAL
232,2017-12-26 13:15:00,LONG,2017-12-26 14:15:00,25602.95,25545.6,25626.444444444445,2017-12-27 14:15:00,25545.6,-57.35000000000218,-62.46485500000218,-13439.857516419515,Initial SL hit,234.3479950552573,-0.4879504510222625,2017.0,12.0,,,,,,,,POSITIONAL
234,2017-12-28 12:15:00,LONG,2017-12-28 13:15:00,10446.7,10424.1,10424.1,2017-12-28 15:15:00,10424.1,-22.600000000000364,-26.774160000000364,-16225.219447289835,Initial SL Hit,717.9300640393617,-0.6407324801133459,2017.0,12.0,,,,,,,,POSITIONAL
233,2017-12-28 12:15:00,LONG,2017-12-28 13:15:00,10503.55,10488.75,10488.75,2017-12-28 14:15:00,10488.75,-14.799999999999272,-18.998459999999277,-10567.855629762753,Initial SL hit,714.0442993083292,-0.45219140195456003,2017.0,12.0,,,,,,,,POSITIONAL
1575,2017-12-28 14:05:00,BUY,2017-12-28 14:10:00,47.95,35.0,35.0,2017-12-28 14:15:00,35.0,-12.950000000000005,-14.194250000000004,,Initial SL Hit,772.200772200772,-1.0960810810810813,2017.0,12.0,BANKNIFTY,25500.0,C,2017-12-28,1.24425,-10960.810810810812,919126.9448784532,OPT BUY
1574,2017-12-28 14:05:00,BUY,2017-12-28 14:10:00,29.55,22.7,25.7125,2017-12-28 14:15:00,22.7,-6.850000000000001,-7.633750000000001,,Initial SL hit,1459.8540145985398,-1.1144160583941605,2017.0,12.0,NIFTY,10500.0,C,2017-12-28,0.78375,-11144.160583941604,930087.755689264,OPT BUY
1576,2017-12-28 14:30:00,BUY,2017-12-28 14:35:00,26.0,15.2,15.2,2017-12-28 15:00:00,15.2,-10.8,-11.418,,Initial SL Hit,925.925925925926,-1.0572222222222225,2017.0,12.0,NIFTY,10500.0,C,2017-12-28,0.618,-10572.222222222224,908554.7226562308,OPT BUY
235,2017-12-29 09:15:00,LONG,2017-12-29 10:15:00,10468.55,10426.7,10462.79125,2018-01-01 11:15:00,10458.8,-9.75,-13.93547,-6985.208075616968,TSL Hit,716.4315974991762,-0.3327937011333948,2017.0,12.0,,,,,,,,POSITIONAL
236,2017-12-29 10:15:00,LONG,2017-12-29 11:15:00,10524.2,10509.65,10509.65,2017-12-29 11:15:00,10509.65,-14.550000000001091,-18.75677000000109,-10368.959160792096,Initial SL hit,712.6432412914995,-0.44556284563199783,2017.0,12.0,,,,,,,,POSITIONAL
237,2017-12-29 12:15:00,LONG,2017-12-29 13:15:00,10518.65,10508.9,10508.9,2018-01-01 13:15:00,10508.9,-9.75,-13.95551,-6951.937748665466,Initial SL hit,713.0192562733811,-0.3316849120371911,2017.0,12.0,,,,,,,,POSITIONAL
238,2018-01-01 12:15:00,LONG,2018-01-01 13:15:00,10460.2,10450.75,10450.75,2018-01-01 13:15:00,10450.75,-9.450000000000728,-13.632190000000728,-6775.68306533388,Initial SL Hit,717.003498977075,-0.3258109309573604,2018.0,1.0,,,,,,,,POSITIONAL
239,2018-01-01 13:15:00,LONG,2018-01-01 14:15:00,10524.7,10504.25,10504.25,2018-01-01 14:15:00,10504.25,-20.450000000000728,-24.655790000000728,-14572.861934307435,Initial SL Hit,712.6093855406805,-0.5856649120640193,2018.0,1.0,,,,,,,,POSITIONAL
240,2018-01-02 11:15:00,LONG,2018-01-02 12:15:00,10392.8,10370.05,10370.05,2018-01-02 12:15:00,10370.05,-22.75,-26.90257,-16417.616041875146,Initial SL Hit,721.6534523901163,-0.6471444172888924,2018.0,1.0,,,,,,,,POSITIONAL
241,2018-01-04 11:15:00,LONG,2018-01-04 12:15:00,10475.9,10455.2,11048.64125,2018-01-30 11:15:00,11040.85,564.9500000000007,560.6466500000007,404464.0555942693,TSL Hit,715.9289416661098,13.379438759438345,2018.0,1.0,,,,,,,,POSITIONAL
242,2018-01-05 13:15:00,LONG,2018-01-05 14:15:00,25591.4,25550.8,25550.8,2018-01-05 14:15:00,25550.8,-40.60000000000218,-45.714220000002186,-9518.822729511206,Initial SL hit,234.45376181060823,-0.3572623615746084,2018.0,1.0,,,,,,,,POSITIONAL
243,2018-01-08 12:15:00,LONG,2018-01-08 13:15:00,10523.75,10511.6,10511.6,2018-01-08 13:15:00,10511.6,-12.149999999999636,-16.357069999999638,-8658.985627746504,Initial SL hit,712.6737142178406,-0.3885751276873652,2018.0,1.0,,,,,,,,POSITIONAL
244,2018-01-08 14:15:00,LONG,2018-01-08 15:15:00,10524.8,10507.5,10507.5,2018-01-09 09:15:00,10507.5,-17.299999999999272,-21.506459999999272,-12328.025235633411,Initial SL hit,712.6026147765278,-0.5108519876862095,2018.0,1.0,,,,,,,,POSITIONAL
245,2018-01-09 10:15:00,LONG,2018-01-09 11:15:00,25706.45,25666.75,25666.75,2018-01-09 11:15:00,25666.75,-39.70000000000073,-44.83732000000073,-9266.156937266886,Initial SL hit,233.40445685810369,-0.34884101071910534,2018.0,1.0,,,,,,,,POSITIONAL
246,2018-01-09 12:15:00,LONG,2018-01-09 13:15:00,25675.85,25642.1,25642.1,2018-01-09 13:15:00,25642.1,-33.75,-38.881795,-7886.78855811979,Initial SL Hit,233.68262394429007,-0.30286666264213263,2018.0,1.0,,,,,,,,POSITIONAL
247,2018-01-10 11:15:00,LONG,2018-01-10 12:15:00,25612.95,25527.5,25639.19722222222,2018-01-12 12:15:00,25622.95,10.0,4.87641,2342.564991537484,TSL Hit,234.2564991537484,0.03807769116794433,2018.0,1.0,,,,,,,,POSITIONAL
249,2018-01-12 13:15:00,LONG,2018-01-12 14:15:00,10511.2,10477.3,11125.719375,2018-02-02 09:15:00,11017.1,505.8999999999997,501.5943399999997,360972.10594413546,TSL Hit,713.5246213562675,11.929997050764888,2018.0,1.0,,,,,,,,POSITIONAL
248,2018-01-12 13:15:00,LONG,2018-01-12 14:15:00,25713.4,25604.7,27325.39444444444,2018-01-25 12:15:00,27266.9,1553.5,1548.20197,362495.8193004425,TSL Hit,233.3413706472112,12.041985657283751,2018.0,1.0,,,,,,,,POSITIONAL
1577,2018-01-18 14:45:00,BUY,2018-01-18 14:50:00,210.0,42.65,175.2375,2018-01-18 14:55:00,174.9,-35.099999999999994,-40.87349999999999,,TSL Hit,59.755004481625335,-0.2442396175679712,2018.0,1.0,BANKNIFTY,26700.0,P,2018-01-18,5.773499999999999,-2442.3961756797125,906112.3264805512,OPT BUY
1578,2018-01-25 13:30:00,BUY,2018-01-25 13:35:00,40.0,26.9,36.85,2018-01-25 13:40:00,34.6,-5.399999999999999,-6.518999999999998,,TSL Hit,763.3587786259541,-0.4976335877862593,2018.0,1.0,NIFTY,11050.0,P,2018-01-25,1.1189999999999998,-4976.335877862593,901135.9906026884,OPT BUY
250,2018-01-25 13:15:00,LONG,2018-01-25 14:15:00,27452.6,27151.75,27451.71111111111,2018-01-30 09:15:00,27343.55,-109.04999999999929,-114.52961499999928,-23833.80809103676,TSL Hit,218.55853361794516,-0.8343808236742553,2018.0,1.0,,,,,,,,POSITIONAL
1579,2018-01-25 14:35:00,BUY,2018-01-25 14:40:00,105.0,83.1,83.1,2018-01-25 14:45:00,83.1,-21.90000000000001,-24.72150000000001,,Initial SL Hit,456.62100456620993,-1.1288356164383562,2018.0,1.0,BANKNIFTY,27400.0,P,2018-01-25,2.8215,-11288.356164383562,889847.6344383049,OPT BUY
252,2018-01-30 12:15:00,LONG,2018-01-30 13:15:00,27340.2,27265.1,27265.1,2018-01-30 14:15:00,27265.1,-75.10000000000218,-80.56053000000219,-16481.22544824153,Initial SL Hit,219.4570632255799,-0.5893192441898902,2018.0,1.0,,,,,,,,POSITIONAL
251,2018-01-30 12:15:00,LONG,2018-01-30 13:15:00,11059.3,11036.05,11036.05,2018-01-30 14:15:00,11036.05,-23.25,-27.66907,-15767.27279303392,Initial SL Hit,678.1622706681255,-0.6254706446158437,2018.0,1.0,,,,,,,,POSITIONAL
253,2018-01-30 15:15:00,LONG,2018-01-31 09:15:00,27297.65,27250.25,27250.25,2018-01-31 10:15:00,27250.25,-47.400000000001455,-52.85479000000146,-10418.479246382334,Initial SL Hit,219.79914021902985,-0.38724791328192315,2018.0,1.0,,,,,,,,POSITIONAL
254,2018-01-31 11:15:00,LONG,2018-01-31 12:15:00,27240.65,27183.8,27183.8,2018-01-31 12:15:00,27183.8,-56.85000000000218,-62.29244500000218,-12521.727638658149,Initial SL Hit,220.25906136601,-0.4573491821964761,2018.0,1.0,,,,,,,,POSITIONAL
255,2018-01-31 13:15:00,LONG,2018-01-31 14:15:00,27225.9,27139.3,27328.122222222224,2018-02-01 12:15:00,27139.3,-86.60000000000218,-92.03652000000218,-19084.7685475967,Initial SL hit,220.37838969510648,-0.676095335691398,2018.0,1.0,,,,,,,,POSITIONAL
256,2018-02-01 10:15:00,LONG,2018-02-01 11:15:00,11097.8,11056.85,11056.85,2018-02-01 11:15:00,11056.85,-40.94999999999891,-45.38092999999891,-27674.40393591449,Initial SL Hit,675.8096199246698,-1.0222956351709105,2018.0,2.0,,,,,,,,POSITIONAL
257,2018-02-02 11:15:00,LONG,2018-02-02 12:15:00,11001.85,10964.4,10964.4,2018-02-02 12:15:00,10964.4,-37.45000000000073,-41.84325000000073,-25529.79726137017,Initial SL Hit,681.703531678763,-0.9508230433972634,2018.0,2.0,,,,,,,,POSITIONAL
1580,2018-02-08 14:35:00,BUY,2018-02-08 14:40:00,104.95,68.0,68.0,2018-02-08 14:45:00,68.0,-36.95,-39.544250000000005,,Initial SL Hit,270.6359945872801,-1.0702097428958053,2018.0,2.0,BANKNIFTY,26000.0,P,2018-02-08,2.59425,-10702.097428958052,879145.5370093469,OPT BUY
258,2018-02-12 13:15:00,LONG,2018-02-12 14:15:00,10528.95,10491.6,10507.929999999998,2018-02-14 14:15:00,10503.45,-25.5,-29.70648,-18164.204407846937,TSL Hit,712.3217414841936,-0.7053523855655123,2018.0,2.0,,,,,,,,POSITIONAL
259,2018-02-15 09:15:00,LONG,2018-02-15 10:15:00,10583.8,10518.65,10525.240000000002,2018-02-15 14:15:00,10518.65,-65.14999999999964,-69.37048999999963,-46167.2556170749,Initial SL hit,708.6301706381452,-1.6386007388650494,2018.0,2.0,,,,,,,,POSITIONAL
1581,2018-02-15 14:30:00,BUY,2018-02-15 14:35:00,34.0,25.05,25.05,2018-02-15 14:35:00,25.05,-8.95,-9.83575,,Initial SL Hit,1117.31843575419,-1.0989664804469277,2018.0,2.0,BANKNIFTY,25400.0,P,2018-02-15,0.8857499999999999,-10989.664804469274,868155.8722048776,OPT BUY
1582,2018-02-15 14:40:00,BUY,2018-02-15 14:45:00,68.75,24.0,52.75,2018-02-15 14:55:00,42.45,-26.3,-27.968,,TSL Hit,223.463687150838,-0.6249832402234635,2018.0,2.0,BANKNIFTY,25400.0,P,2018-02-15,1.668,-6249.832402234636,861906.0398026429,OPT BUY
260,2018-02-16 15:15:00,LONG,2018-02-19 09:15:00,10461.4,10444.35,10444.35,2018-02-19 09:15:00,10444.35,-17.049999999999272,-21.231149999999275,-12223.507369949964,Initial SL Hit,716.92125336953,-0.5073687556158658,2018.0,2.0,,,,,,,,POSITIONAL
261,2018-02-22 12:15:00,LONG,2018-02-22 13:15:00,10369.8,10352.85,10352.85,2018-02-22 14:15:00,10352.85,-16.94999999999891,-21.094529999998908,-12259.15639645816,Initial SL Hit,723.2540646878437,-0.5085568188392956,2018.0,2.0,,,,,,,,POSITIONAL
1583,2018-02-22 13:45:00,BUY,2018-02-22 13:50:00,33.4,21.15,35.4,2018-02-22 14:05:00,26.0,-7.399999999999999,-8.290999999999999,,TSL Hit,816.3265306122449,-0.6768163265306122,2018.0,2.0,NIFTY,10350.0,C,2018-02-22,0.8909999999999999,-6768.1632653061215,855137.8765373367,OPT BUY
262,2018-02-22 15:15:00,LONG,2018-02-23 09:15:00,10407.65,10389.1,10496.974375,2018-02-28 09:15:00,10459.25,51.60000000000037,47.42662000000036,37184.18663194888,TSL Hit,720.6237719369886,1.1392249931540828,2018.0,2.0,,,,,,,,POSITIONAL
263,2018-02-23 11:15:00,LONG,2018-02-23 12:15:00,10474.75,10424.35,10482.99,2018-03-01 10:15:00,10480.65,5.899999999999636,1.7089199999996358,4224.44449748178,TSL Hit,716.0075419461085,0.04078665361940943,2018.0,2.0,,,,,,,,POSITIONAL
264,2018-02-23 14:15:00,LONG,2018-02-23 15:15:00,25317.75,25235.3,25455.14444444445,2018-02-27 13:15:00,25431.35,113.59999999999854,108.52508999999854,26921.82362176699,TSL Hit,236.9878839944308,0.8573043813134937,2018.0,2.0,,,,,,,,POSITIONAL
265,2018-02-28 09:15:00,LONG,2018-02-28 10:15:00,25142.05,24995.3,24995.3,2018-02-28 12:15:00,24995.3,-146.75,-151.763735,-35021.0106176704,Initial SL Hit,238.64402465192777,-1.2072502838869543,2018.0,2.0,,,,,,,,POSITIONAL
266,2018-02-28 13:15:00,LONG,2018-02-28 14:15:00,25084.3,24942.0,24942.0,2018-03-01 14:15:00,24942.0,-142.29999999999927,-147.30262999999928,-34037.22647233511,Initial SL Hit,239.19343972125992,-1.1744607583229294,2018.0,2.0,,,,,,,,POSITIONAL
267,2018-03-01 11:15:00,LONG,2018-03-01 12:15:00,10487.45,10469.85,10469.85,2018-03-01 14:15:00,10469.85,-17.600000000000364,-21.791460000000363,-12586.472402729236,Initial SL Hit,715.1404774277827,-0.5194651702749563,2018.0,3.0,,,,,,,,POSITIONAL
1584,2018-03-01 14:45:00,BUY,2018-03-01 14:50:00,95.6,52.0,83.7875,2018-03-01 14:55:00,52.0,-43.6,-45.81399999999999,,Initial SL hit,229.35779816513764,-1.0507798165137614,2018.0,3.0,BANKNIFTY,25100.0,P,2018-03-01,2.214,-10507.798165137614,844630.0783721991,OPT BUY
1585,2018-03-01 15:00:00,BUY,2018-03-01 15:05:00,178.7,50.85,170.1375,2018-03-01 15:20:00,179.0,0.3000000000000113,-5.065499999999989,,EOD Exit,78.21666014861165,-0.0396206491982791,2018.0,3.0,BANKNIFTY,25100.0,P,2018-03-01,5.3655,-396.2064919827914,844233.8718802163,OPT BUY
1586,2018-03-08 14:00:00,BUY,2018-03-08 14:05:00,26.65,16.8,100.7625,2018-03-08 14:45:00,82.8,56.15,54.50825,,TSL Hit,1015.2284263959392,5.533832487309645,2018.0,3.0,BANKNIFTY,24300.0,C,2018-03-08,1.6417499999999998,55338.324873096455,899572.1967533127,OPT BUY
1587,2018-03-08 14:50:00,BUY,2018-03-08 14:55:00,126.65,69.45,171.225,2018-03-08 15:10:00,148.95,22.299999999999983,18.165999999999983,,TSL Hit,174.82517482517483,0.3175874125874123,2018.0,3.0,BANKNIFTY,24300.0,C,2018-03-08,4.134,3175.874125874123,902748.0708791869,OPT BUY
268,2018-03-12 14:15:00,LONG,2018-03-12 15:15:00,10431.6,10361.3,10361.3,2018-03-14 11:15:00,10361.3,-70.30000000000109,-74.45858000000109,-50543.54077993867,Initial SL hit,718.9692856321178,-1.784447735726089,2018.0,3.0,,,,,,,,POSITIONAL
269,2018-03-13 09:15:00,LONG,2018-03-13 10:15:00,10458.55,10322.1,10363.971875,2018-03-13 13:15:00,10354.9,-103.64999999999964,-107.81268999999963,-74329.13740432443,TSL Hit,717.1166175043386,-2.577142385894786,2018.0,3.0,,,,,,,,POSITIONAL
270,2018-03-14 12:15:00,LONG,2018-03-14 13:15:00,10375.1,10336.3,10348.80875,2018-03-16 09:15:00,10336.3,-38.80000000000109,-42.94228000000109,-28047.922429664115,Initial SL hit,722.8845987026631,-1.0347437615059394,2018.0,3.0,,,,,,,,POSITIONAL
271,2018-03-15 12:15:00,LONG,2018-03-15 13:15:00,24893.1,24819.95,24819.95,2018-03-15 13:15:00,24819.95,-73.14999999999782,-78.12130499999782,-17631.391831470846,Initial SL hit,241.030647046772,-0.6276542897429234,2018.0,3.0,,,,,,,,POSITIONAL
272,2018-03-16 09:15:00,LONG,2018-03-16 10:15:00,24765.25,24648.4,24648.4,2018-03-16 14:15:00,24648.4,-116.84999999999854,-121.79136499999856,-28309.82929709941,Initial SL Hit,242.27496189216745,-0.9835666104723235,2018.0,3.0,,,,,,,,POSITIONAL
273,2018-03-16 12:15:00,LONG,2018-03-16 13:15:00,10274.9,10257.1,10257.1,2018-03-16 13:15:00,10257.1,-17.799999999999272,-21.906399999999277,-12992.827180799282,Initial SL Hit,729.9341112808884,-0.5330076205121042,2018.0,3.0,,,,,,,,POSITIONAL
274,2018-03-16 15:15:00,LONG,2018-03-19 09:15:00,24552.5,24457.95,24457.95,2018-03-19 09:15:00,24457.95,-94.54999999999929,-99.45104499999928,-23105.590062111623,Initial SL Hit,244.3742999694532,-0.8101093167701804,2018.0,3.0,,,,,,,,POSITIONAL
275,2018-03-21 09:15:00,LONG,2018-03-21 10:15:00,24443.7,24297.0,24297.0,2018-03-21 12:15:00,24297.0,-146.70000000000073,-151.57407000000072,-36009.278464389776,Initial SL hit,245.462020888818,-1.2401892512181112,2018.0,3.0,,,,,,,,POSITIONAL
276,2018-03-22 12:15:00,LONG,2018-03-22 13:15:00,10198.4,10161.5,10161.5,2018-03-22 13:15:00,10161.5,-36.89999999999964,-40.97197999999964,-27136.609664260795,Initial SL Hit,735.4094759962347,-1.0043727447442647,2018.0,3.0,,,,,,,,POSITIONAL
277,2018-03-26 14:15:00,LONG,2018-03-26 15:15:00,10140.75,10069.25,10107.24875,2018-03-28 14:15:00,10102.75,-38.0,-42.0487,-28104.430145699283,TSL Hit,739.5902669920864,-1.036626975322338,2018.0,3.0,,,,,,,,POSITIONAL
278,2018-03-27 11:15:00,LONG,2018-03-27 12:15:00,10271.9,10215.75,10223.06875,2018-03-28 09:15:00,10215.75,-56.14999999999964,-60.24752999999964,-40997.770616925525,Initial SL hit,730.1472950476543,-1.4663190354267381,2018.0,3.0,,,,,,,,POSITIONAL
279,2018-03-28 13:15:00,LONG,2018-03-28 14:15:00,24329.1,24260.75,24260.75,2018-03-28 14:15:00,24260.75,-68.34999999999854,-73.20898499999855,-16856.357201869007,Initial SL Hit,246.61824728411656,-0.6018223855382941,2018.0,3.0,,,,,,,,POSITIONAL
280,2018-04-02 10:15:00,LONG,2018-04-02 11:15:00,10163.85,10137.8,10157.76125,2018-04-04 13:15:00,10137.8,-26.05000000000109,-30.11033000000109,-19222.538703346487,Initial SL hit,737.9093552148054,-0.7406231398535272,2018.0,4.0,,,,,,,,POSITIONAL
281,2018-04-02 12:15:00,LONG,2018-04-02 13:15:00,24257.4,24156.35,24386.51388888889,2018-04-04 13:15:00,24212.5,-44.900000000001455,-49.74699000000145,-11105.889336862512,TSL Hit,247.34720126641764,-0.41015929159762754,2018.0,4.0,,,,,,,,POSITIONAL
282,2018-04-05 09:15:00,LONG,2018-04-05 10:15:00,10316.25,10265.6,10534.47875,2018-04-20 09:15:00,10510.5,194.25,190.08465,141221.37404580152,TSL Hit,727.0083605961469,4.6064376590330784,2018.0,4.0,,,,,,,,POSITIONAL
284,2018-04-05 11:15:00,LONG,2018-04-05 12:15:00,24485.6,24414.25,25079.56388888889,2018-04-11 09:15:00,25002.55,516.9500000000007,512.0011850000008,126674.45355637616,TSL Hit,245.0419838599013,4.182059537034018,2018.0,4.0,,,,,,,,POSITIONAL
283,2018-04-05 11:15:00,LONG,2018-04-05 12:15:00,10278.75,10258.6,10575.465,2018-04-25 13:15:00,10554.55,275.7999999999993,271.6333399999993,201240.42320321,TSL Hit,729.6607077708866,6.606672503952313,2018.0,4.0,,,,,,,,POSITIONAL
1588,2018-04-05 14:15:00,BUY,2018-04-05 14:20:00,58.0,48.25,48.25,2018-04-05 14:30:00,48.25,-9.75,-11.34375,,Initial SL Hit,1025.6410256410256,-1.1634615384615383,2018.0,4.0,BANKNIFTY,24500.0,C,2018-04-05,1.59375,-11634.615384615385,891113.4554945715,OPT BUY
1589,2018-04-05 14:40:00,BUY,2018-04-05 14:45:00,93.05,39.3,210.375,2018-04-05 15:20:00,249.0,155.95,150.81924999999998,,EOD Exit,186.04651162790697,2.805939534883721,2018.0,4.0,BANKNIFTY,24500.0,C,2018-04-05,5.13075,28059.395348837206,919172.8508434088,OPT BUY
285,2018-04-11 10:15:00,LONG,2018-04-11 11:15:00,25062.7,24995.05,24995.05,2018-04-12 09:15:00,24995.05,-67.65000000000146,-72.65577500000146,-16195.38198198952,Initial SL Hit,239.3995858387165,-0.5797920814597107,2018.0,4.0,,,,,,,,POSITIONAL
286,2018-04-12 10:15:00,LONG,2018-04-12 11:15:00,25092.85,25005.6,25156.502777777776,2018-04-13 13:15:00,25138.5,45.650000000001455,40.62686500000146,10915.45998162858,TSL Hit,239.11193826129755,0.32381228118768063,2018.0,4.0,,,,,,,,POSITIONAL
1590,2018-04-12 14:00:00,BUY,2018-04-12 14:05:00,21.65,13.65,13.65,2018-04-12 14:20:00,13.65,-7.999999999999998,-8.529499999999999,,Initial SL Hit,1250.0000000000002,-1.0661874999999998,2018.0,4.0,BANKNIFTY,25200.0,C,2018-04-12,0.5295,-10661.875,908510.9758434088,OPT BUY
287,2018-04-13 14:15:00,LONG,2018-04-13 15:15:00,25215.7,25076.85,25184.73611111111,2018-04-16 09:15:00,25076.85,-138.85000000000218,-143.8792550000022,-33038.94002546085,Initial SL hit,237.94699334145,-1.14118787104861,2018.0,4.0,,,,,,,,POSITIONAL
288,2018-04-16 11:15:00,LONG,2018-04-16 12:15:00,25177.05,25118.05,25294.783333333336,2018-04-18 13:15:00,25235.9,58.85000000000218,53.808705000002185,14024.677235816473,TSL Hit,238.3122724862524,0.42744249226976305,2018.0,4.0,,,,,,,,POSITIONAL
