,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month,Cumulative PnL,Cumulative ROI%,Running Max ROI%,Drawdown
220,BANKNIFTY,35500,P,2022-03-24,2022-03-24 14:10:00,BUY,2022-03-24 14:15:00,54.25,37.4,37.4,2022-03-24 14:25:00,37.4,-16.85,1.37475,-18.22475,-27039.6884272997,Initial SL Hit,1483.6795252225518,-1.081587537091988,2022,3,5906058.953404667,236.24235813618694,247.8507151701753,-11.60835703398837
565,NIFTY,17500,P,2022-03-31,2022-03-31 13:40:00,BUY,2022-03-31 13:45:00,36.0,24.45,24.45,2022-03-31 14:25:00,24.45,-11.55,0.90675,-12.45675,-26962.66233766234,Initial SL Hit,2164.5021645021643,-1.0785064935064936,2022,3,5879096.291067004,235.16385164268044,247.8507151701753,-12.686863527494864
566,NIFTY,17500,P,2022-03-31,2022-03-31 14:40:00,BUY,2022-03-31 14:45:00,63.0,24.1,24.1,2022-03-31 15:20:00,33.95,-29.05,1.45425,-30.50425,-19604.27377892031,EOD Exit,642.6735218508998,-0.7841709511568123,2022,3,5859492.017288084,234.37968069152362,247.8507151701753,-13.471034478651688
567,NIFTY,17750,P,2022-04-07,2022-04-07 14:05:00,BUY,2022-04-07 14:10:00,73.8,57.95,90.3625,2022-04-07 14:20:00,89.1,15.299999999999995,2.4435,12.856499999999995,20278.391167192432,TSL Hit,1577.2870662460573,0.8111356466876973,2022,4,5879770.408455277,235.1908163382113,247.8507151701753,-12.659898831964
221,BANKNIFTY,37600,P,2022-04-07,2022-04-07 14:30:00,BUY,2022-04-07 14:35:00,63.7,43.75,43.75,2022-04-07 14:35:00,43.75,-19.950000000000003,1.61175,-21.561750000000004,-27019.736842105263,Initial SL Hit,1253.1328320802004,-1.0807894736842103,2022,4,5852750.671613172,234.1100268645271,247.8507151701753,-13.740688305648206
568,NIFTY,17750,P,2022-04-07,2022-04-07 14:35:00,BUY,2022-04-07 14:40:00,95.75,79.75,111.35,2022-04-07 15:20:00,110.75,15.0,3.0975,11.9025,18597.65625,TSL Hit,1562.5,0.74390625,2022,4,5871348.327863172,234.8539331145271,247.8507151701753,-12.996782055648197
222,BANKNIFTY,37600,P,2022-04-07,2022-04-07 14:50:00,BUY,2022-04-07 14:55:00,54.05,26.3,26.3,2022-04-07 15:00:00,26.3,-27.75,1.20525,-28.95525,-26085.81081081081,Initial SL Hit,900.900900900901,-1.0434324324324324,2022,4,5845262.517052361,233.81050068209467,247.8507151701753,-14.040214488080636
569,NIFTY,17500,P,2022-04-13,2022-04-13 13:35:00,BUY,2022-04-13 13:40:00,30.5,21.25,21.25,2022-04-13 14:00:00,21.25,-9.25,0.77625,-10.02625,-27097.97297297297,Initial SL Hit,2702.7027027027025,-1.083918918918919,2022,4,5818164.544079388,232.72658176317574,247.8507151701753,-15.124133406999562
570,NIFTY,17350,C,2022-04-21,2022-04-21 13:35:00,BUY,2022-04-21 13:40:00,35.4,28.35,28.35,2022-04-21 13:55:00,28.35,-7.049999999999997,0.95625,-8.006249999999998,-28390.95744680852,Initial SL Hit,3546.0992907801437,-1.1356382978723407,2022,4,5789773.586632579,231.5909434653034,247.8507151701753,-16.259771704871895
571,NIFTY,17350,C,2022-04-21,2022-04-21 14:00:00,BUY,2022-04-21 14:05:00,33.8,25.45,49.2125,2022-04-21 14:30:00,46.15,12.35,1.1992499999999997,11.150750000000002,33385.47904191619,TSL Hit,2994.011976047905,1.3354191616766475,2022,4,5823159.065674495,232.92636262698005,247.8507151701753,-14.924352543195255
