,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Initial Target,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
304,bnf,45900,C,2024-02-29,2024-02-29 12:50:00,BUY,2024-02-29 12:55:00,178.2,128.1,228.29999999999998,133.24666666666667,2024-02-29 13:10:00,228.29999999999998,50.099999999999994,6.0975,44.0025,8782.934131736527,Target Hit,199.60079840319364,0.8782934131736527,2024,2
305,bnf,45900,C,2024-02-29,2024-02-29 13:20:00,BUY,2024-02-29 13:25:00,226.0,194.45,257.55,194.45,2024-02-29 13:30:00,194.45,-31.55000000000001,6.306749999999999,-37.85675000000001,-11998.969889064974,Initial SL hit,316.957210776545,-1.1998969889064974,2024,2
306,bnf,45900,C,2024-02-29,2024-02-29 13:30:00,BUY,2024-02-29 13:35:00,250.2,192.0,359.35,192.0,2024-02-29 13:35:00,192.0,-58.19999999999999,6.633,-64.83299999999998,-11139.690721649484,Initial SL Hit,171.82130584192444,-1.1139690721649484,2024,2
307,bnf,45900,C,2024-02-29,2024-02-29 13:40:00,BUY,2024-02-29 13:45:00,191.6,158.45,224.75,158.45,2024-02-29 13:45:00,224.75,33.150000000000006,6.24525,26.904750000000007,8116.063348416291,Target Hit,301.6591251885369,0.811606334841629,2024,2
308,bnf,45900,C,2024-02-29,2024-02-29 14:05:00,BUY,2024-02-29 14:10:00,255.5,215.0,296.0,232.88,2024-02-29 14:15:00,296.0,40.5,8.272499999999999,32.2275,7957.407407407407,Target Hit,246.91358024691357,0.7957407407407406,2024,2
309,bnf,45900,C,2024-02-29,2024-02-29 14:20:00,BUY,2024-02-29 14:25:00,281.85,212.9,350.80000000000007,236.80333333333334,2024-02-29 14:30:00,212.9,-68.95000000000002,7.42125,-76.37125000000002,-11076.323422770123,Initial SL hit,145.03263234227697,-1.1076323422770122,2024,2
332,bnf,48000,C,2024-03-06,2024-03-06 12:30:00,BUY,2024-03-06 12:35:00,165.8,134.75,196.85000000000002,134.75,2024-03-06 12:35:00,134.75,-31.05000000000001,4.50825,-35.558250000000015,-11451.93236714976,Initial SL Hit,322.0611916264089,-1.145193236714976,2024,3
333,bnf,48000,C,2024-03-06,2024-03-06 12:50:00,BUY,2024-03-06 12:55:00,128.4,106.85,146.95,106.85,2024-03-06 13:00:00,106.85,-21.55000000000001,3.52875,-25.07875000000001,-11637.470997679813,Initial SL Hit,464.03712296983736,-1.1637470997679813,2024,3
334,bnf,48000,C,2024-03-06,2024-03-06 13:45:00,BUY,2024-03-06 13:50:00,137.85,103.35,172.35,120.48666666666668,2024-03-06 14:15:00,103.35,-34.5,3.618,-38.118,-11048.695652173914,Initial SL hit,289.8550724637681,-1.1048695652173914,2024,3
358,bnf,47100,P,2024-03-13,2024-03-13 12:50:00,BUY,2024-03-13 12:55:00,93.7,75.85,123.5,75.85,2024-03-13 12:55:00,75.85,-17.85000000000001,2.54325,-20.39325000000001,-11424.789915966387,Initial SL Hit,560.224089635854,-1.1424789915966387,2024,3
359,bnf,47100,P,2024-03-13,2024-03-13 13:15:00,BUY,2024-03-13 13:20:00,96.25,73.4,129.95000000000002,73.4,2024-03-13 13:20:00,73.4,-22.849999999999994,2.54475,-25.394749999999995,-11113.6761487965,Initial SL hit,437.6367614879651,-1.1113676148796499,2024,3
360,bnf,47100,P,2024-03-13,2024-03-13 13:45:00,BUY,2024-03-13 13:50:00,87.25,58.55,115.95,58.55,2024-03-13 13:50:00,115.95,28.700000000000003,3.0479999999999996,25.652000000000005,8937.979094076656,Target Hit,348.4320557491289,0.8937979094076657,2024,3
361,bnf,47100,P,2024-03-13,2024-03-13 14:00:00,BUY,2024-03-13 14:05:00,124.4,97.65,151.15,97.65,2024-03-13 14:10:00,151.15,26.75,4.13325,22.61675,8454.859813084113,Target Hit,373.8317757009346,0.8454859813084112,2024,3
