,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
14,midcpnifty,9875,C,2023-12-04,2023-12-04 14:25:00,BUY,2023-12-04 14:30:00,11.05,7.25,13.594999999999999,2023-12-04 15:00:00,10.25,-0.8000000000000007,0.3195,-1.1195000000000008,-2946.052631578949,TSL Hit,2631.5789473684204,-0.2946052631578949,2023,12
15,midcpnifty,10000,C,2023-12-11,2023-12-11 14:55:00,BUY,2023-12-11 15:00:00,14.3,8.35,15.855,2023-12-11 15:10:00,15.25,0.9499999999999993,0.44325,0.5067499999999994,851.6806722689064,TSL Hit,1680.6722689075627,0.08516806722689065,2023,12
16,midcpnifty,10325,P,2023-12-18,2023-12-18 14:55:00,BUY,2023-12-18 15:00:00,31.65,21.55,27.0,2023-12-18 15:20:00,29.05,-2.599999999999998,0.9105,-3.5104999999999977,-3475.742574257424,EOD Exit,990.0990099009903,-0.34757425742574244,2023,12
17,midcpnifty,10475,P,2024-01-08,2024-01-08 13:30:00,BUY,2024-01-08 13:35:00,13.35,9.8,27.2,2024-01-08 15:20:00,32.25,18.9,0.6839999999999999,18.215999999999998,51312.67605633804,EOD Exit,2816.9014084507053,5.131267605633804,2024,1
18,midcpnifty,10650,C,2024-01-15,2024-01-15 13:35:00,BUY,2024-01-15 13:40:00,9.4,7.25,7.25,2024-01-15 13:45:00,7.25,-2.1500000000000004,0.24974999999999997,-2.3997500000000005,-11161.627906976744,Initial SL Hit,4651.162790697674,-1.1161627906976743,2024,1
19,midcpnifty,10650,C,2024-01-15,2024-01-15 13:50:00,BUY,2024-01-15 13:55:00,8.95,4.6,4.6,2024-01-15 14:25:00,4.6,-4.35,0.20325,-4.553249999999999,-10467.241379310344,Initial SL Hit,2298.8505747126437,-1.0467241379310344,2024,1
20,midcpnifty,10650,C,2024-01-15,2024-01-15 14:30:00,BUY,2024-01-15 14:35:00,6.25,4.3,4.3,2024-01-15 14:40:00,4.3,-1.9500000000000002,0.15825,-2.10825,-10811.538461538461,Initial SL Hit,5128.205128205128,-1.0811538461538461,2024,1
21,midcpnifty,10650,C,2024-01-29,2024-01-29 13:30:00,BUY,2024-01-29 13:35:00,19.55,13.15,20.725,2024-01-29 14:10:00,17.0,-2.5500000000000007,0.5482499999999999,-3.0982500000000006,-4841.015625000001,TSL Hit,1562.5,-0.48410156250000014,2024,1
22,midcpnifty,10650,C,2024-01-29,2024-01-29 14:15:00,BUY,2024-01-29 14:20:00,18.4,13.3,13.3,2024-01-29 14:30:00,13.3,-5.099999999999998,0.4755,-5.575499999999998,-10932.352941176472,Initial SL Hit,1960.784313725491,-1.0932352941176473,2024,1
23,midcpnifty,10650,C,2024-01-29,2024-01-29 14:35:00,BUY,2024-01-29 14:40:00,23.2,10.45,17.415,2024-01-29 14:55:00,10.45,-12.75,0.5047499999999999,-13.25475,-10395.882352941177,Initial SL hit,784.3137254901961,-1.0395882352941177,2024,1
24,midcpnifty,10700,P,2024-02-12,2024-02-12 15:05:00,BUY,2024-02-12 15:10:00,17.75,2.6,12.78,2024-02-12 15:20:00,30.8,13.05,0.72825,12.321750000000002,8133.168316831685,EOD Exit,660.0660066006601,0.8133168316831686,2024,2
25,midcpnifty,11050,P,2024-02-19,2024-02-19 14:55:00,BUY,2024-02-19 15:00:00,28.2,16.6,24.810000000000002,2024-02-19 15:20:00,28.25,0.05000000000000071,0.84675,-0.7967499999999993,-686.8534482758615,EOD Exit,862.0689655172415,-0.06868534482758615,2024,2
26,midcpnifty,10925,C,2024-02-26,2024-02-26 13:30:00,BUY,2024-02-26 13:35:00,32.85,24.2,105.21,2024-02-26 14:35:00,101.1,68.25,2.0092499999999998,66.24075,76578.90173410405,TSL Hit,1156.0693641618495,7.657890173410404,2024,2
27,midcpnifty,10925,C,2024-02-26,2024-02-26 14:40:00,BUY,2024-02-26 14:45:00,127.9,98.0,98.0,2024-02-26 15:00:00,98.0,-29.900000000000006,3.3885,-33.288500000000006,-11133.277591973243,Initial SL Hit,334.448160535117,-1.1133277591973243,2024,2
28,midcpnifty,10875,P,2024-03-11,2024-03-11 15:00:00,BUY,2024-03-11 15:05:00,22.15,5.0,16.775,2024-03-11 15:20:00,22.35,0.20000000000000284,0.6675,-0.46749999999999714,-272.59475218658724,EOD Exit,583.0903790087464,-0.027259475218658725,2024,3
29,midcpnifty,10650,C,2024-04-01,2024-04-01 14:25:00,BUY,2024-04-01 14:30:00,8.6,6.5,6.5,2024-04-01 14:30:00,6.5,-2.0999999999999996,0.22649999999999998,-2.3265,-11078.57142857143,Initial SL Hit,4761.904761904762,-1.1078571428571429,2024,4
30,midcpnifty,10650,C,2024-04-01,2024-04-01 14:50:00,BUY,2024-04-01 14:55:00,13.1,4.65,23.165,2024-04-01 15:20:00,40.05,26.949999999999996,0.7972499999999999,26.152749999999997,30950.000000000004,EOD Exit,1183.431952662722,3.0950000000000006,2024,4
31,midcpnifty,10825,P,2024-04-15,2024-04-15 14:10:00,BUY,2024-04-15 14:15:00,27.35,20.25,24.3,2024-04-15 14:35:00,20.25,-7.100000000000001,0.714,-7.814000000000002,-11005.633802816901,Initial SL hit,1408.4507042253517,-1.10056338028169,2024,4
32,midcpnifty,11025,C,2024-04-29,2024-04-29 14:15:00,BUY,2024-04-29 14:20:00,14.25,10.75,14.525,2024-04-29 14:40:00,10.75,-3.5,0.375,-3.875,-11071.428571428572,Initial SL hit,2857.1428571428573,-1.1071428571428572,2024,4
33,midcpnifty,11025,C,2024-04-29,2024-04-29 15:05:00,BUY,2024-04-29 15:10:00,14.55,6.15,11.795,2024-04-29 15:20:00,16.65,2.099999999999998,0.46799999999999997,1.631999999999998,1942.8571428571402,EOD Exit,1190.4761904761904,0.194285714285714,2024,4
34,midcpnifty,10925,C,2024-05-13,2024-05-13 13:35:00,BUY,2024-05-13 13:40:00,9.25,6.05,140.56,2024-05-13 15:20:00,172.05,162.8,2.7195,160.0805,500251.5625,EOD Exit,3125.0,50.02515625,2024,5
35,midcpnifty,11750,C,2024-05-27,2024-05-27 13:50:00,BUY,2024-05-27 13:55:00,38.4,30.25,30.25,2024-05-27 14:05:00,30.25,-8.149999999999999,1.02975,-9.179749999999999,-11263.496932515338,Initial SL Hit,1226.9938650306751,-1.1263496932515338,2024,5
36,midcpnifty,11750,C,2024-05-27,2024-05-27 14:10:00,BUY,2024-05-27 14:15:00,34.95,26.55,26.55,2024-05-27 14:20:00,26.55,-8.400000000000002,0.9225,-9.322500000000002,-11098.214285714284,Initial SL Hit,1190.4761904761901,-1.1098214285714285,2024,5
