,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,DD%
57,2023-03-01 10:15:00,LONG,2023-03-01 11:15:00,6852.85,6839.6,6878.063970588235,2023-03-10 09:15:00,6839.6,-13.25,-20.096225,-36173.205,Initial SL hit,1800,5x,-1.4469281999999999,2023,-7.49780669999987
58,2023-03-15 15:15:00,LONG,2023-03-16 09:15:00,6720.45,6707.8,6707.8,2023-03-16 09:15:00,6707.8,-12.649999999999636,-19.364124999999635,-36307.734374999316,Initial SL Hit,1875,5x,-1.4523093749999727,2023,-8.95011607499984
59,2023-03-16 10:15:00,LONG,2023-03-16 11:15:00,6758.25,6690.1,6690.1,2023-03-20 12:15:00,6690.1,-68.14999999999964,-74.87417499999964,-140389.07812499933,Initial SL Hit,1875,5x,-5.615563124999974,2023,-14.56567919999982
60,2023-03-21 11:15:00,LONG,2023-03-21 12:15:00,6770.45,6748.6,6798.033823529411,2023-03-22 15:15:00,6796.0,25.550000000000182,18.76677500000018,35187.703125000335,TSL Hit,1875,5x,1.4075081250000132,2023,-13.158171074999814
61,2023-03-29 09:15:00,LONG,2023-03-29 10:15:00,6666.4,6613.45,7467.961029411765,2023-05-19 09:15:00,7424.0,757.6000000000004,750.5548000000003,1407290.2500000007,TSL Hit,1875,5x,56.29161000000003,2023,0.0
62,2023-05-22 09:15:00,LONG,2023-05-22 10:15:00,7501.6,7449.65,7839.125735294118,2023-06-09 14:15:00,7833.35,331.75,324.082525,534736.16625,TSL Hit,1650,5x,21.38944665,2023,0.0
63,2023-06-12 10:15:00,LONG,2023-06-12 11:15:00,7863.5,7844.25,8036.080147058825,2023-06-23 09:15:00,7996.7,133.19999999999982,125.26989999999982,197300.0924999997,TSL Hit,1575,5x,7.8920036999999885,2023,0.0
64,2023-06-26 11:15:00,LONG,2023-06-26 12:15:00,8020.6,8008.05,8008.05,2023-06-26 12:15:00,8008.05,-12.550000000000182,-20.56432500000018,-32388.811875000287,Initial SL Hit,1575,5x,-1.2955524750000116,2023,-1.2955524750000222
65,2023-06-26 13:15:00,LONG,2023-06-26 14:15:00,8036.85,8014.95,8190.94705882353,2023-07-10 11:15:00,8175.6,138.75,130.643775,205763.94562500002,TSL Hit,1575,5x,8.230557825000002,2023,0.0
66,2023-07-11 09:15:00,LONG,2023-07-11 10:15:00,8277.45,8223.05,8258.16911764706,2023-07-13 13:15:00,8223.05,-54.400000000001455,-62.650250000001456,-93975.37500000218,Initial SL hit,1500,5x,-3.759015000000087,2023,-3.7590150000000904
67,2023-07-14 14:15:00,LONG,2023-07-14 15:15:00,8351.2,8305.05,8478.76838235294,2023-08-02 12:15:00,8477.85,126.64999999999964,118.23547499999964,177353.21249999947,TSL Hit,1500,5x,7.094128499999979,2023,0.0
68,2023-08-03 14:15:00,LONG,2023-08-03 15:15:00,8505.3,8446.85,8525.301470588236,2023-08-09 09:15:00,8525.1,19.80000000000109,11.284800000001091,16927.200000001638,TSL Hit,1500,5x,0.6770880000000655,2023,0.0
69,2023-08-09 12:15:00,LONG,2023-08-09 13:15:00,8567.55,8540.2,8559.913970588235,2023-08-14 09:15:00,8540.2,-27.349999999998545,-35.90387499999854,-51163.021874997925,Initial SL hit,1425,5x,-2.046520874999917,2023,-2.0465208749999135
70,2023-08-16 11:15:00,LONG,2023-08-16 12:15:00,8586.7,8558.35,8571.70661764706,2023-08-18 10:15:00,8558.35,-28.350000000000364,-36.92252500000036,-52614.59812500051,Initial SL hit,1425,5x,-2.1045839250000205,2023,-4.151104799999928
71,2023-08-21 10:15:00,LONG,2023-08-21 11:15:00,8617.3,8593.85,9007.71544117647,2023-09-12 11:15:00,8992.5,375.2000000000007,366.39510000000075,522113.01750000106,TSL Hit,1425,5x,20.884520700000042,2023,0.0
72,2023-09-13 13:15:00,LONG,2023-09-13 14:15:00,8999.65,8952.8,9104.183088235293,2023-09-21 12:15:00,9084.75,85.10000000000036,76.05780000000036,108382.3650000005,TSL Hit,1425,5x,4.33529460000002,2023,0.0
73,2023-09-25 11:15:00,LONG,2023-09-25 12:15:00,9052.15,8991.05,9130.005147058822,2023-09-28 11:15:00,9128.5,76.35000000000036,67.25967500000036,90800.56125000048,TSL Hit,1350,5x,3.632022450000019,2023,0.0
74,2023-09-29 15:15:00,LONG,2023-10-03 09:15:00,9114.05,9101.95,9101.95,2023-10-03 09:15:00,9101.95,-12.099999999998545,-21.207999999998545,-28630.799999998035,Initial SL Hit,1350,5x,-1.1452319999999214,2023,-1.1452319999999077
75,2023-10-03 12:15:00,LONG,2023-10-03 13:15:00,9114.65,9098.7,9098.7,2023-10-03 13:15:00,9098.7,-15.949999999998909,-25.056674999998908,-33826.511249998526,Initial SL Hit,1350,5x,-1.353060449999941,2023,-2.4982924499998376
76,2023-10-06 11:15:00,LONG,2023-10-06 12:15:00,9108.65,9085.2,9096.558088235293,2023-10-09 09:15:00,9058.95,-49.69999999999891,-58.783799999998905,-79358.12999999852,Gap Open Outside ISL,1350,5x,-3.174325199999941,2023,-5.672617649999779
77,2023-10-10 11:15:00,LONG,2023-10-10 12:15:00,9113.55,9091.35,9120.097058823529,2023-10-18 10:15:00,9118.45,4.900000000001455,-4.2159999999985445,-5691.599999998035,TSL Hit,1350,5x,-0.2276639999999214,2023,-5.900281649999698
78,2023-10-27 12:15:00,LONG,2023-10-27 13:15:00,8757.15,8731.5,8731.5,2023-10-27 14:15:00,8731.5,-25.649999999999636,-34.39432499999964,-49011.91312499949,Initial SL Hit,1425,5x,-1.9604765249999794,2023,-7.860758174999688
