date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,TSL,Exit Price,Exit date,Exit Time,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
2019-07-26,Friday,2019-08-01,6,11250,C,87.15,14:25:00,101.0,0.0,0.05,2019-08-01,15:25:00,EOD exit,87.10000000000001,0.872,7050,607907.4,12.158148,2019,8,95.5,0.05,12.281100000000002,198.28125
2019-07-29,Monday,2019-08-01,3,11150,P,37.55,15:00:00,54.8,30.2075,54.8,2019-07-30,14:25:00,SL hit,-17.25,0.9235,5775,-104951.96250000001,-2.09903925,2019,7,57.0,13.1,2.8239749999999995,160.978125
2019-07-31,Wednesday,2019-08-01,1,11000,P,20.3,12:35:00,53.95,33.5475,53.95,2019-08-01,14:25:00,SL hit,-33.650000000000006,0.7425,3000,-103177.50000000001,-2.0635500000000007,2019,8,67.0,5.35,0.897,82.5
2019-08-02,Friday,2019-08-08,6,10900,P,73.4,12:35:00,109.75,47.76,109.75,2019-08-05,09:15:00,SL hit,-36.349999999999994,1.8315000000000001,2775,-105953.66249999998,-2.1190732499999996,2019,8,120.0,27.25,2.5613250000000005,75.61875
2019-08-05,Monday,2019-08-08,3,10850,P,71.5,12:50:00,135.0,1.725,0.05,2019-08-08,15:25:00,EOD exit,71.45,0.7155,1575,111406.8375,2.22813675,2019,8,106.15,0.05,2.2506749999999998,42.721875
2019-08-05,Monday,2019-08-08,3,10900,C,73.65,14:40:00,90.0,0.0,90.0,2019-08-06,09:15:00,SL hit,-16.349999999999994,1.6365,6150,-110616.97499999998,-2.2123394999999992,2019,8,92.75,41.25,3.9852000000000007,167.5875
2019-08-05,Monday,2019-08-08,3,10900,C,65.15,10:10:00,89.15,0.0,89.15,2019-08-05,12:45:00,SL hit,-24.0,1.5430000000000001,4200,-107280.59999999999,-2.145612,2019,8,90.0,55.0,0.8526000000000004,114.45
2019-08-07,Wednesday,2019-08-08,1,11000,C,44.75,09:45:00,53.9,0.0,24.05,2019-08-08,15:25:00,EOD exit,20.7,0.688,7200,144086.4,2.881728,2019,8,45.5,0.3,6.400799999999999,198.0
2019-08-09,Friday,2019-08-14,5,11100,C,85.25,14:55:00,120.0,0.0,0.05,2019-08-14,15:25:00,EOD exit,85.2,0.853,2850,240388.95,4.807779,2019,8,90.0,0.05,4.856400000000001,79.0875
2019-08-09,Friday,2019-08-14,5,11050,P,62.05,09:20:00,83.25,59.7875,83.25,2019-08-13,14:30:00,SL hit,-21.200000000000003,1.453,4725,-107035.42500000002,-2.1407085,2019,8,89.15,18.05,4.1579999999999995,130.528125
2019-08-16,Friday,2019-08-22,6,11000,P,77.3,12:35:00,135.75,113.93999999999998,135.75,2019-08-22,10:30:00,SL hit,-58.45,2.1305,1725,-104501.3625,-2.09002725,2019,8,143.0,28.4,1.68705,47.4375
2019-08-19,Monday,2019-08-22,3,11100,C,50.0,14:25:00,92.25,0.0,0.05,2019-08-22,15:20:00,EOD exit,49.95,0.5005,2400,118678.8,2.3735760000000004,2019,8,61.55,0.05,2.3976,66.60000000000001
2019-08-23,Friday,2019-08-29,6,10650,P,47.3,12:35:00,100.0,0.06000000000000003,0.05,2019-08-29,15:25:00,EOD exit,47.25,0.4735,1875,87705.9375,1.75411875,2019,8,60.65,0.05,1.7718749999999999,49.921875
2019-08-26,Monday,2019-08-29,3,11050,C,24.0,10:40:00,61.75,0.0,61.75,2019-08-26,13:25:00,SL hit,-37.75,0.8575,2625,-101344.6875,-2.02689375,2019,8,64.45,21.15,0.1496250000000001,72.515625
2019-08-27,Tuesday,2019-08-29,2,11150,C,38.85,14:25:00,58.1,0.0,0.05,2019-08-29,15:25:00,EOD exit,38.800000000000004,0.389,5175,198776.92500000002,3.9755385000000003,2019,8,54.0,0.05,4.0158000000000005,144.253125
2019-08-30,Friday,2019-09-05,6,11000,C,60.4,12:35:00,119.0,0.0,0.05,2019-09-05,15:25:00,EOD exit,60.35,0.6044999999999999,1725,103060.9875,2.0612197500000002,2019,9,100.5,0.05,2.0820749999999997,47.4375
2019-08-30,Friday,2019-09-05,6,10950,P,64.95,14:30:00,143.05,127.0675,143.05,2019-09-03,15:00:00,SL hit,-78.10000000000001,2.08,1275,-102229.50000000001,-2.0445900000000004,2019,9,147.65,36.1,0.735675,34.903125
2019-09-04,Wednesday,2019-09-05,1,10750,P,28.35,12:20:00,53.0,1.02,0.05,2019-09-05,15:25:00,EOD exit,28.3,0.28400000000000003,4050,113464.8,2.269296,2019,9,32.25,0.05,2.2923,108.84375
2019-09-06,Friday,2019-09-12,6,10850,P,57.5,12:35:00,75.0,0.1025,0.05,2019-09-12,15:25:00,EOD exit,57.45,0.5755,5700,324184.65,6.483693,2019,9,60.2,0.05,6.5493,154.6125
2019-09-09,Monday,2019-09-12,3,10950,C,89.0,14:20:00,113.45,0.0,113.45,2019-09-11,10:55:00,SL hit,-24.450000000000003,2.0244999999999997,4125,-109207.31250000001,-2.1841462500000004,2019,9,115.0,73.35,1.2911250000000005,112.921875
2019-09-09,Monday,2019-09-12,3,10950,C,53.95,09:55:00,65.0,0.0,65.0,2019-09-09,10:05:00,SL hit,-11.049999999999997,1.1895,7350,-89960.32499999998,-1.7992064999999997,2019,9,92.4,52.5,0.2131500000000004,201.20624999999998
2019-09-11,Wednesday,2019-09-12,1,11050,C,36.4,13:20:00,49.95,0.0,0.05,2019-09-12,15:25:00,EOD exit,36.35,0.3645,7200,259095.6,5.1819120000000005,2019,9,47.5,0.05,5.2344,198.9
2019-09-13,Friday,2019-09-19,6,10950,P,50.45,13:00:00,74.95,66.17999999999999,74.95,2019-09-17,11:55:00,SL hit,-24.5,1.254,4050,-104303.70000000001,-2.0860740000000004,2019,9,77.8,16.2,2.77425,110.86875
2019-09-16,Monday,2019-09-19,3,11000,C,57.35,13:15:00,109.7,0.0,0.05,2019-09-19,15:25:00,EOD exit,57.300000000000004,0.574,1875,106361.25000000001,2.127225,2019,9,78.6,0.05,2.14875,51.5625
2019-09-18,Wednesday,2019-09-19,1,10850,P,58.05,11:10:00,68.1,40.82,68.1,2019-09-19,09:20:00,SL hit,-10.049999999999997,1.2614999999999998,7350,-83139.52499999998,-1.6627904999999994,2019,9,80.2,26.6,4.62315,199.36875
2019-09-20,Friday,2019-09-26,6,10700,P,11.6,12:35:00,88.6,0.08499999999999999,0.05,2019-09-26,15:25:00,EOD exit,11.549999999999999,0.1165,1275,14577.712499999998,0.29155424999999996,2019,9,12.75,0.05,0.2945249999999999,34.106249999999996
2019-09-23,Monday,2019-09-26,3,11550,C,121.25,14:40:00,183.0,0.0,22.7,2019-09-26,15:25:00,EOD exit,98.55,1.4395,1650,160232.325,3.2046465000000004,2019,9,164.75,9.0,3.70425,47.643750000000004
2019-09-27,Friday,2019-10-03,6,11600,C,78.8,12:35:00,108.8,0.0,0.05,2019-10-03,15:20:00,EOD exit,78.75,0.7885,3300,257272.95,5.145459,2019,10,93.0,0.05,5.1975,95.7
2019-09-27,Friday,2019-10-03,6,11550,P,86.5,13:15:00,114.9,92.485,114.9,2019-09-30,09:15:00,SL hit,-28.400000000000006,2.0140000000000002,3525,-107209.35000000002,-2.1441870000000005,2019,9,118.5,65.1,1.5087000000000004,101.784375
2019-09-30,Monday,2019-10-03,3,11450,P,44.25,15:05:00,95.5,43.425,95.5,2019-10-01,13:45:00,SL hit,-51.25,1.3975,1950,-102662.625,-2.0532525,2019,10,108.9,14.4,1.16415,55.818749999999994
