,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
68,finnifty,20250,P,2023-09-12,2023-09-12 14:00:00,BUY,2023-09-12 14:05:00,8.95,4.85,4.85,2023-09-12 14:10:00,4.85,-4.1,0.207,-4.307,-26262.19512195122,Initial SL Hit,6097.5609756097565,-1.0504878048780486,2023,9
69,finnifty,20250,P,2023-09-12,2023-09-12 14:45:00,BUY,2023-09-12 14:50:00,3.6,0.9,0.9,2023-09-12 14:55:00,0.9,-2.7,0.0675,-2.7675,-25625.0,Initial SL Hit,9259.25925925926,-1.025,2023,9
70,finnifty,20450,P,2023-09-18,2023-09-18 14:50:00,BUY,2023-09-18 14:55:00,16.95,4.25,25.040000000000003,2023-09-18 15:20:00,39.95,23.000000000000004,0.8535,22.146500000000003,43595.47244094489,EOD Exit,1968.503937007874,1.7438188976377955,2023,9
71,finnifty,19850,P,2023-09-26,2023-09-26 13:55:00,BUY,2023-09-26 14:00:00,38.8,21.45,49.190000000000005,2023-09-26 15:20:00,51.05,12.25,1.3477499999999998,10.90225,15709.293948126804,EOD Exit,1440.922190201729,0.6283717579250722,2023,9
25,finnifty,19750,C,2023-10-03,2023-10-03 13:50:00,BUY,2023-10-03 13:55:00,20.4,3.05,8.06875,2023-10-03 14:05:00,4.15,-16.25,0.3682499999999999,-16.61825,-23945.60518731989,TSL Hit,1440.922190201729,-0.9578242074927956,2023,10
72,finnifty,19750,P,2023-10-03,2023-10-03 14:10:00,BUY,2023-10-03 14:15:00,37.6,14.75,32.1,2023-10-03 14:50:00,29.6,-8.0,1.008,-9.008,-9855.57986870897,TSL Hit,1094.0919037199124,-0.3942231947483588,2023,10
26,finnifty,19900,C,2023-10-10,2023-10-10 13:50:00,BUY,2023-10-10 13:55:00,13.55,10.6,10.6,2023-10-10 14:05:00,10.6,-2.950000000000001,0.3622499999999999,-3.312250000000001,-28069.915254237287,Initial SL hit,8474.576271186437,-1.1227966101694915,2023,10
27,finnifty,19900,C,2023-10-10,2023-10-10 14:10:00,BUY,2023-10-10 14:15:00,5.9,3.5,3.5,2023-10-10 14:30:00,3.5,-2.4000000000000004,0.141,-2.5410000000000004,-26468.75,Initial SL Hit,10416.666666666664,-1.05875,2023,10
73,finnifty,19850,P,2023-10-10,2023-10-10 15:00:00,BUY,2023-10-10 15:05:00,14.85,3.55,10.580000000000002,2023-10-10 15:20:00,13.35,-1.5,0.423,-1.923,-4254.424778761061,EOD Exit,2212.389380530973,-0.1701769911504424,2023,10
74,finnifty,19950,P,2023-10-17,2023-10-17 13:55:00,BUY,2023-10-17 14:00:00,11.35,7.8,13.74,2023-10-17 14:35:00,13.35,2.0,0.3705,1.6295,11475.352112676055,TSL Hit,7042.253521126761,0.4590140845070423,2023,10
