Entry Time,Entry Date,ROI% MACD,ROI% MTrend,Dates 1,Dates,,,,ROI% PF
2017-03-10 12:45:00,2017-03-10,-0.2364003411,,10/03/2017,05/06/2017,0.0590802147,0,0,0.02954010735
2017-03-10 14:15:00,2017-03-10,2.65172082,,10/03/2017,06/06/2017,-0.2555360574,0,0,-0.1277680287
2017-03-10 15:15:00,2017-03-10,2.62110072,,10/03/2017,07/06/2017,-1.86149194,0,0,-0.9307459702
2017-03-10 15:15:00,2017-03-10,1.502946922,,10/03/2017,08/06/2017,0,1.146896552,1.720344828,0.8601724138
2017-03-14 11:15:00,2017-03-14,-0.188053815,,14/03/2017,09/06/2017,-0.7323725548,0,0,-0.3661862774
2017-03-15 09:45:00,2017-03-15,0.1809384084,,15/03/2017,12/06/2017,-0.07725141135,0,0,-0.03862570567
2017-03-16 11:15:00,2017-03-16,-0.1897912163,,16/03/2017,13/06/2017,-1.00278709,0,0,-0.5013935452
2017-03-24 09:45:00,2017-03-24,-0.1543681725,,24/03/2017,15/06/2017,0,0.9751094891,1.462664234,0.7313321168
2017-03-24 10:15:00,2017-03-24,-0.707487491,,24/03/2017,16/06/2017,2.131552408,0,0,1.065776204
2017-03-24 10:15:00,2017-03-24,-0.5216313166,,24/03/2017,19/06/2017,-0.3100036971,0,0,-0.1550018486
2017-03-24 12:15:00,2017-03-24,-0.9901317217,,24/03/2017,20/06/2017,-0.3842359839,0,0,-0.192117992
2017-03-24 12:15:00,2017-03-24,-0.364473163,,24/03/2017,21/06/2017,-0.295829699,0,0,-0.1479148495
2017-03-27 13:15:00,2017-03-27,1.827837647,,27/03/2017,22/06/2017,-1.330267119,6.218252046,9.327378069,3.998555475
2017-03-27 13:15:00,2017-03-27,2.617117659,,27/03/2017,23/06/2017,-0.99454473,0,0,-0.497272365
2017-03-27 14:15:00,2017-03-27,1.671295347,,27/03/2017,29/06/2017,-1.08083917,-5.268464737,-7.902697105,-4.491768138
2017-03-28 12:15:00,2017-03-28,1.266985009,,28/03/2017,03/07/2017,5.959371996,0,0,2.979685998
