time,open,high,low,close
2019-08-12T21:00:00+05:30,43636,43720,43537,43625
2019-08-13T09:00:00+05:30,43850,44408,43850,44355
2019-08-13T13:00:00+05:30,44358,44584,44343,44496
2019-08-13T17:00:00+05:30,44491,44533,42042,43262
2019-08-13T21:00:00+05:30,43262,43263,42924,43074
2019-08-14T09:00:00+05:30,43156,43480,42981,43348
2019-08-14T13:00:00+05:30,43370,43783,43360,43650
2019-08-14T17:00:00+05:30,43645,44308,43530,44071
2019-08-14T21:00:00+05:30,44071,44230,43973,44150
2019-08-16T09:00:00+05:30,44119,44130,43750,43759
2019-08-16T13:00:00+05:30,43755,44069,43552,43822
2019-08-16T17:00:00+05:30,43822,43966,43514,43666
2019-08-16T21:00:00+05:30,43676,43850,43651,43840
2019-08-19T09:00:00+05:30,43552,43580,43370,43516
2019-08-19T13:00:00+05:30,43506,43520,43230,43276
2019-08-19T17:00:00+05:30,43279,43599,43154,43460
2019-08-19T21:00:00+05:30,43472,43550,43362,43370
2019-08-20T09:00:00+05:30,43379,43550,43186,43525
2019-08-20T13:00:00+05:30,43517,43722,43483,43670
2019-08-20T17:00:00+05:30,43668,43899,43536,43750
2019-08-20T21:00:00+05:30,43728,43991,43723,43925
2019-08-21T09:00:00+05:30,43706,43795,43558,43600
2019-08-21T13:00:00+05:30,43596,43772,43540,43737
2019-08-21T17:00:00+05:30,43731,43770,43565,43723
2019-08-21T21:00:00+05:30,43723,43880,43641,43794
2019-08-22T09:00:00+05:30,43666,43804,43643,43691
2019-08-22T13:00:00+05:30,43690,43842,43630,43693
2019-08-22T17:00:00+05:30,43695,44050,43608,43969
2019-08-22T21:00:00+05:30,43966,43970,43856,43875
2019-08-23T09:00:00+05:30,43776,43842,43625,43716
2019-08-23T13:00:00+05:30,43732,43785,43670,43750
2019-08-23T17:00:00+05:30,43750,44621,43735,44490
2019-08-23T21:00:00+05:30,44499,44627,44410,44590
2019-08-26T09:00:00+05:30,45086,45348,44900,45100
2019-08-26T13:00:00+05:30,45110,45152,44765,45005
2019-08-26T17:00:00+05:30,45008,45376,44913,45145
2019-08-26T21:00:00+05:30,45145,45150,44945,45093
2019-08-27T09:00:00+05:30,45067,45427,44967,45161
2019-08-27T13:00:00+05:30,45165,45217,44975,45160
2019-08-27T17:00:00+05:30,45149,45720,45125,45716
2019-08-27T21:00:00+05:30,45724,46026,45674,46006
2019-08-28T09:00:00+05:30,45825,46483,45750,46410
2019-08-28T13:00:00+05:30,46426,46630,46315,46600
2019-08-28T17:00:00+05:30,46610,46925,46150,46431
2019-08-28T21:00:00+05:30,46437,46694,46355,46609
2019-08-29T09:00:00+05:30,46455,47440,46455,47340
2019-08-29T13:00:00+05:30,47340,47340,46888,47060
2019-08-29T17:00:00+05:30,47067,47369,46930,46959
2019-08-29T21:00:00+05:30,46949,46999,45901,46260
2019-08-30T09:00:00+05:30,47690,48215,47643,47846
2019-08-30T13:00:00+05:30,47835,48122,47797,47844
2019-08-30T17:00:00+05:30,47837,48236,47733,48153
2019-08-30T21:00:00+05:30,48153,48153,47616,47760
2019-09-02T17:00:00+05:30,48132,48650,48115,48539
2019-09-02T21:00:00+05:30,48535,48680,48320,48645
2019-09-03T09:00:00+05:30,48545,48895,48394,48857
2019-09-03T13:00:00+05:30,48857,48970,48805,48872
2019-09-03T17:00:00+05:30,48873,50480,48813,50405
2019-09-03T21:00:00+05:30,50405,50688,50255,50564
2019-09-04T09:00:00+05:30,50688,51425,50688,50916
2019-09-04T13:00:00+05:30,50920,51034,50450,50815
2019-09-04T17:00:00+05:30,50820,51318,50675,50986
2019-09-04T21:00:00+05:30,50990,51489,50915,51434
2019-09-05T09:00:00+05:30,51188,51297,50915,51180
