Signal Generated At,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,Qty,ROI%,Trade Year,Trade Month
2022-09-01 09:15:00,2022-09-01 10:15:00,7443.05,7351.2,7457.5625,2022-09-02 14:15:00,7431.5,-11.55,-12.705,644.8969173,-0.8193415334,2022,9
2022-09-05 11:15:00,2022-09-05 12:15:00,7462.95,7450.8,7450.8,2022-09-05 13:15:00,7450.8,-12.15,-13.365,643.1772958,-0.8596064559,2022,9
2022-09-06 10:15:00,2022-09-06 11:15:00,7490.4,7469.4,7483.5125,2022-09-06 15:15:00,7480.25,-10.15,-11.165,640.8202499,-0.715475809,2022,9
2022-09-07 11:15:00,2022-09-07 12:15:00,7476.3,7451.2,7551.2375,2022-09-08 13:15:00,7547.55,71.25,64.125,642.028811,4.117009751,2022,9
2022-09-09 12:15:00,2022-09-09 13:15:00,7579.05,7556.55,7674.6875,2022-09-13 12:15:00,7672.3,93.25,83.925,633.3247571,5.315178024,2022,9
2022-09-14 10:15:00,2022-09-14 11:15:00,7626.35,7601.95,7601.95,2022-09-15 10:15:00,7601.95,-24.4,-26.84,629.3967625,-1.689300911,2022,9
2022-09-15 11:15:00,2022-09-15 12:15:00,7622.5,7596,7596,2022-09-16 12:15:00,7596,-26.5,-29.15,629.7146605,-1.835618235,2022,9
2022-09-30 13:15:00,2022-09-30 14:15:00,7193.3,7158.25,7188.0125,2022-10-03 12:15:00,7181.2,-12.1,-13.31,667.2876149,-0.8881598154,2022,9
2022-10-04 11:15:00,2022-10-04 12:15:00,7291.4,7255.35,7440.3875,2022-10-07 09:15:00,7394.05,102.65,92.385,658.3097896,6.081794991,2022,10
2022-10-07 11:15:00,2022-10-07 12:15:00,7374.5,7345.7,7345.7,2022-10-10 14:15:00,7345.7,-28.8,-31.68,650.8915859,-2.062024544,2022,10
2022-10-18 09:15:00,2022-10-18 10:15:00,7333.85,7286.65,7347.93125,2022-10-20 10:15:00,7302.6,-31.25,-34.375,654.4993421,-2.249841488,2022,10
2022-10-20 13:15:00,2022-10-20 14:15:00,7299.05,7278.55,7312.59375,2022-10-21 11:15:00,7310.35,11.3,10.17,657.6198272,0.6687993643,2022,10
2022-10-27 14:15:00,2022-10-27 15:15:00,7334.65,7289.9,7289.9,2022-10-28 09:15:00,7289.9,-44.75,-49.225,654.427955,-3.221421608,2022,10
2022-10-31 11:15:00,2022-10-31 12:15:00,7383.6,7371,7494.34375,2022-11-02 13:15:00,7477.75,94.15,84.735,650.0893873,5.508532423,2022,10
2022-11-02 15:15:00,2022-11-03 09:15:00,7496.05,7481.25,7481.25,2022-11-03 11:15:00,7481.25,-14.8,-16.28,640.3372443,-1.042469034,2022,11
2022-11-03 13:15:00,2022-11-03 14:15:00,7490.4,7468.6,7468.6,2022-11-04 09:15:00,7468.6,-21.8,-23.98,640.8202499,-1.536686959,2022,11
2022-11-04 11:15:00,2022-11-04 12:15:00,7450.6,7434.6,7434.6,2022-11-04 14:15:00,7434.6,-16,-17.6,644.2434166,-1.133868413,2022,11
2022-11-23 10:15:00,2022-11-23 11:15:00,7253.75,7239.15,7372.35,2022-11-28 15:15:00,7369.4,115.65,104.085,661.7266931,6.887582285,2022,11
2022-11-29 12:15:00,2022-11-29 13:15:00,7338.15,7323,7323,2022-11-29 14:15:00,7323,-15.15,-16.665,654.1158194,-1.090084013,2022,11
2022-11-30 11:15:00,2022-11-30 12:15:00,7344.95,7334.05,7441.94375,2022-12-02 09:15:00,7434.15,89.2,80.28,653.5102349,5.246380166,2022,11
