time,open,high,low,close,MA,MA,EMA
2012-10-09,11442.75,11528.35,11373.7,11446.1,10729.757661538464,10896.598100000001,11134.093103035302
2012-10-10,11380.25,11380.25,11271.15,11291.5,10780.62111538462,10944.648100000002,11149.08423607956
2012-10-11,11334.9,11476.95,11244.7,11431.3,10830.744192307697,10998.280792307694,11175.961927881506
2012-10-12,11469.2,11527.15,11372.1,11388.45,10886.715361538467,11055.7481,11196.198887130886
2012-10-15,11397.7,11454.8,11288.4,11441.8,10943.421138461543,11112.609623076927,11219.589469308896
2012-10-16,11495.5,11508.5,11328.25,11348,11000.994230769234,11172.650000000003,11231.819043660429
2012-10-17,11417.1,11425.45,11302.9,11358.25,11049.70384615385,11222.29230769231,11243.86008712134
2012-10-18,11406.45,11594.6,11364.2,11586.35,11100.586538461543,11276.62884615385,11276.478174062166
2012-10-19,11539.05,11605.65,11424.25,11491.2,11155.115384615388,11332.45384615385,11296.927871770531
2012-10-22,11422.1,11619.25,11419.4,11607.4,11205.492307692311,11386.119230769234,11326.496645887622
2012-10-23,11605.8,11656.8,11534.55,11578.15,11257.926923076926,11439.865384615388,11350.463631993563
2012-10-25,11542.3,11643.4,11542.3,11614.5,11301.544230769234,11477.513461538465,11375.609952756082
2012-10-26,11580.85,11631.25,11468.25,11509.15,11327.357692307696,11500.044230769236,11388.328052493598
2012-10-29,11506.5,11585.8,11431.95,11472.15,11346.944230769235,11520.075000000004,11396.311095113255
2012-10-30,11467.2,11600.05,11173.8,11203,11357.975000000004,11541.930769230774,11377.900514626279
2012-10-31,11204.95,11290,11125.2,11268.8,11363.82307692308,11536.426923076926,11367.509989423776
2012-11-01,11266.5,11349.4,11230.2,11315.05,11358.857692307696,11529.336538461543,11362.513799954844
2012-11-02,11450.65,11477.55,11394.15,11460.45,11361.663461538466,11527.794230769234,11371.841057102001
2012-11-05,11449.7,11489.3,11401.3,11475.15,11364.70384615385,11529.650000000005,11381.680004044667
2012-11-06,11427.95,11568.45,11427.95,11539.05,11366.611538461544,11532.657692307695,11396.66762270708
2012-11-07,11545.35,11719.1,11519.6,11665.5,11369.753846153852,11539.66730769231,11422.270706258787
2012-11-08,11561.35,11637.95,11533.3,11613.55,11376.173076923082,11546.278846153851,11440.487781853188
2012-11-09,11608.8,11663.9,11427.2,11475.6,11378.694230769235,11553.66538461539,11443.831802629074
2012-11-12,11488.1,11608.8,11462.3,11583.85,11378.776923076926,11550.713461538466,11457.166869045353
2012-11-13,11585.3,11598.25,11513.4,11533.9,11381.436538461541,11545.061538461541,11464.47478627913
2012-11-15,11493.1,11530.25,11419.05,11521.4,11384.36730769231,11545.046153846159,11469.896235204928
2012-11-16,11487.55,11537.15,11306.05,11335.5,11381.765384615388,11545.38461538462,11457.09659375684
2012-11-19,11342.65,11378.25,11256.4,11306.95,11381.19807692308,11545.307692307697,11442.79691816095
2012-11-20,11373.95,11409.8,11269.7,11318.3,11382.159615384619,11542.725000000006,11430.940068812288
2012-11-21,11352.2,11477.35,11303.75,11465.35,11379.53076923077,11540.809615384622,11434.21720511588
2012-11-22,11497.35,11570.85,11495.05,11508.35,11387.478846153846,11545.273076923082,11441.27747129532
2012-11-23,11540.6,11549,11392,11475.8,11389.93076923077,11546.830769230775,11444.565331171956
2012-11-26,11534.2,11534.2,11411.1,11432.45,11394.092307692306,11551.013461538467,11443.411490107961
2012-11-27,11502.2,11663.5,11502.2,11657.4,11399.399999999998,11553.663461538466,11463.791348192917
2012-11-29,11706.9,12035.4,11703.25,11992.8,11410.130769230767,11570.192307692312,11514.173124555497
2012-11-30,12082.55,12175.3,12001.15,12158.9,11432.505769230771,11591.57884615385,11575.575684121639
2012-12-03,12126.6,12165.65,12053.45,12103.9,11452.46346153846,11611.150000000005,11625.892285633863
2012-12-04,12092.75,12215.5,12075.9,12197.15,11472.986538461539,11633.153846153853,11680.297782240163
2012-12-05,12240.85,12314.8,12219.3,12281.6,11501.873076923077,11659.444230769237,11737.564660122052
2012-12-06,12358.35,12480.6,12142.6,12427.55,11529.205769230768,11693.859615384623,11803.277549634238
2012-12-07,12462.4,12477.85,12305.65,12363.7,11572.738461538462,11727.621153846163,11856.651116335739
2012-12-10,12380,12409.75,12341.15,12381.65,11619.505769230771,11770.68846153847,11906.65101001805
2012-12-11,12418.95,12538.9,12238,12344.6,11658.267307692307,11816.43846153847,11948.360437635378
2012-12-12,12374.7,12385.55,12271.35,12301.7,11692.005769230767,11851.361538461546,11982.011824527246
2012-12-13,12337.35,12438.85,12251.05,12269.15,11724.68846153846,11887.8826923077,12009.358317429413
2012-12-14,12247.25,12447.35,12242.8,12424.7,11756.028846153846,11921.686538461547,12048.91466815042
2012-12-17,12403.65,12462.25,12402.7,12427.45,11789.994230769229,11950.26923076924,12084.965652136096
2012-12-18,12455.7,12522.65,12197.2,12477.15,11815.528846153846,11984.29615384616,12122.31654240885
2012-12-19,12514,12571.6,12455.55,12510.25,11855.080769230768,12019.2076923077,12159.26258598896
2012-12-20,12514.6,12514.6,12385.1,12486.5,11890.573076923078,12054.04615384616,12190.42805399001
2012-12-21,12423.6,12432.2,12288.9,12315.05,11920.400000000001,12086.12115384616,12202.296810752867
2012-12-24,12363.85,12366.25,12265.75,12317.7,11952.965384615383,12118.275000000007,12213.287590681166
2012-12-26,12350.25,12519,12304.7,12479.45,11991.375,12156.038461538468,12238.636391568674
2012-12-27,12516.05,12523.5,12436.65,12459.7,12036.76923076923,12200.086538461543,12259.690068562133
2012-12-28,12494.15,12494.15,12394.15,12458.15,12080.017307692307,12241.792307692314,12278.591014413358
2012-12-31,12442.85,12512.7,12427.7,12474.25,12123.246153846154,12281.613461538467,12297.225203516848
2013-01-01,12549.95,12663.5,12547.15,12654.15,12163.71153846154,12323.638461538467,12331.218041277149
2013-01-02,12748.85,12811.45,12748.85,12786.85,12215.898076923078,12372.194230769237,12374.611561155516
2013-01-03,12828.3,12837.8,12722.45,12778.15,12266.334615384618,12422.332692307698,12413.04379342642
2013-01-04,12774.8,12801.7,12684.65,12787.35,12311.813461538464,12466.109615384621,12448.692003576283
2013-01-07,12837.45,12837.45,12682.8,12708.7,12349.488461538464,12496.957692307695,12473.454669902352
2013-01-08,12693.6,12743.95,12632.35,12725.5,12373.765384615386,12518.82884615385,12497.45898705451
2013-01-09,12724.4,12791.7,12687.95,12718,12398.169230769234,12542.907692307695,12518.462893049318
2013-01-10,12775.25,12822.8,12697.75,12802.25,12422.08653846154,12566.26538461539,12545.49023656843
2013-01-11,12832.45,12834.55,12582.65,12617.85,12436.061538461541,12586.255769230775,12552.381642609533
2013-01-14,12622.05,12773.35,12609.9,12758.75,12454.034615384619,12597.51538461539,12572.035771884815
2013-01-15,12766.55,12908.2,12718.4,12855.4,12469.909615384619,12614.067307692312,12599.022841229118
2013-01-16,12836.2,12836.2,12616.2,12638.5,12480.488461538464,12630.469230769235,12602.782570635869
2013-01-17,12608.85,12714.6,12583.35,12649.6,12493.771153846155,12637.226923076927,12607.241373432453
2013-01-18,12688.15,12778.35,12624.4,12680,12507.350000000002,12652.334615384618,12614.170766438885
2013-01-21,12678,12690.4,12608.5,12651.35,12521.09807692308,12662.009615384617,12617.711645825659
2013-01-22,12640.4,12748.95,12544.4,12574.35,12532.69807692308,12673.609615384617,12613.581965270834
2013-01-23,12635.25,12695.95,12509.45,12635.2,12536.803846153849,12682.59807692308,12615.640825721232
2013-01-24,12624.45,12662.85,12534.25,12561.4,12549.767307692311,12687.990384615387,12610.4750327954
2013-01-25,12575.85,12717.9,12535.75,12693.25,12552.851923076923,12693.61730769231,12618.358363005362
2013-01-28,12705.8,12822.05,12698.85,12781.35,12564.919230769232,12705.442307692309,12633.88137605247
2013-01-29,12804.4,12960.65,12685.9,12722.8,12580.188461538462,12725.767307692311,12642.349816428425
2013-01-30,12754.85,12825.65,12726.65,12767.5,12597.915384615386,12743.436538461541,12654.26888153048
2013-01-31,12741.3,12852.5,12688.75,12708.6,12612.68653846154,12756.263461538465,12659.443273765672
2013-02-01,12718.55,12743.2,12580.85,12606.25,12618.232692307693,12764.713461538466,12654.37724769275
2013-02-04,12656.85,12723.3,12515.35,12548.35,12622.89423076923,12773.526923076926,12644.279414579154
2013-02-05,12426.45,12501.5,12415.15,12467.75,12622.411538461536,12773.096153846158,12627.46708938114
2013-02-06,12525.4,12525.4,12396.8,12417.7,12616.628846153846,12767.78461538462,12607.48927134484
2013-02-07,12372.5,12474.5,12305.45,12349.3,12599.574999999999,12754.825000000004,12582.899816931047
2013-02-08,12341.45,12389.8,12245.95,12280.15,12581.248076923075,12737.594230769235,12554.066501032852
2013-02-11,12298.1,12361.1,12273.65,12333,12565.440384615384,12720.648076923082,12533.012548553534
2013-02-12,12331.4,12415.8,12301.65,12405.25,12550.780769230769,12704.430769230776,12520.84468678653
2013-02-13,12424.95,12485.95,12361.9,12385.1,12540.378846153846,12694.5076923077,12507.916621378288
2013-02-14,12400.65,12434,12284.5,12311.3,12524.861538461537,12680.750000000007,12489.19122886607
2013-02-15,12284.45,12373.15,12256.8,12336.55,12507.90192307692,12663.455769230777,12474.653968974062
2013-02-18,12353,12399.85,12329.35,12347.2,12498.159615384615,12646.736538461546,12462.515495738437
2013-02-19,12347.55,12426.9,12303.7,12413.65,12486.38269230769,12633.411538461545,12457.861639001443
2013-02-20,12460.4,12470.7,12351.7,12363.7,12472.278846153846,12616.584615384623,12448.893863858448
2013-02-21,12295.15,12301.25,12036.45,12055.5,12449.98076923077,12596.009615384623,12411.427781586215
2013-02-22,12024.4,12139.65,12024.4,12068.95,12428.482692307693,12573.89615384616,12378.810850006575
2013-02-25,12119.95,12137.85,11961.5,12037.3,12402.986538461537,12549.261538461546,12346.286007148807
2013-02-26,11995,11995,11808.8,11844.85,12372.228846153846,12522.51538461539,12298.530196944159
2013-02-27,11882.7,11971.35,11838.35,11930.5,12345.073076923076,12492.607692307698,12263.479701997096
2013-02-28,12007,12041.45,11401.2,11487.35,12302.448076923076,12467.43461538462,12189.562587521183
2013-03-01,11533.05,11592.55,11458.7,11540.05,12261.08076923077,12426.269230769236,12127.7042458525
2013-03-04,11515.4,11602.5,11453.1,11575.6,12219.440384615385,12383.369230769236,12075.122889104643
2013-03-05,11642.8,11814.05,11623.65,11792.05,12178.086538461539,12344.600000000006,12048.163566332772
