time,open,high,low,close,Long Signal,Short Signal,MA 25,MA 50,MA 100,MA,MA,MA
2024-07-08T12:15:00+05:30,52285.1,52363.55,52246.7,52347.6,0,0,52458.62199999995,52506.022000000085,52527.623999999996,52527.623999999996,52506.022000000085,52458.62199999995
2024-07-08T12:20:00+05:30,52347,52357.3,52329.35,52356.5,0,0,52449.489999999954,52503.725000000086,52527.536499999995,52527.536499999995,52503.725000000086,52449.489999999954
2024-07-08T12:25:00+05:30,52352.4,52357.25,52316.25,52334.6,0,0,52438.689999999966,52500.645000000084,52527.094999999994,52527.094999999994,52500.645000000084,52438.689999999966
2024-07-08T12:30:00+05:30,52340.5,52357.05,52319.1,52339.7,0,0,52425.967999999964,52497.08700000009,52525.91249999999,52525.91249999999,52497.08700000009,52425.967999999964
2024-07-08T12:35:00+05:30,52345.7,52382.4,52338.8,52347.1,0,0,52419.98199999997,52494.05300000008,52524.658999999985,52524.658999999985,52494.05300000008,52419.98199999997
2024-07-08T12:40:00+05:30,52347.65,52371.6,52337,52350.9,0,0,52411.99599999997,52491.28300000008,52523.139999999985,52523.139999999985,52491.28300000008,52411.99599999997
2024-07-08T12:45:00+05:30,52350.6,52377.05,52340.95,52354.7,0,0,52403.653999999966,52488.74400000008,52521.57249999999,52521.57249999999,52488.74400000008,52403.653999999966
2024-07-08T12:50:00+05:30,52356.15,52392.45,52351.35,52378.25,0,0,52396.655999999966,52486.21600000008,52519.29199999999,52519.29199999999,52486.21600000008,52396.655999999966
2024-07-08T12:55:00+05:30,52380.3,52416.55,52373.25,52410.3,0,0,52392.41599999996,52482.00400000008,52517.37349999999,52517.37349999999,52482.00400000008,52392.41599999996
2024-07-08T13:00:00+05:30,52410.55,52423.05,52369.85,52391.75,0,0,52387.71599999996,52475.43800000008,52515.32699999999,52515.32699999999,52475.43800000008,52387.71599999996
2024-07-08T13:05:00+05:30,52394.8,52433.65,52381.05,52410.45,0,0,52385.18599999996,52469.93100000008,52513.67649999999,52513.67649999999,52469.93100000008,52385.18599999996
2024-07-08T13:10:00+05:30,52415.2,52437.1,52387.6,52389.8,0,0,52382.80199999995,52464.209000000075,52512.00099999999,52512.00099999999,52464.209000000075,52382.80199999995
2024-07-08T13:15:00+05:30,52395.25,52447.15,52383.95,52414.45,0,0,52381.351999999955,52459.05900000008,52510.56449999999,52510.56449999999,52459.05900000008,52381.351999999955
2024-07-08T13:20:00+05:30,52415.85,52437.25,52406.55,52432.45,0,0,52380.81599999995,52455.04500000007,52509.335,52509.335,52455.04500000007,52380.81599999995
2024-07-08T13:25:00+05:30,52434.45,52435.9,52365.4,52370.15,0,1,52378.053999999946,52454.52800000007,52506.998,52506.998,52454.52800000007,52378.053999999946
2024-07-08T13:30:00+05:30,52371.3,52383.1,52333.8,52365.6,0,1,52375.21999999994,52449.71000000007,52504.5585,52504.5585,52449.71000000007,52375.21999999994
2024-07-08T13:35:00+05:30,52367.8,52390.55,52348.15,52384.9,0,0,52373.04399999996,52445.41900000008,52502.13249999999,52502.13249999999,52445.41900000008,52373.04399999996
2024-07-08T13:40:00+05:30,52386,52396.4,52365.05,52377.9,0,0,52371.27399999995,52440.37500000009,52499.426499999994,52499.426499999994,52440.37500000009,52371.27399999995
2024-07-08T13:45:00+05:30,52379.6,52408.8,52364.15,52404.5,0,0,52374.42799999995,52435.96800000008,52497.198,52497.198,52435.96800000008,52374.42799999995
2024-07-08T13:50:00+05:30,52405.7,52514.5,52395.2,52511.05,0,0,52380.689999999944,52436.96000000009,52496.1075,52496.1075,52436.96000000009,52380.689999999944
2024-07-08T13:55:00+05:30,52502.45,52518.25,52443.3,52472.25,0,0,52383.193999999945,52437.262000000075,52494.8975,52494.8975,52437.262000000075,52383.193999999945
2024-07-08T14:00:00+05:30,52474.9,52502.7,52423.65,52461.95,0,0,52386.03199999995,52437.74400000008,52493.777,52493.777,52437.74400000008,52386.03199999995
2024-07-08T14:05:00+05:30,52470.15,52485.75,52440.05,52449.45,0,0,52388.197999999946,52437.80700000007,52492.5085,52492.5085,52437.80700000007,52388.197999999946
2024-07-08T14:10:00+05:30,52451,52455.1,52416.5,52430.85,0,0,52390.831999999944,52434.652000000075,52491.1795,52491.1795,52434.652000000075,52390.831999999944
2024-07-08T14:15:00+05:30,52436.45,52485.25,52423.45,52442.3,0,0,52397.17799999995,52432.175000000076,52490.09199999999,52490.09199999999,52432.175000000076,52397.17799999995
2024-07-08T14:20:00+05:30,52445.85,52466.65,52410.85,52449.4,0,0,52401.249999999956,52429.936000000074,52489.00049999999,52489.00049999999,52429.936000000074,52401.249999999956
2024-07-08T14:25:00+05:30,52447.9,52498.65,52440.9,52498.65,0,0,52406.93599999995,52428.213000000076,52487.87299999999,52487.87299999999,52428.213000000076,52406.93599999995
2024-07-08T14:30:00+05:30,52498.75,52508.95,52464.6,52480.8,0,0,52412.78399999995,52425.737000000074,52486.89949999999,52486.89949999999,52425.737000000074,52412.78399999995
2024-07-08T14:35:00+05:30,52480.7,52481,52432.85,52471.1,0,0,52418.03999999994,52422.00400000008,52485.46099999999,52485.46099999999,52422.00400000008,52418.03999999994
2024-07-08T14:40:00+05:30,52471.95,52473.75,52377.35,52382.3,0,0,52419.447999999946,52419.71500000008,52483.45799999999,52483.45799999999,52419.71500000008,52419.447999999946
2024-07-08T14:45:00+05:30,52384.05,52413.85,52348.75,52367.1,0,0,52420.09599999994,52416.04600000007,52481.11299999999,52481.11299999999,52416.04600000007,52420.09599999994
2024-07-08T14:50:00+05:30,52371.2,52403.45,52352.75,52385.85,0,0,52421.341999999946,52412.49800000007,52478.871999999996,52478.871999999996,52412.49800000007,52421.341999999946
2024-07-08T14:55:00+05:30,52386.65,52447.55,52367.4,52396.85,0,0,52422.08599999994,52409.37100000007,52477.003999999986,52477.003999999986,52409.37100000007,52422.08599999994
2024-07-08T15:00:00+05:30,52393.85,52480.7,52386.35,52404.7,0,0,52421.86199999994,52407.13900000007,52475.22799999999,52475.22799999999,52407.13900000007,52421.86199999994
2024-07-08T15:05:00+05:30,52403.8,52432.65,52392.95,52418.6,0,0,52422.93599999995,52405.326000000074,52473.41199999999,52473.41199999999,52405.326000000074,52422.93599999995
2024-07-08T15:10:00+05:30,52420.8,52424,52383.95,52400.55,0,1,52422.53999999994,52403.86300000007,52471.903999999995,52471.903999999995,52403.86300000007,52422.53999999994
2024-07-08T15:15:00+05:30,52401.1,52421.85,52377.3,52395.25,0,0,52422.75799999994,52402.780000000064,52470.850999999995,52470.850999999995,52402.780000000064,52422.75799999994
2024-07-08T15:20:00+05:30,52396.35,52483.95,52394.2,52480.9,0,0,52425.41599999994,52403.38400000007,52470.6305,52470.6305,52403.38400000007,52425.41599999994
2024-07-08T15:25:00+05:30,52479.75,52507.8,52456.15,52470.05,0,0,52426.91999999995,52403.86800000006,52470.2065,52470.2065,52403.86800000006,52426.91999999995
2024-07-09T09:15:00+05:30,52401.7,52586.3,52292.95,52559.6,1,0,52434.49799999994,52406.27600000007,52470.5925,52470.5925,52406.27600000007,52434.49799999994
2024-07-09T09:20:00+05:30,52558.8,52564.15,52478.25,52555.65,0,0,52442.09999999995,52408.66000000006,52470.501500000006,52470.501500000006,52408.66000000006,52442.09999999995
2024-07-09T09:25:00+05:30,52555.5,52572.6,52494.25,52503.35,0,0,52446.837999999945,52409.941000000064,52469.9415,52469.9415,52409.941000000064,52446.837999999945
2024-07-09T09:30:00+05:30,52501.5,52553.65,52442.65,52545.3,1,0,52453.53399999995,52412.40400000007,52470.337999999996,52470.337999999996,52412.40400000007,52453.53399999995
2024-07-09T09:35:00+05:30,52541.65,52562.05,52498.4,52562.05,0,0,52459.83599999995,52417.13200000007,52471.124,52471.124,52417.13200000007,52459.83599999995
2024-07-09T09:40:00+05:30,52556.75,52568.15,52527.9,52530.8,0,0,52460.62599999995,52420.65800000006,52471.43050000001,52471.43050000001,52420.65800000006,52460.62599999995
2024-07-09T09:45:00+05:30,52529.05,52545.35,52435.05,52451.35,0,0,52459.78999999995,52421.492000000064,52471.011000000006,52471.011000000006,52421.492000000064,52459.78999999995
2024-07-09T09:50:00+05:30,52450.4,52474.6,52422.5,52454.1,0,0,52459.47599999995,52422.754000000066,52470.53050000001,52470.53050000001,52422.754000000066,52459.47599999995
2024-07-09T09:55:00+05:30,52453.4,52494.35,52447.15,52488.45,0,0,52461.03599999995,52424.617000000064,52470.37550000001,52470.37550000001,52424.617000000064,52461.03599999995
2024-07-09T10:00:00+05:30,52493.45,52520.7,52473.75,52478.7,0,0,52462.94999999995,52426.89100000007,52470.036000000015,52470.036000000015,52426.89100000007,52462.94999999995
2024-07-09T10:05:00+05:30,52479.95,52491.45,52416.35,52446.35,0,0,52463.11199999996,52430.14500000006,52469.36500000001,52469.36500000001,52430.14500000006,52463.11199999996
2024-07-09T10:10:00+05:30,52443.25,52523.3,52441.7,52490.15,1,0,52464.74199999995,52432.99600000007,52469.50900000001,52469.50900000001,52432.99600000007,52464.74199999995
2024-07-09T10:15:00+05:30,52490.85,52534.55,52488.7,52495,0,0,52464.59599999995,52435.76600000007,52469.74550000002,52469.74550000002,52435.76600000007,52464.59599999995
2024-07-09T10:20:00+05:30,52494.45,52515.35,52475,52485,0,0,52464.763999999945,52438.77400000007,52469.70950000002,52469.70950000002,52438.77400000007,52464.763999999945
2024-07-09T10:25:00+05:30,52479.7,52511.8,52477.65,52503.8,0,0,52466.07199999995,52442.05600000007,52469.57150000002,52469.57150000002,52442.05600000007,52466.07199999995
2024-07-09T10:30:00+05:30,52503.2,52525.35,52497.45,52501.85,0,0,52470.85399999994,52445.15100000007,52469.60200000001,52469.60200000001,52445.15100000007,52470.85399999994
2024-07-09T10:35:00+05:30,52501.3,52545.6,52493.9,52534.7,0,0,52477.55799999994,52448.82700000007,52470.05500000002,52470.05500000002,52448.82700000007,52477.55799999994
2024-07-09T10:40:00+05:30,52532.75,52568.25,52529.65,52555.5,0,0,52484.34399999994,52452.84300000007,52470.793500000014,52470.793500000014,52452.84300000007,52484.34399999994
2024-07-09T10:45:00+05:30,52552.75,52571.25,52541.6,52551.35,0,0,52490.52399999994,52456.305000000066,52471.26050000002,52471.26050000002,52456.305000000066,52490.52399999994
2024-07-09T10:50:00+05:30,52551.15,52574.55,52541.8,52566.6,0,0,52496.999999999935,52459.43100000007,52470.71750000002,52470.71750000002,52459.43100000007,52496.999999999935
2024-07-09T10:55:00+05:30,52562,52570.5,52533.7,52539.15,0,0,52501.821999999935,52462.379000000066,52468.90850000003,52468.90850000003,52462.379000000066,52501.821999999935
2024-07-09T11:00:00+05:30,52539.55,52568.5,52526.05,52535.5,0,0,52507.219999999936,52464.88000000006,52467.40550000002,52467.40550000002,52464.88000000006,52507.219999999936
2024-07-09T11:05:00+05:30,52537.1,52557.5,52502.85,52530.45,0,0,52512.62799999993,52467.69300000007,52465.95100000002,52465.95100000002,52467.69300000007,52512.62799999993
2024-07-09T11:10:00+05:30,52531.05,52548.85,52496.9,52527.9,0,0,52514.507999999936,52469.962000000065,52464.51050000003,52464.51050000003,52469.962000000065,52514.507999999936
2024-07-09T11:15:00+05:30,52529.75,52538.3,52512.8,52527.85,0,0,52516.819999999934,52471.870000000075,52463.45750000004,52463.45750000004,52471.870000000075,52516.819999999934
2024-07-09T11:20:00+05:30,52528.15,52562.55,52522.75,52533.65,0,0,52515.781999999934,52475.14000000007,52464.83400000004,52464.83400000004,52475.14000000007,52515.781999999934
2024-07-09T11:25:00+05:30,52526.3,52548.5,52515.4,52517.8,0,0,52514.267999999945,52478.18400000007,52463.94700000004,52463.94700000004,52478.18400000007,52514.267999999945
2024-07-09T11:30:00+05:30,52516.75,52554.7,52512.95,52543.65,0,0,52515.87999999995,52481.35900000007,52463.38900000004,52463.38900000004,52481.35900000007,52515.87999999995
2024-07-09T11:35:00+05:30,52545.75,52557.5,52535.4,52547.65,0,0,52515.97399999995,52484.754000000066,52462.56450000005,52462.56450000005,52484.754000000066,52515.97399999995
2024-07-09T11:40:00+05:30,52544.6,52620,52537.5,52617,0,0,52518.17199999995,52489.00400000008,52462.48600000004,52462.48600000004,52489.00400000008,52518.17199999995
2024-07-09T11:45:00+05:30,52615.85,52626.6,52582.1,52593.35,0,0,52520.67399999995,52490.650000000074,52463.80500000004,52463.80500000004,52490.650000000074,52520.67399999995
2024-07-09T11:50:00+05:30,52588.15,52597.7,52579.15,52587.15,0,0,52526.10599999995,52492.94800000007,52465.10500000004,52465.10500000004,52492.94800000007,52526.10599999995
2024-07-09T11:55:00+05:30,52588.25,52609,52581.45,52593.75,0,0,52531.69199999995,52495.58400000007,52466.66400000004,52466.66400000004,52495.58400000007,52531.69199999995
2024-07-09T12:00:00+05:30,52590.35,52596.6,52566.75,52566.75,0,0,52534.82399999995,52497.930000000066,52467.86850000004,52467.86850000004,52497.930000000066,52534.82399999995
2024-07-09T12:05:00+05:30,52567.8,52594,52558,52565.45,0,0,52538.29399999996,52500.62200000007,52467.63700000004,52467.63700000004,52500.62200000007,52538.29399999996
2024-07-09T12:10:00+05:30,52562.25,52572.05,52544.85,52560.8,0,0,52542.87199999995,52502.992000000064,52467.583500000044,52467.583500000044,52502.992000000064,52542.87199999995
2024-07-09T12:15:00+05:30,52557.9,52566.3,52526.1,52527.4,0,0,52544.36199999996,52504.55200000007,52467.24400000004,52467.24400000004,52504.55200000007,52544.36199999996
2024-07-09T12:20:00+05:30,52528.25,52549,52526.3,52537,0,0,52546.04199999996,52505.31900000007,52466.76600000004,52466.76600000004,52505.31900000007,52546.04199999996
2024-07-09T12:25:00+05:30,52536.95,52558.4,52532.45,52557.1,0,0,52548.92599999995,52506.84500000007,52466.29100000004,52466.29100000004,52506.84500000007,52548.92599999995
2024-07-09T12:30:00+05:30,52552.75,52562.65,52534.45,52551,0,0,52550.81399999995,52508.443000000065,52465.223500000044,52465.223500000044,52508.443000000065,52550.81399999995
2024-07-09T12:35:00+05:30,52550.7,52567.15,52541.05,52544.45,0,0,52552.51799999995,52511.686000000074,52465.70050000004,52465.70050000004,52511.686000000074,52552.51799999995
2024-07-09T12:40:00+05:30,52544.6,52558.6,52483.7,52493.95,0,0,52550.88799999995,52514.22300000006,52465.13450000005,52465.13450000005,52514.22300000006,52550.88799999995
