Total ROI,Total Trades,Win Rate,Avg Profit% per Trade,Avg Loss% per Trade,Max Drawdown,ROI/DD Ratio,Variation
0.7247766527695058,2,50.0,0.7247766527695058,,0.0,inf,"0, 0.25, 10:00:00, 11:45:00, 12:00:00"
1.3199775112443783,2,50.0,1.3199775112443783,,0.0,inf,"0, 0.25, 10:00:00, 11:45:00, 12:00:00"
0.0,2,0.0,,,,,"0, 0.25, 10:00:00, 11:45:00, 12:00:00"
0.27707112970711284,4,25.0,0.27707112970711284,,0.0,inf,"0, 0.25, 10:00:00, 11:45:00, 12:00:00"
3.0377752937209967,14,28.57142857142857,0.7594438234302492,,0.0,inf,"0, 0.25, 10:00:00, 11:45:00, 12:00:00"
0.0,2,0.0,,,,,"0, 0.25, 10:00:00, 12:00:00, 12:15:00"
1.5475461741424796,2,50.0,1.5475461741424796,,0.0,inf,"0, 0.25, 10:00:00, 12:00:00, 12:15:00"
0.0,2,0.0,,,,,"0, 0.25, 10:00:00, 12:00:00, 12:15:00"
-2.2455489809335965,2,0.0,,-2.2455489809335965,0.0,-inf,"0, 0.25, 10:00:00, 12:00:00, 12:15:00"
-2.1712634186622632,2,0.0,,-2.1712634186622632,0.0,-inf,"0, 0.25, 10:00:00, 12:00:00, 12:15:00"
-0.1281429702492805,4,25.0,0.19473197781885399,-0.3228749480681345,-0.3228749480681345,-0.39688111764632544,"0, 0.25, 10:00:00, 12:00:00, 12:15:00"
-2.9974091957026605,14,14.285714285714285,0.8711390759806668,-1.579895782554665,-4.54495536984514,-0.6595024487126682,"0, 0.25, 10:00:00, 12:00:00, 12:15:00"
0.0,2,0.0,,,,,"0, 0.25, 10:00:00, 12:15:00, 12:30:00"
0.0,2,0.0,,,,,"0, 0.25, 10:00:00, 12:15:00, 12:30:00"
0.0,2,0.0,,,,,"0, 0.25, 10:00:00, 12:15:00, 12:30:00"
-2.212658522396742,2,0.0,,-2.212658522396742,0.0,-inf,"0, 0.25, 10:00:00, 12:15:00, 12:30:00"
0.6736051502145921,2,50.0,0.6736051502145921,,0.0,inf,"0, 0.25, 10:00:00, 12:15:00, 12:30:00"
0.6089895661724326,4,25.0,0.6089895661724326,,0.0,inf,"0, 0.25, 10:00:00, 12:15:00, 12:30:00"
-0.9300638060097174,14,14.285714285714285,0.6412973581935124,-2.212658522396742,0.0,-inf,"0, 0.25, 10:00:00, 12:15:00, 12:30:00"
0.608677824267783,2,50.0,2.385330543933054,-1.7766527196652708,-1.7766527196652708,0.34259808770194583,"0, 0.25, 10:30:00, 11:00:00, 11:30:00"
2.558016359918198,2,50.0,2.558016359918198,,0.0,inf,"0, 0.25, 10:30:00, 11:00:00, 11:30:00"
1.7111136624569463,2,50.0,1.7111136624569463,,0.0,inf,"0, 0.25, 10:30:00, 11:00:00, 11:30:00"
-4.981466233297219,2,0.0,,-2.4907331166486095,-2.4051282051282055,-2.0711853208805064,"0, 0.25, 10:30:00, 11:00:00, 11:30:00"
0.31771348314606707,2,50.0,2.2000056179775282,-1.8822921348314612,-1.8822921348314612,0.16879074043122155,"0, 0.25, 10:30:00, 11:00:00, 11:30:00"
-4.877727491323716,4,25.0,0.9720366972477065,-1.9499213961904742,-5.849764188571423,-0.8338331826867899,"0, 0.25, 10:30:00, 11:00:00, 11:30:00"
-4.663672394831941,14,35.714285714285715,1.9653005763066864,-2.0700250394807678,-9.541480241474869,-0.48877870904767046,"0, 0.25, 10:30:00, 11:00:00, 11:30:00"
2.385330543933054,2,50.0,2.385330543933054,,0.0,inf,"0, 0.25, 10:30:00, 11:15:00, 11:30:00"
2.1678856152512975,2,50.0,2.1678856152512975,,0.0,inf,"0, 0.25, 10:30:00, 11:15:00, 11:30:00"
