Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year
2020-05-05,9500,2020-05-07,2,CE,93.1,121.03,35.65,2020-05-05 15:30:00,104.95,34.25,57.449999999999996,716.0759040458287,41138.56068743285,1.2875,40216.61296097385,85.03401360544215,4.021661296097385,2020
2020-05-05,9350,2020-05-07,2,PE,129.0,167.70000000000002,167.70000000000002,2020-05-05 12:20:00,235.9,113.55,-38.70000000000002,516.7958656330748,-20000.0,2.9670000000000005,-21533.333333333336,60.40051679586561,-2.1533333333333333,2020
2020-05-06,9300,2020-05-07,1,CE,59.05,76.765,76.765,2020-05-06 10:04:00,135.0,37.1,-17.715000000000003,1128.9867344058705,-20000.0,1.35815,-21533.333333333332,131.24470787468246,-2.153333333333333,2020
2020-05-06,9150,2020-05-07,1,PE,108.2,140.66,36.9,2020-05-06 15:29:00,124.8,33.85,71.30000000000001,616.142945163278,43930.99199014173,1.451,43036.96857670981,70.47134935304992,4.303696857670982,2020
2020-05-07,9350,2020-05-07,0,CE,10.0,13.0,13.0,2020-05-07 09:23:00,17.95,0.05,-3.0,2139.03743315508,-6417.1122994652405,0.23,-6909.090909090909,250.0,-0.6909090909090909,2020
2020-05-07,9150,2020-05-07,0,PE,43.05,55.964999999999996,0.05,2020-05-07 15:30:00,45.0,0.05,43.0,1548.586914440573,66589.23732094464,0.43099999999999994,65921.79636082076,177.11962833914055,6.592179636082077,2020
2020-05-08,9450,2020-05-14,6,CE,110.95,144.235,64.05,2020-05-08 15:29:00,119.4,59.95,46.900000000000006,600.871263331831,28180.862250262875,1.75,27129.33753943217,70.97791798107252,2.712933753943217,2020
2020-05-08,9300,2020-05-14,6,PE,149.0,193.70000000000002,193.70000000000002,2020-05-08 14:40:00,202.5,142.65,-44.70000000000002,447.4272930648768,-20000.0,3.4270000000000005,-21533.333333333332,52.01342281879192,-2.153333333333333,2020
2020-05-11,9450,2020-05-14,3,CE,82.0,106.60000000000001,106.60000000000001,2020-05-11 09:34:00,121.7,37.35,-24.60000000000001,813.0081300813006,-20000.0,1.8860000000000003,-21533.333333333332,96.03658536585364,-2.153333333333333,2020
2020-05-11,9250,2020-05-14,3,PE,96.0,124.80000000000001,124.80000000000001,2020-05-11 14:51:00,149.05,61.55,-28.80000000000001,694.4444444444441,-20000.0,2.208,-21533.33333333333,80.29513888888886,-2.153333333333333,2020
2020-05-12,9250,2020-05-14,2,CE,57.75,75.075,75.075,2020-05-12 14:20:00,121.0,38.3,-17.325000000000003,1154.4011544011541,-20000.0,1.32825,-21533.333333333332,133.47763347763345,-2.153333333333333,2020
2020-05-12,9100,2020-05-14,2,PE,97.4,126.62000000000002,126.62000000000002,2020-05-12 09:50:00,152.4,58.2,-29.220000000000013,684.462696783025,-20000.0,2.2402000000000006,-21533.333333333332,77.8576317590691,-2.153333333333333,2020
2020-05-13,9700,2020-05-14,1,CE,58.95,76.635,25.05,2020-05-13 15:30:00,58.15,21.3,33.900000000000006,1130.9018942606726,38337.574215436805,0.84,37387.61662425784,137.12185467910655,3.738761662425784,2020
2020-05-13,9500,2020-05-14,1,PE,116.85,151.905,151.905,2020-05-13 09:24:00,201.0,123.95,-35.05500000000001,570.5320211096847,-20000.0,2.68755,-21533.333333333336,67.75067750677506,-2.1533333333333333,2020
2020-05-14,9300,2020-05-14,0,CE,47.0,61.1,0.05,2020-05-14 15:30:00,29.15,0.05,46.95,1418.4397163120566,66595.74468085106,0.4705,65928.36879432623,164.89361702127655,6.592836879432623,2020
2020-05-14,9100,2020-05-14,0,PE,35.95,46.73500000000001,0.05,2020-05-14 15:30:00,14.0,0.05,35.900000000000006,1854.4274455261932,66573.94529439035,0.36,65906.35141400092,210.94112192860445,6.590635141400092,2020
