,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year
24,SHORT,2022-02-10 13:15:00+05:30,2022-02-10 14:15:00+05:30,7529.0,7570.25,2022-02-15 11:15:00+05:30,7086.75,Reversed,442.25,436.4037,398.4592907424625,3,176218.62133085405,173889.10877938638,17.621862133085404,17.38891087793864,2022
25,LONG,2022-02-15 10:15:00+05:30,2022-02-15 11:15:00+05:30,7086.75,7004.3,2022-02-16 15:15:00+05:30,7272.15,Reversed,185.39999999999964,179.65643999999963,423.3252195999577,3,78484.495713832,76053.10191554646,7.848449571383201,7.605310191554646,2022
26,SHORT,2022-02-16 14:15:00+05:30,2022-02-16 15:15:00+05:30,7272.15,7379.4,2022-02-17 12:15:00+05:30,7333.75,Reversed,-61.600000000000364,-67.44236000000036,412.53274478661746,3,-25412.017078855784,-27822.18188568733,-2.541201707885578,-2.7822181885687325,2022
27,LONG,2022-02-17 11:15:00+05:30,2022-02-17 12:15:00+05:30,7333.75,7260.1,2022-02-18 09:15:00+05:30,7240.65,Gap Outside Initial SL,-93.10000000000036,-98.92976000000036,409.0676666098517,3,-38084.19976137734,-40468.96608147279,-3.808419976137734,-4.046896608147279,2022
28,LONG,2022-02-21 10:15:00+05:30,2022-02-21 11:15:00+05:30,7172.4,7099.7,2022-02-21 14:15:00+05:30,7157.45,Reversed,-14.949999999999818,-20.68193999999982,418.270035134683,3,-6253.137025263434,-8650.63577045333,-0.6253137025263434,-0.8650635770453329,2022
29,SHORT,2022-02-21 13:15:00+05:30,2022-02-21 14:15:00+05:30,7157.45,7224.9,2022-02-22 11:15:00+05:30,7075.15,Reversed,82.30000000000018,76.60696000000019,419.14368944246905,3,34495.52564111528,32109.323851371726,3.449552564111528,3.2109323851371725,2022
30,LONG,2022-02-22 10:15:00+05:30,2022-02-22 11:15:00+05:30,7075.15,6954.5,2022-02-22 13:15:00+05:30,6992.5,Reversed,-82.64999999999964,-88.27705999999964,424.0192787432069,3,-35045.193388125896,-37431.175310770646,-3.5045193388125897,-3.7431175310770644,2022
31,SHORT,2022-02-22 12:15:00+05:30,2022-02-22 13:15:00+05:30,6992.5,7075.9,2022-02-22 14:15:00+05:30,7075.9,Initial SL Hit,-83.39999999999964,-89.02735999999963,429.03110475509476,3,-35781.19413657475,-38195.50661422937,-3.578119413657475,-3.8195506614229373,2022
32,LONG,2022-02-22 14:15:00+05:30,2022-02-22 15:15:00+05:30,7094.55,6974.15,2022-02-23 13:15:00+05:30,7124.5,Reversed,29.949999999999818,24.26237999999982,422.8598008330338,3,12664.651034949284,10259.585174535305,1.2664651034949284,1.0259585174535304,2022
33,SHORT,2022-02-23 12:15:00+05:30,2022-02-23 13:15:00+05:30,7124.5,7169.25,2022-02-25 10:15:00+05:30,6975.45,Reversed,149.05000000000018,143.41002000000017,421.08218120569865,3,62762.29910870946,60387.40402835294,6.276229910870946,6.038740402835294,2022
34,LONG,2022-02-25 09:15:00+05:30,2022-02-25 10:15:00+05:30,6975.45,6644.75,2022-03-04 15:15:00+05:30,6739.75,Reversed,-235.69999999999982,-241.1860799999998,430.07977979915273,3,-101369.80409866021,-103729.25617702075,-10.136980409866021,-10.372925617702077,2022
35,SHORT,2022-03-04 14:15:00+05:30,2022-03-04 15:15:00+05:30,6739.75,6865.0,2022-03-08 09:15:00+05:30,6588.9,Reversed,150.85000000000036,145.51854000000037,445.1203679661709,3,67146.40750769703,64773.26607070012,6.7146407507697035,6.477326607070012,2022
36,LONG,2022-03-07 15:15:00+05:30,2022-03-08 09:15:00+05:30,6588.9,6484.05,2022-03-08 11:15:00+05:30,6588.95,Reversed,0.0500000000001819,-5.221139999999818,455.3112052087602,3,22.765560260520832,-2377.2435459635835,0.002276556026052083,-0.23772435459635835,2022
37,SHORT,2022-03-08 10:15:00+05:30,2022-03-08 11:15:00+05:30,6588.95,6654.0,2022-03-08 14:15:00+05:30,6654.0,Initial SL Hit,-65.05000000000018,-70.34718000000018,455.3077500967529,3,-29617.76914379386,-32029.616251451374,-2.961776914379386,-3.202961625145137,2022
38,LONG,2022-03-08 14:15:00+05:30,2022-03-08 15:15:00+05:30,6683.9,6487.0,2022-03-10 11:15:00+05:30,6981.85,Reversed,297.9500000000007,292.48370000000074,448.83974924819347,3,133731.80328849956,131278.31056718418,13.373180328849957,13.127831056718419,2022
39,SHORT,2022-03-10 10:15:00+05:30,2022-03-10 11:15:00+05:30,6981.85,7020.55,2022-03-11 11:15:00+05:30,6902.65,Reversed,79.20000000000073,73.64620000000073,429.6855417976611,3,34031.09491037507,31644.707348339223,3.403109491037507,3.1644707348339223,2022
40,LONG,2022-03-11 10:15:00+05:30,2022-03-11 11:15:00+05:30,6902.65,6837.2,2022-03-15 12:15:00+05:30,7010.0,Reversed,107.35000000000036,101.78494000000036,434.6156910751668,3,46655.99443691932,44237.332039144545,4.6655994436919315,4.423733203914455,2022
41,SHORT,2022-03-15 11:15:00+05:30,2022-03-15 12:15:00+05:30,7010.0,7030.1,2022-03-16 09:15:00+05:30,7030.1,Initial SL Hit,-20.100000000000364,-25.716040000000365,427.96005706134093,3,-8601.997146933109,-11005.437945791882,-0.8601997146933109,-1.100543794579188,2022
42,SHORT,2022-03-17 12:15:00+05:30,2022-03-17 13:15:00+05:30,7213.65,7232.75,2022-03-21 09:15:00+05:30,7259.2,Gap Outside Initial SL,-45.55000000000018,-51.339140000000185,415.87823085400595,3,-18943.253415400046,-21350.83071676621,-1.8943253415400045,-2.135083071676621,2022
43,LONG,2022-03-22 12:15:00+05:30,2022-03-22 13:15:00+05:30,7111.3,7024.85,2022-03-23 11:15:00+05:30,7171.15,Reversed,59.849999999999454,54.13701999999945,421.8637942429654,3,25248.54808544125,22838.448666207074,2.524854808544125,2.2838448666207074,2022
44,SHORT,2022-03-23 10:15:00+05:30,2022-03-23 11:15:00+05:30,7171.15,7232.65,2022-03-23 13:15:00+05:30,7204.75,Reversed,-33.600000000000364,-39.350360000000364,418.3429436003988,3,-14056.322904973553,-16461.94543413554,-1.405632290497355,-1.646194543413554,2022
45,SHORT,2022-03-23 12:15:00+05:30,2022-03-23 13:15:00+05:30,7204.75,7165.95,2022-03-23 13:15:00+05:30,7165.95,Initial SL Hit,38.80000000000018,33.05172000000018,416.39196363510183,3,16156.008189042026,13762.470592317643,1.6156008189042026,1.3762470592317642,2022
46,LONG,2022-03-25 10:15:00+05:30,2022-03-25 11:15:00+05:30,7210.9,7267.05,2022-03-25 11:15:00+05:30,7223.65,Gap Outside Initial SL,12.75,6.97618,416.03683312762627,3,5304.469622377235,2902.347834528284,0.5304469622377235,0.2902347834528284,2022
47,SHORT,2022-03-28 10:15:00+05:30,2022-03-28 11:15:00+05:30,7118.1,7236.8,2022-03-28 13:15:00+05:30,7177.95,Reversed,-59.849999999999454,-65.56841999999945,421.46078307413495,3,-25224.427866986745,-27634.51763813354,-2.5224427866986745,-2.7634517638133542,2022
48,LONG,2022-03-28 12:15:00+05:30,2022-03-28 13:15:00+05:30,7177.95,7101.9,2022-03-29 11:15:00+05:30,7213.5,Reversed,35.55000000000018,29.793420000000182,417.9466282155769,3,14858.002633063834,12452.059432010608,1.4858002633063834,1.245205943201061,2022
49,SHORT,2022-03-29 10:15:00+05:30,2022-03-29 11:15:00+05:30,7213.5,7268.95,2022-03-30 09:15:00+05:30,7268.95,Initial SL Hit,-55.44999999999982,-61.24297999999982,415.88687876897484,3,-23060.927427739578,-25470.151798710674,-2.306092742773958,-2.5470151798710674,2022
50,SHORT,2022-03-30 12:15:00+05:30,2022-03-30 13:15:00+05:30,7267.4,7293.75,2022-03-30 14:15:00+05:30,7293.75,Initial SL Hit,-26.350000000000364,-32.174460000000366,412.8023777416958,3,-10877.342653493835,-13281.693590555233,-1.0877342653493836,-1.3281693590555232,2022
51,SHORT,2022-03-31 10:15:00+05:30,2022-03-31 11:15:00+05:30,7296.25,7317.95,2022-03-31 11:15:00+05:30,7317.95,Initial SL Hit,-21.699999999999818,-27.54567999999982,411.17012163782766,3,-8922.391639540785,-11325.960596196603,-0.8922391639540784,-1.1325960596196603,2022
