,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year,DD%,Prof Loss Remark,Max High,Max Unrealised Profit,Value At Risk,Max nR,Booked nR,Booked nR w CS
23,LONG,2016-11-14 17:00:00+05:30,2016-11-14 21:00:00+05:30,29475,29032.875,2016-11-17 09:00:00+05:30,29330.0,RSI Overbought,-145.0,-162.6415,226.18037885213457,10,-32796.15493355951,-36786.316087079445,-3.2796154933559514,-3.6786316087079443,2016,-3.6786316087079456,Lossy,29698.0,50438.22448402601,100000.0,0.5043822448402601,-0.3279615493355951,-0.3678631608707944
24,LONG,2016-11-24 17:00:00+05:30,2016-11-24 21:00:00+05:30,28739,28307.915,2016-11-30 17:00:00+05:30,28307.915,Initial SL Hit,-431.0849999999991,-448.19907449999914,231.9728127863419,10,-100000.0,-103970.00000000001,-10.0,-10.397000000000002,2016,-14.075631608707937,Lossy,28872.0,30852.384100583473,100000.0,0.30852384100583474,-1.0,-1.0397000000000003
25,LONG,2016-12-07 09:00:00+05:30,2016-12-07 13:00:00+05:30,27880,27461.8,2016-12-12 17:00:00+05:30,27424.0,Gap Outside Initial SL,-456.0,-472.5912,239.1200382592057,10,-109038.7374461978,-113006.02582496393,-10.903873744619782,-11.300602582496394,2016,-25.376234191204333,Lossy,28025.0,34672.40554758483,100000.0,0.3467240554758483,-1.090387374461978,-1.1300602582496393
26,LONG,2016-12-16 09:00:00+05:30,2016-12-16 13:00:00+05:30,27144,26736.84,2016-12-20 09:00:00+05:30,27111.0,RSI Overbought,-33.0,-49.2765,245.60369387955603,10,-8104.921898025349,-12102.490421455943,-0.8104921898025349,-1.2102490421455943,2016,-26.586483233349924,Lossy,27280.0,33402.10236761962,100000.0,0.3340210236761962,-0.0810492189802535,-0.12102490421455943
27,LONG,2016-12-22 13:00:00+05:30,2016-12-22 17:00:00+05:30,26949,26544.765,2016-12-27 17:00:00+05:30,27186.0,RSI Overbought,237.0,220.7595,247.38085519561605,10,58629.262681361004,54611.6739025566,5.862926268136101,5.4611673902556594,2016,-21.125315843094256,Profitable,27419.0,116269.00194193954,100000.0,1.1626900194193954,0.58629262681361,0.5461167390255659
28,LONG,2017-01-27 13:00:00+05:30,2017-01-27 17:00:00+05:30,28168,27745.48,2017-02-21 13:00:00+05:30,29134.0,Trailing SL Hit,966.0,948.8094,236.67518697339747,10,228628.23061630197,224559.64214711706,22.8628230616302,22.455964214711706,2017,0.0,Profitable,29485.0,311701.22124396445,100000.0,3.1170122124396444,2.2862823061630198,2.245596421471171
29,LONG,2017-05-02 13:00:00+05:30,2017-05-02 17:00:00+05:30,28630,28200.55,2017-05-04 09:00:00+05:30,28200.55,Initial SL Hit,-429.4500000000007,-446.49916500000074,232.85597857724957,10,-100000.0,-103970.0,-10.0,-10.397,2017,-10.396999999999991,Lossy,28634.0,931.4239143089983,100000.0,0.009314239143089983,-1.0,-1.0397
30,LONG,2017-05-04 21:00:00+05:30,2017-05-05 09:00:00+05:30,28155,27732.675,2017-06-09 17:00:00+05:30,28964.0,Trailing SL Hit,809.0,791.8643,236.7844669389684,10,191558.63375362544,187501.16616349935,19.155863375362546,18.750116616349935,2017,0.0,Profitable,29585.0,338601.7877227248,100000.0,3.386017877227248,1.9155863375362547,1.8750116616349934
31,LONG,2017-06-15 21:00:00+05:30,2017-06-16 09:00:00+05:30,28785,28353.225,2017-06-26 17:00:00+05:30,28353.225,Initial SL Hit,-431.77500000000146,-448.91646750000143,231.60210757917818,10,-100000.0,-103969.99999999997,-10.0,-10.396999999999997,2017,-10.396999999999991,Lossy,28820.0,8106.073765271236,100000.0,0.08106073765271236,-1.0,-1.0396999999999996
32,LONG,2017-07-10 13:00:00+05:30,2017-07-10 17:00:00+05:30,27734,27317.989999999998,2017-07-12 21:00:00+05:30,27842.0,RSI Overbought,108.0,91.3272,240.3788370471852,10,25960.914401096,21953.126126775693,2.5960914401096002,2.1953126126775695,2017,-8.201687387322409,Profitable,27977.0,58412.057402466,100000.0,0.58412057402466,0.25960914401096,0.21953126126775696
33,LONG,2017-07-26 13:00:00+05:30,2017-07-26 17:00:00+05:30,28350,27924.75,2017-08-03 09:00:00+05:30,28377.0,Trailing SL Hit,27.0,9.981900000000003,235.15579071134627,10,6349.206349206349,2347.301587301588,0.6349206349206349,0.2347301587301588,2017,-7.966957228592236,Profitable,28814.0,109112.28689006467,100000.0,1.0911228689006467,0.06349206349206349,0.023473015873015878
34,LONG,2017-09-07 09:00:00+05:30,2017-09-07 13:00:00+05:30,30120,29668.2,2017-09-13 17:00:00+05:30,29842.0,Trailing SL Hit,-278.0,-295.9886,221.33687472332926,10,-61531.651173085535,-65513.19167773362,-6.1531651173085535,-6.551319167773363,2017,-14.518276396365593,Lossy,30474.0,78353.25365205856,100000.0,0.7835325365205855,-0.6153165117308553,-0.6551319167773363
35,LONG,2017-09-19 09:00:00+05:30,2017-09-19 13:00:00+05:30,29608,29163.88,2017-09-20 17:00:00+05:30,29711.0,RSI Overbought,103.0,85.2043,225.1643699900933,10,23191.93010897961,19184.972529946906,2.319193010897961,1.9184972529946906,2017,-12.59977914337091,Profitable,29784.0,39628.92911825642,100000.0,0.3962892911825642,0.2319193010897961,0.19184972529946906
36,LONG,2017-10-03 13:00:00+05:30,2017-10-03 17:00:00+05:30,29532,29089.02,2017-10-17 17:00:00+05:30,29615.0,Trailing SL Hit,83.0,65.2559,225.74382590636168,10,18736.73755022802,14731.116528962946,1.873673755022802,1.4731116528962946,2017,-11.126667490474603,Profitable,29955.0,95489.63835839099,100000.0,0.9548963835839099,0.1873673755022802,0.14731116528962945
37,LONG,2017-10-25 21:00:00+05:30,2017-10-26 09:00:00+05:30,29465,29023.024999999998,2017-11-17 09:00:00+05:30,29410.0,Trailing SL Hit,-55.0,-72.6625,226.2571412410193,10,-12444.14276825606,-16440.409525425563,-1.2444142768256061,-1.6440409525425561,2017,-12.770708443017156,Lossy,29745.0,63351.9995474854,100000.0,0.633519995474854,-0.12444142768256061,-0.16440409525425562
38,LONG,2017-12-12 13:00:00+05:30,2017-12-12 17:00:00+05:30,28197,27774.045,2017-12-14 17:00:00+05:30,28235.0,RSI Overbought,38.0,21.070400000000003,236.43177170148027,10,8984.407324656251,4981.71200245887,0.8984407324656252,0.498171200245887,2017,-12.272537242771278,Profitable,28429.0,54852.17103474342,100000.0,0.5485217103474342,0.08984407324656252,0.0498171200245887
39,LONG,2018-01-11 17:00:00+05:30,2018-01-11 21:00:00+05:30,29385,28944.225,2018-02-07 17:00:00+05:30,30070.0,Trailing SL Hit,685.0,667.1635,226.87312120696424,10,155408.0880267705,151361.46560036248,15.54080880267705,15.136146560036247,2018,0.0,Profitable,30714.0,301514.3780840555,100000.0,3.015143780840555,1.554080880267705,1.5136146560036248
40,LONG,2018-02-08 13:00:00+05:30,2018-02-08 17:00:00+05:30,29886,29437.71,2018-02-27 17:00:00+05:30,30442.0,Trailing SL Hit,556.0,537.9016,223.069887795846,10,124026.85761449038,119989.64955720604,12.402685761449037,11.998964955720604,2018,0.0,Profitable,30839.0,212585.60306944125,100000.0,2.1258560306944125,1.2402685761449037,1.1998964955720604
