,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%,Final ROI,TAG,Points w CS,PnL w CS,ROI% w CS
643,2017-01-27 14:15:00+05:30,SHORT,2017-01-27 15:15:00,19691.55,19839.236625,,2017-02-01 10:15:00+05:30,19614.75,76.79999999999927,,11700.450193103023,Reversed,152.34961188936373,3,1.1700450193103022,2017,,0.0,0.3885567083342817,Reversal,72.86936999999928,11101.620238122334,1.1101620238122334
5,2017-01-31 11:15:00,LONG,2017-01-31 12:15:00,19492.3,19442.9,19442.9,2017-01-31 12:15:00,19442.9,-49.39999999999782,-53.29351999999782,-27179.69519999889,Initial SL Hit,510.0,5x,-1.0871878079999555,2017,1.0,-0.7066720751999718,-0.7066720751999711,MTrend,,,
6,2017-01-31 15:15:00,LONG,2017-02-01 09:15:00,19543.45,19488.85,19488.85,2017-02-01 11:15:00,19488.85,-54.60000000000218,-58.50323000000218,-29836.647300001117,Initial SL Hit,510.0,5x,-1.1934658920000445,2017,2.0,-1.482424905000002,-0.7757528298000289,MTrend,,,
644,2017-02-01 09:15:00+05:30,LONG,2017-02-01 10:15:00,19614.75,19467.639375000002,,2017-02-02 15:15:00+05:30,20069.4,454.65000000000146,,69536.95560738753,Reversed,152.94612472756472,3,6.953695560738753,2017,,0.0,2.4125500669139375,Reversal,450.68158500000146,68930.00191182678,6.893000191182678
7,2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,19941.7,19470.95,20334.152777777777,2017-02-07 15:15:00,20308.3,366.59999999999854,362.57499999999857,179474.6249999993,TSL Hit,495.0,5x,7.178984999999972,2017,2.0,0.0,4.666340249999982,MTrend,,,
645,2017-02-02 14:15:00+05:30,SHORT,2017-02-02 15:15:00,20069.4,20219.920500000004,,2017-02-03 14:15:00+05:30,20219.920500000004,-150.52050000000236,,-22500.00000000035,Initial SL Hit,149.48129988938382,3,-2.250000000000035,2017,,-0.808578750000013,-0.8085787500000122,Reversal,-154.54943205000237,-23102.25000000035,-2.310225000000035
646,2017-02-06 10:15:00+05:30,SHORT,2017-02-06 11:15:00,20412.25,20565.341875000002,,2017-02-07 13:15:00+05:30,20409.8,2.4500000000007276,,360.07789440175304,Reversed,146.97056914352902,3,0.036007789440175304,2017,,-0.8169747634233211,-0.008396013423308238,Reversal,-1.6322049999992725,-239.88609780880685,-0.023988609780880684
647,2017-02-07 12:15:00+05:30,LONG,2017-02-07 13:15:00,20409.8,20256.7265,,2017-02-08 13:15:00+05:30,20256.7265,-153.0734999999986,,-22499.999999999796,Initial SL Hit,146.98821154543407,3,-2.2499999999999796,2017,,-1.6253960134233125,-0.8084212499999929,Reversal,-157.1401526499986,-23097.749999999796,-2.3097749999999797
8,2017-02-08 12:15:00,LONG,2017-02-08 13:15:00,20297.3,20268.35,20268.35,2017-02-08 13:15:00,20268.35,-28.950000000000728,-33.00656500000073,-16338.24967500036,Initial SL Hit,495.0,5x,-0.6535299870000144,2017,2.0,-2.0501905049733224,-0.42479449155000937,MTrend,,,
9,2017-02-08 14:15:00,LONG,2017-02-08 15:15:00,20300.1,20070.15,20070.15,2017-02-09 10:15:00,20070.15,-229.9499999999971,-233.9870249999971,-115823.57737499855,Initial SL Hit,495.0,5x,-4.632943094999942,2017,2.0,-5.0616035167232845,-3.0114130117499625,MTrend,,,
10,2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,20108.3,20000.35,20221.766666666663,2017-02-10 14:15:00,20196.75,88.45000000000073,84.41949500000072,41787.65002500036,TSL Hit,495.0,5x,1.6715060010000142,2017,2.0,-3.975124616073277,1.0864789006500093,MTrend,,,
648,2017-02-09 12:15:00+05:30,LONG,2017-02-09 13:15:00,20146.35,19995.252375,,2017-02-22 13:15:00+05:30,20831.15,684.8000000000029,,101973.80666969494,Reversed,148.91034852467072,3,10.197380666969494,2017,,-0.4273982909572993,3.547726325115979,Reversal,680.7022500000029,101363.60928902797,10.136360928902798
11,2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,20194.2,20116.9,20235.38888888889,2017-02-14 11:15:00,20196.3,2.099999999998545,-1.939050000001456,-959.8297500007204,TSL Hit,495.0,5x,-0.0383931900000288,2017,2.0,-0.4523538644573186,-0.02495557350001872,MTrend,,,
12,2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,20228.75,20158.85,20233.041666666668,2017-02-15 11:15:00,20158.85,-69.90000000000146,-73.93876000000145,-36599.68620000072,Initial SL hit,495.0,5x,-1.4639874480000286,2017,2.0,-1.403945705657339,-0.9515918412000186,MTrend,,,
13,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,20707.2,20640.4,20640.4,2017-02-17 12:15:00,20640.4,-66.79999999999927,-70.93475999999927,-34048.68479999965,Initial SL hit,480.0,5x,-1.361947391999986,2017,2.0,-2.2892115104573314,-0.885265804799991,MTrend,,,
14,2017-02-20 09:15:00,LONG,2017-02-20 10:15:00,20560.8,20472.4,20859.316666666666,2017-02-23 14:15:00,20844.95,284.15000000000146,280.00942500000144,134404.5240000007,TSL Hit,480.0,5x,5.376180960000028,2017,2.0,0.0,3.494517624000018,MTrend,,,
649,2017-02-22 12:15:00+05:30,SHORT,2017-02-22 13:15:00,20831.15,20987.383625000002,,2017-02-23 12:15:00+05:30,20987.383625000002,-156.23362500000076,,-22500.00000000011,Initial SL Hit,144.01509278172352,3,-2.2500000000000107,2017,,-0.8085787500000023,-0.8085787500000037,Reversal,-160.41547836250075,-23102.25000000011,-2.3102250000000106
15,2017-02-27 10:15:00,LONG,2017-02-27 11:15:00,20730.35,20669.65,20669.65,2017-02-27 14:15:00,20669.65,-60.69999999999709,-64.83999999999709,-31123.199999998604,Initial SL Hit,480.0,5x,-1.244927999999944,2017,2.0,-1.6177819499999657,-0.8092031999999637,MTrend,,,
16,2017-02-27 15:15:00,LONG,2017-02-28 09:15:00,20632.25,20584.75,20584.75,2017-02-28 11:15:00,20584.75,-47.5,-51.6217,-24778.416,Initial SL Hit,480.0,5x,-0.99113664,2017,2.0,-2.262020765999967,-0.644238816,MTrend,,,
17,2017-02-28 13:15:00,LONG,2017-02-28 14:15:00,20614.4,20560.6,20724.55277777778,2017-03-02 14:15:00,20560.6,-53.80000000000291,-57.91750000000291,-27800.4000000014,Initial SL hit,480.0,5x,-1.1120160000000558,2017,2.0,-2.984831166000003,-0.7228104000000364,MTrend,,,
650,2017-03-03 13:15:00+05:30,LONG,2017-03-03 14:15:00,20484.0,20330.370000000003,,2017-03-07 09:15:00+05:30,20650.9,166.90000000000146,,24443.468072642274,Reversed,146.45577035735207,3,2.4443468072642274,2017,,-2.1503953355957783,0.8344358304042251,Reversal,162.78651000000144,23841.023725835006,2.3841023725835004
651,2017-03-06 15:15:00+05:30,SHORT,2017-03-07 09:15:00,20650.9,20805.781750000002,,2017-03-10 09:15:00+05:30,20834.95,-184.04999999999927,,-26737.333481833615,Gap Outside Initial SL,145.2721188907021,3,-2.673733348183361,2017,,-3.1072955881271405,-0.9569002525313629,Reversal,-188.19858499999927,-27340.0072151818,-2.73400072151818
18,2017-03-08 14:15:00,LONG,2017-03-08 15:15:00,20687.15,20628.2,20634.411111111112,2017-03-09 09:15:00,20628.2,-58.95000000000073,-63.08153500000073,-30279.13680000035,Initial SL hit,480.0,5x,-1.211165472000014,2017,3.0,-3.8945531449271513,-0.7872575568000091,MTrend,,,
19,2017-03-09 10:15:00,LONG,2017-03-09 11:15:00,20705.35,20662.45,20662.45,2017-03-09 12:15:00,20662.45,-42.89999999999782,-47.03677999999782,-22577.65439999895,Initial SL hit,480.0,5x,-0.903106175999958,2017,3.0,-4.481572159327126,-0.5870190143999727,MTrend,,,
20,2017-03-09 13:15:00,LONG,2017-03-09 14:15:00,20697.8,20649.9,20684.36111111111,2017-03-10 13:15:00,20649.9,-47.89999999999782,-52.03476999999782,-24976.689599998957,Initial SL hit,480.0,5x,-0.999067583999958,2017,3.0,-5.130966088927099,-0.6493939295999727,MTrend,,,
652,2017-03-10 10:15:00+05:30,SHORT,2017-03-10 11:15:00,20734.05,20889.555375,,2017-03-14 09:15:00+05:30,21204.55,-470.5,,-68076.42501103258,Gap Outside Initial SL,144.68953243577593,3,-6.807642501103258,2017,,-7.53487923180078,-2.4039131428736784,Reversal,-474.69386,-68683.23265353368,-6.868323265353368
21,2017-03-14 10:15:00,LONG,2017-03-14 11:15:00,21180.85,21119.35,21119.35,2017-03-14 12:15:00,21119.35,-61.5,-65.73002,-30564.4593,Initial SL hit,465.0,5x,-1.222578372,2017,3.0,-8.329555173600781,-0.7946759418000001,MTrend,,,
653,2017-03-14 14:15:00+05:30,SHORT,2017-03-14 15:15:00,21072.55,21230.594125,,2017-03-16 09:15:00+05:30,21257.05,-184.5,,-26266.398703526625,Gap Outside Initial SL,142.36530462616057,3,-2.6266398703526628,2017,,-9.269971060619675,-0.9404158870188941,Reversal,-188.73296,-26869.025343396977,-2.6869025343396977
22,2017-03-14 15:15:00,LONG,2017-03-15 09:15:00,21116.2,21059.7,21192.53888888889,2017-03-17 09:15:00,21183.4,67.20000000000073,62.97004000000073,30225.61920000035,TSL Hit,480.0,5x,1.209024768000014,2017,3.0,-8.484104961419664,0.785866099200009,MTrend,,,
654,2017-03-16 15:15:00+05:30,SHORT,2017-03-17 09:15:00,21241.0,21400.307500000003,,2017-03-17 13:15:00+05:30,21180.55,60.45000000000073,,8537.73362836035,Reversed,141.2362883103432,3,0.8537733628360351,2017,,-8.206254402359352,0.2778505590603115,Reversal,56.20784500000073,7938.587401723186,0.7938587401723186
23,2017-03-17 11:15:00,LONG,2017-03-17 12:15:00,21179.3,21127.95,21127.95,2017-03-20 09:15:00,21127.95,-51.34999999999855,-55.580724999998544,-25845.03712499932,Initial SL Hit,465.0,5x,-1.0338014849999728,2017,3.0,-8.878225367609335,-0.6719709652499823,MTrend,,,
655,2017-03-17 12:15:00+05:30,LONG,2017-03-17 13:15:00,21180.55,21021.695875,,2017-03-21 11:15:00+05:30,21021.695875,-158.85412499999802,,-22499.99999999972,Initial SL Hit,141.63938141360825,3,-2.249999999999972,2017,,-9.686646617609327,-0.8084212499999903,Reversal,-163.07434958749803,-23097.749999999724,-2.3097749999999726
24,2017-03-20 10:15:00,LONG,2017-03-20 11:15:00,21132.6,21086.35,21086.35,2017-03-21 09:15:00,21086.35,-46.25,-50.471895,-24226.5096,Initial SL Hit,480.0,5x,-0.969060384,2017,3.0,-10.316535867209328,-0.6298892496,MTrend,,,
25,2017-03-21 12:15:00,LONG,2017-03-21 13:15:00,21028.7,20980.55,20980.55,2017-03-21 13:15:00,20980.55,-48.150000000001455,-52.35092500000145,-25128.444000000694,Initial SL Hit,480.0,5x,-1.005137760000028,2017,3.0,-10.969875411209348,-0.6533395440000183,MTrend,,,
26,2017-03-21 14:15:00,LONG,2017-03-21 15:15:00,21027.65,20967.0,20967.0,2017-03-22 09:15:00,20816.05,-211.60000000000215,-215.78437000000216,-103576.49760000104,Gap Open Outside ISL,480.0,5x,-4.143059904000042,2017,3.0,-13.662864348809375,-2.6929889376000276,MTrend,,,
27,2017-03-22 11:15:00,LONG,2017-03-22 12:15:00,20863.75,20827.0,20827.0,2017-03-22 14:15:00,20827.0,-36.75,-40.919075,-19641.156,Initial SL Hit,480.0,5x,-0.7856462399999999,2017,3.0,-14.173534404809375,-0.5106700559999999,MTrend,,,
656,2017-03-23 13:15:00+05:30,LONG,2017-03-23 14:15:00,20849.85,20693.476125,,2017-03-24 15:15:00+05:30,21103.8,253.95000000000073,,36539.83122180746,Reversed,143.8859272368866,3,3.6539831221807457,2017,,-12.915768201455391,1.2577662033539845,Reversal,249.75463500000072,35936.177238685275,3.5936177238685274
657,2017-03-24 14:15:00+05:30,SHORT,2017-03-24 15:15:00,21103.8,21262.0785,,2017-03-27 14:15:00+05:30,21101.8,2.0,,284.3089870070793,Reversed,142.15449350353964,3,0.028430898700707925,2017,,-12.92681639182869,-0.011048190373297698,Reversal,-2.22056,-315.66258209421994,-0.03156625820942199
658,2017-03-27 13:15:00+05:30,LONG,2017-03-27 14:15:00,21101.8,20943.536500000002,,2017-03-29 14:15:00+05:30,21354.5,252.70000000000073,,35925.84518856222,Reversed,142.16796671374007,3,3.592584518856222,2017,,-11.690537550687171,1.2362788411415178,Reversal,248.45437000000072,35322.252604043366,3.5322252604043367
28,2017-03-28 10:15:00,LONG,2017-03-28 11:15:00,21228.65,21171.9,21466.50277777778,2017-03-31 14:15:00,21440.7,212.04999999999927,207.78306499999928,96619.12522499966,TSL Hit,465.0,5x,3.8647650089999863,2017,3.0,-9.17844029483718,2.512097255849991,MTrend,,,
659,2017-03-29 13:15:00+05:30,SHORT,2017-03-29 14:15:00,21354.5,21514.658750000002,,2017-03-30 14:15:00+05:30,21514.658750000002,-160.15875000000233,,-22500.000000000327,Initial SL Hit,140.4856119319113,3,-2.2500000000000324,2017,,-9.987019044837194,-0.8085787500000113,Reversal,-164.44566587500233,-23102.250000000327,-2.3102250000000324
660,2017-03-30 15:15:00+05:30,SHORT,2017-03-31 09:15:00,21532.1,21696.0,,2017-04-03 11:15:00+05:30,21493.35,38.75,,5398.9160369866395,Reversed,139.32686547062295,3,0.539891603698664,2017,,-9.819038087336533,0.1679809575006618,Reversal,34.447455,4799.455928590338,0.47994559285903376
661,2017-04-03 10:15:00+05:30,LONG,2017-04-03 11:15:00,21493.35,21332.149875,,2017-04-18 13:15:00+05:30,21833.4,340.0500000000029,,47463.51778573414,Reversed,139.57805553810832,3,4.746351778573414,2017,,-8.178981087148088,1.640057000188445,Reversal,335.7173250000029,46858.77143395557,4.685877143395557
29,2017-04-03 10:15:00,LONG,2017-04-03 11:15:00,21493.35,21429.25,21575.46388888889,2017-04-06 12:15:00,21564.1,70.75,66.444255,30896.578575,TSL Hit,465.0,5x,1.235863143,2017,4.0,-7.375670044198088,0.80331104295,MTrend,,,
30,2017-04-06 13:15:00,LONG,2017-04-06 14:15:00,21604.15,21560.95,21560.95,2017-04-06 14:15:00,21560.95,-43.20000000000073,-47.51651000000073,-22095.177150000334,Initial SL Hit,465.0,5x,-0.8838070860000136,2017,4.0,-7.950144650098096,-0.5744746059000089,MTrend,,,
31,2017-04-07 09:15:00,LONG,2017-04-07 10:15:00,21607.4,21514.6,21514.6,2017-04-07 14:15:00,21514.6,-92.80000000000292,-97.11220000000291,-45157.17300000136,Initial SL Hit,465.0,5x,-1.8062869200000544,2017,4.0,-9.124231148098133,-1.1740864980000354,MTrend,,,
32,2017-04-10 10:15:00,LONG,2017-04-10 11:15:00,21498.55,21431.65,21692.286111111112,2017-04-13 14:15:00,21678.1,179.54999999999927,175.23233499999927,81483.03577499966,TSL Hit,465.0,5x,3.2593214309999863,2017,4.0,-7.005672217948142,2.118558930149991,MTrend,,,
33,2017-04-13 15:15:00,LONG,2017-04-17 09:15:00,21711.6,21665.0,21665.0,2017-04-17 09:15:00,21665.0,-46.59999999999855,-50.937659999998544,-23686.011899999325,Initial SL Hit,465.0,5x,-0.947440475999973,2017,4.0,-7.621508527348123,-0.6158363093999825,MTrend,,,
34,2017-04-17 14:15:00,LONG,2017-04-17 15:15:00,21649.75,21599.75,21728.05277777778,2017-04-18 14:15:00,21682.9,33.150000000001455,28.81673500000145,13399.781775000676,TSL Hit,465.0,5x,0.535991271000027,2017,4.0,-7.273114201198105,0.34839432615001753,MTrend,,,
662,2017-04-18 12:15:00+05:30,SHORT,2017-04-18 13:15:00,21833.4,21997.150500000003,,2017-04-20 11:15:00+05:30,21539.3,294.1000000000022,,40410.563631867066,Reversed,137.4041605979829,3,4.041056363186707,2017,,-5.879603037110044,1.3935111640880589,Reversal,289.7627300000022,39814.604688230254,3.9814604688230255
35,2017-04-18 15:15:00,LONG,2017-04-19 09:15:00,21695.1,21651.5,21651.5,2017-04-19 09:15:00,21651.5,-43.59999999999855,-47.934659999998544,-22289.616899999324,Initial SL Hit,465.0,5x,-0.8915846759999729,2017,4.0,-6.459133076510028,-0.5795300393999824,MTrend,,,
36,2017-04-19 10:15:00,LONG,2017-04-19 11:15:00,21613.7,21560.95,21560.95,2017-04-19 11:15:00,21560.95,-52.75,-57.067465,-26536.371225,Initial SL Hit,465.0,5x,-1.061454849,2017,4.0,-7.149078728360028,-0.68994565185,MTrend,,,
37,2017-04-19 14:15:00,LONG,2017-04-19 15:15:00,21582.7,21470.2,21470.2,2017-04-20 09:15:00,21437.55,-145.15000000000146,-149.45202500000147,-69495.19162500069,Gap Open Outside ISL,465.0,5x,-2.779807665000028,2017,4.0,-8.955953710610046,-1.806874982250018,MTrend,,,
38,2017-04-20 10:15:00,LONG,2017-04-20 11:15:00,21539.3,21443.6,21443.6,2017-04-21 12:15:00,21443.6,-95.70000000000071,-99.99829000000072,-46499.20485000034,Initial SL Hit,465.0,5x,-1.8599681940000128,2017,4.0,-10.164933036710053,-1.2089793261000084,MTrend,,,
663,2017-04-20 10:15:00+05:30,LONG,2017-04-20 11:15:00,21539.3,21377.755250000002,,2017-04-27 09:15:00+05:30,22227.85,688.5499999999993,,95901.44526516636,Reversed,139.2802923029068,3,9.590144526516637,2017,,-6.829718107487658,3.3352149292223947,Reversal,684.1732849999993,95291.85512063986,9.529185512063986
39,2017-04-24 10:15:00,LONG,2017-04-24 11:15:00,21737.15,21683.55,22215.82777777778,2017-04-28 09:15:00,22206.05,468.8999999999978,464.5056799999978,215995.141199999,TSL Hit,465.0,5x,8.63980564799996,2017,4.0,-1.2138444362876832,5.615873671199974,MTrend,,,
664,2017-04-26 15:15:00+05:30,SHORT,2017-04-27 09:15:00,22227.85,22394.558875,,2017-04-28 13:15:00+05:30,22248.55,-20.700000000000728,,-2793.7924720565497,Reversed,134.96581990610878,3,-0.279379247205655,2017,,-1.332636951083316,-0.11879251479563144,Reversal,-25.147640000000727,-3394.0718513037555,-0.33940718513037554
40,2017-04-28 11:15:00,LONG,2017-04-28 12:15:00,22246.75,22182.55,22308.397222222226,2017-05-03 10:15:00,22276.85,30.099999999998545,25.647639999998542,11541.437999999343,TSL Hit,450.0,5x,0.4616575199999738,2017,4.0,-1.032559563083332,0.30007738799998296,MTrend,,,
665,2017-04-28 12:15:00+05:30,LONG,2017-04-28 13:15:00,22248.55,22081.685875,,2017-05-05 11:15:00+05:30,22739.75,491.2000000000007,,66233.5298255393,Reversed,134.84024801616286,3,6.62335298255393,2017,,0.0,2.296941726539486,Reversal,486.70117000000073,65626.90647255674,6.562690647255674
41,2017-05-03 12:15:00,LONG,2017-05-03 13:15:00,22290.45,22240.05,22720.355555555558,2017-05-09 09:15:00,22694.3,403.84999999999854,399.35152499999856,179708.18624999936,TSL Hit,450.0,5x,7.188327449999974,2017,5.0,0.0,4.672412842499983,MTrend,,,
666,2017-05-05 10:15:00+05:30,SHORT,2017-05-05 11:15:00,22739.75,22910.298125,,2017-05-08 10:15:00+05:30,22781.25,-41.5,,-5474.994228168735,Reversed,131.92757176310207,3,-0.5474994228168736,2017,,-0.2126439604657051,-0.21264396046570433,Reversal,-46.0521,-6075.541727591553,-0.6075541727591552
667,2017-05-08 09:15:00+05:30,LONG,2017-05-08 10:15:00,22781.25,22577.2,,2017-05-16 09:15:00+05:30,22803.75,22.5,,2962.962962962963,Reversed,131.6872427983539,3,0.2962962962962963,2017,,-0.1299506271323736,0.08269333333333333,Reversal,17.941499999999998,2362.6666666666665,0.23626666666666665
42,2017-05-09 10:15:00,LONG,2017-05-09 11:15:00,22720.75,22665.1,22824.483333333334,2017-05-11 15:15:00,22773.85,53.09999999999855,48.55053999999855,21119.48489999937,TSL Hit,435.0,5x,0.8447793959999749,2017,5.0,0.0,0.5491066073999837,MTrend,,,
43,2017-05-12 14:15:00,LONG,2017-05-12 15:15:00,22696.35,22578.0,22792.877777777776,2017-05-15 12:15:00,22782.6,86.25,81.702105,35540.415675000004,TSL Hit,435.0,5x,1.421616627,2017,5.0,0.0,0.92405080755,MTrend,,,
44,2017-05-15 13:15:00,LONG,2017-05-15 14:15:00,22825.55,22764.85,22769.186111111117,2017-05-16 09:15:00,22764.85,-60.70000000000073,-65.25904000000072,-28387.682400000314,Initial SL hit,435.0,5x,-1.1355072960000123,2017,5.0,-0.7380797424000107,-0.7380797424000081,MTrend,,,
668,2017-05-15 15:15:00+05:30,SHORT,2017-05-16 09:15:00,22803.75,22974.778125,,2017-05-17 13:15:00+05:30,22974.778125,-171.02812500000073,,-22500.000000000095,Initial SL Hit,131.5573096530176,3,-2.2500000000000093,2017,,-1.546658492400013,-0.8085787500000032,Reversal,-175.60597781250073,-23102.250000000095,-2.3102250000000093
45,2017-05-16 11:15:00,LONG,2017-05-16 12:15:00,22834.45,22794.45,22875.30277777777,2017-05-18 09:15:00,22761.65,-72.79999999999927,-77.35960999999928,-33651.43034999969,Gap Open Outside ISL,435.0,5x,-1.3460572139999876,2017,5.0,-2.421595681500005,-0.874937189099992,MTrend,,,
46,2017-05-18 10:15:00,LONG,2017-05-18 11:15:00,22768.6,22706.35,22706.35,2017-05-18 14:15:00,22706.35,-62.25,-66.797495,-29056.910325,Initial SL Hit,435.0,5x,-1.162276413,2017,5.0,-3.1770753499500053,-0.75547966845,MTrend,,,
669,2017-05-18 11:15:00+05:30,LONG,2017-05-18 12:15:00,22788.1,22617.18925,,2017-05-23 09:15:00+05:30,22617.18925,-170.9107499999991,,-22499.999999999884,Initial SL Hit,131.64765820757327,3,-2.2499999999999885,2017,,-3.9854965999500003,-0.8084212499999958,Reversal,-175.4512789249991,-23097.749999999884,-2.309774999999988
47,2017-05-23 12:15:00,LONG,2017-05-23 13:15:00,22695.1,22567.5,22567.5,2017-05-23 14:15:00,22567.5,-127.59999999999854,-132.12625999999855,-57474.92309999937,Initial SL Hit,435.0,5x,-2.298996923999975,2017,5.0,-5.479844600549985,-1.4943480005999839,MTrend,,,
48,2017-05-25 13:15:00,LONG,2017-05-25 14:15:00,23068.85,22813.0,23188.969444444443,2017-05-29 14:15:00,23177.25,108.40000000000146,103.77539000000144,45142.29465000063,TSL Hit,435.0,5x,1.805691786000025,2017,5.0,-4.306144939649968,1.1736996609000163,MTrend,,,
670,2017-05-25 15:15:00+05:30,SHORT,2017-05-26 09:15:00,23115.8,23289.1685,,2017-05-26 12:15:00+05:30,23289.1685,-173.3685000000005,,-22500.000000000062,Initial SL Hit,129.7813616660466,3,-2.250000000000006,2017,,-5.114723689649971,-0.8085787500000021,Reversal,-178.0089968500005,-23102.250000000062,-2.310225000000006
671,2017-05-29 12:15:00+05:30,LONG,2017-05-29 13:15:00,23281.1,23106.49175,,2017-05-30 09:15:00+05:30,23106.49175,-174.6082499999975,,-22499.999999999676,Initial SL Hit,128.85989064090614,3,-2.2499999999999676,2017,,-5.9231449396499585,-0.8084212499999885,Reversal,-179.2470091749975,-23097.749999999676,-2.3097749999999673
49,2017-05-29 15:15:00,LONG,2017-05-30 09:15:00,23215.35,23141.15,23141.15,2017-05-30 09:15:00,23141.15,-74.19999999999709,-78.83564999999709,-34293.50774999873,Initial SL Hit,435.0,5x,-1.3717403099999492,2017,5.0,-6.814776141149924,-0.891631201499967,MTrend,,,
50,2017-05-30 11:15:00,LONG,2017-05-30 12:15:00,23263.6,23207.05,23207.05,2017-05-30 12:15:00,23207.05,-56.54999999999927,-61.19706499999927,-26620.723274999684,Initial SL Hit,435.0,5x,-1.0648289309999872,2017,5.0,-7.506914946299915,-0.6921388051499917,MTrend,,,
51,2017-05-30 13:15:00,LONG,2017-05-30 14:15:00,23268.9,23213.15,23296.38888888889,2017-06-01 11:15:00,23279.9,11.0,6.34512,2760.1272,TSL Hit,435.0,5x,0.110405088,2017,5.0,-7.435151639099914,0.0717633072,MTrend,,,
52,2017-06-01 12:15:00,LONG,2017-06-01 13:15:00,23287.05,23224.05,23416.372222222224,2017-06-06 12:15:00,23397.3,110.25,105.581565,45927.980775,TSL Hit,435.0,5x,1.837119231,2017,6.0,-6.241024138949914,1.19412750015,MTrend,,,
53,2017-06-07 11:15:00,LONG,2017-06-07 12:15:00,23490.8,23458.0,23458.36111111111,2017-06-07 14:15:00,23458.0,-32.79999999999927,-37.49487999999927,-15747.849599999694,Initial SL hit,420.0,5x,-0.6299139839999878,2017,6.0,-6.650468228549908,-0.40944408959999207,MTrend,,,
