,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year
10,LONG,2017-09-19 09:00:00+05:30,2017-09-19 13:00:00+05:30,29608,29163.88,2017-09-20 17:00:00+05:30,29711.0,RSI Overbought,103.0,85.2043,337.74655498513914,10,34787.89516346933,28777.45879492029,3.4787895163469327,2.877745879492029,2017
11,LONG,2017-10-03 13:00:00+05:30,2017-10-03 17:00:00+05:30,29532,29089.02,2017-10-10 17:00:00+05:30,29820.0,RSI Overbought,288.0,270.1944,338.6157388595422,10,97521.33279154815,91492.07639171068,9.752133279154815,9.149207639171067,2017
12,LONG,2017-10-25 21:00:00+05:30,2017-10-26 09:00:00+05:30,29465,29023.024999999998,2017-11-08 21:00:00+05:30,29510.0,RSI Overbought,45.0,27.3075,339.38571186153064,10,15272.357033768878,9267.775326658748,1.5272357033768877,0.9267775326658748,2017
13,LONG,2017-12-12 13:00:00+05:30,2017-12-12 17:00:00+05:30,28197,27774.045,2017-12-14 17:00:00+05:30,28235.0,RSI Overbought,38.0,21.070400000000003,354.64765755222186,10,13476.610986984431,7472.568003688337,1.347661098698443,0.7472568003688337,2017
14,LONG,2018-01-11 17:00:00+05:30,2018-01-11 21:00:00+05:30,29385,28944.225,2018-01-12 17:00:00+05:30,29470.0,RSI Overbought,85.0,67.3435,340.3096818104475,10,28926.322953888037,22917.64505700187,2.892632295388804,2.291764505700187,2018
15,LONG,2018-02-08 13:00:00+05:30,2018-02-08 17:00:00+05:30,29886,29437.71,2018-02-14 13:00:00+05:30,30237.0,RSI Overbought,351.0,332.9631,334.60483169376965,10,117446.29592451315,111411.0620357358,11.744629592451316,11.141106203573578,2018
16,LONG,2018-03-01 21:00:00+05:30,2018-03-02 17:00:00+05:30,30261,29807.085,2018-03-07 13:00:00+05:30,30570.0,RSI Overbought,309.0,290.7507,330.4583457255213,10,102111.62882918608,96080.99534053734,10.211162882918607,9.608099534053734,2018
17,LONG,2018-03-08 09:00:00+05:30,2018-03-08 13:00:00+05:30,30501,30043.485,2018-03-21 21:00:00+05:30,30455.0,RSI Overbought,-46.0,-64.2868,327.858103013016,10,-15081.472738598735,-21076.948296777155,-1.5081472738598733,-2.1076948296777154,2018
18,LONG,2018-04-06 13:00:00+05:30,2018-04-06 17:00:00+05:30,30596,30137.06,2018-04-09 09:00:00+05:30,30675.0,RSI Overbought,79.0,60.618700000000004,326.8401098182769,10,25820.368675643876,19812.622565041183,2.5820368675643874,1.9812622565041185,2018
19,LONG,2018-04-12 21:00:00+05:30,2018-04-13 09:00:00+05:30,31045,30579.325,2018-04-16 21:00:00+05:30,31309.0,RSI Overbought,264.0,245.2938,322.1130616846513,10,85037.84828474795,79012.33693026252,8.503784828474796,7.901233693026252,2018
