entry date,entry time,index,strike,expiry,dte,option type,entry price,qty,exit date,exit time,exit price,points,slippage,final points,PnL,portfolio,index leverage,ROI%
2020-03-13,12:33:00,nifty,9950,2020-03-26,13,C,370.15,8025,2020-03-13,13:01:00,387.2,-17.05000000000001,7.573499999999999,-24.62350000000001,-197603.58750000008,10000000,8,-1.9760358750000007
2020-03-13,12:33:00,nifty,9700,2020-03-26,13,P,467.3,8250,2020-03-13,13:01:00,370.15,97.15000000000003,8.374500000000001,88.77550000000004,732397.8750000003,10000000,8,7.323978750000003
2020-03-13,13:02:00,nifty,10100,2020-03-26,13,C,320.7,7950,2020-03-13,13:10:00,413.5,-92.80000000000001,7.3420000000000005,-100.14200000000001,-796128.9,10000000,8,-7.961289
2020-03-13,13:02:00,nifty,9800,2020-03-26,13,P,406.55,8175,2020-03-13,13:10:00,343.1,63.44999999999999,7.496500000000001,55.95349999999999,457419.86249999993,10000000,8,4.574198624999999
2020-03-13,13:11:00,nifty,10250,2020-03-26,13,C,322.5,7800,2020-03-13,14:16:00,277.7,44.80000000000001,6.002000000000001,38.79800000000001,302624.4000000001,10000000,8,3.0262440000000006
2020-03-13,13:11:00,nifty,9950,2020-03-26,13,P,390.0,8025,2020-03-13,14:16:00,510.0,-120.0,9.0,-129.0,-1035225.0,10000000,8,-10.35225
2020-03-13,14:17:00,nifty,10100,2020-03-26,13,C,345.0,7950,2020-03-13,14:32:00,278.95,66.05000000000001,6.2395000000000005,59.81050000000001,475493.4750000001,10000000,8,4.75493475
2020-03-13,14:17:00,nifty,9800,2020-03-26,13,P,450.0,8175,2020-03-13,14:32:00,539.45,-89.45000000000005,9.8945,-99.34450000000004,-812141.2875000003,10000000,8,-8.121412875000003
2020-03-13,14:33:00,nifty,9900,2020-03-26,13,C,375.05,8100,2020-03-13,14:45:00,436.65,-61.599999999999966,8.117,-69.71699999999997,-564707.6999999997,10000000,8,-5.647076999999997
2020-03-13,14:33:00,nifty,9650,2020-03-26,13,P,494.55,8325,2020-03-13,14:45:00,419.45,75.10000000000002,9.14,65.96000000000002,549117.0000000002,10000000,8,5.491170000000002
2020-03-13,14:46:00,nifty,10050,2020-03-26,13,C,358.6,7950,2020-03-16,09:15:00,150.05,208.55,5.0865,203.4635,1617534.8250000002,10000000,8,16.175348250000003
2020-03-13,14:46:00,nifty,9800,2020-03-26,13,P,457.95,8175,2020-03-16,09:15:00,687.6,-229.65000000000003,11.455499999999999,-241.10550000000003,-1971037.4625000004,10000000,8,-19.710374625000004
2020-04-01,09:16:00,nifty,8850,2020-04-30,29,C,341.45,9075,2020-04-01,10:42:00,300.0,41.44999999999999,6.4145,35.035499999999985,317947.16249999986,10000000,8,3.1794716249999984
2020-04-01,09:16:00,nifty,8350,2020-04-30,29,P,552.65,9600,2020-04-01,10:42:00,564.4,-11.75,11.1705,-22.9205,-220036.80000000002,10000000,8,-2.200368
2020-04-01,10:43:00,nifty,8600,2020-04-30,29,C,420.7,9300,2020-04-03,10:59:00,255.0,165.7,6.757000000000001,158.94299999999998,1478169.9,10000000,8,14.781699
2020-04-01,10:43:00,nifty,8100,2020-04-30,29,P,465.1,9900,2020-04-03,10:59:00,511.4,-46.299999999999955,9.765,-56.064999999999955,-555043.4999999995,10000000,8,-5.550434999999996
2020-04-03,11:00:00,nifty,8300,2020-04-30,27,C,393.45,9675,2020-04-07,09:15:00,494.85,-101.40000000000003,8.883,-110.28300000000003,-1066988.0250000004,10000000,8,-10.669880250000004
2020-04-03,11:00:00,nifty,7900,2020-04-30,27,P,430.0,10125,2020-04-07,09:15:00,249.0,181.0,6.79,174.21,1763876.25,10000000,8,17.6387625
2020-04-07,09:16:00,nifty,8650,2020-04-30,23,C,300.95,9225,2020-04-07,13:41:00,484.3,-183.35000000000002,7.8525,-191.20250000000001,-1763843.0625000002,10000000,8,-17.638430625
2020-04-07,09:16:00,nifty,8250,2020-04-30,23,P,352.45,9675,2020-04-07,13:41:00,261.05,91.39999999999998,6.135,85.26499999999997,824938.8749999998,10000000,8,8.249388749999998
2020-04-07,13:42:00,nifty,8850,2020-04-30,23,C,377.3,9075,2020-04-08,09:42:00,425.45,-48.14999999999998,8.0275,-56.17749999999998,-509810.8124999998,10000000,8,-5.098108124999999
