,date,day,expiry,DTE,trade_num,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,ROC on Entry,Opt RSI on Entry,Spot RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME,Cumulative ROI%,Max Cumulative ROI%,DD,is_win
658,2024-10-18,Friday,2024-10-24,6,4,24900,C,156.2,13:15:00,158.35,158.35,2024-10-18,13:45:00,-41.688555347091935,78.11671087533156,62.5791594703516,SL hit,-2.1500000000000057,3.1454999999999997,2811.244979919679,-14886.947791164675,-0.14886947791164676,2024,10,169.4,140.9,0.4301204819277104,100.0,2024-10-18 13:15:00,383.2418919245533,388.26630045671334,-5.024408532160066,False
659,2024-10-21,Monday,2024-10-24,3,5,24900,C,72.1,09:15:00,164.8,0.05,2024-10-24,15:15:00,-48.8608482299334,14.810072556551418,45.564892623716084,EOD exit,72.05,0.7214999999999999,2811.244979919679,200521.88755020077,2.0052188755020075,2024,10,118.5,0.05,2.0255020080321287,100.0,2024-10-21 09:15:00,385.2471108000553,388.26630045671334,-3.0191896566580567,True
1278,2024-10-22,Tuesday,2024-10-24,2,2,24800,P,82.45,09:15:00,154.95,154.95,2024-10-22,10:15:00,-58.8992678616511,31.093935790725325,38.73824017708894,SL hit,-72.49999999999999,2.3739999999999997,2822.5806451612902,-211337.9032258064,-2.113379032258064,2024,10,223.0,66.1,0.4614919354838712,100.0,2024-10-22 09:15:00,383.1337317677972,388.26630045671334,-5.1325686889161375,False
1279,2024-10-22,Tuesday,2024-10-24,2,3,24600,P,90.65,10:15:00,108.8,108.8,2024-10-22,12:45:00,-1.881720430107527,66.7427701674277,42.36006051437232,SL hit,-18.14999999999999,1.9945,2845.528455284553,-57321.74796747965,-0.5732174796747965,2024,10,122.9,58.2,0.9233739837398374,100.0,2024-10-22 10:15:00,382.5605142881224,388.26630045671334,-5.705786168590919,False
1280,2024-10-24,Thursday,2024-10-24,0,4,24400,P,22.35,09:45:00,99.0,0.6,2024-10-24,15:15:00,-39.54116059379217,34.08207343412526,78.16391543585264,EOD exit,21.75,0.22950000000000004,2868.8524590163934,61739.13934426229,0.6173913934426228,2024,10,31.7,0.1,0.6383196721311476,100.0,2024-10-24 09:45:00,383.17790568156505,388.26630045671334,-5.088394775148288,True
660,2024-10-25,Friday,2024-10-31,6,1,24450,C,111.55,09:15:00,163.95,0.05,2024-10-31,15:15:00,-60.767478535132305,30.769230769230774,59.34032059186208,EOD exit,111.5,1.1159999999999999,2862.9856850715746,316027.8118609407,3.1602781186094075,2024,10,148.0,0.05,3.1922290388548054,100.0,2024-10-25 09:15:00,386.3381838001745,388.26630045671334,-1.9281166565388617,True
1281,2024-10-28,Monday,2024-10-31,3,1,24200,P,54.9,10:15:00,167.0,0.05,2024-10-31,15:15:00,-28.28348504551366,9.77198697068404,52.60403688013976,EOD exit,54.85,0.5495,2892.561983471074,157067.56198347107,1.570675619834711,2024,10,144.8,0.05,1.5865702479338846,100.0,2024-10-28 10:15:00,387.9088594200092,388.26630045671334,-0.35744103670413097,True
661,2024-11-04,Monday,2024-11-07,3,1,24100,C,190.25,09:15:00,321.0,321.0,2024-11-06,09:45:00,-63.05923277611364,11.749999999999986,74.10666666666681,SL hit,-130.75,5.1125,2904.564315352697,-394621.36929460586,-3.9462136929460585,2024,11,330.35,89.0,2.9408713692946056,100.0,2024-11-04 09:15:00,383.96264572706315,388.26630045671334,-4.303654729650191,False
1282,2024-11-05,Tuesday,2024-11-07,2,1,23950,P,79.15,14:15:00,242.0,0.05,2024-11-07,15:15:00,-16.57838983050848,0.0,38.73824017708894,EOD exit,79.10000000000001,0.792,2922.7557411273488,228875.15657620045,2.288751565762005,2024,11,90.3,0.05,2.311899791231733,100.0,2024-11-05 14:15:00,386.2513972928252,388.26630045671334,-2.014903163888164,True
662,2024-11-07,Thursday,2024-11-07,0,2,24400,C,14.4,09:45:00,107.0,0.05,2024-11-07,15:15:00,-59.31232091690545,8.556738890929125,31.21464226289531,EOD exit,14.35,0.14450000000000002,2868.8524590163934,40753.483606557376,0.4075348360655737,2024,11,16.25,0.05,0.4116803278688525,100.0,2024-11-07 09:45:00,386.65893212889074,388.26630045671334,-1.6073683278225985,True
