Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs,Cumulative_PnL
22,2016-04-07 17:00:00+05:30,2016-04-14 17:00:00+05:30,Long,29122.0,28900,-222.0,58.022,-280.022,715.9369999999997
23,2016-04-19 17:00:00+05:30,2016-04-22 21:00:00+05:30,Long,29336.0,29022,-314.0,58.358000000000004,-372.358,343.57899999999967
24,2016-04-28 17:00:00+05:30,2016-05-09 21:00:00+05:30,Long,29674.0,29805,131.0,59.479,71.521,415.0999999999997
25,2016-05-24 17:00:00+05:30,2016-06-03 17:00:00+05:30,Short,29403.0,29367,36.0,58.77,-22.770000000000003,392.3299999999997
26,2016-06-08 09:00:00+05:30,2016-06-22 09:00:00+05:30,Long,29545.0,30145,600.0,59.69,540.31,932.6399999999996
27,2016-06-24 09:00:00+05:30,2016-07-12 13:00:00+05:30,Long,31489.0,31421,-68.0,62.910000000000004,-130.91,801.7299999999997
28,2016-07-12 21:00:00+05:30,2016-07-28 09:00:00+05:30,Short,31035.0,31223,-188.0,62.258,-250.258,551.4719999999996
29,2016-07-29 21:00:00+05:30,2016-08-05 17:00:00+05:30,Long,31530.0,31274,-256.0,62.804,-318.804,232.66799999999967
30,2016-08-25 17:00:00+05:30,2016-09-06 17:00:00+05:30,Short,30933.0,31135,-202.0,62.068,-264.068,-31.40000000000032
31,2016-10-04 17:00:00+05:30,2016-10-25 21:00:00+05:30,Short,30210.0,29980,230.0,60.19,169.81,138.40999999999968
32,2016-11-01 13:00:00+05:30,2016-11-07 17:00:00+05:30,Long,30218.0,30093,-125.0,60.311,-185.311,-46.90100000000032
33,2016-11-09 09:00:00+05:30,2016-11-09 17:00:00+05:30,Long,30894.0,30185,-709.0,61.079,-770.079,-816.9800000000002
34,2016-11-11 17:00:00+05:30,2016-12-28 21:00:00+05:30,Short,29473.0,27316,2157.0,56.789,2100.211,1283.2309999999995
35,2016-12-29 21:00:00+05:30,2017-01-25 17:00:00+05:30,Long,27564.0,28434,870.0,55.998000000000005,814.002,2097.2329999999993
