Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs
58,2021-01-12 09:00:00+05:30,2021-01-13 21:00:00+05:30,Long,208.7,199.7,-9.0,0.4084,-9.4084
59,2021-02-01 17:00:00+05:30,2021-02-03 21:00:00+05:30,Long,205.6,203.4,-2.1999999999999886,0.40900000000000003,-2.6089999999999884
60,2021-03-15 09:00:00+05:30,2021-03-22 17:00:00+05:30,Short,184.5,183.8,0.6999999999999886,0.3683,0.3316999999999886
61,2021-04-28 09:00:00+05:30,2021-05-06 13:00:00+05:30,Long,219.2,217.3,-1.8999999999999773,0.4365,-2.3364999999999774
62,2021-05-17 17:00:00+05:30,2021-05-18 17:00:00+05:30,Long,229.4,221.5,-7.900000000000006,0.45089999999999997,-8.350900000000006
63,2021-06-28 17:00:00+05:30,2021-07-06 17:00:00+05:30,Long,270.3,271.1,0.8000000000000114,0.5414000000000001,0.25860000000001127
64,2021-08-26 17:00:00+05:30,2021-09-17 21:00:00+05:30,Long,304.1,379.9,75.79999999999995,0.684,75.11599999999996
64,2021-09-01 17:00:00+05:30,2021-09-17 21:00:00+05:30,Add_Long,331.2,379.9,48.69999999999999,0.7111,47.98889999999999
64,2021-09-08 17:00:00+05:30,2021-09-17 21:00:00+05:30,Add_Long,349.3,379.9,30.599999999999966,0.7292000000000001,29.870799999999967
65,2021-09-21 17:00:00+05:30,2021-09-23 21:00:00+05:30,Short,351.8,367.0,-15.199999999999989,0.7188,-15.918799999999989
66,2021-09-27 09:00:00+05:30,2021-10-06 17:00:00+05:30,Long,390.2,438.8,48.60000000000002,0.8290000000000001,47.77100000000002
67,2021-10-25 09:00:00+05:30,2021-10-29 13:00:00+05:30,Long,415.9,426.7,10.800000000000011,0.8425999999999999,9.957400000000012
68,2021-11-09 17:00:00+05:30,2021-11-16 09:00:00+05:30,Short,374.8,379.9,-5.099999999999966,0.7547,-5.854699999999966
69,2021-11-26 21:00:00+05:30,2021-11-29 17:00:00+05:30,Long,413.6,368.3,-45.30000000000001,0.7819000000000002,-46.08190000000001
70,2021-11-30 17:00:00+05:30,2021-12-13 09:00:00+05:30,Short,339.9,302.6,37.299999999999955,0.6425,36.657499999999956
71,2022-01-10 09:00:00+05:30,2022-01-14 09:00:00+05:30,Long,305.8,308.1,2.3000000000000114,0.6139000000000001,1.6861000000000113
72,2022-01-20 17:00:00+05:30,2022-01-25 21:00:00+05:30,Short,287.3,301.8,-14.5,0.5891000000000001,-15.0891
73,2022-01-28 17:00:00+05:30,2022-02-04 17:00:00+05:30,Long,352.6,361.3,8.699999999999989,0.7139000000000001,7.986099999999989
74,2022-02-07 09:00:00+05:30,2022-02-14 13:00:00+05:30,Short,329.1,314.2,14.900000000000034,0.6433,14.256700000000034
75,2022-03-17 17:00:00+05:30,2022-03-30 13:00:00+05:30,Long,378.6,407.0,28.399999999999977,0.7856000000000001,27.61439999999998
76,2022-04-05 17:00:00+05:30,2022-04-19 17:00:00+05:30,Long,463.9,539.7,75.80000000000007,1.0036,74.79640000000006
77,2022-04-25 09:00:00+05:30,2022-04-26 09:00:00+05:30,Short,491.5,522.6,-31.100000000000023,1.0141,-32.11410000000002
78,2022-05-03 17:00:00+05:30,2022-05-09 13:00:00+05:30,Long,619.6,614.4,-5.2000000000000455,1.234,-6.4340000000000455
79,2022-05-10 13:00:00+05:30,2022-05-11 17:00:00+05:30,Short,529.2,589.5,-60.299999999999955,1.1187,-61.41869999999995
80,2022-06-06 17:00:00+05:30,2022-06-08 21:00:00+05:30,Long,721.7,670.0,-51.700000000000045,1.3917000000000002,-53.091700000000046
81,2022-06-14 17:00:00+05:30,2022-06-28 09:00:00+05:30,Short,563.2,519.5,43.700000000000045,1.0827,42.61730000000004
82,2022-06-30 21:00:00+05:30,2022-07-07 17:00:00+05:30,Short,448.7,488.4,-39.69999999999999,0.9370999999999999,-40.63709999999999
83,2022-07-18 09:00:00+05:30,2022-07-28 21:00:00+05:30,Long,572.7,659.1,86.39999999999998,1.2318000000000002,85.16819999999997
84,2022-08-11 21:00:00+05:30,2022-08-23 21:00:00+05:30,Long,699.9,740.6,40.700000000000045,1.4405000000000001,39.259500000000045
84,2022-08-22 13:00:00+05:30,2022-08-23 21:00:00+05:30,Add_Long,767.9,740.6,-27.299999999999955,1.5085,-28.808499999999956
85,2022-09-14 17:00:00+05:30,2022-09-15 17:00:00+05:30,Long,691.8,669.7,-22.09999999999991,1.3615,-23.46149999999991
86,2022-09-19 09:00:00+05:30,2022-09-21 13:00:00+05:30,Short,610.5,642.9,-32.39999999999998,1.2534,-33.653399999999976
87,2022-09-23 17:00:00+05:30,2022-09-29 09:00:00+05:30,Short,557.0,575.3,-18.299999999999955,1.1323,-19.432299999999955
88,2022-10-17 09:00:00+05:30,2022-10-25 21:00:00+05:30,Short,513.4,461.0,52.39999999999998,0.9744,51.425599999999974
89,2022-10-27 09:00:00+05:30,2022-10-28 17:00:00+05:30,Long,506.1,462.9,-43.200000000000045,0.969,-44.16900000000005
90,2022-10-31 13:00:00+05:30,2022-11-01 17:00:00+05:30,Long,522.4,489.3,-33.099999999999966,1.0117,-34.11169999999996
91,2022-11-07 09:00:00+05:30,2022-11-08 17:00:00+05:30,Long,564.8,512.7,-52.09999999999991,1.0775000000000001,-53.17749999999991
92,2022-11-23 09:00:00+05:30,2022-11-30 21:00:00+05:30,Long,585.8,564.1,-21.699999999999932,1.1499000000000001,-22.84989999999993
92,2022-11-29 13:00:00+05:30,2022-11-30 21:00:00+05:30,Add_Long,601.5,564.1,-37.39999999999998,1.1656,-38.565599999999975
93,2022-12-02 09:00:00+05:30,2022-12-08 21:00:00+05:30,Short,535.6,504.1,31.5,1.0397,30.4603
94,2022-12-12 09:00:00+05:30,2022-12-14 21:00:00+05:30,Long,565.8,536.0,-29.799999999999955,1.1018,-30.901799999999955
95,2022-12-19 09:00:00+05:30,2023-01-09 21:00:00+05:30,Short,508.5,338.0,170.5,0.8465,169.6535
96,2023-01-20 09:00:00+05:30,2023-01-23 13:00:00+05:30,Short,256.9,284.4,-27.5,0.5413,-28.0413
97,2023-01-27 09:00:00+05:30,2023-02-07 17:00:00+05:30,Short,239.2,212.5,26.69999999999999,0.4517,26.24829999999999
98,2023-02-17 09:00:00+05:30,2023-02-22 21:00:00+05:30,Short,193.0,187.1,5.900000000000006,0.38010000000000005,5.519900000000006
99,2023-02-27 09:00:00+05:30,2023-03-06 09:00:00+05:30,Long,218.7,220.7,2.0,0.4394,1.5606
100,2023-04-06 21:00:00+05:30,2023-04-10 17:00:00+05:30,Short,168.2,178.7,-10.5,0.3469,-10.8469
101,2023-05-03 17:00:00+05:30,2023-05-08 09:00:00+05:30,Short,175.0,181.0,-6.0,0.356,-6.356
102,2023-05-16 17:00:00+05:30,2023-05-22 17:00:00+05:30,Long,201.0,198.0,-3.0,0.399,-3.399
103,2023-06-01 17:00:00+05:30,2023-06-05 17:00:00+05:30,Short,180.2,188.9,-8.700000000000017,0.36910000000000004,-9.069100000000017
104,2023-06-15 17:00:00+05:30,2023-06-20 17:00:00+05:30,Long,207.2,208.1,0.9000000000000057,0.41529999999999995,0.48470000000000574
105,2023-06-26 09:00:00+05:30,2023-06-28 21:00:00+05:30,Long,226.7,222.5,-4.199999999999989,0.4492,-4.649199999999989
