index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Cumulative_PnL,Trade Year,ROI% w cs
51,25,2017-08-10 09:00:00+05:30,2017-09-18 09:00:00+05:30,Long,28971.0,28512.25,29700,729.0,58.671,670.329,1089.9182561307903,730603.8147138965,7.306038147138965,10386.630464285714,2017,7.306038147138965
52,25,2017-08-17 09:00:00+05:30,2017-09-18 09:00:00+05:30,Add_Long,29139.0,28512.25,29700,561.0,58.839,502.161,797.7662544874352,400607.1001196649,4.0060710011966485,10888.791464285714,2017,4.0060710011966485
53,25,2017-08-25 17:00:00+05:30,2017-09-18 09:00:00+05:30,Add_Long,29214.0,28512.25,29700,486.0,58.914,427.086,712.5044531528322,304300.6768792305,3.0430067687923046,11315.877464285713,2017,3.0430067687923046
54,25,2017-08-31 21:00:00+05:30,2017-09-18 09:00:00+05:30,Add_Long,29730.0,28512.25,29700,-30.0,59.43,-89.43,410.5933073290905,-36719.35947444057,-0.3671935947444057,11226.447464285713,2017,-0.3671935947444057
55,25,2017-09-13 13:00:00+05:30,2017-09-18 09:00:00+05:30,Add_Long,30055.0,28512.25,29700,-355.0,59.755,-414.755,324.09658078107276,-134420.67736185383,-1.3442067736185384,10811.692464285714,2017,-1.3442067736185384
56,26,2017-09-26 09:00:00+05:30,2017-09-27 17:00:00+05:30,Long,30095.0,29639.321428571428,29686,-409.0,59.781,-468.781,1097.264675915038,-514376.8320401274,-5.143768320401274,10342.911464285713,2017,-5.143768320401274
57,27,2017-12-26 21:00:00+05:30,2018-02-07 17:00:00+05:30,Long,28809.0,28450.035714285714,30070,1261.0,58.879,1202.121,1392.8962292309202,1674429.8079793032,16.744298079793033,11545.032464285712,2017,16.744298079793033
58,27,2018-01-05 09:00:00+05:30,2018-02-07 17:00:00+05:30,Add_Long,29270.0,28450.035714285714,30070,800.0,59.34,740.66,609.7826560390257,451641.62202186475,4.516416220218647,12285.692464285712,2018,4.516416220218647
59,27,2018-01-10 13:00:00+05:30,2018-02-07 17:00:00+05:30,Add_Long,29299.0,28450.035714285714,30070,771.0,59.369,711.631,588.9529258339991,419117.1595641746,4.1911715956417455,12997.323464285711,2018,4.1911715956417455
60,27,2018-01-22 09:00:00+05:30,2018-02-07 17:00:00+05:30,Add_Long,29780.0,28450.035714285714,30070,290.0,59.85,230.15,375.9499449501865,86524.87983028543,0.8652487983028542,13227.473464285711,2018,0.8652487983028542
