,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
56,56,56,2019-05-17 11:15:00+05:30,2019-06-06 13:15:00+05:30,Long,37727.24,37277.756666666675,39554.96,Trailing SL Hit,1827.7200000000012,7.72822,1819.9917800000012,2120.4837671666414,3859263.0258667236,38.592630258667235,2019
57,57,57,2019-06-10 09:15:00+05:30,2019-06-10 11:15:00+05:30,Long,39888.12,39486.17777777778,39677.18,Trailing SL Hit,-210.94000000000233,7.956530000000001,-218.89653000000231,2005.6096903037796,-439021.00174187665,-4.390210017418767,2019
58,58,58,2019-06-20 14:15:00+05:30,2019-06-21 10:15:00+05:30,Long,39626.56,39126.322222222225,39379.22,Trailing SL Hit,-247.3399999999965,7.900578,-255.2405779999965,2018.8479645974821,-515291.9213779778,-5.152919213779778,2019
59,59,59,2019-06-25 14:15:00+05:30,2019-06-28 14:15:00+05:30,Long,39438.34,39127.25777777777,39388.95,Trailing SL Hit,-49.38999999999942,7.882728999999999,-57.272728999999416,2028.4829432476115,-116176.75388974165,-1.1617675388974165,2019
60,60,60,2019-08-08 14:15:00+05:30,2019-08-13 14:15:00+05:30,Long,37271.39,36723.236666666664,36992.87,Trailing SL Hit,-278.5199999999968,7.426426000000001,-285.9464259999968,2146.418472721302,-613760.6909750279,-6.137606909750279,2019
61,61,61,2019-08-19 09:15:00+05:30,2019-08-20 09:15:00+05:30,Long,37589.51,37235.903333333335,37262.6,Trailing SL Hit,-326.9100000000035,7.4852110000000005,-334.3952110000035,2128.25333450742,-711677.7228540697,-7.1167772285406965,2019
62,62,62,2019-08-26 11:15:00+05:30,2019-08-29 10:15:00+05:30,Long,37082.59,36541.47888888889,37194.77,Trailing SL Hit,112.18000000000029,7.427735999999999,104.7522640000003,2157.346614678209,225986.94212027866,2.2598694212027866,2019
63,63,63,2019-09-09 09:15:00+05:30,2019-09-09 09:15:00+05:30,Long,37119.32,36809.72555555556,36809.72555555556,Initial SL Hit,-309.59444444443943,7.392904555555556,-316.987348999995,2155.211895045491,-683174.9051437257,-6.831749051437257,2019
64,64,64,2019-09-09 10:15:00+05:30,2019-09-12 14:15:00+05:30,Long,37178.77,36864.39333333333,37085.87,Trailing SL Hit,-92.89999999999418,7.426464,-100.32646399999417,2151.7656447483337,-215879.03849426797,-2.1587903849426797,2019
65,65,65,2019-09-20 10:15:00+05:30,2019-10-01 13:15:00+05:30,Long,37314.6,36126.65555555555,37990.77,Trailing SL Hit,676.1699999999983,7.530537,668.6394629999983,2143.9329377777062,1433518.1682236942,14.335181682236943,2019
66,66,66,2019-10-09 14:15:00+05:30,2019-10-10 10:15:00+05:30,Long,38174.03,37629.26111111111,38017.44,Trailing SL Hit,-156.5899999999965,7.619147000000001,-164.2091469999965,2095.665561115764,-344127.45418808865,-3.4412745418808863,2019
67,67,67,2019-10-11 09:15:00+05:30,2019-10-11 10:15:00+05:30,Long,38302.46,37920.65111111111,37920.65111111111,Initial SL Hit,-381.80888888888876,7.622311111111111,-389.4311999999999,2088.6386931805423,-813381.0726517302,-8.133810726517302,2019
68,68,68,2019-10-14 13:15:00+05:30,2019-10-25 12:15:00+05:30,Long,38456.43,38113.69333333333,38757.81,Trailing SL Hit,301.3799999999974,7.721424,293.65857599999737,2080.2763022984714,610890.9766195092,6.108909766195092,2019
69,69,69,2019-10-29 09:15:00+05:30,2019-11-11 11:15:00+05:30,Long,39473.5,38996.51666666667,40183.5,Trailing SL Hit,710.0,7.9657,702.0343,2026.6761244885809,1422796.1543820538,14.227961543820536,2019
70,70,70,2019-11-15 09:15:00+05:30,2019-11-18 11:15:00+05:30,Long,40500.94,40141.07888888889,40257.99,Trailing SL Hit,-242.95000000000437,8.075892999999999,-251.02589300000437,1975.2627963696643,-495842.10736838076,-4.958421073683807,2019
71,71,71,2019-11-20 09:15:00+05:30,2019-11-22 09:15:00+05:30,Long,40745.74,40380.03555555556,40448.51,Trailing SL Hit,-297.2299999999959,8.119425,-305.3494249999959,1963.395437167174,-599521.6677866122,-5.9952166778661224,2019
72,72,72,2019-11-25 11:15:00+05:30,2019-11-29 11:15:00+05:30,Long,40698.8,40384.85555555556,40739.64,Trailing SL Hit,40.83999999999651,8.143844000000001,32.696155999996506,1965.659921177037,64269.52342574524,0.6426952342574523,2019
73,73,73,2019-12-13 09:15:00+05:30,2019-12-26 11:15:00+05:30,Long,40903.96,40539.45333333334,41364.47,Trailing SL Hit,460.51000000000204,8.226843,452.28315700000206,1955.800856445195,884575.7858163406,8.845757858163406,2019
74,74,74,2020-01-09 09:15:00+05:30,2020-01-20 12:15:00+05:30,Long,41253.66,40713.24333333333,41606.15,Trailing SL Hit,352.48999999999796,8.285981,344.20401899999797,1939.2218775255333,667487.9639770103,6.674879639770103,2020
75,75,75,2020-01-24 09:15:00+05:30,2020-01-27 09:15:00+05:30,Long,41525.16,41218.27,41475.48,Trailing SL Hit,-49.68000000000029,8.300064000000003,-57.9800640000003,1926.5428477578412,-111701.07761174245,-1.1170107761174244,2020
76,76,76,2020-02-04 14:15:00+05:30,2020-02-10 09:15:00+05:30,Long,40785.85,40252.346666666665,40901.69,Trailing SL Hit,115.84000000000378,8.168754000000002,107.67124600000378,1961.4645765627051,211193.33494337628,2.111933349433763,2020
77,77,77,2020-02-11 09:15:00+05:30,2020-02-17 10:15:00+05:30,Long,41389.12,40935.48,41223.02,Trailing SL Hit,-166.10000000000582,8.261214,-174.36121400000582,1932.875113073194,-337018.4512258406,-3.370184512258406,2020
78,78,78,2020-02-19 09:15:00+05:30,2020-02-20 15:15:00+05:30,Long,41159.96,40791.23,41166.2,Trailing SL Hit,6.239999999997963,8.232616,-1.9926160000020374,1943.6364855553795,-3872.9211593053783,-0.03872921159305378,2020
79,79,79,2020-03-26 09:15:00+05:30,2020-03-30 09:15:00+05:30,Long,29833.68,27413.175555555554,29162.53,Trailing SL Hit,-671.1500000000015,5.899621,-677.0496210000015,2681.533086095983,-1815530.9596402496,-18.155309596402496,2020
80,80,80,2020-03-31 11:15:00+05:30,2020-04-01 09:15:00+05:30,Long,29382.49,28735.465555555555,28735.465555555555,Initial SL Hit,-647.024444444447,5.811795555555556,-652.8362400000026,2722.7100221934897,-1777483.7734991214,-17.774837734991213,2020
81,81,81,2020-04-07 10:15:00+05:30,2020-04-21 11:15:00+05:30,Long,28983.09,27866.406666666662,30707.68,Trailing SL Hit,1724.5900000000001,5.969077,1718.6209230000002,2760.2301893966446,4743789.355793327,47.43789355793327,2020
82,82,82,2020-04-22 10:15:00+05:30,2020-05-04 09:15:00+05:30,Long,31144.82,30573.215555555555,32053.08,Trailing SL Hit,908.260000000002,6.31979,901.940210000002,2568.6454440899,2316764.611257993,23.167646112579934,2020
83,83,83,2020-05-08 10:15:00+05:30,2020-05-08 13:15:00+05:30,Long,31965.12,31483.77,31797.54,Trailing SL Hit,-167.5799999999981,6.376266,-173.9562659999981,2502.7279734911053,-435365.2130822549,-4.353652130822549,2020
84,84,84,2020-05-11 09:15:00+05:30,2020-05-11 13:15:00+05:30,Long,32109.13,31738.378888888885,31762.74,Trailing SL Hit,-346.3899999999994,6.387187000000001,-352.7771869999994,2491.503195508567,-878945.4887130217,-8.789454887130217,2020
