,Trade No.,Entry Date,Entry Time,Entry Price,Entry Remark,Initial SL,Final SL,TSL Time,Exit Date,Exit Time,Exit Price,Remarks,Trade Year,Trade Month,Points Captured,Slippage,Points w cs,Qty,PnL,ROI%
45,24,2017-10-16,09:00:00,29900,Pyr Long,29526.25,29690.0,2017-10-11 21:00:00+05:30,2017-10-17,13:00:00,29685,Trailing SL,2017,10,-215,59.585,-274.585,535.1170568561873,-146935.1170568562,-1.469351170568562
46,25,2017-11-09,13:00:00,29559,Long,29189.5125,29189.5125,2017-11-14 17:00:00+05:30,2017-11-17,09:00:00,29410,Trailing SL,2017,11,-149,58.969,-207.969,1353.225751886061,-281429.0063939922,-2.8142900639399224
47,25,2017-11-15,17:00:00,29696,Pyr Long,29324.800000000003,29189.5125,2017-11-14 17:00:00+05:30,2017-11-17,09:00:00,29410,Trailing SL,2017,11,-286,59.106,-345.106,538.7931034482801,-185940.73275862215,-1.8594073275862217
48,26,2017-12-27,09:00:00,28885,Long,28523.9375,28523.9375,2018-01-30 09:00:00+05:30,2018-01-31,21:00:00,29941,Trailing SL,2017,12,1056,58.826,997.174,1384.8018002423403,1380888.3503548554,13.808883503548554
49,26,2018-01-05,09:00:00,29270,Pyr Long,28904.125,28523.9375,2018-01-30 09:00:00+05:30,2018-01-31,21:00:00,29941,Trailing SL,2017,12,671,59.211,611.789,546.6347796378544,334425.1451998633,3.344251451998633
50,26,2018-01-08,17:00:00,29284,Pyr Long,28917.95,29061.0,2018-01-30 09:00:00+05:30,2018-01-31,21:00:00,29941,Trailing SL,2017,12,657,59.225,597.775,546.3734462505133,326608.3868324006,3.2660838683240057
51,26,2018-01-10,13:00:00,29299,Pyr Long,28932.7625,29061.0,2018-01-30 09:00:00+05:30,2018-01-31,21:00:00,29941,Trailing SL,2017,12,642,59.24,582.76,546.0937233352685,318241.5782108611,3.182415782108611
52,27,2018-02-14,13:00:00,30237,Long,29859.037500000002,29859.037500000002,2018-02-21 13:00:00+05:30,2018-02-27,21:00:00,30305,Trailing SL,2018,2,68,60.542,7.457999999999998,1322.882561100646,9866.058140688616,0.09866058140688615
53,28,2018-03-07,13:00:00,30570,Long,30187.875,30187.875,2018-02-21 13:00:00+05:30,2018-03-12,21:00:00,30322,MA Bear Cross,2018,3,-248,60.892,-308.892,1308.4723585214263,-404176.6437684004,-4.041766437684004
54,29,2018-03-22,21:00:00,30485,Long,30103.9375,30103.9375,2018-04-03 17:00:00+05:30,2018-04-05,09:00:00,30644,Trailing SL,2018,3,159,61.129,97.87100000000001,1312.1207151057897,128418.56650811876,1.2841856650811878
55,29,2018-04-02,21:00:00,30950,Pyr Long,30563.125,30103.9375,2018-04-03 17:00:00+05:30,2018-04-05,09:00:00,30644,Trailing SL,2018,3,-306,61.594,-367.594,516.9628432956381,-190032.4394184168,-1.900324394184168
