,Contract,Strike,Trade Type,Expiry Date,DTE,Entry Date,Entry Time,Entry Price,Initial SL,Exit Date,Exit Time,Exit Price,Points Captured,After Costs,Remarks,Qty,ROI%,Trade Year,Trade Month
0,BANKNIFTY17FEB20600CE,20600,CE,2017-02-23,2 days,2017-02-21,09:18:00,131.6,164.5,2017-02-21,09:24:00,164.5,-32.900000000000006,-35.861000000000004,SL Hit,289.6339991697159,-1.0386564844225181,2017,2
1,BANKNIFTY17FEB20700PE,20700,PE,2017-02-23,2 days,2017-02-21,09:18:00,140.35,175.4375,2017-02-21,15:22:00,50.05,90.3,88.396,EOD,289.6339991697159,2.5602486990606206,2017,2
0,BANKNIFTY17FEB20800CE,20800,CE,2017-02-23,1 days,2017-02-22,09:18:00,116.1,145.125,2017-02-22,09:22:00,145.125,-29.025000000000006,-31.637250000000005,SL Hit,286.8775056957138,-0.9076015367071724,2017,2
1,BANKNIFTY17FEB21000PE,21000,PE,2017-02-23,1 days,2017-02-22,09:18:00,176.2,220.25,2017-02-22,15:22:00,167.6,8.599999999999994,5.161999999999995,EOD,286.8775056957138,0.1480861684401273,2017,2
0,BANKNIFTY1730220600CE,20600,CE,2017-03-02,0 days,2017-03-02,09:18:00,258.0,322.5,2017-03-02,15:22:00,0.05,257.95,255.3695,EOD,287.0806529170983,7.3311642795112935,2017,3
1,BANKNIFTY1730221200PE,21200,PE,2017-03-02,0 days,2017-03-02,09:19:00,308.95,386.1875,2017-03-02,12:41:00,386.1875,-77.23750000000001,-84.18887500000001,SL Hit,287.0806529170983,-2.4168997203355977,2017,3
0,BANKNIFTY1731621000CE,21000,CE,2017-03-16,2 days,2017-03-14,09:18:00,227.6,284.5,2017-03-14,15:22:00,162.2,65.4,61.50200000000001,EOD,282.9581387013636,1.7402491446411268,2017,3
1,BANKNIFTY1731620900PE,20900,PE,2017-03-16,2 days,2017-03-14,09:18:00,45.45,56.8125,2017-03-14,09:26:00,56.8125,-11.362499999999997,-12.385124999999997,SL Hit,282.9581387013636,-0.3504471917583725,2017,3
2,BANKNIFTY1731621000PE,21000,PE,2017-03-16,2 days,2017-03-14,09:27:00,85.4,117.42500000000001,2017-03-14,15:22:00,67.65,17.75,16.2195,EOD,282.9581387013636,0.45894395306667674,2017,3
0,BANKNIFTY17MAR21100CE,21100,CE,2017-03-30,2 days,2017-03-28,09:18:00,166.6,208.25,2017-03-28,15:22:00,177.55,-10.950000000000017,-14.391500000000017,EOD,282.5404150518697,-0.4066180383218987,2017,3
1,BANKNIFTY17MAR21400PE,21400,PE,2017-03-30,2 days,2017-03-28,09:18:00,215.0,268.75,2017-03-28,15:22:00,182.8,32.19999999999999,28.221999999999987,EOD,282.5404150518697,0.7973855593593862,2017,3
0,BANKNIFTY17MAR21200CE,21200,CE,2017-03-30,1 days,2017-03-29,09:18:00,121.55,151.9375,2017-03-29,11:09:00,151.9375,-30.387500000000003,-33.122375000000005,SL Hit,281.4450326124432,-0.9322127912076573,2017,3
1,BANKNIFTY17MAR21400PE,21400,PE,2017-03-30,1 days,2017-03-29,09:18:00,153.0,191.25,2017-03-29,15:22:00,58.5,94.5,92.385,EOD,281.4450326124432,2.6001299337900563,2017,3
0,BANKNIFTY17APR21800CE,21800,CE,2017-04-27,2 days,2017-04-25,09:18:00,180.5,225.625,2017-04-25,15:22:00,225.625,-45.125,-49.18625,SL Hit,272.929488666603,-1.3424378061927702,2017,4
1,BANKNIFTY17APR22000PE,22000,PE,2017-04-27,2 days,2017-04-25,09:18:00,152.0,190.0,2017-04-25,15:22:00,84.95,67.05,64.6805,EOD,272.929488666603,1.7653215791700216,2017,4
0,BANKNIFTY17APR21900CE,21900,CE,2017-04-27,1 days,2017-04-26,09:18:00,186.05,232.5625,2017-04-26,09:30:00,232.5625,-46.51249999999999,-50.69862499999999,SL Hit,271.8825829751658,-1.3784073118289315,2017,4
1,BANKNIFTY17APR22100CE,22100,CE,2017-04-27,1 days,2017-04-26,09:31:00,107.4,147.675,2017-04-26,09:48:00,147.675,-40.275000000000006,-42.825750000000006,SL Hit,271.8825829751658,-1.1643575527848709,2017,4
2,BANKNIFTY17APR22200CE,22200,CE,2017-04-27,1 days,2017-04-26,09:49:00,86.85,119.41874999999999,2017-04-26,15:22:00,85.15,1.6999999999999886,-0.020000000000011342,EOD,271.8825829751658,-0.0005437651659506399,2017,4
3,BANKNIFTY17APR22100PE,22100,PE,2017-04-27,1 days,2017-04-26,09:18:00,112.1,140.125,2017-04-26,15:22:00,36.5,75.6,74.11399999999999,EOD,271.8825829751658,2.0150305754621436,2017,4
0,BANKNIFTY17APR21900CE,21900,CE,2017-04-27,0 days,2017-04-27,09:18:00,274.25,342.8125,2017-04-27,10:57:00,342.8125,-68.5625,-74.733125,SL Hit,269.7544560064201,-2.01595934800348,2017,4
1,BANKNIFTY17APR22000CE,22000,CE,2017-04-27,0 days,2017-04-27,10:58:00,246.3,338.6625,2017-04-27,14:51:00,338.6625,-92.36250000000001,-98.21212500000001,SL Hit,269.7544560064201,-2.649315835260954,2017,4
2,BANKNIFTY17APR22100CE,22100,CE,2017-04-27,0 days,2017-04-27,14:52:00,247.6,340.45,2017-04-27,15:22:00,211.0,36.599999999999994,32.013999999999996,EOD,269.7544560064201,0.8635919154589534,2017,4
3,BANKNIFTY17APR22500PE,22500,PE,2017-04-27,0 days,2017-04-27,09:18:00,316.0,395.0,2017-04-27,15:22:00,144.9,171.1,166.49099999999999,EOD,269.7544560064201,4.491168913496488,2017,4
0,BANKNIFTY1750422200CE,22200,CE,2017-05-04,6 days,2017-04-28,09:18:00,137.95,172.4375,2017-04-28,13:32:00,172.4375,-34.48750000000001,-37.59137500000001,SL Hit,269.26175159257104,-1.012191947727319,2017,4
1,BANKNIFTY1750422200PE,22200,PE,2017-05-04,6 days,2017-04-28,09:18:00,127.95,159.9375,2017-04-28,15:22:00,64.55,63.400000000000006,61.47500000000001,EOD,269.26175159257104,1.655286617915331,2017,4
0,BANKNIFTY1750422300CE,22300,CE,2017-05-04,2 days,2017-05-02,09:18:00,142.0,177.5,2017-05-02,09:31:00,177.5,-35.5,-38.695,SL Hit,267.4792090639788,-1.035010799473066,2017,5
1,BANKNIFTY1750422400PE,22400,PE,2017-05-04,2 days,2017-05-02,09:18:00,117.15,146.4375,2017-05-02,10:46:00,146.4375,-29.287499999999994,-31.923374999999993,SL Hit,267.4792090639788,-0.853883909565279,2017,5
2,BANKNIFTY1750422300PE,22300,PE,2017-05-04,2 days,2017-05-02,10:47:00,94.25,129.59375,2017-05-02,15:22:00,75.25,19.0,17.305,EOD,267.4792090639788,0.4628727712852153,2017,5
0,BANKNIFTY17MAY22700CE,22700,CE,2017-05-25,6 days,2017-05-19,09:18:00,193.35,241.6875,2017-05-19,09:40:00,241.6875,-48.337500000000006,-52.687875000000005,SL Hit,263.45543761045917,-1.3880907164890175,2017,5
1,BANKNIFTY17MAY22700PE,22700,PE,2017-05-25,6 days,2017-05-19,09:18:00,111.0,138.75,2017-05-19,12:05:00,138.75,-27.75,-30.2475,SL Hit,263.45543761045917,-0.7968868349122363,2017,5
2,BANKNIFTY17MAY22600PE,22600,PE,2017-05-25,6 days,2017-05-19,12:06:00,103.95,142.93125,2017-05-19,12:20:00,142.93125,-38.98125,-41.4500625,SL Hit,263.45543761045917,-1.0920244354918385,2017,5
3,BANKNIFTY17MAY22500PE,22500,PE,2017-05-25,6 days,2017-05-19,12:21:00,103.6,142.45,2017-05-19,15:22:00,46.0,57.599999999999994,56.10399999999999,EOD,263.45543761045917,1.4780903871697197,2017,5
0,BANKNIFTY1760123100CE,23100,CE,2017-06-01,2 days,2017-05-30,09:18:00,112.05,140.0625,2017-05-30,09:25:00,140.0625,-28.012500000000003,-30.533625000000004,SL Hit,259.2229360453813,-0.7915015920608657,2017,5
1,BANKNIFTY1760123200PE,23200,PE,2017-06-01,2 days,2017-05-30,09:18:00,190.1,237.625,2017-05-30,15:22:00,85.35,104.75,101.9955,EOD,259.2229360453813,2.643957297341669,2017,5
