,Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Points,ROI,PnL_w_cs,ROI_w_cs,Trade Year
3679,2023-05-04,CLOSED,REBALANCE,2023-05-04,NIFTY,18300PE,14:57:00,15:22:00,75.35,69.15,-163.9344262,1016.393443,6.2,0.001016393443,992.7049184141,0.09927049184141,2023
3680,2023-05-11,CLOSED,HEDGE,2023-05-11,NIFTY,18050PE,9:16:00,15:22:00,1.35,0.1,831.0249307,-1038.781163,-1.25,-0.0010387811630000001,-1037.5761768504851,-0.10375761768504851,2023
3681,2023-05-11,CLOSED,HEDGE,2023-05-11,NIFTY,18650CE,9:16:00,15:22:00,0.6,0.2,804.2895442,-321.7158177,-0.4,-0.00032171581770000003,-321.07238606464,-0.032107238606464,2023
3682,2023-05-11,CLOSED,STRADDLE,2023-05-11,NIFTY,18250CE,9:16:00,15:22:00,107.15,47.85,-164.3835616,9747.945205,59.3,0.009747945205,9722.465752952,0.9722465752951999,2023
3683,2023-05-11,CLOSED,STRADDLE,2023-05-11,NIFTY,18250PE,9:16:00,15:22:00,7.95,2.45,-164.3835616,904.109589,5.5,0.000904109589,902.39999995936,0.090239999995936,2023
3684,2023-05-11,CLOSED,STRADDLE,2023-05-11,NIFTY,18300CE,9:16:00,15:22:00,66.7,10.65,-163.9344262,9188.52459,56.05,0.00918852459,9175.84426213343,0.917584426213343,2023
3685,2023-05-11,CLOSED,STRADDLE,2023-05-11,NIFTY,18300PE,9:16:00,15:22:00,17.95,15.45,-163.9344262,409.8360656,2.5,0.0004098360656,404.36065576492,0.040436065576492,2023
3686,2023-05-11,CLOSED,STRADDLE,2023-05-11,NIFTY,18350CE,9:16:00,15:22:00,36.0,0.65,-163.4877384,5779.291553,35.35,0.005779291553,5773.29972738764,0.577329972738764,2023
3687,2023-05-11,CLOSED,STRADDLE,2023-05-11,NIFTY,18350PE,9:16:00,15:22:00,36.9,55.6,-163.4877384,-3057.220708,-18.7,-0.003057220708,-3072.3433238019998,-0.3072343323802,2023
3688,2023-05-11,CLOSED,STRADDLE,2023-05-11,NIFTY,18400CE,9:16:00,15:22:00,16.45,0.4,-163.0434783,2616.847826,16.05,0.002616847826,2614.1005433906453,0.2614100543390645,2023
3689,2023-05-11,CLOSED,STRADDLE,2023-05-11,NIFTY,18400PE,9:16:00,15:22:00,67.35,105.3,-163.0434783,-6187.5,-37.95,-0.0061875,-6215.649456528495,-0.6215649456528495,2023
3690,2023-05-11,CLOSED,STRADDLE,2023-05-11,NIFTY,18450CE,9:16:00,15:22:00,5.85,0.3,-162.601626,902.4390244,5.55,0.0009024390244,901.4390244001,0.09014390244001,2023
3691,2023-05-11,CLOSED,STRADDLE,2023-05-11,NIFTY,18450PE,9:16:00,15:22:00,106.65,155.1,-162.601626,-7878.04878,-48.45,-0.00787804878,-7920.6097556055,-0.79206097556055,2023
3692,2023-05-18,CLOSED,HEDGE,2023-05-18,NIFTY,18050PE,9:16:00,15:22:00,1.6,0.2,831.0249307,-1163.434903,-1.4,-0.0011634349030000002,-1161.93905812474,-0.116193905812474,2023
3693,2023-05-18,CLOSED,HEDGE,2023-05-18,NIFTY,18550CE,9:16:00,15:22:00,1.15,0.15,808.6253369,-808.6253369,-1.0,-0.0008086253369,-807.57412396203,-0.08075741239620299,2023
3694,2023-05-18,CLOSED,STRADDLE,2023-05-18,NIFTY,18200CE,9:16:00,15:22:00,81.9,1.7,-164.8351648,13219.78022,80.2,0.013219780220000001,13206.00000022272,1.3206000000222722,2023
3695,2023-05-18,CLOSED,STRADDLE,2023-05-18,NIFTY,18200PE,9:16:00,15:22:00,8.6,48.0,-164.8351648,-6494.505495,-39.4,-0.006494505495,-6503.83516532768,-0.650383516532768,2023
3696,2023-05-18,CLOSED,STRADDLE,2023-05-18,NIFTY,18250CE,9:16:00,15:22:00,45.45,0.4,-164.3835616,7405.479452,45.05,0.0074054794519999995,7397.942465700639,0.739794246570064,2023
3697,2023-05-18,CLOSED,STRADDLE,2023-05-18,NIFTY,18250PE,9:16:00,15:22:00,22.55,96.8,-164.3835616,-12205.47945,-74.25,-0.01220547945,-12225.098628076961,-1.222509862807696,2023
3698,2023-05-18,CLOSED,STRADDLE,2023-05-18,NIFTY,18300CE,9:16:00,15:07:00,22.15,0.2,-163.9344262,3598.360656,21.95,0.0035983606559999996,3594.69672157443,0.35946967215744297,2023
3699,2023-05-18,CLOSED,STRADDLE,2023-05-18,NIFTY,18300PE,9:16:00,15:07:00,48.4,178.55,-163.9344262,-21336.06557,-130.15,-0.02133606557,-21373.27048802609,-2.137327048802609,2023
3700,2023-05-18,CLOSED,STRADDLE,2023-05-18,NIFTY,18350CE,9:16:00,14:08:00,9.2,0.75,-163.4877384,1381.47139,8.45,0.00138147139,1379.84468700292,0.137984468700292,2023
3701,2023-05-18,CLOSED,STRADDLE,2023-05-18,NIFTY,18350PE,9:16:00,14:08:00,85.4,179.85,-163.4877384,-15441.41689,-94.45,-0.01544141689,-15484.7820126106,-1.54847820126106,2023
