entry_time,entry_price,exit_time,exit_price,strike,call_put,dir,exit_type,expiry,pnl,index,entry_type,num_indices,index_leverage,pnl_w_cs,qty,roi
2023-01-31 14:15,28.25,2023-01-31 15:00,1.4125000000000012,18050,P,short,trgt,2023-01-31,26.8375,FINNIFTY,original,1,8,26.244249999999997,73,0.0019158302499999997
2023-01-31 14:15,53.1,2023-01-31 15:23,42.25,18050,C,short,time,2023-01-31,10.850000000000001,FINNIFTY,original,1,8,8.943000000000001,73,0.000652839
2023-02-02 09:16,282.05,2023-02-02 09:17,394.87,40000,P,short,sl,2023-02-02,-112.82,BNF,original,2,7,-126.35839999999999,14,-0.0017690175999999999
2023-02-02 09:16,76.8,2023-02-02 09:17,107.52,17500,P,short,sl,2023-02-02,-30.72,NIFTY,original,2,10,-34.4064,47,-0.0016171007999999998
2023-02-02 09:16,327.7,2023-02-02 09:24,458.78,40000,C,short,sl,2023-02-02,-131.07999999999998,BNF,original,2,7,-146.8096,14,-0.0020553343999999995
2023-02-02 09:16,93.0,2023-02-02 09:30,130.2,17500,C,short,sl,2023-02-02,-37.19999999999999,NIFTY,original,2,10,-41.66399999999999,47,-0.0019582079999999995
2023-02-02 10:15,257.3,2023-02-02 10:29,385.95000000000005,40400,P,short,sl,2023-02-02,-128.65000000000003,BNF,original,2,7,-141.51500000000004,14,-0.0019812100000000006
2023-02-02 10:15,55.2,2023-02-02 10:29,82.80000000000001,17550,P,short,sl,2023-02-02,-27.60000000000001,NIFTY,original,2,10,-30.36000000000001,47,-0.0014269200000000004
2023-02-02 10:15,79.7,2023-02-02 12:03,119.55000000000001,17550,C,short,sl,2023-02-02,-39.85000000000001,NIFTY,original,2,10,-43.83500000000001,47,-0.002060245
2023-02-02 10:15,234.25,2023-02-02 14:46,351.375,40400,C,short,sl,2023-02-02,-117.125,BNF,original,2,7,-128.8375,14,-0.001803725
2023-02-02 11:15,55.4,2023-02-02 13:39,88.64,17600,P,short,sl,2023-02-02,-33.24,NIFTY,original,2,10,-36.1208,47,-0.0016976776
2023-02-02 11:15,217.55,2023-02-02 13:40,348.08000000000004,40400,P,short,sl,2023-02-02,-130.53000000000003,BNF,original,2,7,-141.84260000000003,14,-0.0019857964000000003
2023-02-02 11:15,222.45,2023-02-02 14:46,355.92,40400,C,short,sl,2023-02-02,-133.47000000000003,BNF,original,2,7,-145.03740000000002,14,-0.0020305236
2023-02-02 11:15,58.3,2023-02-02 15:12,2.9150000000000023,17600,C,short,trgt,2023-02-02,55.385,NIFTY,original,2,10,54.1607,47,0.0025455529
2023-02-02 12:15,36.2,2023-02-02 12:27,61.540000000000006,17600,P,short,sl,2023-02-02,-25.340000000000003,NIFTY,original,2,10,-27.294800000000002,47,-0.0012828556
2023-02-02 12:15,154.1,2023-02-02 12:36,261.96999999999997,40400,P,short,sl,2023-02-02,-107.86999999999998,BNF,original,2,7,-116.19139999999997,14,-0.0016266795999999996
2023-02-02 12:15,212.7,2023-02-02 14:46,361.59,40400,C,short,sl,2023-02-02,-148.89,BNF,original,2,7,-160.3758,14,-0.0022452611999999998
2023-02-02 12:15,60.25,2023-02-02 15:12,3.012500000000003,17600,C,short,trgt,2023-02-02,57.2375,NIFTY,original,2,10,55.972249999999995,47,0.0026306957499999998
2023-02-02 13:15,132.5,2023-02-02 13:39,238.5,40300,P,short,sl,2023-02-02,-106.0,BNF,original,2,7,-113.42,14,-0.00158788
2023-02-02 13:15,35.55,2023-02-02 13:40,63.989999999999995,17550,P,short,sl,2023-02-02,-28.439999999999998,NIFTY,original,2,10,-30.430799999999998,47,-0.0014302476
2023-02-02 13:15,134.1,2023-02-02 14:18,241.38,40300,C,short,sl,2023-02-02,-107.28,BNF,original,2,7,-114.78960000000001,14,-0.0016070543999999998
2023-02-02 13:15,39.0,2023-02-02 14:24,70.2,17550,C,short,sl,2023-02-02,-31.200000000000003,NIFTY,original,2,10,-33.384,47,-0.001569048
2023-02-02 14:15,135.6,2023-02-02 14:18,257.64,40300,C,short,sl,2023-02-02,-122.03999999999999,BNF,original,2,7,-129.9048,14,-0.0018186671999999998
2023-02-02 14:15,30.35,2023-02-02 14:21,57.665,17550,C,short,sl,2023-02-02,-27.314999999999998,NIFTY,original,2,10,-29.0753,47,-0.0013665391
2023-02-02 14:15,91.05,2023-02-02 14:51,4.552500000000004,40300,P,short,trgt,2023-02-02,86.49749999999999,BNF,original,2,7,84.58545,14,0.0011841962999999999
2023-02-02 14:15,30.45,2023-02-02 15:02,1.5225000000000013,17550,P,short,trgt,2023-02-02,28.9275,NIFTY,original,2,10,28.28805,47,0.0013295383499999998
2023-02-07 09:16,66.55,2023-02-07 12:50,93.16999999999999,18400,P,short,sl,2023-02-07,-26.61999999999999,FINNIFTY,original,1,8,-29.81439999999999,72,-0.0021466367999999993
2023-02-07 09:16,63.5,2023-02-07 13:04,3.175000000000003,18400,C,short,trgt,2023-02-07,60.324999999999996,FINNIFTY,original,1,8,58.991499999999995,72,0.0042473879999999995
2023-02-07 10:15,54.1,2023-02-07 12:20,81.15,18400,P,short,sl,2023-02-07,-27.050000000000004,FINNIFTY,original,1,8,-29.755000000000003,72,-0.00214236
2023-02-07 10:15,36.2,2023-02-07 14:56,54.300000000000004,18400,C,short,sl,2023-02-07,-18.1,FINNIFTY,original,1,8,-19.91,72,-0.00143352
2023-02-07 11:15,33.75,2023-02-07 11:30,54.0,18400,P,short,sl,2023-02-07,-20.25,FINNIFTY,original,1,8,-22.005,72,-0.00158436
2023-02-07 11:15,44.15,2023-02-07 15:11,2.207500000000002,18400,C,short,trgt,2023-02-07,41.942499999999995,FINNIFTY,original,1,8,41.01535,72,0.0029531051999999998
2023-02-07 12:15,36.25,2023-02-07 12:50,61.625,18350,P,short,sl,2023-02-07,-25.375,FINNIFTY,original,1,8,-27.3325,72,-0.00196794
2023-02-07 12:15,43.75,2023-02-07 14:45,74.375,18350,C,short,sl,2023-02-07,-30.625,FINNIFTY,original,1,8,-32.9875,72,-0.0023750999999999998
2023-02-07 13:15,39.2,2023-02-07 13:30,70.56,18250,C,short,sl,2023-02-07,-31.36,FINNIFTY,original,1,8,-33.5552,73,-0.0024495295999999995
2023-02-07 13:15,29.55,2023-02-07 14:03,1.4775000000000014,18250,P,short,trgt,2023-02-07,28.072499999999998,FINNIFTY,original,1,8,27.451949999999997,73,0.0020039923499999995
2023-02-07 14:15,14.35,2023-02-07 14:39,27.264999999999997,18400,C,short,sl,2023-02-07,-12.914999999999997,FINNIFTY,original,1,8,-13.747299999999997,72,-0.0009898055999999998
2023-02-07 14:15,35.65,2023-02-07 14:55,1.7825000000000015,18400,P,short,trgt,2023-02-07,33.8675,FINNIFTY,original,1,8,33.11885,72,0.0023845572
2023-02-09 09:16,179.4,2023-02-09 09:30,251.16,41500,P,short,sl,2023-02-09,-71.75999999999999,BNF,original,2,7,-80.37119999999999,14,-0.0011251967999999996
2023-02-09 09:16,56.2,2023-02-09 09:40,78.67999999999999,17850,P,short,sl,2023-02-09,-22.47999999999999,NIFTY,original,2,10,-25.17759999999999,46,-0.0011581695999999995
2023-02-09 09:16,45.7,2023-02-09 14:01,63.98,17850,C,short,sl,2023-02-09,-18.279999999999994,NIFTY,original,2,10,-20.473599999999994,46,-0.0009417855999999997
2023-02-09 09:16,148.2,2023-02-09 15:23,52.0,41500,C,short,time,2023-02-09,96.19999999999999,BNF,original,2,7,92.19599999999998,14,0.0012907439999999997
2023-02-09 10:15,125.8,2023-02-09 14:02,188.7,41400,C,short,sl,2023-02-09,-62.89999999999999,BNF,original,2,7,-69.19,14,-0.0009686599999999999
2023-02-09 10:15,42.7,2023-02-09 14:02,64.05000000000001,17850,C,short,sl,2023-02-09,-21.35000000000001,NIFTY,original,2,10,-23.48500000000001,46,-0.0010803100000000003
