,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year
260,LONG,2023-02-03 11:15:00,2023-02-03 12:15:00,6896.05,6851.6,2023-02-07 13:15:00,6950.7,Reversed,54.649999999999636,49.11129999999964,580.0421980699095,4,31699.306124520346,28486.62640207054,3.169930612452035,2.8486626402070536,2023
261,LONG,2023-02-07 12:15:00,2023-02-07 13:15:00,6950.7,6980.35,2023-02-07 13:15:00,6980.35,Initial SL Hit,29.650000000000546,24.077580000000545,575.4816061691629,4,17063.029622915994,13856.204411066827,1.7063029622915995,1.3856204411066826,2023
262,SHORT,2023-02-07 12:15:00,2023-02-07 13:15:00,6950.7,6980.35,2023-02-07 13:15:00,6980.35,Initial SL Hit,-29.650000000000546,-35.22242000000055,575.4816061691629,4,-17063.029622915994,-20269.85483476516,-1.7063029622915995,-2.026985483476516,2023
263,SHORT,2023-02-07 15:15:00,2023-02-08 09:15:00,6978.35,6996.25,2023-02-08 09:15:00,6996.25,Initial SL Hit,-17.899999999999636,-23.48983999999964,573.2014014774265,4,-10260.305086445727,-13464.409208480305,-1.0260305086445727,-1.3464409208480306,2023
264,LONG,2023-02-08 10:15:00,2023-02-08 11:15:00,6997.9,6958.5,2023-02-09 09:15:00,7031.85,Reversed,33.95000000000073,28.33810000000073,571.6000514440046,4,19405.821746524372,16198.059417825765,1.9405821746524372,1.6198059417825765,2023
265,SHORT,2023-02-08 15:15:00,2023-02-09 09:15:00,7031.85,7044.55,2023-02-09 09:15:00,7054.05,Gap Outside Initial SL,-22.199999999999818,-27.83435999999982,568.8403478458727,4,-12628.25572217827,-15833.307024467142,-1.262825572217827,-1.5833307024467143,2023
266,LONG,2023-02-09 10:15:00,2023-02-09 11:15:00,7060.6,7020.6,2023-02-09 13:15:00,7031.75,Reversed,-28.850000000000364,-34.48694000000037,566.5240914369883,4,-16344.220037957319,-19537.682349942137,-1.6344220037957318,-1.9537682349942138,2023
267,LONG,2023-02-09 12:15:00,2023-02-09 13:15:00,7031.75,7064.7,2023-02-09 13:15:00,7064.7,Initial SL Hit,32.94999999999982,27.311419999999817,568.8484374444485,4,18743.556013794474,15536.058591388954,1.8743556013794473,1.5536058591388953,2023
268,SHORT,2023-02-09 12:15:00,2023-02-09 13:15:00,7031.75,7064.7,2023-02-09 13:15:00,7064.7,Initial SL Hit,-32.94999999999982,-38.588579999999816,568.8484374444485,4,-18743.556013794474,-21951.05343619999,-1.8743556013794473,-2.195105343619999,2023
269,LONG,2023-02-10 10:15:00,2023-02-10 11:15:00,7071.85,7022.7,2023-02-13 09:15:00,7022.7,Initial SL Hit,-49.150000000000546,-54.78782000000054,565.6228568196441,4,-27800.363412685816,-30989.24326732074,-2.780036341268582,-3.098924326732074,2023
270,LONG,2023-02-13 13:15:00,2023-02-13 14:15:00,7001.65,6981.5,2023-02-13 14:15:00,6981.5,Initial SL Hit,-20.149999999999636,-25.743259999999637,571.2939092928095,4,-11511.572272249905,-14706.967643341004,-1.1511572272249906,-1.4706967643341002,2023
271,SHORT,2023-02-13 15:15:00,2023-02-14 09:15:00,6972.1,7003.75,2023-02-14 11:15:00,6974.75,Reversed,-2.649999999999636,-8.228739999999636,573.7152364423918,4,-1520.3453765721295,-4720.953514722758,-0.15203453765721292,-0.47209535147227577,2023
272,LONG,2023-02-14 10:15:00,2023-02-14 11:15:00,6974.75,6938.8,2023-02-15 13:15:00,6969.65,Reversed,-5.100000000000364,-10.677760000000365,573.4972579662353,4,-2924.8360156280087,-6123.666081221759,-0.2924836015628009,-0.6123666081221759,2023
273,SHORT,2023-02-15 12:15:00,2023-02-15 13:15:00,6969.65,7003.35,2023-02-15 14:15:00,7003.35,Initial SL Hit,-33.70000000000073,-39.289200000000726,573.916911179184,4,-19340.999906738918,-22548.736306701612,-1.9340999906738918,-2.254873630670161,2023
274,LONG,2023-02-15 14:15:00,2023-02-15 15:15:00,7005.75,6966.4,2023-02-20 09:15:00,6986.5,Reversed,-19.25,-24.8469,570.9595689255254,4,-10990.971701816365,-14186.57531313564,-1.0990971701816366,-1.4186575313135639,2023
275,SHORT,2023-02-17 15:15:00,2023-02-20 09:15:00,6986.5,7007.45,2023-02-20 09:15:00,7013.85,Gap Outside Initial SL,-27.350000000000364,-32.95014000000037,572.5327417161669,4,-15658.770485937373,-18865.03399413175,-1.5658770485937374,-1.886503399413175,2023
276,LONG,2023-02-20 10:15:00,2023-02-20 11:15:00,7019.75,6960.8,2023-02-20 15:15:00,6998.95,Reversed,-20.800000000000182,-26.407480000000184,569.8208625663307,4,-11852.27394137978,-15047.53303180323,-1.185227394137978,-1.504753303180323,2023
277,SHORT,2023-02-20 14:15:00,2023-02-20 15:15:00,6998.95,7043.35,2023-02-27 14:15:00,6739.35,Reversed,259.59999999999945,254.10467999999946,571.5142985733575,4,148365.11190964328,145224.45795440715,14.836511190964329,14.522445795440715,2023
278,LONG,2023-02-27 13:15:00,2023-02-27 14:15:00,6739.35,6699.3,2023-03-02 09:15:00,6870.05,Reversed,130.69999999999982,125.25623999999982,593.5290495374182,4,77574.24677454046,74343.21707583065,7.757424677454046,7.434321707583064,2023
279,LONG,2023-03-01 15:15:00,2023-03-02 09:15:00,6870.05,6880.15,2023-03-02 09:15:00,6880.15,Initial SL Hit,10.099999999999454,4.599919999999454,582.2373927409553,4,5880.597666683331,2678.2454276166573,0.588059766668333,0.26782454276166573,2023
280,SHORT,2023-03-01 15:15:00,2023-03-02 09:15:00,6870.05,6880.15,2023-03-02 09:15:00,6880.15,Initial SL Hit,-10.099999999999454,-15.600079999999455,582.2373927409553,4,-5880.597666683331,-9082.949905750005,-0.588059766668333,-0.9082949905750005,2023
281,LONG,2023-03-02 10:15:00,2023-03-02 11:15:00,6888.8,6854.95,2023-03-02 15:15:00,6854.95,Initial SL Hit,-33.850000000000364,-39.347500000000366,580.6526535826268,4,-19655.09232377213,-22847.230286842623,-1.965509232377213,-2.284723028684262,2023
282,LONG,2023-03-03 13:15:00,2023-03-03 14:15:00,6924.6,6894.65,2023-03-06 11:15:00,6967.9,Reversed,43.29999999999927,37.74299999999927,577.6506946249602,4,25012.275077260358,21802.270167229453,2.5012275077260355,2.1802270167229456,2023
283,SHORT,2023-03-06 10:15:00,2023-03-06 11:15:00,6967.9,6987.8,2023-03-08 14:15:00,6969.7,Reversed,-1.800000000000182,-7.3750400000001815,574.0610513928157,4,-1033.3098925071727,-4233.7232164641755,-0.10333098925071726,-0.4233723216464175,2023
284,LONG,2023-03-08 13:15:00,2023-03-08 14:15:00,6969.7,6945.2,2023-03-09 11:15:00,7002.55,Reversed,32.850000000000364,27.26110000000036,573.9127939509592,4,18853.03528128922,15645.494067176702,1.8853035281289219,1.5645494067176702,2023
285,SHORT,2023-03-09 10:15:00,2023-03-09 11:15:00,7002.55,7030.8,2023-03-10 11:15:00,6894.35,Reversed,108.19999999999982,102.64123999999981,571.220483966555,4,61806.056365181146,58630.77878772721,6.180605636518115,5.863077878772722,2023
286,LONG,2023-03-10 10:15:00,2023-03-10 11:15:00,6894.35,6830.75,2023-03-10 13:15:00,6880.85,Reversed,-13.5,-19.010080000000002,580.1852241328044,4,-7832.500525792859,-11029.367525582542,-0.7832500525792859,-1.102936752558254,2023
287,SHORT,2023-03-10 12:15:00,2023-03-10 13:15:00,6880.85,6901.6,2023-03-10 14:15:00,6901.6,Initial SL Hit,-20.75,-26.26298,581.3235283431552,4,-12062.46321312047,-15267.288198405717,-1.2062463213120471,-1.5267288198405715,2023
288,SHORT,2023-03-13 10:15:00,2023-03-13 11:15:00,6827.55,6914.65,2023-03-14 12:15:00,6729.65,Reversed,97.90000000000055,92.47712000000054,585.8616927008957,4,57355.85971541801,54178.80205930417,5.7355859715418,5.417880205930417,2023
289,LONG,2023-03-14 11:15:00,2023-03-14 12:15:00,6729.65,6684.95,2023-03-14 14:15:00,6700.4,Reversed,-29.25,-34.62202,594.384551945495,4,-17385.74814440573,-20578.793845147968,-1.738574814440573,-2.0578793845147967,2023
290,SHORT,2023-03-14 13:15:00,2023-03-14 14:15:00,6700.4,6753.55,2023-03-15 09:15:00,6793.65,Gap Outside Initial SL,-93.25,-98.64762,596.9792848188168,4,-55668.31830935467,-58890.585636678414,-5.566831830935467,-5.889058563667842,2023
291,LONG,2023-03-16 10:15:00,2023-03-16 11:15:00,6758.1,6670.25,2023-03-17 11:15:00,6813.95,Reversed,55.849999999999454,50.42117999999945,591.8823337920421,4,33056.62834228523,29843.405690948315,3.305662834228523,2.9843405690948317,2023
292,SHORT,2023-03-17 10:15:00,2023-03-17 11:15:00,6813.95,6851.25,2023-03-17 14:15:00,6827.85,Reversed,-13.900000000000546,-19.356720000000546,587.031017251374,4,-8159.7311397944195,-11362.995032250337,-0.8159731139794419,-1.1362995032250336,2023
293,LONG,2023-03-17 13:15:00,2023-03-17 14:15:00,6827.85,6780.75,2023-03-20 09:15:00,6810.35,Reversed,-17.5,-22.955280000000002,585.8359512877406,4,-10252.129147535461,-13448.028295876447,-1.025212914753546,-1.3448028295876446,2023
294,SHORT,2023-03-17 15:15:00,2023-03-20 09:15:00,6810.35,6836.75,2023-03-20 14:15:00,6714.5,Reversed,95.85000000000036,90.44006000000036,587.3413260698788,4,56296.6661037981,53119.18477023962,5.62966661037981,5.311918477023962,2023
295,LONG,2023-03-20 13:15:00,2023-03-20 14:15:00,6714.5,6689.0,2023-03-21 11:15:00,6760.95,Reversed,46.44999999999982,41.05981999999982,595.7256683297342,4,27671.457293916043,24460.388710998475,2.767145729391604,2.4460388710998475,2023
296,SHORT,2023-03-21 10:15:00,2023-03-21 11:15:00,6760.95,6786.35,2023-03-21 13:15:00,6779.6,Reversed,-18.650000000000546,-24.066220000000545,591.6328326640487,4,-11033.95232918483,-14238.365910116505,-1.1033952329184833,-1.4238365910116504,2023
297,LONG,2023-03-21 12:15:00,2023-03-21 13:15:00,6779.6,6748.75,2023-03-22 14:15:00,6806.7,Reversed,27.099999999999454,21.665479999999455,590.0053100477904,4,15989.143902294798,12782.74824473388,1.5989143902294798,1.2782748244733881,2023
