date,high level,low level,atr_multiplier,side,strike,type,expiry,entry_time,entry price,exit price,exit_time,remarks,points,slippage,final_points,portfolio,index_lev,qty,pnl,ROI%,Trade Year
2019-02-15,10761.072256993646,10694.427743006354,3,LONG,10750,PE,2019-02-21,2019-02-15 14:00:00,99.45,105.05,2019-02-15 14:03:00,SL Hit,-5.599999999999994,2.045,-7.644999999999994,10000000,8,7441.860465116279,-56893.02325581391,-0.5689302325581391,2019
2019-02-18,10754.318506277761,10673.88149372224,3,LONG,10750,PE,2019-02-21,2019-02-18 09:45:00,104.05,109.4,2019-02-18 09:48:00,SL Hit,-5.3500000000000085,2.1345,-7.484500000000009,10000000,8,7441.860465116279,-55698.60465116285,-0.5569860465116285,2019
2019-02-18,10754.318506277761,10673.88149372224,3,LONG,10750,PE,2019-02-21,2019-02-18 10:12:00,104.15,109.0,2019-02-18 10:27:00,SL Hit,-4.849999999999994,2.1315,-6.981499999999994,10000000,8,7441.860465116279,-51955.348837209254,-0.5195534883720925,2019
2019-02-19,10689.641375871004,10632.458624128994,3,SHORT,10650,CE,2019-02-21,2019-02-19 10:03:00,86.0,89.65,2019-02-19 12:39:00,SL Hit,-3.6500000000000057,1.7565000000000002,-5.406500000000006,10000000,8,7511.737089201878,-40612.206572769996,-0.4061220657277,2019
2019-02-19,10689.641375871004,10632.458624128994,3,SHORT,10650,CE,2019-02-21,2019-02-19 14:12:00,82.5,82.75,2019-02-19 14:18:00,SL Hit,-0.25,1.6525,-1.9025,10000000,8,7511.737089201878,-14291.079812206573,-0.14291079812206572,2019
2019-02-25,10842.776629306527,10794.823370693472,3,LONG,10850,PE,2019-02-28,2019-02-25 09:42:00,81.35,84.05,2019-02-25 09:45:00,SL Hit,-2.700000000000003,1.654,-4.354000000000003,10000000,8,7373.271889400921,-32103.22580645163,-0.3210322580645163,2019
2019-02-25,10842.776629306527,10794.823370693472,3,LONG,10850,PE,2019-02-28,2019-02-25 09:51:00,80.1,35.45,2019-02-25 15:21:00,EOD Exit,44.64999999999999,1.1555,43.49449999999999,10000000,8,7373.271889400921,320696.7741935483,3.206967741935483,2019
2019-02-26,10870.128600624621,10791.171399375378,3,LONG,10850,PE,2019-02-28,2019-02-26 10:48:00,88.05,99.0,2019-02-26 10:54:00,SL Hit,-10.950000000000003,1.8705,-12.820500000000003,10000000,8,7373.271889400921,-94529.03225806453,-0.9452903225806453,2019
2019-02-26,10870.128600624621,10791.171399375378,3,LONG,10850,PE,2019-02-28,2019-02-26 10:57:00,97.9,66.65,2019-02-26 15:21:00,EOD Exit,31.25,1.6455000000000002,29.6045,10000000,8,7373.271889400921,218282.0276497696,2.182820276497696,2019
2019-02-27,10930.073942638714,10850.326057361288,3,SHORT,10850,CE,2019-02-28,2019-02-27 10:42:00,98.05,98.05,2019-02-27 10:45:00,SL Hit,0.0,1.961,-1.961,10000000,8,7373.271889400921,-14458.986175115208,-0.1445898617511521,2019
2019-02-27,10930.073942638714,10850.326057361288,3,SHORT,10850,CE,2019-02-28,2019-02-27 11:06:00,94.0,26.2,2019-02-27 15:18:00,EOD Exit,67.8,1.202,66.598,10000000,8,7373.271889400921,491045.16129032255,4.910451612903225,2019
