date,Morning ATR,side,strike,type,expiry,dte,entry_time,entry price,trade_num,spot_price_at_entry,exit price,exit_time,spot_level_at_exit,remarks,points,index_lev,slippage,final_points,portfolio,qty,pnl,ROI%,Trade Year
2024-02-15,40.78907553954584,LONG,21900,P,2024-02-15,0,10:05:00,58.15,2,21885.35,0.05,2024-02-15 15:25:00,21927.05,EOD Exit,58.1,10,0.582,57.518,10000000,4566.2100456621,262639.2694063927,2.6263926940639273,2024.0
2024-02-16,35.570333770691235,LONG,22050,P,2024-02-22,6,11:55:00,152.6,1,22043.55,155.05,2024-02-16 15:25:00,22033.5,EOD Exit,-2.450000000000017,9,3.0765,-5.526500000000016,10000000,4081.6326530612246,-22557.142857142924,-0.22557142857142926,2024.0
2024-02-19,26.347778553534294,SHORT,22050,C,2024-02-22,3,09:45:00,122.8,1,22030.5,163.3,2024-02-19 10:15:00,22093.7,TSL Hit,-40.500000000000014,8,2.861,-43.36100000000001,10000000,3628.1179138321995,-157318.82086167805,-1.5731882086167805,2024.0
2024-02-19,26.347778553534294,LONG,22050,P,2024-02-22,3,10:15:00,119.65,2,22093.7,96.75,2024-02-19 14:55:00,22133.55,TSL Hit,22.900000000000006,8,2.164,20.736000000000004,10000000,3628.1179138321995,75232.65306122451,0.7523265306122451,2024.0
2024-02-19,26.347778553534294,SHORT,22150,C,2024-02-22,3,14:55:00,125.0,3,22133.55,111.0,2024-02-19 15:25:00,22116.95,EOD Exit,14.0,8,2.36,11.64,10000000,3611.7381489841987,42040.63205417607,0.4204063205417607,2024.0
2024-02-20,25.352087636956355,SHORT,22050,C,2024-02-22,2,09:45:00,125.3,1,22066.4,139.9,2024-02-20 10:05:00,22097.95,TSL Hit,-14.600000000000009,3,2.652,-17.25200000000001,10000000,1360.544217687075,-23472.10884353743,-0.2347210884353743,2024.0
2024-02-20,25.352087636956355,LONG,22100,P,2024-02-22,2,10:05:00,138.15,2,22097.95,123.95,2024-02-20 13:55:00,22091.15,TSL Hit,14.200000000000003,9,2.6210000000000004,11.579000000000002,10000000,4072.398190045249,47154.29864253395,0.4715429864253394,2024.0
2024-02-20,25.352087636956355,SHORT,22150,C,2024-02-22,2,13:55:00,80.5,3,22091.15,110.45,2024-02-20 14:15:00,22145.8,TSL Hit,-29.950000000000003,3,1.9095,-31.859500000000004,10000000,1354.4018058690745,-43150.564334085786,-0.4315056433408579,2024.0
2024-02-20,25.352087636956355,LONG,22150,P,2024-02-22,2,14:15:00,109.95,4,22145.8,85.0,2024-02-20 15:25:00,22208.15,EOD Exit,24.950000000000003,9,1.9495,23.000500000000002,10000000,4063.2054176072234,93455.75620767495,0.9345575620767494,2024.0
2024-02-21,28.002838620258434,SHORT,22200,C,2024-02-22,1,10:35:00,76.5,1,22174.65,93.65,2024-02-21 12:25:00,22222.4,TSL Hit,-17.150000000000006,8,1.7015,-18.851500000000005,10000000,3603.6036036036035,-67933.33333333334,-0.6793333333333333,2024.0
