,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
247,247,247,2022-08-30 11:15:00+05:30,2022-09-01 12:45:00+05:30,Long,58778.93,58514.61888888889,58351.380740740744,58807.9,Trailing SL Hit,28.970000000001164,11.758683000000001,17.211317000001163,701.6735346934297,12076.725636119932,0.12076725636119934,2022
248,248,248,2022-09-05 09:15:00+05:30,2022-09-07 09:15:00+05:30,Long,59169.29,59001.182222222225,58778.76,58778.76,Initial SL Hit,-390.52999999999884,11.794805,-402.32480499999883,768.1868230353645,-309060.6137812716,-3.090606137812716,2022
249,249,249,2022-09-08 09:15:00+05:30,2022-09-15 10:15:00+05:30,Long,59577.32,59189.17888888889,59067.12111111111,60076.33,Trailing SL Hit,499.01000000000204,11.965365,487.044635000002,588.0059845942441,286385.1601445204,2.8638516014452042,2022
250,250,250,2022-09-20 09:15:00+05:30,2022-09-20 15:15:00+05:30,Long,59786.28,59267.12074074074,59054.09222222222,59649.8,Trailing SL Hit,-136.47999999999593,11.943608000000001,-148.42360799999594,409.7309585124645,-60813.747171716626,-0.6081374717171663,2022
251,251,251,2022-09-21 09:45:00+05:30,2022-09-21 11:15:00+05:30,Long,59683.49,59602.170370370375,59467.03518518518,59539.02,Trailing SL Hit,-144.47000000000116,11.922251,-156.39225100000115,1385.9705558255116,-216755.05504527452,-2.1675505504527455,2022
252,252,252,2022-10-04 09:15:00+05:30,2022-10-07 11:45:00+05:30,Long,57809.09,57163.23777777778,56968.008888888886,57895.31,Trailing SL Hit,86.22000000000116,11.57044,74.64956000000116,356.68379189218126,26626.28812388331,0.2662628812388331,2022
253,253,253,2022-10-14 09:15:00+05:30,2022-11-10 09:15:00+05:30,Long,58198.58,57414.21518518519,57300.79851851852,60562.78,Trailing SL Hit,2364.199999999997,11.876136,2352.3238639999972,334.15703730595055,786045.5731783248,7.860455731783248,2022
254,254,254,2022-11-11 09:15:00+05:30,2022-11-18 09:45:00+05:30,Long,61548.77,60931.28444444444,60818.53888888889,61575.15,Trailing SL Hit,26.380000000004657,12.312392000000001,14.067608000004656,410.82883957590644,5779.379070250651,0.057793790702506516,2022
255,255,255,2022-11-22 14:45:00+05:30,2022-12-02 11:45:00+05:30,Long,61437.46,61318.059629629635,61214.63111111111,62705.17,Trailing SL Hit,1267.7099999999991,12.414263000000002,1255.2957369999992,1346.3245340221397,1690035.4481765025,16.900354481765024,2022
256,256,256,2022-12-13 10:45:00+05:30,2022-12-15 09:15:00+05:30,Long,62369.83,62225.334814814814,62087.00444444445,62424.37,Trailing SL Hit,54.54000000000087,12.479420000000001,42.06058000000087,1060.7245141292585,44614.68828449573,0.44614688284495735,2022
257,257,257,2022-12-27 13:45:00+05:30,2022-12-29 09:15:00+05:30,Long,60908.56,60501.60555555556,60359.070740740746,60531.11,Trailing SL Hit,-377.4499999999971,12.143967,-389.59396699999706,545.9615359987569,-212703.3206391674,-2.127033206391674,2022
