,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
532,532,532,2023-10-10 11:15:00+05:30,2023-10-13 09:15:00+05:30,Long,44098.75,44002.44583333333,43935.62083333333,44259.7,Trailing SL Hit,160.9499999999971,8.835845,152.11415499999708,15.325279047788737,2331.1918724935435,0.9324767489974174,2023
533,533,533,2023-10-13 13:45:00+05:30,2023-10-13 14:45:00+05:30,Long,44503.8,44397.13333333333,44302.85,44302.85,Initial SL Hit,-200.95000000000437,8.880665,-209.83066500000436,12.44090569793454,-2610.483515799948,-1.0441934063199791,2023
534,534,534,2023-10-17 09:15:00+05:30,2023-10-17 13:45:00+05:30,Long,44467.85,44298.80416666667,44241.375,44351.6,Trailing SL Hit,-116.25,8.881945,-125.131945,11.038745998454646,-1381.299757147597,-0.5525199028590387,2023
535,535,535,2023-10-27 11:45:00+05:30,2023-10-27 12:15:00+05:30,Long,42726.75,42486.50416666667,42406.129166666666,42678.55,Trailing SL Hit,-48.19999999999709,8.54053,-56.740529999997094,7.797372285539749,-442.4270360888141,-0.17697081443552562,2023
536,536,536,2023-10-27 13:45:00+05:30,2023-10-30 09:15:00+05:30,Long,42721.3,42624.90416666667,42558.674999999996,42558.674999999996,Initial SL Hit,-162.62500000000728,8.527997500000001,-171.15299750000727,15.37279016141361,-2631.09911606456,-1.0524396464258239,2023
537,537,537,2023-10-30 11:15:00+05:30,2023-10-31 14:45:00+05:30,Long,42875.1,42746.76666666667,42616.25,42843.6,Trailing SL Hit,-31.5,8.57187,-40.071870000000004,9.65810314854168,-387.01825381495297,-0.15480730152598118,2023
538,538,538,2023-11-02 09:15:00+05:30,2023-11-07 11:15:00+05:30,Long,43264.2,42729.791666666664,42670.97083333333,43361.7,Trailing SL Hit,97.5,8.66259,88.83741,4.214223002633907,374.3806567164195,0.1497522626865678,2023
539,539,539,2023-11-07 13:45:00+05:30,2023-11-10 09:15:00+05:30,Long,43615.35,43508.9,43403.775,43582.25,Trailing SL Hit,-33.099999999998545,8.71976,-41.819759999998546,11.816140848399076,-494.1481744062286,-0.19765926976249143,2023
540,540,540,2023-11-10 14:45:00+05:30,2023-11-13 10:15:00+05:30,Long,43812.55,43714.90833333333,43640.933333333334,43724.3,Trailing SL Hit,-88.25,8.753685,-97.003685,14.567349713508625,-1413.0866028940309,-0.5652346411576123,2023
541,541,541,2023-11-15 09:15:00+05:30,2023-11-16 14:45:00+05:30,Long,44289.6,43903.03333333333,43853.137500000004,44085.5,Trailing SL Hit,-204.09999999999854,8.837510000000002,-212.93750999999855,5.7278689463585835,-1219.678151043912,-0.48787126041756484,2023
542,542,542,2023-11-21 09:15:00+05:30,2023-11-21 09:45:00+05:30,Long,43763.05,43645.34583333333,43578.17916666666,43697.4,Trailing SL Hit,-65.65000000000146,8.746045000000002,-74.39604500000146,13.522955216479371,-1006.0543848182039,-0.4024217539272815,2023
543,543,543,2023-11-21 10:15:00+05:30,2023-11-21 10:45:00+05:30,Long,43735.1,43668.745833333334,43603.2625,43718.85,Trailing SL Hit,-16.25,8.745395,-24.995395000000002,18.962738219398673,-473.9811320754665,-0.1895924528301866,2023
544,544,544,2023-11-21 11:15:00+05:30,2023-11-21 12:15:00+05:30,Long,43731.25,43686.200000000004,43632.00416666667,43700.3,Trailing SL Hit,-30.94999999999709,8.743155000000002,-39.69315499999709,25.189974390194305,-999.8695579159397,-0.39994782316637584,2023
545,545,545,2023-11-23 09:15:00+05:30,2023-11-23 10:45:00+05:30,Long,43563.9,43473.629166666666,43371.74166666667,43538.2,Trailing SL Hit,-25.700000000004366,8.710210000000002,-34.41021000000437,13.010104514506299,-447.68042846616663,-0.17907217138646667,2023
546,546,546,2023-11-23 12:15:00+05:30,2023-11-24 12:45:00+05:30,Long,43592.6,43501.0,43440.89166666667,43599.75,Trailing SL Hit,7.150000000001455,8.719235000000001,-1.569234999998546,16.478989288657488,-25.85940675636247,-0.010343762702544989,2023
547,547,547,2023-11-24 14:15:00+05:30,2023-12-07 09:15:00+05:30,Long,43748.75,43694.25416666667,43634.770833333336,46585.6,Trailing SL Hit,2836.8499999999985,9.033435,2827.8165649999987,21.93383293730626,62024.85611405722,24.809942445622887,2023
548,548,548,2023-12-08 09:15:00+05:30,2023-12-12 12:45:00+05:30,Long,47019.85,46859.4625,46771.14166666666,47198.25,Trailing SL Hit,178.40000000000146,9.42181,168.97819000000146,10.051934997486919,1698.5577818730087,0.6794231127492034,2023
549,549,549,2023-12-14 09:15:00+05:30,2023-12-19 09:15:00+05:30,Long,47681.9,47074.37083333334,47029.77916666667,47691.1,Trailing SL Hit,9.19999999999709,9.5373,-0.3373000000029105,3.833645349468715,-1.2930885763869553,-0.0005172354305547822,2023
550,550,550,2023-12-19 13:45:00+05:30,2023-12-20 12:45:00+05:30,Long,47979.5,47897.137500000004,47787.59583333333,47887.05,Trailing SL Hit,-92.44999999999709,9.586655,-102.0366549999971,13.027335692728542,-1329.2657576480904,-0.5317063030592362,2023
551,551,551,2023-12-21 14:15:00+05:30,2023-12-22 13:15:00+05:30,Long,47784.25,47463.46666666667,47256.916666666664,47545.3,Trailing SL Hit,-238.9499999999971,9.532955000000001,-248.4829549999971,4.740834386852065,-1178.0165376106004,-0.47120661504424016,2023
552,552,552,2023-12-26 13:15:00+05:30,2023-12-29 09:45:00+05:30,Long,47766.95,47699.387500000004,47561.50416666667,48228.85,Trailing SL Hit,461.90000000000146,9.59958,452.30042000000145,12.16865759425694,5503.888940718622,2.2015555762874484,2023
553,553,553,2024-01-01 11:45:00+05:30,2024-01-01 14:45:00+05:30,Long,48354.8,48300.57916666666,48191.75833333333,48191.75833333333,Initial SL Hit,-163.04166666667152,9.654655833333335,-172.69632250000484,15.333503705596273,-2648.039700996673,-1.0592158803986693,2024
554,554,554,2024-01-04 09:15:00+05:30,2024-01-05 13:15:00+05:30,Long,47892.85,47734.1625,47646.200000000004,48022.7,Trailing SL Hit,129.84999999999854,9.591555,120.25844499999855,10.135819987837255,1218.9179505372124,0.487567180214885,2024
555,555,555,2024-01-09 10:15:00+05:30,2024-01-09 11:15:00+05:30,Long,47882.75,47789.65,47632.42083333334,47843.75,Trailing SL Hit,-39.0,9.572650000000001,-48.57265,9.986850646648735,-485.0878010619427,-0.19403512042477705,2024
556,556,556,2024-01-11 09:15:00+05:30,2024-01-11 10:45:00+05:30,Long,47503.5,47351.4375,47256.75833333333,47483.5,Trailing SL Hit,-20.0,9.498700000000001,-29.4987,10.132054442905794,-298.88243439494516,-0.11955297375797806,2024
557,557,557,2024-01-11 11:15:00+05:30,2024-01-11 11:45:00+05:30,Long,47517.25,47431.59583333333,47327.87083333333,47468.9,Trailing SL Hit,-48.349999999998545,9.498615,-57.848614999998546,13.201029680314624,-763.6612835800746,-0.30546451343202985,2024
558,558,558,2024-01-11 12:15:00+05:30,2024-01-11 13:45:00+05:30,Long,47569.65,47467.39166666666,47374.475,47374.475,Initial SL Hit,-195.1750000000029,9.494412500000001,-204.66941250000292,12.80901754835385,-2621.6140963238104,-1.0486456385295242,2024
559,559,559,2024-01-12 09:45:00+05:30,2024-01-17 09:15:00+05:30,Long,47629.6,47534.37083333333,47412.3375,46698.25,Gap,-931.3499999999985,9.432785,-940.7827849999985,11.506817789540456,-10825.416086531397,-4.3301664346125595,2024
560,560,560,2024-01-20 12:45:00+05:30,2024-01-23 09:45:00+05:30,Long,46078.15,45893.737499999996,45739.68333333334,45993.7,Trailing SL Hit,-84.45000000000437,9.207185,-93.65718500000436,7.386251723458884,-691.7755441205898,-0.2767102176482359,2024
561,561,561,2024-01-25 15:15:00+05:30,2024-01-30 14:15:00+05:30,Long,44988.5,44755.82083333333,44563.87916666666,45307.8,Trailing SL Hit,319.3000000000029,9.029630000000001,310.2703700000029,5.887605608925496,1826.749570695406,0.7306998282781624,2024
562,562,562,2024-01-31 09:45:00+05:30,2024-02-02 14:45:00+05:30,Long,45824.45,45458.97083333333,45304.5375,45963.8,Trailing SL Hit,139.35000000000582,9.178825,130.17117500000583,4.808501430529189,625.9282812011934,0.25037131248047734,2024
563,563,563,2024-02-07 09:15:00+05:30,2024-02-07 10:15:00+05:30,Long,45930.1,45763.90833333333,45626.299999999996,45828.45,Trailing SL Hit,-101.65000000000146,9.175854999999999,-110.82585500000145,8.229098090849163,-911.9968317972382,-0.3647987327188953,2024
564,564,564,2024-02-07 15:15:00+05:30,2024-02-08 10:45:00+05:30,Long,45916.4,45855.35,45722.76666666666,45722.76666666666,Initial SL Hit,-193.63333333333867,9.163916666666665,-202.79725000000533,12.911000172146313,-2618.3153296608675,-1.047326131864347,2024
565,565,565,2024-02-09 14:15:00+05:30,2024-02-12 09:15:00+05:30,Long,45626.6,45355.612499999996,45170.34583333333,45483.95,Trailing SL Hit,-142.65000000000146,9.111054999999999,-151.76105500000145,5.479402014593486,-831.5598305038408,-0.3326239322015363,2024
566,566,566,2024-02-13 09:45:00+05:30,2024-02-13 11:15:00+05:30,Long,45402.5,45117.837499999994,44885.35833333334,45206.4,Trailing SL Hit,-196.09999999999854,9.06089,-205.16088999999855,4.834265272249742,-991.8021657508424,-0.396720866300337,2024
567,567,567,2024-02-13 12:45:00+05:30,2024-02-14 09:15:00+05:30,Long,45285.8,45172.4375,44989.208333333336,44989.208333333336,Initial SL Hit,-296.59166666666715,9.027500833333333,-305.61916750000046,8.429097243685188,-2576.093682391616,-1.0304374729566463,2024
