Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
LONG,2020-10-16 12:15:00+05:30,23574.2,23338.458,23508.305,2020-10-16 13:15:00+05:30,23488.6,-85.60000000000218,-90.30628000000219,-113785.91280000276,TSL,1260,6,-2.275718256000055,2020,10
LONG,2020-10-21 14:45:00+05:30,24663.55,24416.9145,24131.071,2020-10-21 14:45:00+05:30,24315.95,-347.59999999999854,-352.4979499999985,-433572.47849999816,Gap SL,1230,6,-8.671449569999963,2020,10
LONG,2020-10-22 10:15:00+05:30,24538.6,24293.214,24384.135999999995,2020-10-22 14:15:00+05:30,24293.214,-245.3859999999986,-250.26918139999862,-307831.0931219983,ISL,1230,6,-6.156621862439966,2020,10
LONG,2020-10-23 12:45:00+05:30,24521.75,24276.5325,24465.491,2020-10-23 13:15:00+05:30,24450.7,-71.04999999999927,-75.94724499999927,-93415.1113499991,TSL,1230,6,-1.8683022269999823,2020,10
SHORT,2020-10-30 10:45:00+05:30,23982.4,24222.224000000002,24213.354,2020-11-02 09:15:00+05:30,24282.05,-299.6499999999978,-304.4764449999978,-383640.32069999725,Gap SL,1260,6,-7.672806413999946,2020,10
LONG,2020-11-04 13:45:00+05:30,25476.35,25221.586499999998,28151.285,2020-11-12 13:15:00+05:30,28087.8,2611.4500000000007,2606.0935850000005,3049129.4944500006,TSL,1170,6,60.98258988900002,2020,11
LONG,2020-11-25 12:15:00+05:30,29710.05,29412.9495,29311.321999999996,2020-11-25 13:45:00+05:30,29412.9495,-297.10050000000047,-303.01279995000044,-309073.05594900047,ISL,1020,6,-6.1814611189800095,2020,11
LONG,2020-11-27 14:45:00+05:30,29620.15,29323.948500000002,29532.83,2020-12-02 12:45:00+05:30,29323.948500000002,-296.2014999999992,-302.0959098499992,-308137.8280469992,ISL,1020,6,-6.162756560939983,2020,11
LONG,2020-12-04 12:45:00+05:30,29656.75,29360.1825,30313.815,2020-12-10 13:15:00+05:30,30276.75,620.0,614.00665,626286.783,TSL,1020,6,12.52573566,2020,12
LONG,2020-12-10 14:15:00+05:30,30466.9,30162.231,30437.897999999997,2020-12-11 13:45:00+05:30,30375.65,-91.25,-97.334255,-96360.91245,TSL,990,6,-1.927218249,2020,12
LONG,2020-12-14 12:45:00+05:30,30812.95,30504.8205,30589.857000000004,2020-12-15 09:15:00+05:30,30573.85,-239.10000000000218,-245.23868000000218,-235429.1328000021,TSL,960,6,-4.708582656000042,2020,12
LONG,2020-12-15 14:45:00+05:30,30689.35,30382.456499999997,30714.33,2020-12-18 09:15:00+05:30,30591.65,-97.69999999999709,-103.8280999999971,-102789.81899999712,TSL,990,6,-2.055796379999942,2020,12
LONG,2020-12-18 14:15:00+05:30,30757.6,30450.023999999998,30684.741,2020-12-18 15:15:00+05:30,30652.45,-105.14999999999782,-111.29100499999782,-110178.09494999785,TSL,990,6,-2.203561898999957,2020,12
SHORT,2020-12-23 09:45:00+05:30,29577.75,29873.5275,30032.325,2020-12-23 12:45:00+05:30,29873.5275,-295.77750000000015,-301.72262775000013,-307757.0803050001,ISL,1020,6,-6.155141606100003,2020,12
LONG,2020-12-30 11:45:00+05:30,31174.4,30862.656000000003,31258.597999999998,2021-01-01 14:45:00+05:30,31227.05,52.64999999999782,46.40985499999782,44553.460799997905,TSL,960,6,0.891069215999958,2020,12
LONG,2021-01-05 10:45:00+05:30,31324.45,31011.2055,31941.025,2021-01-11 10:45:00+05:30,31923.4,598.9500000000007,592.6252150000007,568920.2064000007,TSL,960,6,11.378404128000016,2021,1
LONG,2021-01-13 14:15:00+05:30,32492.0,32167.079999999998,32315.743,2021-01-15 09:15:00+05:30,32314.65,-177.34999999999854,-183.83066499999853,-170962.51844999864,TSL,930,6,-3.419250368999973,2021,1
SHORT,2021-01-19 10:45:00+05:30,32027.75,32348.0275,32260.218999999997,2021-01-19 14:15:00+05:30,32348.0275,-320.27750000000015,-326.71507775000015,-303845.0223075001,ISL,930,6,-6.0769004461500025,2021,1
SHORT,2021-01-25 13:15:00+05:30,31474.35,31789.0935,30663.465,2021-01-29 13:45:00+05:30,30741.9,732.4499999999971,726.2283749999971,697179.2399999972,TSL,960,6,13.943584799999945,2021,1
LONG,2021-02-04 10:45:00+05:30,34530.9,34185.591,35895.696,2021-02-10 09:45:00+05:30,35887.0,1356.0999999999985,1349.0582099999986,1173680.6426999988,TSL,870,6,23.473612853999974,2021,2
LONG,2021-02-16 14:15:00+05:30,37044.0,36673.56,36853.456999999995,2021-02-18 09:15:00+05:30,36813.05,-230.9499999999971,-238.3357049999971,-193051.92104999765,TSL,810,6,-3.861038420999953,2021,2
LONG,2021-03-04 11:15:00+05:30,36013.25,35653.1175,35684.377,2021-03-05 09:15:00+05:30,35522.5,-490.75,-497.903575,-418239.00299999997,Gap SL,840,6,-8.36478006,2021,3
LONG,2021-03-08 09:45:00+05:30,35748.15,35390.6685,35686.168000000005,2021-03-08 10:15:00+05:30,35390.6685,-357.4815000000017,-364.5953818500017,-306260.12075400143,ISL,840,6,-6.125202415080029,2021,3
SHORT,2021-03-08 14:45:00+05:30,35307.35,35660.4235,35664.052,2021-03-09 09:15:00+05:30,35718.55,-411.20000000000437,-418.3025900000044,-351374.1756000037,Gap SL,840,6,-7.027483512000074,2021,3
SHORT,2021-03-16 09:15:00+05:30,35078.3,35429.083000000006,33996.737,2021-03-23 10:45:00+05:30,34020.5,1057.800000000003,1050.890120000003,914274.4044000026,TSL,870,6,18.28548808800005,2021,3
SHORT,2021-03-24 09:45:00+05:30,33699.1,34036.091,33431.017,2021-03-26 15:15:00+05:30,33445.15,253.9499999999971,247.23557499999708,222512.01749999737,TSL,900,6,4.450240349999947,2021,3
SHORT,2021-04-05 09:15:00+05:30,33166.9,33498.569,33513.282999999996,2021-04-05 09:15:00+05:30,33670.15,-503.25,-509.933705,-458940.3345,Gap SL,900,6,-9.17880669,2021,4
SHORT,2021-04-13 12:45:00+05:30,31174.0,31485.74,32002.7,2021-04-13 13:45:00+05:30,31485.74,-311.7400000000016,-318.00597400000163,-305285.7350400016,ISL,960,6,-6.105714700800031,2021,4
SHORT,2021-04-20 14:15:00+05:30,31109.8,31420.898,31425.522,2021-04-22 12:15:00+05:30,31420.898,-311.0980000000018,-317.35106980000177,-304657.0270080017,ISL,960,6,-6.093140540160034,2021,4
LONG,2021-04-23 14:45:00+05:30,31734.2,31416.858,33160.622,2021-04-30 12:45:00+05:30,33103.4,1369.2000000000007,1362.7162400000007,1308207.5904000006,TSL,960,6,26.164151808000014,2021,4
LONG,2021-05-07 12:15:00+05:30,32908.55,32579.464500000002,32906.504,2021-05-11 09:15:00+05:30,32777.8,-130.75,-137.318635,-123586.7715,TSL,900,6,-2.4717354300000003,2021,5
LONG,2021-05-19 10:45:00+05:30,33752.55,33415.0245,33589.898,2021-05-20 13:45:00+05:30,33573.0,-179.5500000000029,-186.2825550000029,-167654.2995000026,TSL,900,6,-3.3530859900000523,2021,5
LONG,2021-05-21 09:15:00+05:30,33908.75,33569.6625,33658.233,2021-05-21 09:15:00+05:30,33569.6625,-339.08750000000146,-345.8353412500015,-300876.7468875013,ISL,870,6,-6.017534937750026,2021,5
LONG,2021-05-25 11:15:00+05:30,34726.5,34379.235,34642.233,2021-05-27 09:15:00+05:30,34558.15,-168.34999999999854,-175.27846499999853,-152492.2645499987,TSL,870,6,-3.0498452909999743,2021,5
LONG,2021-05-27 11:15:00+05:30,34731.85,34384.5315,35222.212,2021-06-02 09:15:00+05:30,35190.75,458.90000000000146,451.90774000000147,393159.73380000127,TSL,870,6,7.863194676000025,2021,5
SHORT,2021-06-09 12:45:00+05:30,34903.2,35252.231999999996,35325.315,2021-06-09 12:45:00+05:30,35264.85,-361.65000000000146,-368.66680500000143,-320740.12035000126,Gap SL,870,6,-6.414802407000026,2021,6
SHORT,2021-06-11 11:45:00+05:30,34940.1,35289.501,35054.703,2021-06-11 13:45:00+05:30,35076.0,-135.90000000000146,-142.90161000000145,-124324.40070000126,TSL,870,6,-2.486488014000025,2021,6
SHORT,2021-07-02 13:45:00+05:30,34768.2,35115.882,34895.207,2021-07-05 09:15:00+05:30,35115.882,-347.6820000000007,-354.6704082000007,-308563.2551340006,ISL,870,6,-6.171265102680012,2021,7
LONG,2021-07-08 09:15:00+05:30,35771.4,35413.686,35481.356999999996,2021-07-08 13:45:00+05:30,35413.686,-357.71399999999994,-364.8325085999999,-306459.30722399993,ISL,840,6,-6.129186144479998,2021,7
LONG,2021-07-15 09:15:00+05:30,35774.95,35417.2005,35737.34,2021-07-19 09:15:00+05:30,35125.85,-649.0999999999985,-656.1900799999985,-551199.6671999987,Gap SL,840,6,-11.023993343999974,2021,7
SHORT,2021-07-22 14:15:00+05:30,34601.1,34947.111,34865.734937500005,2021-07-23 12:45:00+05:30,34908.69921875,-307.59921875000146,-314.55019867187644,-273658.6728445325,TSL,870,6,-5.47317345689065,2021,7
SHORT,2021-07-29 09:15:00+05:30,34611.5,34957.615,34742.846,2021-07-29 15:15:00+05:30,34750.85,-139.34999999999854,-146.28623499999856,-127269.02444999875,TSL,870,6,-2.545380488999975,2021,7
SHORT,2021-08-02 14:15:00+05:30,34617.55,34963.7255,34604.045,2021-08-02 14:15:00+05:30,34617.55,0.0,-6.923510000000001,-6023.453700000001,TSL,870,6,-0.12046907400000001,2021,8
LONG,2021-08-06 09:15:00+05:30,35984.25,35624.4075,35696.445,2021-08-09 09:15:00+05:30,35624.4075,-359.84249999999884,-367.00336574999886,-308282.82722999906,ISL,840,6,-6.165656544599981,2021,8
LONG,2021-08-09 12:15:00+05:30,35993.05,35633.1195,35868.343,2021-08-09 13:15:00+05:30,35822.95,-170.10000000000582,-177.28160000000582,-148916.54400000488,TSL,840,6,-2.978330880000098,2021,8
LONG,2021-08-09 14:45:00+05:30,36017.9,35657.721,35959.117999999995,2021-08-10 13:45:00+05:30,35920.75,-97.15000000000146,-104.34386500000146,-87648.84660000123,TSL,840,6,-1.7529769320000246,2021,8
LONG,2021-08-16 13:45:00+05:30,36125.85,35764.591499999995,35969.27,2021-08-17 09:15:00+05:30,35863.9,-261.9499999999971,-269.1489749999971,-226085.13899999758,TSL,840,6,-4.521702779999952,2021,8
SHORT,2021-08-23 09:15:00+05:30,35157.65,35509.226500000004,35373.24,2021-08-24 10:45:00+05:30,35384.5,-226.84999999999854,-233.90421499999854,-196479.54059999879,TSL,840,6,-3.929590811999976,2021,8
LONG,2021-09-02 10:15:00+05:30,36667.45,36300.775499999996,36656.481,2021-09-03 14:15:00+05:30,36644.6,-22.849999999998545,-30.181204999998542,-24446.776049998818,TSL,810,6,-0.4889355209999764,2021,9
LONG,2021-09-08 09:15:00+05:30,36740.2,36372.797999999995,36660.873,2021-09-08 09:45:00+05:30,36634.35,-105.84999999999854,-113.18745499999855,-91681.83854999882,TSL,810,6,-1.8336367709999764,2021,9
LONG,2021-09-09 10:15:00+05:30,36738.45,36371.0655,36620.954,2021-09-09 12:15:00+05:30,36587.8,-150.64999999999418,-157.9826249999942,-127965.92624999529,TSL,810,6,-2.5593185249999055,2021,9
LONG,2021-09-17 14:45:00+05:30,37806.15,37428.0885,37155.645,2021-09-20 09:15:00+05:30,37362.2,-443.95000000000437,-451.4668350000044,-352144.13130000344,Gap SL,780,6,-7.042882626000068,2021,9
LONG,2021-09-20 09:45:00+05:30,37641.3,37264.887,37339.682,2021-09-20 14:15:00+05:30,37264.887,-376.41300000000047,-383.9036187000005,-310961.9311470004,ISL,810,6,-6.219238622940008,2021,9
