Trade No.,Portfolio,Date,Entry Price,Exit Price,Points,Qty,Slippage,PnL,ROI%,Index
318,250000,2021-07-23,34861.1484375,35012.1,150.95156249999854,11.1743028282628,3.4891499218750006,1647.7896539341818,0.6591158615736727,BNF
318,250000,2021-07-26,35012.1,34921.85,-90.25,11.1743028282628,3.4891499218750006,-1047.4696480909583,-0.4189878592363833,BNF
319,250000,2021-07-27,35115.4,34902.2,-213.20000000000437,15.306512921248355,7.006747083333335,-3370.597419577177,-1.3482389678308708,BNF
320,250000,2021-07-29,34677.1,34633.55,-43.549999999995634,7.929270903540456,6.931064999999999,-400.2780398841998,-0.16011121595367994,BNF
321,250000,2021-07-29,34731.45,34750.85,19.400000000001455,12.878852923499968,3.4634391666666664,205.2446230789288,0.08209784923157153,BNF
321,250000,2021-07-30,34750.85,34590.3,-160.54999999999563,12.878852923499968,3.4634391666666664,-2112.3049605048527,-0.8449219842019411,BNF
322,250000,2021-07-30,34704.55,34572.35,-132.20000000000437,17.1492268556892,6.9263320833333335,-2385.9090304971087,-0.9543636121988435,BNF
323,250000,2021-08-02,34768.2,34617.55,-150.64999999999418,12.515644555694616,6.938575,-1972.3225907383498,-0.78892903629534,BNF
324,250000,2021-08-03,34879.4,35199.5,320.09999999999854,16.23420547092714,1.7656225,5167.905692794662,2.067162277117865,BNF
324,250000,2021-08-04,35199.5,35994.5,795.0,16.23420547092714,1.7656225,12877.529870937986,5.151011948375194,BNF
324,250000,2021-08-05,35994.5,35793.85,-200.65000000000146,16.23420547092714,1.7656225,-3286.0568061906465,-1.3144227224762586,BNF
324,250000,2021-08-06,35793.85,35745.5,-48.349999999998545,16.23420547092714,1.7656225,-813.5873129683956,-0.3254349251873582,BNF
325,250000,2021-08-09,36072.1,35822.95,-249.15000000000146,7.809551080972005,7.189505,-2001.89645836859,-0.8007585833474359,BNF
326,250000,2021-08-10,36169.8,35920.75,-249.0500000000029,9.574569942233552,7.2078491666666675,-2453.558700092614,-0.9814234800370456,BNF
327,250000,2021-08-12,35874.15,35850.25,-23.900000000001455,12.602659161082927,7.17244,-391.59537062321795,-0.15663814824928718,BNF
328,250000,2021-08-12,35867.2,35825.55,-41.64999999999418,17.477424992718035,7.169275000000001,-853.235217011273,-0.34129408680450923,BNF
329,250000,2021-08-12,35991.75,35991.75,0.0,14.57513481999696,2.4011833333333334,-34.99757081086303,-0.013999028324345212,BNF
329,250000,2021-08-13,35991.75,36141.45,149.6999999999971,14.57513481999696,2.4011833333333334,2146.900111742639,0.8587600446970557,BNF
329,250000,2021-08-16,36141.45,36043.75,-97.69999999999709,14.57513481999696,2.4011833333333334,-1458.9882427245236,-0.5835952970898094,BNF
330,250000,2021-08-18,36014.1,35906.15,-107.94999999999709,9.052777693955775,7.192025,-1042.355155556872,-0.41694206222274877,BNF
331,250000,2021-08-24,35356.35,35680.45,324.09999999999854,7.761865952575139,1.7694562500000002,2501.886473008145,1.000754589203258,BNF
331,250000,2021-08-25,35680.45,35554.65,-125.79999999999563,7.761865952575139,1.7694562500000002,-990.1770190553649,-0.39607080762214597,BNF
331,250000,2021-08-26,35554.65,35603.4,48.75,7.761865952575139,1.7694562500000002,364.65668296659175,0.1458626731866367,BNF
331,250000,2021-08-27,35603.4,35421.9,-181.5,7.761865952575139,1.7694562500000002,-1422.512952613834,-0.5690051810455337,BNF
332,250000,2021-08-27,35689.25,35608.0,-81.25,15.80111661224055,1.2062225000000002,-1302.900387127353,-0.5211601548509412,BNF
332,250000,2021-08-30,35608.0,36357.3,749.3000000000029,15.80111661224055,1.2062225000000002,11820.717015169083,4.728286806067634,BNF
332,250000,2021-08-31,36357.3,36389.15,31.849999999998545,15.80111661224055,1.2062225000000002,484.2059017170302,0.19368236068681208,BNF
332,250000,2021-09-01,36389.15,36512.8,123.65000000000146,15.80111661224055,1.2062225000000002,1934.7484067207588,0.7738993626883035,BNF
332,250000,2021-09-02,36512.8,36875.35,362.54999999999563,15.80111661224055,1.2062225000000002,5709.635165384934,2.2838540661539737,BNF
332,250000,2021-09-03,36875.35,36684.1,-191.25,15.80111661224055,1.2062225000000002,-3041.0232144738134,-1.2164092857895255,BNF
333,250000,2021-09-07,36606.1,36563.85,-42.25,13.242109909512418,7.316995,-656.3715956742525,-0.262548638269701,BNF
334,250000,2021-09-08,36740.2,36556.75,-183.4499999999971,7.277137659187438,7.329695,-1388.330103092772,-0.5553320412371089,BNF
335,250000,2021-09-08,36850.9,36850.9,0.0,11.988970147464247,3.6746637499999997,-44.05543400071902,-0.017622173600287606,BNF
