,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
658,2019-08-02,Friday,2019-08-08,6,10900,P,79.4,11:21:00,109.75,109.75,2019-08-05,09:15:00,0,SL hit,-30.349999999999994,1.8915000000000002,988.4678747940694,-31869.686985172983,-3.186968698517298,2019,8,120.0,27.25,5.154859967051072,134.67874794069195
54,2019-08-02,Friday,2019-08-08,6,10950,C,61.35,10:18:00,89.75,89.75,2019-08-02,11:57:00,0,SL hit,-28.4,1.511,1056.3380281690143,-31596.126760563384,-3.1596126760563386,2019,8,104.65,60.6,0.07922535211267608,144.58626760563382
55,2019-08-05,Monday,2019-08-08,3,10900,C,78.4,09:15:00,89.15,89.15,2019-08-05,12:45:00,0,SL hit,-10.75,1.6755000000000002,1834.8623853211009,-22799.08256880734,-2.279908256880734,2019,8,90.0,55.0,4.293577981651377,250.0
56,2019-08-05,Monday,2019-08-08,3,10900,C,62.2,13:48:00,90.0,90.0,2019-08-06,09:15:00,0,SL hit,-27.799999999999997,1.522,1079.136690647482,-31642.446043165462,-3.164244604316546,2019,8,92.75,41.25,2.2607913669064756,147.03237410071944
659,2019-08-05,Monday,2019-08-08,3,10850,P,91.35,12:03:00,135.0,0.05,2019-08-08,15:21:00,0,EOD exit,91.3,0.9139999999999999,687.2852233676975,62120.96219931271,6.21209621993127,2019,8,106.15,0.05,6.274914089347079,93.21305841924398
57,2019-08-07,Wednesday,2019-08-08,1,11000,C,42.25,09:15:00,53.9,29.0,2019-08-08,15:21:00,0,EOD exit,13.25,0.7125,1818.181818181818,22795.454545454544,2.2795454545454548,2019,8,45.5,0.3,7.627272727272727,250.0
660,2019-08-09,Friday,2019-08-14,5,11050,P,70.2,09:15:00,83.25,83.25,2019-08-13,14:30:00,0,SL hit,-13.049999999999997,1.5345,1809.9547511312219,-26397.2850678733,-2.63972850678733,2019,8,89.15,18.05,9.438914027149323,250.0
58,2019-08-09,Friday,2019-08-14,5,11100,C,85.0,13:54:00,120.0,0.05,2019-08-14,15:21:00,0,EOD exit,84.95,0.8505,857.1428571428571,72085.28571428571,7.208528571428571,2019,8,103.1,0.05,7.28142857142857,118.92857142857143
661,2019-08-14,Wednesday,2019-08-14,0,11000,P,36.9,10:18:00,76.9,0.05,2019-08-14,15:21:00,0,EOD exit,36.85,0.36949999999999994,749.9999999999999,27360.374999999996,2.7360374999999997,2019,8,39.7,0.05,2.7637499999999995,103.12499999999997
662,2019-08-16,Friday,2019-08-22,6,11000,P,73.6,11:27:00,135.75,135.75,2019-08-22,10:30:00,0,SL hit,-62.150000000000006,2.0935,482.7031375703942,-31010.539018503623,-3.1010539018503622,2019,8,137.8,28.4,2.1818181818181817,66.3716814159292
59,2019-08-19,Monday,2019-08-22,3,11100,C,76.0,13:30:00,92.25,0.05,2019-08-22,15:21:00,0,EOD exit,75.95,0.7605,1801.8018018018017,135476.5765765766,13.54765765765766,2019,8,76.2,0.05,13.684684684684683,250.0
663,2019-08-22,Thursday,2019-08-22,0,10800,P,9.35,12:48:00,23.7,23.7,2019-08-22,14:03:00,0,SL hit,-14.35,0.33049999999999996,1851.851851851852,-27186.111111111113,-2.718611111111111,2019,8,38.75,4.05,0.9814814814814816,250.0
664,2019-08-23,Friday,2019-08-29,6,10650,P,45.2,12:48:00,100.0,0.05,2019-08-29,15:27:00,0,EOD exit,45.150000000000006,0.4525,547.4452554744526,24469.434306569347,2.4469434306569346,2019,8,60.65,0.05,2.4717153284671536,72.8786496350365
60,2019-08-23,Friday,2019-08-29,6,10700,C,95.6,09:15:00,101.0,101.0,2019-08-23,09:51:00,0,SL hit,-5.400000000000006,1.966,1869.1588785046729,-13768.224299065432,-1.3768224299065432,2019,8,101.75,75.5,3.757009345794391,250.0
61,2019-08-26,Monday,2019-08-29,3,11050,C,19.35,09:45:00,61.75,61.75,2019-08-26,13:24:00,0,SL hit,-42.4,0.8109999999999999,707.5471698113208,-30573.820754716984,-3.0573820754716987,2019,8,64.0,15.35,0.28301886792452846,97.72995283018868
62,2019-08-27,Tuesday,2019-08-29,2,11150,C,34.55,13:30:00,58.1,0.05,2019-08-29,15:21:00,0,EOD exit,34.5,0.346,1273.8853503184712,43508.28025477707,4.350828025477707,2019,8,54.0,0.05,4.394904458598726,177.54777070063693
665,2019-08-30,Friday,2019-09-05,6,10950,P,55.05,09:36:00,90.65,90.65,2019-08-30,10:18:00,0,SL hit,-35.60000000000001,1.4569999999999999,842.696629213483,-31227.808988764045,-3.1227808988764045,2019,8,94.9,47.05,0.6741573033707864,115.3441011235955
666,2019-08-30,Friday,2019-09-05,6,10950,P,96.2,13:06:00,143.05,143.05,2019-09-03,15:00:00,0,SL hit,-46.85000000000001,2.3925,640.3415154749198,-31532.017075773743,-3.1532017075773746,2019,9,147.65,36.1,3.848452508004268,87.64674493062964
63,2019-08-30,Friday,2019-09-05,6,11000,C,64.5,11:00:00,119.0,0.05,2019-09-05,15:21:00,0,EOD exit,64.45,0.6455,550.4587155963303,35121.74311926606,3.512174311926606,2019,9,100.5,0.05,3.5477064220183494,75.68807339449542
667,2019-09-04,Wednesday,2019-09-05,1,10750,P,25.55,11:42:00,53.0,0.05,2019-09-05,15:21:00,0,EOD exit,25.5,0.256,1092.896174863388,27589.071038251368,2.7589071038251367,2019,9,32.25,0.05,2.7868852459016393,146.85792349726776
668,2019-09-06,Friday,2019-09-12,6,10850,P,69.65,09:15:00,74.95,74.95,2019-09-06,10:21:00,0,SL hit,-5.299999999999997,1.4460000000000002,1843.3179723502303,-12435.023041474647,-1.2435023041474649,2019,9,75.0,58.4,2.0737327188940102,250.0
669,2019-09-06,Friday,2019-09-12,6,10850,P,56.0,11:42:00,75.0,0.05,2019-09-12,15:21:00,0,EOD exit,55.95,0.5605,1578.9473684210527,87457.10526315791,8.74571052631579,2019,9,61.75,0.05,8.83421052631579,214.14473684210526
65,2019-09-09,Monday,2019-09-12,3,11000,C,63.2,13:30:00,80.9,73.65,2019-09-12,09:15:00,0,Gap SL hit,-10.450000000000003,1.3685000000000003,1694.9152542372879,-20031.355932203394,-2.0031355932203394,2019,9,83.3,43.25,3.38135593220339,233.05084745762707
64,2019-09-09,Monday,2019-09-12,3,10950,C,50.75,09:15:00,65.0,65.0,2019-09-09,10:06:00,0,SL hit,-14.25,1.1575,1826.4840182648402,-28141.552511415528,-2.814155251141553,2019,9,86.0,44.65,1.114155251141553,250.0
