Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year,Entry Time,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Hedge ROI%,Total ROI%
2022-07-20,16750,2022-07-21,1,CE,6.4,8.32,8.32,2022-07-20 11:08:00,8.55,2.2,-1.92,1194.0298507462687,-2292.537313432836,0.1472,-2468.2985074626863,250.0,-0.2468298507462686,2022,09:15:00,17100,0.8,0.8,0.0,0.0,0.0,-0.2468298507462686
2022-07-20,16400,2022-07-21,1,PE,33.4,43.42,24.95,2022-07-20 15:30:00,30.8,14.7,8.45,1219.5121951219512,10304.878048780489,0.5834999999999999,9593.292682926827,250.0,0.959329268292683,2022,09:15:00,16050,4.9,3.15,-1.7500000000000004,-2134.146341463415,-0.21341463414634151,0.7459146341463414
2022-07-21,16700,2022-07-21,0,CE,2.1,2.7300000000000004,2.7300000000000004,2022-07-21 09:54:00,3.5,0.05,-0.6300000000000003,1197.6047904191616,-754.4910179640723,0.0483,-812.3353293413178,250.0,-0.0812335329341317,2022,09:15:00,17050,0.5,0.45,-0.04999999999999999,-59.88023952095807,-0.005988023952095808,-0.08722155688622751
2022-07-21,16350,2022-07-21,0,PE,8.3,10.79,0.05,2022-07-21 15:29:00,7.65,0.05,8.25,1223.2415902140674,10091.743119266055,0.0835,9989.60244648318,250.00000000000009,0.998960244648318,2022,09:15:00,16000,0.95,0.05,-0.8999999999999999,-1100.9174311926606,-0.11009174311926606,0.888868501529052
2022-07-22,16850,2022-07-28,6,CE,53.55,69.615,69.615,2022-07-22 14:04:00,81.25,38.5,-16.064999999999998,1186.9436201780416,-19068.249258160235,1.23165,-20530.14836795252,250.0,-2.053014836795252,2022,09:15:00,17200,4.65,6.75,2.0999999999999996,2492.5816023738867,0.24925816023738864,-1.8037566765578632
2022-07-22,16500,2022-07-28,6,PE,70.75,91.975,52.0,2022-07-22 15:30:00,83.95,47.0,18.75,942.2850412249702,17667.844522968193,1.2275,16511.189634864542,194.34628975265008,1.6511189634864545,2022,09:15:00,16000,10.0,6.9,-3.0999999999999996,-2921.083627797407,-0.2921083627797407,1.3590106007067138
2022-07-25,16850,2022-07-28,3,CE,54.2,70.46000000000001,25.0,2022-07-25 15:30:00,55.0,21.4,29.200000000000003,1186.9436201780416,34658.75370919882,0.792,33718.694362017806,250.0,3.3718694362017807,2022,09:15:00,17200,5.2,2.0,-3.2,-3798.2195845697333,-0.3798219584569733,2.9920474777448076
2022-07-25,16500,2022-07-28,3,PE,51.55,67.015,67.015,2022-07-25 09:53:00,84.75,39.7,-15.465000000000003,1212.1212121212122,-18745.45454545455,1.18565,-20182.606060606064,250.00000000000009,-2.0182606060606063,2022,09:15:00,16150,8.45,10.7,2.25,2727.2727272727275,0.27272727272727276,-1.7455333333333336
2022-07-26,16800,2022-07-28,2,CE,26.25,34.125,5.35,2022-07-26 15:30:00,25.15,5.35,20.9,1190.4761904761906,24880.95238095238,0.316,24504.76190476191,250.00000000000009,2.450476190476191,2022,09:15:00,17150,1.95,1.35,-0.5999999999999999,-714.2857142857142,-0.07142857142857142,2.3790476190476193
2022-07-26,16450,2022-07-28,2,PE,44.35,57.655,57.655,2022-07-26 09:34:00,74.9,42.8,-13.305,1215.80547112462,-16176.291793313068,1.02005,-17416.474164133735,250.0,-1.7416474164133735,2022,09:15:00,16100,4.85,6.0,1.1500000000000004,1398.1762917933133,0.13981762917933133,-1.6018297872340421
2022-07-27,16650,2022-07-28,1,CE,21.1,27.430000000000003,27.430000000000003,2022-07-27 09:17:00,87.55,13.9,-6.330000000000002,1201.2012012012012,-7603.603603603606,0.4853,-8186.546546546549,250.0,-0.8186546546546549,2022,09:15:00,17000,1.5,1.65,0.1499999999999999,180.1801801801801,0.01801801801801801,-0.8006366366366369
