,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
120,2024-01-02,Tuesday,2024-01-05,3,72100,P,570.0,12:05:00,710.8,710.8,2024-01-03,10:20:00,35.410764872521284,SL hit,-140.79999999999995,12.808,142.0454545454546,-21819.31818181818,-2.181931818181818,2024,1,734.55,375.0,2.769886363636364,170.6912878787879
34,2024-01-02,Tuesday,2024-01-05,3,72400,C,201.4,14:50:00,463.65,0.1,2024-01-05,15:20:00,46.44194756554308,EOD exit,201.3,2.015,76.26310772163966,15198.093422306962,1.5198093422306962,2024,1,227.9,0.05,1.5355576739752144,92.02414998411186
121,2024-01-03,Wednesday,2024-01-05,2,71500,P,296.35,12:45:00,384.2,0.15,2024-01-05,15:20:00,2.6370575988896405,EOD exit,296.20000000000005,2.965,167.83216783216784,49214.26573426575,4.921426573426575,2024,1,384.2,0.15,4.971188811188813,200.0
122,2024-01-08,Monday,2024-01-12,4,72100,P,538.55,11:30:00,625.85,625.85,2024-01-08,11:50:00,9.819967266775762,SL hit,-87.30000000000007,11.644000000000002,166.4355062413315,-16467.794729542315,-1.6467794729542315,2024,1,700.75,512.2,0.43855755894590703,200.0
123,2024-01-08,Monday,2024-01-12,4,71700,P,417.5,12:15:00,498.6,498.6,2024-01-08,13:45:00,36.09977324263039,SL hit,-81.10000000000002,9.161,167.36401673640168,-15106.443514644356,-1.5106443514644357,2024,1,500.0,358.95,0.9799163179916321,200.0
35,2024-01-08,Monday,2024-01-12,4,72200,C,284.65,10:45:00,440.0,367.8,2024-01-12,15:20:00,38.191664704497306,EOD exit,-83.15000000000003,6.524500000000001,128.74155133569357,-11544.834245252658,-1.1544834245252658,2024,1,438.95,26.5,3.323463147730929,154.9190001072846
124,2024-01-10,Wednesday,2024-01-12,2,71300,P,268.1,09:40:00,484.2,0.1,2024-01-12,15:20:00,49.66887417218543,EOD exit,268.0,2.6820000000000004,92.54974548819992,24555.113373438224,2.4555113373438227,2024,1,427.15,0.1,2.480333179083758,109.97994755514424
36,2024-01-15,Monday,2024-01-19,4,73100,C,507.05,11:30:00,617.1,617.1,2024-01-15,14:50:00,40.88748019017436,SL hit,-110.05000000000001,11.2415,164.15868673050616,-19911.05335157319,-1.9911053351573191,2024,1,618.0,470.1,0.6065663474692201,200.0
37,2024-01-17,Wednesday,2024-01-19,2,72000,C,579.25,09:55:00,947.35,0.15,2024-01-19,15:20:00,38.510142999667465,EOD exit,579.1,5.794,54.33306166802499,31149.470252648738,3.1149470252648737,2024,1,600.0,0.1,3.146699266503667,65.19967400162999
125,2024-01-29,Monday,2024-02-02,4,70900,P,352.95,13:40:00,683.45,0.05,2024-02-02,15:20:00,16.05839416058396,EOD exit,352.9,3.5300000000000002,60.51437216338879,21141.90620272314,2.114190620272314,2024,2,641.95,0.05,2.1355521936459905,71.50781643973775
