,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation
34,nifty,11000,P,2019-02-14,2019-02-12 14:00:00,SELL,2019-02-12,14:30:00,99.55,199.1,1,2019-02-13 15:00:00,199.1,-99.55,2.9865,-102.5365,-64597.995,Initial SL Hit,630,-6.459799500000001,209.3,91.0,2019,2,"20, 4, 30m, 2% SL"
35,nifty,10800,C,2019-02-21,2019-02-18 14:00:00,SELL,2019-02-18,14:30:00,19.7,39.4,1,2019-02-21 14:30:00,1.0,18.7,0.207,18.493,11927.984999999999,Target Hit,645,1.1927984999999999,73.0,1.0,2019,2,"20, 4, 30m, 2% SL"
36,nifty,10800,P,2019-02-28,2019-02-25 14:00:00,SELL,2019-02-25,14:30:00,29.85,59.7,1,2019-02-26 09:00:00,59.7,-29.85,0.8955000000000002,-30.7455,-19830.8475,Initial SL Hit,645,-1.9830847499999997,87.8,22.35,2019,2,"20, 4, 30m, 2% SL"
37,nifty,10800,P,2019-02-28,2019-02-26 13:30:00,SELL,2019-02-26,14:00:00,40.3,80.6,1,2019-02-27 12:00:00,80.6,-40.3,1.2089999999999999,-41.509,-26773.305,Initial SL Hit,645,-2.6773305,115.7,9.3,2019,2,"20, 4, 30m, 2% SL"
38,nifty,10800,C,2019-02-28,2019-02-27 12:30:00,SELL,2019-02-27,13:00:00,59.0,118.0,1,2019-02-28 15:00:00,1.0,58.0,0.6,57.4,37023.0,Target Hit,645,3.7023,147.9,0.05,2019,2,"20, 4, 30m, 2% SL"
39,nifty,10850,P,2019-03-07,2019-03-05 14:00:00,SELL,2019-03-05,14:30:00,18.05,36.1,1,2019-03-07 09:00:00,1.0,17.05,0.1905,16.8595,10874.3775,Target Hit,645,1.08743775,99.0,0.35,2019,3,"20, 4, 30m, 2% SL"
40,nifty,11050,P,2019-03-14,2019-03-11 14:00:00,SELL,2019-03-11,14:30:00,18.1,36.2,1,2019-03-14 09:00:00,1.0,17.1,0.19100000000000003,16.909000000000002,10652.670000000002,Target Hit,630,1.0652670000000002,91.0,0.15,2019,3,"20, 4, 30m, 2% SL"
41,nifty,11400,P,2019-03-20,2019-03-18 14:00:00,SELL,2019-03-18,14:30:00,30.6,61.2,1,2019-03-20 09:00:00,1.0,29.6,0.316,29.284000000000002,18009.66,Target Hit,615,1.800966,83.2,0.65,2019,3,"20, 4, 30m, 2% SL"
42,nifty,11550,C,2019-03-28,2019-03-25 14:00:00,SELL,2019-03-25,14:30:00,7.15,14.3,1,2019-03-26 14:00:00,14.3,-7.15,0.21450000000000002,-7.3645000000000005,-4418.700000000001,Initial SL Hit,600,-0.4418700000000001,96.95,5.05,2019,3,"20, 4, 30m, 2% SL"
43,nifty,11550,P,2019-03-28,2019-03-26 14:30:00,SELL,2019-03-26,15:00:00,65.15,130.3,1,2019-03-27 13:30:00,130.3,-65.15,1.9545000000000001,-67.1045,-40262.700000000004,Initial SL Hit,600,-4.02627,210.6,30.0,2019,3,"20, 4, 30m, 2% SL"
44,nifty,11550,P,2019-03-28,2019-03-27 14:00:00,SELL,2019-03-27,14:30:00,89.35,178.7,1,2019-03-28 15:00:00,1.0,88.35,0.9035,87.4465,52467.9,Target Hit,600,5.246790000000001,210.6,0.05,2019,3,"20, 4, 30m, 2% SL"
45,nifty,11550,C,2019-03-28,2019-03-28 12:00:00,SELL,2019-03-28,12:30:00,6.4,12.8,1,2019-03-28 13:30:00,12.8,-6.4,0.19200000000000003,-6.5920000000000005,-3955.2000000000003,Initial SL Hit,600,-0.39552,96.95,1.35,2019,3,"20, 4, 30m, 2% SL"
46,nifty,11650,P,2019-04-04,2019-04-01 14:00:00,SELL,2019-04-01,14:30:00,29.15,58.3,1,2019-04-02 09:00:00,58.3,-29.15,0.8744999999999999,-30.0245,-18014.7,Initial SL Hit,600,-1.8014700000000001,122.35,24.7,2019,4,"20, 4, 30m, 2% SL"
47,nifty,11650,C,2019-04-04,2019-04-04 09:30:00,SELL,2019-04-04,10:00:00,23.6,47.2,1,2019-04-04 14:00:00,1.0,22.6,0.24600000000000002,22.354000000000003,13412.400000000001,Target Hit,600,1.3412400000000002,136.45,0.3,2019,4,"20, 4, 30m, 2% SL"
48,nifty,11650,C,2019-04-11,2019-04-08 15:00:00,SELL,2019-04-09,09:00:00,32.5,65.0,1,2019-04-09 15:00:00,65.0,-32.5,0.975,-33.475,-20085.0,Initial SL Hit,600,-2.0084999999999997,104.45,24.35,2019,4,"20, 4, 30m, 2% SL"
49,nifty,11650,P,2019-04-11,2019-04-10 09:00:00,SELL,2019-04-10,09:30:00,30.25,60.5,1,2019-04-10 14:00:00,60.5,-30.25,0.9075,-31.1575,-18694.5,Initial SL Hit,600,-1.8694499999999998,108.0,20.45,2019,4,"20, 4, 30m, 2% SL"
50,nifty,11650,C,2019-04-11,2019-04-10 14:30:00,SELL,2019-04-10,15:00:00,17.1,34.2,1,2019-04-11 13:00:00,1.0,16.1,0.18100000000000002,15.919000000000002,9551.400000000001,Target Hit,600,0.9551400000000001,104.45,0.4,2019,4,"20, 4, 30m, 2% SL"
51,nifty,11600,P,2019-04-18,2019-04-15 14:00:00,SELL,2019-04-15,14:30:00,15.05,30.1,1,2019-04-18 09:00:00,1.0,14.05,0.1605,13.8895,8333.7,Target Hit,600,0.8333700000000002,64.0,0.15,2019,4,"20, 4, 30m, 2% SL"
52,nifty,11750,C,2019-04-25,2019-04-23 14:00:00,SELL,2019-04-23,14:30:00,11.7,23.4,1,2019-04-24 15:00:00,23.4,-11.7,0.3509999999999999,-12.050999999999998,-7230.599999999999,Initial SL Hit,600,-0.7230599999999999,56.3,2.15,2019,4,"20, 4, 30m, 2% SL"
53,nifty,11750,P,2019-04-25,2019-04-24 15:00:00,SELL,2019-04-25,09:00:00,27.55,55.1,1,2019-04-25 15:00:00,55.1,-27.55,0.8265000000000001,-28.3765,-17025.9,Initial SL Hit,600,-1.70259,175.95,6.35,2019,4,"20, 4, 30m, 2% SL"
54,nifty,11700,P,2019-05-02,2019-04-30 14:00:00,SELL,2019-04-30,14:30:00,28.7,57.4,1,2019-05-02 15:00:00,1.0,27.7,0.297,27.403,16441.8,Target Hit,600,1.64418,76.25,0.05,2019,4,"20, 4, 30m, 2% SL"
