,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
859,bnf,39100,C,2022-10-13,2022-10-10 12:20:00,SELL,2022-10-10 12:25:00,389.8,584.7,10,2022-10-13 12:25:00,10.0,379.8,3.998,375.802,56370.3,Target Hit,150,5.63703,2022,10
860,bnf,39100,P,2022-10-13,2022-10-13 15:25:00,SELL,2022-10-07 09:15:00,474.2,711.3,10,2022-10-10 09:20:00,711.3,-237.09999999999997,11.855,-248.95499999999996,-37343.24999999999,Initial SL Hit,150,-3.7343249999999992,2022,10
861,bnf,39100,P,2022-10-13,2022-10-10 10:25:00,SELL,2022-10-10 10:30:00,523.2,784.8000000000001,10,2022-10-13 15:20:00,478.8,44.400000000000034,10.02,34.38000000000004,5157.0000000000055,Expiry Exit,150,0.5157000000000005,2022,10
862,bnf,39400,C,2022-10-20,2022-10-14 13:25:00,SELL,2022-10-14 13:30:00,475.0,712.5,10,2022-10-17 15:15:00,712.5,-237.5,11.875,-249.375,-37406.25,Initial SL Hit,150,-3.740625,2022,10
863,bnf,39400,C,2022-10-20,2022-10-18 14:25:00,SELL,2022-10-18 14:30:00,937.15,1405.725,10,2022-10-20 15:20:00,706.35,230.79999999999995,16.435,214.36499999999995,32154.749999999993,Expiry Exit,150,3.2154749999999996,2022,10
864,bnf,39400,P,2022-10-20,2022-10-14 13:30:00,SELL,2022-10-14 13:35:00,378.75,568.125,10,2022-10-20 09:20:00,10.0,368.75,3.8875,364.8625,54729.375,Target Hit,150,5.4729375,2022,10
865,bnf,40400,C,2022-10-27,2022-10-27 15:25:00,SELL,2022-10-21 09:15:00,896.35,1344.525,10,2022-10-27 15:20:00,898.75,-2.3999999999999773,17.951,-20.350999999999978,-3052.6499999999965,Expiry Exit,150,-0.3052649999999997,2022,10
866,bnf,40400,P,2022-10-27,2022-10-21 13:25:00,SELL,2022-10-21 13:30:00,180.45,270.67499999999995,10,2022-10-27 09:15:00,10.0,170.45,1.9044999999999999,168.54549999999998,25281.824999999997,Target Hit,150,2.5281824999999998,2022,10
867,bnf,41200,C,2022-11-03,2022-10-28 13:25:00,SELL,2022-10-28 13:30:00,323.55,485.32500000000005,10,2022-10-31 09:15:00,485.32500000000005,-161.77500000000003,8.088750000000001,-169.86375000000004,-25479.562500000007,Initial SL Hit,150,-2.547956250000001,2022,10
868,bnf,41200,C,2022-11-03,2022-10-31 09:55:00,SELL,2022-10-31 10:00:00,351.2,526.8,10,2022-11-01 09:40:00,526.8,-175.59999999999997,8.78,-184.37999999999997,-27656.999999999996,Initial SL Hit,150,-2.7657,2022,10
869,bnf,41200,C,2022-11-03,2022-11-01 12:55:00,SELL,2022-11-01 13:00:00,403.1,604.6500000000001,10,2022-11-03 15:20:00,97.95,305.15000000000003,5.0105,300.13950000000006,45020.92500000001,Expiry Exit,150,4.502092500000001,2022,11
870,bnf,41200,P,2022-11-03,2022-10-31 09:25:00,SELL,2022-10-31 09:30:00,327.65,491.47499999999997,10,2022-11-03 14:30:00,10.0,317.65,3.3765,314.27349999999996,47141.024999999994,Target Hit,150,4.714102499999999,2022,10
871,bnf,41300,C,2022-11-10,2022-11-04 13:25:00,SELL,2022-11-04 13:30:00,324.4,486.59999999999997,10,2022-11-07 09:15:00,486.59999999999997,-162.2,8.11,-170.31,-25546.5,Initial SL Hit,150,-2.55465,2022,11
872,bnf,41300,C,2022-11-10,2022-11-07 13:20:00,SELL,2022-11-07 13:25:00,350.0,525.0,10,2022-11-07 15:20:00,525.0,-175.0,8.75,-183.75,-27562.5,Initial SL Hit,150,-2.75625,2022,11
