,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation,Cumulative PnL,Cumulative ROI%,Running Max ROI%,Drawdown
1067,NIFTY,11850,P,2019-07-04,2019-07-01 15:00:00,SELL,2019-07-02,09:00:00,42.05,84.1,1,2019-07-04 12:30:00,1.0,41.05,0.4305,40.6195,11881.20375,Target Hit,292.5,1.188120375,105.0,0.55,2019,7,"20, 4, 30m, 2% SL",576854.9812499997,57.685498125000024,58.22910375000002,-0.5436056249999979
1068,NIFTY,11850,C,2019-07-04,2019-07-02 10:30:00,SELL,2019-07-02,11:00:00,38.25,76.5,1,2019-07-02 13:30:00,76.5,-38.25,1.1475,-39.3975,-11523.76875,Initial SL Hit,292.5,-1.152376875,110.0,37.1,2019,7,"20, 4, 30m, 2% SL",565331.2124999997,56.53312125000002,58.22910375000002,-1.6959824999999995
263,BANKNIFTY,31300,C,2019-07-04,2019-07-02 10:30:00,SELL,2019-07-02,10:45:00,137.25,292.0,2,2019-07-04 12:45:00,292.0,-154.75,4.2925,-159.0425,-13121.00625,Initial SL Hit,82.5,-1.312100625,297.1,95.4,2019,7,"35, 4, 15m, N Candles High SL",552210.2062499997,55.22102062500002,58.22910375000002,-3.008083124999999
264,BANKNIFTY,31500,C,2019-07-11,2019-07-08 12:45:00,SELL,2019-07-08,13:00:00,24.35,332.0,2,2019-07-11 09:15:00,2.0,22.35,0.2635,22.0865,1822.13625,Target Hit,82.5,0.182213625,333.0,0.35,2019,7,"35, 4, 15m, N Candles High SL",554032.3424999997,55.403234250000025,58.22910375000002,-2.825869499999996
1069,NIFTY,11950,C,2019-07-11,2019-07-08 15:00:00,SELL,2019-07-09,09:00:00,2.7,5.4,1,2019-07-10 09:00:00,1.0,1.7000000000000002,0.037,1.6630000000000005,486.4275,Target Hit,292.5,0.04864275,113.75,1.0,2019,7,"20, 4, 30m, 2% SL",554518.7699999997,55.451877000000025,58.22910375000002,-2.777226749999997
265,BANKNIFTY,31500,P,2019-07-11,2019-07-11 11:00:00,SELL,2019-07-11,11:15:00,853.55,1081.75,2,2019-07-11 15:15:00,744.0,109.54999999999995,15.9755,93.57449999999996,7719.896249999996,Expiry Exit,82.5,0.7719896249999996,1273.9,157.7,2019,7,"35, 4, 15m, N Candles High SL",562238.6662499997,56.22386662500002,58.22910375000002,-2.0052371250000007
266,BANKNIFTY,30800,C,2019-07-18,2019-07-15 13:00:00,SELL,2019-07-15,13:15:00,49.45,202.9,2,2019-07-18 13:00:00,2.0,47.45,0.5145000000000001,46.935500000000005,3872.1787500000005,Target Hit,82.5,0.38721787500000004,216.9,1.95,2019,7,"35, 4, 15m, N Candles High SL",566110.8449999996,56.61108450000002,58.22910375000002,-1.6180192500000032
1070,NIFTY,11600,C,2019-07-18,2019-07-15 15:00:00,SELL,2019-07-16,09:00:00,33.0,66.0,1,2019-07-16 09:30:00,66.0,-33.0,0.99,-33.99,-10197.0,Initial SL Hit,300.0,-1.0197,84.4,23.5,2019,7,"20, 4, 30m, 2% SL",555913.8449999996,55.59138450000002,58.22910375000002,-2.6377192500000035
1071,NIFTY,11600,P,2019-07-18,2019-07-16 09:30:00,SELL,2019-07-16,10:00:00,30.1,60.2,1,2019-07-18 09:00:00,1.0,29.1,0.311,28.789,8636.7,Target Hit,300.0,0.86367,106.8,0.7,2019,7,"20, 4, 30m, 2% SL",564550.5449999996,56.45505450000002,58.22910375000002,-1.7740492500000045
267,BANKNIFTY,30800,P,2019-07-18,2019-07-16 12:30:00,SELL,2019-07-16,12:45:00,259.95,493.6,2,2019-07-18 15:15:00,320.15,-60.19999999999999,5.800999999999999,-66.00099999999999,-5445.0825,Expiry Exit,82.5,-0.5445082499999999,493.6,104.1,2019,7,"35, 4, 15m, N Candles High SL",559105.4624999996,55.91054625000002,58.22910375000002,-2.3185575000000043
1072,NIFTY,11600,C,2019-07-18,2019-07-18 13:00:00,SELL,2019-07-18,13:30:00,34.25,68.5,1,2019-07-18 15:00:00,1.0,33.25,0.3525,32.8975,9869.25,Target Hit,300.0,0.986925,97.0,0.05,2019,7,"20, 4, 30m, 2% SL",568974.7124999996,56.89747125000002,58.22910375000002,-1.3316325000000049
268,BANKNIFTY,30500,C,2019-07-25,2019-07-22 12:45:00,SELL,2019-07-22,13:00:00,7.6,107.35,2,2019-07-24 15:15:00,2.0,5.6,0.096,5.504,454.08,Target Hit,82.5,0.045408,217.0,1.85,2019,7,"35, 4, 15m, N Candles High SL",569428.7924999995,56.94287925000002,58.22910375000002,-1.286224500000003
1073,NIFTY,11650,C,2019-07-25,2019-07-22 14:00:00,SELL,2019-07-22,14:30:00,2.95,5.9,1,2019-07-24 09:00:00,1.0,1.95,0.0395,1.9105,573.15,Target Hit,300.0,0.057315,53.1,0.75,2019,7,"20, 4, 30m, 2% SL",570001.9424999995,57.00019425000002,58.22910375000002,-1.2289095000000003
269,BANKNIFTY,29100,P,2019-08-01,2019-07-29 12:30:00,SELL,2019-07-29,12:45:00,144.5,218.45,2,2019-07-30 14:15:00,218.45,-73.94999999999999,3.6295,-77.5795,-6400.308749999999,Initial SL Hit,82.5,-0.6400308749999999,341.85,44.0,2019,7,"35, 4, 15m, N Candles High SL",563601.6337499996,56.36016337500002,58.22910375000002,-1.868940375000001
