,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation,Cumulative PnL,Cumulative ROI%,Running Max ROI%,Drawdown
284,BANKNIFTY,26900,P,2019-09-26,2019-09-23 14:00:00,SELL,2019-09-23,14:15:00,11.6,59.75,2,2019-09-25 12:30:00,2.0,9.6,0.136,9.464,851.76,Target Hit,90.0,0.085176,396.65,1.7,2019,9,"35, 4, 15m, N Candles High SL",683036.2387499994,68.30362387500003,68.41443112500002,-0.11080724999999347
1087,NIFTY,10750,P,2019-09-26,2019-09-24 09:00:00,SELL,2019-09-24,09:30:00,4.8,9.6,1,2019-09-26 09:00:00,1.0,3.8,0.0579999999999999,3.742,1206.795,Target Hit,322.5,0.1206795,113.95,0.1,2019,9,"20, 4, 30m, 2% SL",684243.0337499995,68.42430337500002,68.42430337500002,0.0
285,BANKNIFTY,26900,C,2019-09-26,2019-09-25 09:15:00,SELL,2019-09-25,09:30:00,2951.75,3780.0,2,2019-09-26 15:15:00,3097.0,-145.25,60.4875,-205.7375,-18516.375,Expiry Exit,90.0,-1.8516375000000005,3825.15,242.6,2019,9,"35, 4, 15m, N Candles High SL",665726.6587499995,66.57266587500003,68.42430337500002,-1.8516374999999954
286,BANKNIFTY,30000,C,2019-10-03,2019-09-30 13:15:00,SELL,2019-09-30,13:30:00,88.5,562.2,2,2019-10-03 12:30:00,2.0,86.5,0.905,85.595,7061.5875,Target Hit,82.5,0.70615875,596.45,1.8,2019,9,"35, 4, 15m, N Candles High SL",672788.2462499995,67.27882462500003,68.42430337500002,-1.1454787499999952
1088,NIFTY,11550,C,2019-10-03,2019-09-30 14:30:00,SELL,2019-09-30,15:00:00,34.75,69.5,1,2019-10-03 09:00:00,1.0,33.75,0.3575,33.3925,10017.75,Target Hit,300.0,1.001775,135.85,1.0,2019,9,"20, 4, 30m, 2% SL",682805.9962499995,68.28059962500002,68.42430337500002,-0.14370375000000024
1089,NIFTY,11550,P,2019-10-03,2019-10-01 09:00:00,SELL,2019-10-01,09:30:00,50.75,101.5,1,2019-10-01 10:00:00,113.5,-62.75,1.6425,-64.3925,-19317.75,Gap Outside ISL,300.0,-1.9317750000000005,169.5,46.55,2019,10,"20, 4, 30m, 2% SL",663488.2462499995,66.34882462500002,68.42430337500002,-2.075478750000002
287,BANKNIFTY,28700,C,2019-10-10,2019-10-07 12:30:00,SELL,2019-10-07,12:45:00,119.1,479.65,2,2019-10-10 13:45:00,2.0,117.1,1.211,115.889,10430.01,Target Hit,90.0,1.043001,585.0,1.8,2019,10,"35, 4, 15m, N Candles High SL",673918.2562499995,67.39182562500002,68.42430337500002,-1.0324777499999982
1090,NIFTY,11400,C,2019-10-10,2019-10-07 14:00:00,SELL,2019-10-07,14:30:00,8.8,17.6,1,2019-10-10 11:00:00,1.0,7.800000000000001,0.098,7.702000000000001,2368.3650000000002,Target Hit,307.5,0.2368365,109.0,0.8,2019,10,"20, 4, 30m, 2% SL",676286.6212499995,67.62866212500002,68.42430337500002,-0.7956412500000027
288,BANKNIFTY,28700,P,2019-10-10,2019-10-09 10:15:00,SELL,2019-10-09,10:30:00,914.35,1162.6,2,2019-10-10 15:15:00,685.0,229.35,15.9935,213.3565,19202.085000000003,Expiry Exit,90.0,1.9202085000000004,1162.6,121.15,2019,10,"35, 4, 15m, N Candles High SL",695488.7062499995,69.54887062500002,69.54887062500002,0.0
289,BANKNIFTY,28200,C,2019-10-17,2019-10-14 12:30:00,SELL,2019-10-14,12:45:00,481.75,637.05,2,2019-10-15 14:15:00,637.05,-155.29999999999995,11.188,-166.48799999999994,-14983.919999999995,Initial SL Hit,90.0,-1.4983919999999995,715.0,305.0,2019,10,"35, 4, 15m, N Candles High SL",680504.7862499994,68.05047862500003,69.54887062500002,-1.4983919999999955
290,BANKNIFTY,29000,P,2019-10-24,2019-10-22 12:45:00,SELL,2019-10-22,13:00:00,95.6,402.65,2,2019-10-24 15:00:00,2.0,93.6,0.976,92.624,7641.48,Target Hit,82.5,0.764148,460.5,0.35,2019,10,"35, 4, 15m, N Candles High SL",688146.2662499994,68.81462662500003,69.54887062500002,-0.7342439999999897
1091,NIFTY,11600,C,2019-10-24,2019-10-23 11:00:00,SELL,2019-10-23,11:30:00,78.7,157.4,1,2019-10-24 15:00:00,1.0,77.7,0.797,76.903,23070.9,Target Hit,300.0,2.30709,135.0,0.05,2019,10,"20, 4, 30m, 2% SL",711217.1662499994,71.12171662500003,71.12171662500003,0.0
291,BANKNIFTY,29000,C,2019-10-24,2019-10-24 09:15:00,SELL,2019-10-24,09:30:00,605.0,732.6,2,2019-10-24 15:15:00,108.85,496.15,7.1385000000000005,489.0115,40343.448749999996,Expiry Exit,82.5,4.0343448749999995,791.0,62.1,2019,10,"35, 4, 15m, N Candles High SL",751560.6149999994,75.15606150000004,75.15606150000004,0.0
292,BANKNIFTY,29200,P,2019-10-31,2019-10-29 11:45:00,SELL,2019-10-29,12:00:00,56.0,475.0,2,2019-10-31 10:00:00,2.0,54.0,0.58,53.42,4407.150000000001,Target Hit,82.5,0.440715,475.0,1.7,2019,10,"35, 4, 15m, N Candles High SL",755967.7649999994,75.59677650000003,75.59677650000003,0.0
1092,NIFTY,11650,P,2019-10-31,2019-10-29 12:30:00,SELL,2019-10-29,13:00:00,17.8,35.6,1,2019-10-31 09:00:00,1.0,16.8,0.188,16.612000000000002,4983.6,Target Hit,300.0,0.49836,177.3,0.45,2019,10,"20, 4, 30m, 2% SL",760951.3649999994,76.09513650000004,76.09513650000004,0.0
293,BANKNIFTY,30200,P,2019-11-07,2019-11-04 12:45:00,SELL,2019-11-04,13:00:00,205.0,383.35,2,2019-11-07 14:00:00,2.0,203.0,2.07,200.93,16576.725000000002,Target Hit,82.5,1.6576725,489.7,1.2,2019,11,"35, 4, 15m, N Candles High SL",777528.0899999994,77.75280900000004,77.75280900000004,0.0
1093,NIFTY,11900,P,2019-11-07,2019-11-04 14:00:00,SELL,2019-11-04,14:30:00,46.75,93.5,1,2019-11-07 13:30:00,1.0,45.75,0.4775,45.2725,13242.20625,Target Hit,292.5,1.3242206250000002,119.8,0.65,2019,11,"20, 4, 30m, 2% SL",790770.2962499994,79.07702962500004,79.07702962500004,0.0
294,BANKNIFTY,30200,C,2019-11-07,2019-11-05 11:30:00,SELL,2019-11-05,11:45:00,307.0,520.0,2,2019-11-06 14:45:00,520.0,-213.0,8.27,-221.27,-18254.775,Initial SL Hit,82.5,-1.8254775,538.9,92.1,2019,11,"35, 4, 15m, N Candles High SL",772515.5212499994,77.25155212500003,79.07702962500004,-1.8254775000000052
1094,NIFTY,11900,C,2019-11-07,2019-11-05 15:00:00,SELL,2019-11-06,09:00:00,61.55,123.1,1,2019-11-06 14:00:00,123.1,-61.55,1.8465,-63.3965,-18543.47625,Initial SL Hit,292.5,-1.854347625,126.7,25.6,2019,11,"20, 4, 30m, 2% SL",753972.0449999995,75.39720450000003,79.07702962500004,-3.679825125000008
295,BANKNIFTY,30600,P,2019-11-14,2019-11-11 12:30:00,SELL,2019-11-11,12:45:00,168.25,323.0,2,2019-11-14 15:00:00,2.0,166.25,1.7025,164.5475,13575.16875,Target Hit,82.5,1.357516875,406.25,0.2,2019,11,"35, 4, 15m, N Candles High SL",767547.2137499994,76.75472137500003,79.07702962500004,-2.322308250000006
1095,NIFTY,12000,C,2019-11-14,2019-11-11 14:00:00,SELL,2019-11-11,14:30:00,22.1,44.2,1,2019-11-14 09:00:00,1.0,21.1,0.231,20.869,6104.1825,Target Hit,292.5,0.61041825,102.4,0.6,2019,11,"20, 4, 30m, 2% SL",773651.3962499994,77.36513962500003,79.07702962500004,-1.711890000000011
296,BANKNIFTY,30600,C,2019-11-14,2019-11-13 12:30:00,SELL,2019-11-13,12:45:00,377.5,648.2,2,2019-11-14 15:15:00,149.0,228.5,5.265,223.235,18416.8875,Expiry Exit,82.5,1.84168875,648.2,16.3,2019,11,"35, 4, 15m, N Candles High SL",792068.2837499994,79.20682837500003,79.20682837500003,0.0
297,BANKNIFTY,30900,P,2019-11-21,2019-11-18 12:30:00,SELL,2019-11-18,12:45:00,228.2,349.0,2,2019-11-21 13:00:00,2.0,226.2,2.302,223.898,18471.585,Target Hit,82.5,1.8471585,379.8,1.9,2019,11,"35, 4, 15m, N Candles High SL",810539.8687499993,81.05398687500004,81.05398687500004,0.0
298,BANKNIFTY,30900,C,2019-11-21,2019-11-18 13:00:00,SELL,2019-11-18,13:15:00,312.05,449.55,2,2019-11-19 11:30:00,449.55,-137.5,7.616,-145.116,-11972.070000000002,Initial SL Hit,82.5,-1.1972070000000001,472.5,255.3,2019,11,"35, 4, 15m, N Candles High SL",798567.7987499994,79.85677987500003,81.05398687500004,-1.197207000000006
1096,NIFTY,11900,C,2019-11-21,2019-11-18 14:00:00,SELL,2019-11-18,14:30:00,60.45,120.9,1,2019-11-20 09:00:00,120.9,-60.45,1.8135000000000003,-62.2635,-18212.07375,Initial SL Hit,292.5,-1.821207375,134.9,50.85,2019,11,"20, 4, 30m, 2% SL",780355.7249999994,78.03557250000003,81.05398687500004,-3.018414375000006
1097,NIFTY,11900,P,2019-11-21,2019-11-19 13:00:00,SELL,2019-11-19,13:30:00,31.15,62.3,1,2019-11-21 12:00:00,1.0,30.15,0.3215,29.8285,8724.83625,Target Hit,292.5,0.872483625,88.55,0.95,2019,11,"20, 4, 30m, 2% SL",789080.5612499994,78.90805612500003,81.05398687500004,-2.145930750000005
299,BANKNIFTY,31400,P,2019-11-28,2019-11-25 12:30:00,SELL,2019-11-25,12:45:00,206.95,492.65,2,2019-11-28 10:45:00,2.0,204.95,2.0895,202.8605,16735.99125,Target Hit,82.5,1.673599125,492.65,2.0,2019,11,"35, 4, 15m, N Candles High SL",805816.5524999994,80.58165525000003,81.05398687500004,-0.4723316250000096
300,BANKNIFTY,31400,C,2019-11-28,2019-11-25 12:45:00,SELL,2019-11-25,13:00:00,173.2,210.75,2,2019-11-25 13:30:00,210.75,-37.55000000000001,3.8395,-41.38950000000001,-3414.633750000001,Initial SL Hit,82.5,-0.34146337500000007,285.85,98.05,2019,11,"35, 4, 15m, N Candles High SL",802401.9187499994,80.24019187500002,81.05398687500004,-0.8137950000000131
1098,NIFTY,11950,P,2019-11-28,2019-11-25 14:00:00,SELL,2019-11-25,14:30:00,20.8,41.6,1,2019-11-28 09:00:00,1.0,19.8,0.218,19.582,5727.735,Target Hit,292.5,0.5727735,116.95,0.55,2019,11,"20, 4, 30m, 2% SL",808129.6537499994,80.81296537500002,81.05398687500004,-0.24102150000001643
301,BANKNIFTY,32100,C,2019-12-05,2019-12-02 12:30:00,SELL,2019-12-02,12:45:00,96.9,209.5,2,2019-12-05 14:15:00,2.0,94.9,0.989,93.911,7043.325,Target Hit,75.0,0.7043324999999999,243.35,1.6,2019,12,"35, 4, 15m, N Candles High SL",815172.9787499993,81.51729787500003,81.51729787500003,0.0
1099,NIFTY,12150,C,2019-12-05,2019-12-02 14:00:00,SELL,2019-12-02,14:30:00,23.0,46.0,1,2019-12-05 11:30:00,1.0,22.0,0.24,21.76,6201.6,Target Hit,285.0,0.62016,84.7,0.65,2019,12,"20, 4, 30m, 2% SL",821374.5787499993,82.13745787500002,82.13745787500002,0.0
302,BANKNIFTY,32100,P,2019-12-05,2019-12-02 15:00:00,SELL,2019-12-02,15:15:00,336.15,463.85,2,2019-12-03 10:45:00,463.85,-127.70000000000005,8.0,-135.70000000000005,-10177.500000000004,Initial SL Hit,75.0,-1.0177500000000004,472.15,271.3,2019,12,"35, 4, 15m, N Candles High SL",811197.0787499993,81.11970787500002,82.13745787500002,-1.0177500000000066
303,BANKNIFTY,32100,P,2019-12-05,2019-12-04 10:30:00,SELL,2019-12-04,10:45:00,328.65,670.0,2,2019-12-05 15:15:00,387.5,-58.85000000000002,7.1615,-66.01150000000003,-4950.862500000002,Expiry Exit,75.0,-0.4950862500000002,670.0,115.5,2019,12,"35, 4, 15m, N Candles High SL",806246.2162499992,80.62462162500002,82.13745787500002,-1.5128362500000065
304,BANKNIFTY,31800,C,2019-12-12,2019-12-09 13:15:00,SELL,2019-12-09,13:30:00,105.1,247.45,2,2019-12-12 12:30:00,2.0,103.1,1.071,102.029,7652.175,Target Hit,75.0,0.7652174999999999,298.85,2.0,2019,12,"35, 4, 15m, N Candles High SL",813898.3912499993,81.38983912500002,82.13745787500002,-0.7476187500000009
1100,NIFTY,12050,C,2019-12-12,2019-12-09 14:30:00,SELL,2019-12-09,15:00:00,18.3,36.6,1,2019-12-12 09:00:00,1.0,17.3,0.193,17.107,5003.7975,Target Hit,292.5,0.50037975,71.0,0.75,2019,12,"20, 4, 30m, 2% SL",818902.1887499993,81.89021887500002,82.13745787500002,-0.24723900000000754
305,BANKNIFTY,31800,P,2019-12-12,2019-12-12 09:30:00,SELL,2019-12-12,09:45:00,378.1,782.9,2,2019-12-12 15:15:00,134.0,244.1,5.121,238.979,17923.425,Expiry Exit,75.0,1.7923425,782.9,117.55,2019,12,"35, 4, 15m, N Candles High SL",836825.6137499993,83.68256137500002,83.68256137500002,0.0
306,BANKNIFTY,31800,P,2019-12-19,2019-12-16 12:45:00,SELL,2019-12-16,13:00:00,145.95,185.4,2,2019-12-19 10:45:00,2.0,143.95,1.4794999999999998,142.4705,10685.2875,Target Hit,75.0,1.06852875,289.5,2.0,2019,12,"35, 4, 15m, N Candles High SL",847510.9012499993,84.75109012500002,84.75109012500002,0.0
1101,NIFTY,12050,P,2019-12-19,2019-12-16 15:00:00,SELL,2019-12-17,09:00:00,39.6,79.2,1,2019-12-19 09:00:00,1.0,38.6,0.406,38.194,11171.745,Target Hit,292.5,1.1171745,73.7,0.45,2019,12,"20, 4, 30m, 2% SL",858682.6462499993,85.86826462500002,85.86826462500002,0.0
307,BANKNIFTY,31800,C,2019-12-19,2019-12-18 10:45:00,SELL,2019-12-18,11:00:00,310.35,493.15,2,2019-12-19 09:15:00,354.95,-44.599999999999966,6.653,-51.252999999999965,-3843.974999999997,Gap Outside ISL,75.0,-0.3843974999999997,524.45,216.45,2019,12,"35, 4, 15m, N Candles High SL",854838.6712499993,85.48386712500002,85.86826462500002,-0.3843975000000057
308,BANKNIFTY,32300,C,2019-12-26,2019-12-23 12:30:00,SELL,2019-12-23,12:45:00,201.95,280.0,2,2019-12-26 13:45:00,2.0,199.95,2.0395,197.9105,14843.2875,Target Hit,75.0,1.4843287499999998,280.0,1.5,2019,12,"35, 4, 15m, N Candles High SL",869681.9587499993,86.96819587500002,86.96819587500002,0.0
309,BANKNIFTY,32300,P,2019-12-26,2019-12-23 13:45:00,SELL,2019-12-23,14:00:00,153.4,226.5,2,2019-12-26 13:45:00,226.5,-73.1,3.799,-76.899,-5767.425,Initial SL Hit,75.0,-0.5767425,293.05,65.0,2019,12,"35, 4, 15m, N Candles High SL",863914.5337499992,86.39145337500003,86.96819587500002,-0.5767424999999946
1102,NIFTY,12250,C,2019-12-26,2019-12-23 14:00:00,SELL,2019-12-23,14:30:00,37.45,74.9,1,2019-12-26 13:00:00,1.0,36.45,0.3845,36.0655,10278.6675,Target Hit,285.0,1.02786675,85.65,0.5,2019,12,"20, 4, 30m, 2% SL",874193.2012499992,87.41932012500003,87.41932012500003,0.0
1103,NIFTY,12250,P,2019-12-26,2019-12-23 14:30:00,SELL,2019-12-23,15:00:00,47.3,94.6,1,2019-12-26 15:00:00,94.6,-47.3,1.4189999999999998,-48.719,-13884.915,Initial SL Hit,285.0,-1.3884915,123.55,17.7,2019,12,"20, 4, 30m, 2% SL",860308.2862499992,86.03082862500003,87.41932012500003,-1.3884915000000007
310,BANKNIFTY,32100,P,2020-01-02,2019-12-30 12:30:00,SELL,2019-12-30,12:45:00,79.05,129.0,2,2020-01-02 13:45:00,2.0,77.05,0.8105,76.23949999999999,5717.9625,Target Hit,75.0,0.57179625,208.55,1.7,2019,12,"35, 4, 15m, N Candles High SL",866026.2487499992,86.60262487500003,87.41932012500003,-0.8166952499999951
311,BANKNIFTY,32100,C,2020-01-02,2019-12-30 14:00:00,SELL,2019-12-30,14:15:00,336.05,567.1,2,2020-01-02 15:15:00,343.55,-7.5,6.796,-14.296,-1072.2,Expiry Exit,75.0,-0.10722,567.1,93.65,2019,12,"35, 4, 15m, N Candles High SL",864954.0487499993,86.49540487500003,87.41932012500003,-0.9239152499999932
1104,NIFTY,12150,P,2020-01-02,2019-12-30 14:30:00,SELL,2019-12-30,15:00:00,11.05,22.1,1,2019-12-31 15:00:00,22.1,-11.05,0.3315000000000001,-11.3815,-3243.7275000000004,Initial SL Hit,285.0,-0.32437275000000004,55.25,8.0,2019,12,"20, 4, 30m, 2% SL",861710.3212499992,86.17103212500004,87.41932012500003,-1.248287999999988
1105,NIFTY,12150,P,2020-01-02,2020-01-01 14:30:00,SELL,2020-01-01,15:00:00,11.15,22.3,1,2020-01-02 10:30:00,1.0,10.15,0.1215,10.0285,2858.1225000000004,Target Hit,285.0,0.28581225000000005,55.25,0.85,2020,1,"20, 4, 30m, 2% SL",864568.4437499993,86.45684437500005,87.41932012500003,-0.9624757499999816
312,BANKNIFTY,32300,C,2020-01-09,2020-01-06 12:30:00,SELL,2020-01-06,12:45:00,22.95,211.8,2,2020-01-09 14:15:00,2.0,20.95,0.2495,20.7005,1552.5375,Target Hit,75.0,0.15525375,254.0,1.85,2020,1,"35, 4, 15m, N Candles High SL",866120.9812499993,86.61209812500005,87.41932012500003,-0.8072219999999817
1106,NIFTY,12250,C,2020-01-09,2020-01-06 14:00:00,SELL,2020-01-06,14:30:00,5.65,11.3,1,2020-01-07 09:00:00,11.3,-5.65,0.1695,-5.819500000000001,-1658.5575,Initial SL Hit,285.0,-0.16585575,75.0,4.75,2020,1,"20, 4, 30m, 2% SL",864462.4237499993,86.44624237500004,87.41932012500003,-0.9730777499999874
1107,NIFTY,12250,C,2020-01-09,2020-01-07 09:30:00,SELL,2020-01-07,10:00:00,12.8,25.6,1,2020-01-09 09:30:00,1.0,11.8,0.138,11.662,3323.67,Target Hit,285.0,0.33236699999999997,75.0,0.8,2020,1,"20, 4, 30m, 2% SL",867786.0937499993,86.77860937500004,87.41932012500003,-0.6407107499999825
313,BANKNIFTY,32300,P,2020-01-09,2020-01-09 10:00:00,SELL,2020-01-09,10:15:00,514.05,1417.2,2,2020-01-09 15:15:00,208.2,305.85,7.2225,298.62749999999994,22397.062499999996,Expiry Exit,75.0,2.2397062499999993,1417.2,146.8,2020,1,"35, 4, 15m, N Candles High SL",890183.1562499993,89.01831562500004,89.01831562500004,0.0
314,BANKNIFTY,32200,P,2020-01-16,2020-01-13 12:30:00,SELL,2020-01-13,12:45:00,229.15,436.2,2,2020-01-15 09:30:00,436.2,-207.05,6.6535,-213.7035,-16027.7625,Initial SL Hit,75.0,-1.60277625,440.0,186.65,2020,1,"35, 4, 15m, N Candles High SL",874155.3937499993,87.41553937500004,89.01831562500004,-1.6027762500000051
315,BANKNIFTY,32200,C,2020-01-16,2020-01-13 13:00:00,SELL,2020-01-13,13:15:00,200.1,344.9,2,2020-01-16 11:00:00,2.0,198.1,2.021,196.079,14705.925,Target Hit,75.0,1.4705925000000002,344.9,1.85,2020,1,"35, 4, 15m, N Candles High SL",888861.3187499994,88.88613187500003,89.01831562500004,-0.13218375000001004
1108,NIFTY,12250,P,2020-01-16,2020-01-13 14:30:00,SELL,2020-01-13,15:00:00,29.85,59.7,1,2020-01-16 09:00:00,1.0,28.85,0.3085,28.541500000000003,8134.327500000001,Target Hit,285.0,0.8134327500000001,87.45,0.65,2020,1,"20, 4, 30m, 2% SL",896995.6462499994,89.69956462500004,89.69956462500004,0.0
316,BANKNIFTY,32200,P,2020-01-16,2020-01-16 13:15:00,SELL,2020-01-16,13:30:00,311.6,516.0,2,2020-01-16 15:15:00,347.0,-35.39999999999998,6.586,-41.985999999999976,-3148.949999999998,Expiry Exit,75.0,-0.3148949999999998,516.0,186.65,2020,1,"35, 4, 15m, N Candles High SL",893846.6962499995,89.38466962500004,89.69956462500004,-0.3148949999999928
317,BANKNIFTY,31600,C,2020-01-23,2020-01-20 12:30:00,SELL,2020-01-20,12:45:00,155.05,549.95,2,2020-01-23 09:15:00,2.0,153.05,1.5705000000000002,151.4795,12497.05875,Target Hit,82.5,1.249705875,549.95,0.75,2020,1,"35, 4, 15m, N Candles High SL",906343.7549999994,90.63437550000005,90.63437550000005,0.0
1109,NIFTY,12350,C,2020-01-23,2020-01-20 14:00:00,SELL,2020-01-20,14:30:00,21.6,43.2,1,2020-01-23 09:00:00,1.0,20.6,0.226,20.374,5806.590000000001,Target Hit,285.0,0.5806590000000001,102.0,0.1,2020,1,"20, 4, 30m, 2% SL",912150.3449999994,91.21503450000004,91.21503450000004,0.0
318,BANKNIFTY,31000,C,2020-01-30,2020-01-27 12:45:00,SELL,2020-01-27,13:00:00,269.95,531.4,2,2020-01-30 12:45:00,2.0,267.95,2.7195,265.2305,21881.51625,Target Hit,82.5,2.188151625,531.4,1.7,2020,1,"35, 4, 15m, N Candles High SL",934031.8612499994,93.40318612500005,93.40318612500005,0.0
1110,NIFTY,12150,C,2020-01-30,2020-01-27 14:00:00,SELL,2020-01-27,14:30:00,66.6,133.2,1,2020-01-30 12:00:00,1.0,65.6,0.6759999999999999,64.92399999999999,18503.339999999997,Target Hit,285.0,1.850334,164.5,0.7,2020,1,"20, 4, 30m, 2% SL",952535.2012499993,95.25352012500005,95.25352012500005,0.0
319,BANKNIFTY,31000,P,2020-01-30,2020-01-29 10:00:00,SELL,2020-01-29,10:15:00,158.4,405.0,2,2020-01-30 10:30:00,405.0,-246.6,5.634,-252.234,-20809.304999999997,Initial SL Hit,82.5,-2.0809304999999996,417.1,93.4,2020,1,"35, 4, 15m, N Candles High SL",931725.8962499993,93.17258962500006,95.25352012500005,-2.080930499999994
1111,NIFTY,12150,P,2020-01-30,2020-01-29 11:30:00,SELL,2020-01-29,12:00:00,35.05,70.1,1,2020-01-29 13:30:00,70.1,-35.05,1.0515,-36.1015,-10288.9275,Initial SL Hit,285.0,-1.02889275,131.35,20.7,2020,1,"20, 4, 30m, 2% SL",921436.9687499993,92.14369687500006,95.25352012500005,-3.109823249999991
1112,NIFTY,12150,P,2020-01-30,2020-01-29 15:00:00,SELL,2020-01-30,09:00:00,43.15,86.3,1,2020-01-30 09:30:00,86.3,-43.15,1.2945,-44.4445,-12666.6825,Initial SL Hit,285.0,-1.26666825,131.35,20.7,2020,1,"20, 4, 30m, 2% SL",908770.2862499993,90.87702862500007,95.25352012500005,-4.376491499999986
320,BANKNIFTY,31000,C,2020-02-06,2020-02-01 12:30:00,SELL,2020-02-01,12:45:00,335.0,485.35,2,2020-02-06 15:15:00,304.0,31.0,6.390000000000001,24.61,2030.325,Expiry Exit,82.5,0.2030325,511.5,13.1,2020,2,"35, 4, 15m, N Candles High SL",910800.6112499993,91.08006112500007,95.25352012500005,-4.17345899999998
1113,NIFTY,12100,C,2020-02-06,2020-02-01 14:00:00,SELL,2020-02-01,14:30:00,20.95,41.9,1,2020-02-06 09:00:00,42.2,-21.250000000000004,0.6315000000000001,-21.881500000000003,-6400.338750000001,Gap Outside ISL,292.5,-0.6400338750000001,165.0,2.95,2020,2,"20, 4, 30m, 2% SL",904400.2724999993,90.44002725000007,95.25352012500005,-4.81349287499998
321,BANKNIFTY,31000,P,2020-02-06,2020-02-04 10:15:00,SELL,2020-02-04,10:30:00,670.3,1446.45,2,2020-02-06 13:15:00,2.0,668.3,6.723,661.577,54580.1025,Target Hit,82.5,5.45801025,1446.45,1.5,2020,2,"35, 4, 15m, N Candles High SL",958980.3749999993,95.89803750000007,95.89803750000007,0.0
1114,NIFTY,12100,P,2020-02-06,2020-02-04 11:30:00,SELL,2020-02-04,12:00:00,184.15,368.3,1,2020-02-06 13:30:00,1.0,183.15,1.8515,181.2985,53029.81125,Target Hit,292.5,5.302981125,501.0,1.0,2020,2,"20, 4, 30m, 2% SL",1012010.1862499993,101.20101862500007,101.20101862500007,0.0
322,BANKNIFTY,31400,P,2020-02-13,2020-02-10 12:30:00,SELL,2020-02-10,12:45:00,405.35,496.0,2,2020-02-13 15:15:00,168.9,236.45,5.7425,230.7075,19033.36875,Expiry Exit,82.5,1.903336875,496.0,29.0,2020,2,"35, 4, 15m, N Candles High SL",1031043.5549999994,103.10435550000007,103.10435550000007,0.0
323,BANKNIFTY,31400,C,2020-02-13,2020-02-10 12:45:00,SELL,2020-02-10,13:00:00,81.5,226.95,2,2020-02-13 09:15:00,91.2,-9.700000000000005,1.727,-11.427000000000003,-942.7275000000004,Gap Outside ISL,82.5,-0.09427275,264.9,62.45,2020,2,"35, 4, 15m, N Candles High SL",1030100.8274999993,103.01008275000007,103.10435550000007,-0.09427275000000179
1115,NIFTY,12150,P,2020-02-13,2020-02-11 12:00:00,SELL,2020-02-11,12:30:00,50.65,101.3,1,2020-02-13 15:00:00,1.0,49.65,0.5165,49.1335,14003.0475,Target Hit,285.0,1.40030475,187.5,0.05,2020,2,"20, 4, 30m, 2% SL",1044103.8749999993,104.41038750000007,104.41038750000007,0.0
324,BANKNIFTY,31400,C,2020-02-13,2020-02-13 10:00:00,SELL,2020-02-13,10:15:00,32.8,264.9,2,2020-02-13 14:00:00,2.0,30.8,0.348,30.452,2512.29,Target Hit,82.5,0.251229,264.9,1.5,2020,2,"35, 4, 15m, N Candles High SL",1046616.1649999993,104.66161650000006,104.66161650000006,0.0
325,BANKNIFTY,31300,C,2020-02-20,2020-02-17 12:30:00,SELL,2020-02-17,12:45:00,56.95,268.45,2,2020-02-20 09:15:00,2.0,54.95,0.5895,54.3605,4484.74125,Target Hit,82.5,0.44847412500000006,316.0,2.0,2020,2,"35, 4, 15m, N Candles High SL",1051100.9062499993,105.11009062500007,105.11009062500007,0.0
1116,NIFTY,12200,C,2020-02-20,2020-02-17 14:00:00,SELL,2020-02-17,14:30:00,16.85,33.7,1,2020-02-20 10:00:00,1.0,15.85,0.1785,15.671500000000002,4466.3775000000005,Target Hit,285.0,0.44663775000000006,96.5,0.85,2020,2,"20, 4, 30m, 2% SL",1055567.2837499992,105.55672837500006,105.55672837500006,0.0
326,BANKNIFTY,31300,P,2020-02-20,2020-02-19 12:30:00,SELL,2020-02-19,12:45:00,490.0,1025.85,2,2020-02-20 15:15:00,357.0,133.0,8.47,124.53,10273.725,Expiry Exit,82.5,1.0273725,1025.85,158.4,2020,2,"35, 4, 15m, N Candles High SL",1065841.0087499993,106.58410087500006,106.58410087500006,0.0
327,BANKNIFTY,30700,C,2020-02-27,2020-02-25 13:15:00,SELL,2020-02-25,13:30:00,117.05,212.25,2,2020-02-27 09:15:00,2.0,115.05,1.1905,113.8595,9393.40875,Target Hit,82.5,0.939340875,221.5,1.8,2020,2,"35, 4, 15m, N Candles High SL",1075234.4174999993,107.52344175000006,107.52344175000006,0.0
1117,NIFTY,12000,C,2020-02-27,2020-02-25 14:30:00,SELL,2020-02-25,15:00:00,11.55,23.1,1,2020-02-27 09:00:00,1.0,10.55,0.1255,10.4245,3049.16625,Target Hit,292.5,0.304916625,74.0,0.2,2020,2,"20, 4, 30m, 2% SL",1078283.5837499993,107.82835837500006,107.82835837500006,0.0
328,BANKNIFTY,29500,C,2020-03-05,2020-03-02 12:30:00,SELL,2020-03-02,12:45:00,286.6,363.0,2,2020-03-02 13:30:00,363.0,-76.39999999999998,6.496,-82.89599999999997,-6838.919999999998,Initial SL Hit,82.5,-0.6838919999999997,520.0,230.0,2020,3,"35, 4, 15m, N Candles High SL",1071444.6637499994,107.14446637500006,107.82835837500006,-0.6838920000000002
