date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Hedge ROI%,Total ROI%,Cumulative ROI%,Max Cumulative ROI%,DD
2020-07-31,Friday,2020-08-06,6,11000,P,81.05,13:55:00,110.0,110.0,2020-08-03,09:15:00,41.36337377238591,SL hit,-28.950000000000003,1.9105,690.8462867012089,-21319.86183074266,-2.131986183074266,2020,8,114.3,63.3,1.2262521588946458,94.99136442141622,2020-07-31 13:55:00,0,,,,,0.0,-2.131986183074266,184.3934204882828,188.67175929585235,-4.278338807569554
2020-07-31,Friday,2020-08-06,6,11150,C,86.1,14:15:00,116.95,50.5,2020-08-06,15:25:00,46.0960960960961,EOD exit,35.599999999999994,1.366,648.2982171799026,22193.84116693678,2.219384116693678,2020,8,108.95,7.7,5.0826580226904365,90.35656401944892,2020-07-31 14:15:00,0,,,,,0.0,2.219384116693678,186.61280460497647,188.67175929585235,-2.058954690875879
2020-08-04,Tuesday,2020-08-06,2,10900,P,78.0,09:25:00,81.9,0.05,2020-08-06,15:25:00,48.62553451435553,EOD exit,77.95,0.7805,1834.8623853211009,141595.4128440367,14.159541284403671,2020,8,79.45,0.05,14.302752293577983,250.0,2020-08-04 09:25:00,10550,5.6,0.05,-5.55,-10183.48623853211,-1.0183486238532111,13.14119266055046,199.75399726552695,199.75399726552695,0.0
2020-08-07,Friday,2020-08-13,6,11200,C,105.6,09:35:00,111.95,111.95,2020-08-07,09:45:00,38.066825775656326,SL hit,-6.3500000000000085,2.1755,1785.7142857142858,-15224.107142857158,-1.5224107142857155,2020,8,117.2,103.05,0.4553571428571424,250.0,2020-08-07 09:35:00,11550,8.4,10.15,1.75,3125.0,0.3125,-1.2099107142857155,198.54408655124124,199.75399726552695,-1.2099107142857122
2020-08-07,Friday,2020-08-13,6,11200,C,108.15,09:45:00,117.2,117.2,2020-08-07,11:55:00,42.09428452231957,SL hit,-9.049999999999995,2.2535000000000003,1785.7142857142858,-20184.821428571424,-2.0184821428571422,2020,8,122.9,92.25,2.839285714285716,250.0,2020-08-07 09:45:00,11550,10.15,9.1,-1.0500000000000007,-1875.0000000000014,-0.18750000000000014,-2.2059821428571422,196.33810440838408,199.75399726552695,-3.4158928571428646
2020-08-07,Friday,2020-08-13,6,11150,P,98.7,10:55:00,121.1,0.05,2020-08-13,15:25:00,45.63106796116505,EOD exit,98.65,0.9875,892.8571428571432,87198.66071428575,8.719866071428575,2020,8,101.4,0.05,8.808035714285719,124.44196428571436,2020-08-07 10:55:00,10600,6.75,0.05,-6.7,-5982.14285714286,-0.5982142857142859,8.121651785714288,204.45975619409836,204.45975619409836,0.0
2020-08-07,Friday,2020-08-13,6,11200,C,99.0,12:25:00,122.9,122.9,2020-08-07,14:25:00,41.83501683501683,SL hit,-23.90000000000001,2.2190000000000003,836.8200836820082,-21856.90376569038,-2.185690376569038,2020,8,123.45,93.2,0.4853556485355645,117.15481171548116,2020-08-07 12:25:00,11750,2.25,1.9,-0.3500000000000001,-292.88702928870293,-0.029288702928870293,-2.2149790794979083,202.24477711460045,204.45975619409836,-2.2149790794979083
2020-08-10,Monday,2020-08-13,3,11300,C,85.8,12:25:00,98.95,98.95,2020-08-11,09:15:00,43.14381270903012,SL hit,-13.150000000000006,1.8475,1520.9125475285164,-22809.88593155893,-2.280988593155893,2020,8,109.25,54.55,4.752851711026613,214.82889733840287,2020-08-10 12:25:00,11650,3.6,3.35,-0.25,-380.2281368821291,-0.03802281368821291,-2.319011406844106,199.92576570775634,204.45975619409836,-4.53399048634202
2020-08-11,Tuesday,2020-08-13,2,11350,C,54.65,12:45:00,78.0,0.05,2020-08-13,15:25:00,32.77777777777777,EOD exit,54.6,0.5469999999999999,856.5310492505353,46298.07280513919,4.629807280513918,2020,8,70.0,0.05,4.676659528907923,121.52034261241973,2020-08-11 12:45:00,11900,1.25,0.05,-1.2,-1027.8372591006423,-0.10278372591006422,4.527023554603854,204.4527892623602,204.45975619409836,-0.00696693173816243
2020-08-14,Friday,2020-08-20,6,11400,C,65.6,10:05:00,72.35,72.35,2020-08-14,12:15:00,49.49152542372882,SL hit,-6.75,1.3795,1754.3859649122808,-14262.280701754387,-1.4262280701754388,2020,8,79.0,56.0,1.6842105263157887,250.0,2020-08-14 10:05:00,11750,3.2,3.25,0.04999999999999982,87.71929824561373,0.008771929824561374,-1.4174561403508774,203.03533312200932,204.45975619409836,-1.4244230720890414
