date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
2020-01-24,Friday,2020-01-30,6,12150,P,58.5,09:25:00,71.7,71.7,2020-01-27,14:45:00,0,SL hit,-13.200000000000003,1.3019999999999998,1316.8724279835392,-19097.28395061729,-1.909728395061729,2020,1,73.2,20.7,4.977777777777778,200.00000000000006,2020-01-24 09:25:00
2020-01-28,Tuesday,2020-01-30,2,12100,P,39.25,09:35:00,64.45,64.45,2020-01-28,14:00:00,0,SL hit,-25.200000000000003,1.0370000000000001,793.6507936507936,-20823.015873015873,-2.082301587301587,2020,1,66.75,33.95,0.4206349206349204,120.03968253968253,2020-01-28 09:35:00
2020-01-28,Tuesday,2020-01-30,2,12150,C,52.25,12:15:00,65.95,0.05,2020-01-30,15:20:00,0,EOD exit,52.2,0.523,1316.8724279835392,68052.01646090536,6.805201646090536,2020,1,57.8,0.05,6.874074074074074,200.00000000000006,2020-01-28 12:15:00
2020-01-29,Wednesday,2020-01-30,1,12100,P,24.9,13:30:00,49.05,49.05,2020-01-30,09:30:00,0,SL hit,-24.15,0.7394999999999999,828.1573498964804,-20612.422360248445,-2.0612422360248446,2020,1,52.0,13.65,0.9316770186335404,125.25879917184267,2020-01-29 13:30:00
2020-01-31,Friday,2020-02-06,6,12100,P,174.05,09:40:00,181.2,181.2,2020-01-31,09:45:00,0,SL hit,-7.149999999999977,3.5525,1322.314049586777,-14152.06611570245,-1.4152066115702449,2020,1,182.65,170.3,0.49586776859504134,200.00000000000006,2020-01-31 09:40:00
2020-01-31,Friday,2020-02-06,6,12150,C,104.7,10:25:00,126.85,0.05,2020-02-06,15:20:00,0,EOD exit,104.65,1.0475,902.93453724605,93546.2753950339,9.354627539503388,2020,2,111.5,0.05,9.449209932279915,137.13318284424386,2020-01-31 10:25:00
2020-01-31,Friday,2020-02-06,6,12050,P,172.05,12:45:00,203.0,232.6,2020-02-01,09:15:00,0,Gap SL hit,-60.54999999999998,4.0465,646.2035541195479,-41742.48788368336,-4.1742487883683355,2020,2,257.1,135.7,2.348949919224558,97.3344103392569,2020-01-31 12:45:00
2020-02-01,Saturday,2020-02-06,5,11900,P,107.25,10:35:00,160.55,160.55,2020-02-01,13:15:00,0,SL hit,-53.30000000000001,2.6780000000000004,375.2345215759849,-21004.878048780487,-2.100487804878049,2020,2,178.75,97.25,0.3752345215759849,55.816135084427756,2020-02-01 10:35:00
2020-02-03,Monday,2020-02-06,3,11600,P,49.25,10:10:00,95.0,0.05,2020-02-06,15:20:00,0,EOD exit,49.2,0.493,437.1584699453552,21292.677595628415,2.1292677595628415,2020,2,67.4,0.05,2.1508196721311474,63.3879781420765,2020-02-03 10:10:00
2020-02-07,Friday,2020-02-13,6,12200,C,30.15,12:30:00,45.0,45.0,2020-02-12,14:00:00,0,SL hit,-14.850000000000001,0.7515000000000001,1311.4754098360656,-20460.98360655738,-2.046098360655738,2020,2,51.9,7.55,2.9639344262295078,200.0,2020-02-07 12:30:00
