date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
2020-07-10,Friday,2020-07-16,6,10800,C,113.75,10:05:00,119.5,115.5,2020-07-13,09:15:00,48.528678304239406,Gap SL hit,-1.75,2.2925,1851.851851851852,-7486.111111111112,-0.7486111111111112,2020,7,130.0,72.1,7.712962962962965,250.0,2020-07-10 10:05:00
2020-07-10,Friday,2020-07-16,6,10750,P,115.65,14:25:00,139.9,139.9,2020-07-14,10:35:00,43.51297405189621,SL hit,-24.25,2.5555000000000003,824.7422680412371,-22107.628865979383,-2.210762886597938,2020,7,140.95,32.2,6.882474226804123,110.82474226804125,2020-07-10 14:25:00
2020-07-13,Monday,2020-07-16,3,10900,C,58.05,12:35:00,81.8,0.05,2020-07-16,15:25:00,41.72123479887744,EOD exit,58.0,0.581,842.1052631578947,48352.84210526315,4.835284210526315,2020,7,60.85,0.05,4.88421052631579,114.73684210526314,2020-07-13 12:35:00
2020-07-14,Tuesday,2020-07-16,2,10650,P,87.95,14:45:00,142.5,0.05,2020-07-16,15:25:00,49.772965420887175,EOD exit,87.9,0.88,366.63611365719527,31904.674610449136,3.1904674610449137,2020,7,104.8,0.05,3.2227314390467465,48.80843263061412,2020-07-14 14:45:00
2020-07-17,Friday,2020-07-23,6,10800,C,107.0,12:55:00,124.95,124.95,2020-07-17,14:05:00,48.216340621403916,SL hit,-17.950000000000003,2.3195,1114.2061281337046,-22584.40111420613,-2.258440111420613,2020,7,133.0,97.7,1.036211699164345,150.4178272980501,2020-07-17 12:55:00
2020-07-17,Friday,2020-07-23,6,10750,P,87.3,13:35:00,145.15,0.1,2020-07-23,15:25:00,40.60228452751818,EOD exit,87.2,0.8739999999999999,345.72169403630073,29844.7709593777,2.9844770959377698,2020,7,92.9,0.05,3.016421780466724,46.45635263612791,2020-07-17 13:35:00
2020-07-20,Monday,2020-07-23,3,11000,C,67.45,13:25:00,102.3,102.3,2020-07-20,14:05:00,37.531914893617014,SL hit,-34.849999999999994,1.6975,573.8880918220948,-20974.175035868004,-2.0974175035868003,2020,7,104.8,65.0,0.1406025824964134,78.90961262553805,2020-07-20 13:25:00
2020-07-22,Wednesday,2020-07-23,1,11250,C,25.15,09:15:00,47.3,0.05,2020-07-23,15:25:00,36.17571059431525,EOD exit,25.099999999999998,0.252,902.9345372460497,22436.117381489843,2.243611738148984,2020,7,27.65,0.05,2.2663656884875842,126.97516930022572,2020-07-22 09:15:00
2020-07-24,Friday,2020-07-30,6,11100,P,120.7,13:25:00,135.0,0.1,2020-07-30,15:25:00,38.596491228070185,EOD exit,120.60000000000001,1.208,1398.6013986013988,166981.81818181823,16.698181818181823,2020,7,123.75,0.05,16.874125874125877,194.0559440559441,2020-07-24 13:25:00
2020-07-27,Monday,2020-07-30,3,11250,C,46.1,09:25:00,83.25,83.25,2020-07-28,12:45:00,48.82352941176471,SL hit,-37.15,1.2934999999999999,538.3580080753701,-20696.36608344549,-2.069636608344549,2020,7,83.45,36.5,0.5168236877523553,75.7065948855989,2020-07-27 09:25:00
2020-07-29,Wednesday,2020-07-30,1,11300,C,53.5,13:25:00,86.95,0.05,2020-07-30,15:25:00,49.64589235127479,EOD exit,53.45,0.5355,597.9073243647234,31637.96711509716,3.1637967115097156,2020,7,57.5,0.05,3.195814648729447,84.45440956651719,2020-07-29 13:25:00
