,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
207,2023-04-26,Wednesday,2023-04-27,1,17800,C,27.7,09:15:00,37.8,37.8,2023-04-26,11:15:00,0,SL hit,-10.099999999999998,0.655,1123.5955056179776,-12084.269662921346,-1.2084269662921345,2023,4,38.0,17.4,1.157303370786517,250.0,2023-04-26 09:15:00
530,2023-04-28,Friday,2023-05-04,6,17950,P,62.8,11:05:00,107.7,0.05,2023-05-04,15:25:00,0,EOD exit,62.75,0.6285,668.1514476614699,41506.570155902,4.1506570155902,2023,5,70.6,0.05,4.192650334075723,149.9164810690423,2023-04-28 11:05:00
208,2023-05-05,Friday,2023-05-11,6,18150,C,77.4,11:45:00,158.4,158.4,2023-05-08,12:05:00,0,SL hit,-81.0,2.358,370.3703703703704,-30873.333333333336,-3.0873333333333335,2023,5,166.9,56.7,0.7666666666666668,84.02777777777779,2023-05-05 11:45:00
531,2023-05-09,Tuesday,2023-05-11,2,18300,P,50.95,09:35:00,73.6,73.6,2023-05-09,13:45:00,0,SL hit,-22.64999999999999,1.2455,1092.896174863388,-26115.30054644808,-2.6115300546448084,2023,5,76.0,38.65,1.3442622950819678,250.0,2023-05-09 09:35:00
209,2023-05-09,Tuesday,2023-05-11,2,18350,C,31.3,13:45:00,63.3,0.05,2023-05-11,15:25:00,0,EOD exit,31.25,0.3135,937.5000000000001,29002.968750000004,2.9002968750000004,2023,5,44.95,0.05,2.9296875000000004,215.03906250000006,2023-05-09 13:45:00
532,2023-05-15,Monday,2023-05-18,3,18300,P,64.85,09:15:00,98.95,98.95,2023-05-17,10:55:00,0,SL hit,-34.10000000000001,1.6380000000000001,879.7653958944279,-31441.055718475072,-3.1441055718475073,2023,5,104.75,26.4,3.382697947214075,201.2463343108504,2023-05-15 09:15:00
210,2023-05-16,Tuesday,2023-05-18,2,18450,C,32.25,11:15:00,59.5,0.1,2023-05-18,15:25:00,0,EOD exit,32.15,0.3235,1084.010840108401,34500.271002710026,3.4500271002710026,2023,5,36.7,0.05,3.490514905149052,250.0,2023-05-16 11:15:00
533,2023-05-22,Monday,2023-05-25,3,18200,P,52.3,09:15:00,92.0,0.05,2023-05-25,15:25:00,0,EOD exit,52.25,0.5235,755.6675062972291,39088.035264483624,3.908803526448362,2023,5,60.4,0.05,3.9483627204030225,171.91435768261962,2023-05-22 09:15:00
211,2023-05-24,Wednesday,2023-05-25,1,18300,C,35.55,14:35:00,115.5,21.15,2023-05-25,15:25:00,0,EOD exit,14.399999999999999,0.567,375.23452157598496,5190.6191369605995,0.5190619136960599,2023,5,42.7,1.3,1.2851782363977484,85.83489681050656,2023-05-24 14:35:00
534,2023-05-26,Friday,2023-06-01,6,18350,P,58.6,11:05:00,95.5,0.05,2023-06-01,15:25:00,0,EOD exit,58.550000000000004,0.5865,813.0081300813008,47124.796747967484,4.712479674796748,2023,6,61.6,0.05,4.760162601626017,186.4837398373984,2023-05-26 11:05:00
