,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
24,finnifty,18800,P,2023-04-25,2023-04-20 14:00:00,SELL,2023-04-20,14:15:00,116.95,163.45,10,2023-04-24 14:00:00,10.0,106.95,1.2695,105.68050000000001,112549.73250000001,Target Hit,1065,11.25497325,2023,4
25,finnifty,18950,P,2023-05-02,2023-04-27 13:00:00,SELL,2023-04-27,13:15:00,53.65,111.7,10,2023-04-28 15:00:00,10.0,43.65,0.6365,43.0135,45164.175,Target Hit,1050,4.5164175,2023,4
27,finnifty,19150,P,2023-05-09,2023-05-04 12:45:00,SELL,2023-05-04,13:00:00,35.75,133.5,10,2023-05-05 14:45:00,133.5,-97.75,1.6925000000000001,-99.4425,-104414.625,Initial SL Hit,1050,-10.4414625,2023,5
28,finnifty,19150,P,2023-05-09,2023-05-08 13:00:00,SELL,2023-05-08,13:15:00,15.25,188.05,10,2023-05-08 14:00:00,10.0,5.25,0.2525,4.9975,5247.375,Target Hit,1050,0.5247375000000001,2023,5
29,finnifty,19300,P,2023-05-16,2023-05-11 12:45:00,SELL,2023-05-11,13:00:00,78.75,195.9,10,2023-05-15 10:00:00,10.0,68.75,0.8875000000000001,67.8625,70237.6875,Target Hit,1035,7.02376875,2023,5
32,finnifty,19450,P,2023-05-23,2023-05-18 13:00:00,SELL,2023-05-18,13:15:00,121.05,278.6,10,2023-05-23 15:30:00,51.9,69.15,1.7294999999999998,67.4205,69780.2175,Expiry Exit,1035,6.978021750000001,2023,5
35,finnifty,19300,P,2023-05-30,2023-05-26 11:30:00,SELL,2023-05-26,11:45:00,95.3,210.05,10,2023-05-29 09:15:00,10.0,85.3,1.053,84.247,87195.645,Target Hit,1035,8.7195645,2023,5
36,finnifty,19550,P,2023-06-06,2023-06-01 13:00:00,SELL,2023-06-01,13:15:00,149.65,248.75,10,2023-06-01 15:15:00,248.75,-99.1,3.984,-103.08399999999999,-105145.68,Initial SL Hit,1020,-10.514567999999999,2023,6
38,finnifty,19550,P,2023-06-06,2023-06-02 10:15:00,SELL,2023-06-02,10:30:00,208.8,258.65,10,2023-06-06 15:30:00,69.9,138.9,2.7870000000000004,136.113,138835.26,Expiry Exit,1020,13.883526000000002,2023,6
39,finnifty,19550,P,2023-06-13,2023-06-08 12:45:00,SELL,2023-06-08,13:00:00,84.5,137.0,10,2023-06-08 14:45:00,137.0,-52.5,2.215,-54.715,-55809.3,Initial SL Hit,1020,-5.58093,2023,6
41,finnifty,19550,P,2023-06-13,2023-06-13 10:15:00,SELL,2023-06-13,10:30:00,89.15,161.55,10,2023-06-13 15:30:00,80.6,8.550000000000011,1.6975,6.852500000000012,6989.550000000012,Expiry Exit,1020,0.6989550000000012,2023,6
43,finnifty,19500,P,2023-06-20,2023-06-16 14:30:00,SELL,2023-06-16,14:45:00,79.0,283.4,10,2023-06-20 15:00:00,10.0,69.0,0.89,68.11,69472.2,Target Hit,1020,6.94722,2023,6
45,finnifty,19600,P,2023-06-27,2023-06-22 13:00:00,SELL,2023-06-22,13:15:00,73.25,138.2,10,2023-06-26 13:45:00,138.2,-64.94999999999999,2.1145,-67.0645,-68405.79,Initial SL Hit,1020,-6.840578999999999,2023,6
47,finnifty,19600,P,2023-06-27,2023-06-27 10:45:00,SELL,2023-06-27,11:00:00,50.35,142.15,10,2023-06-27 13:45:00,10.0,40.35,0.6035,39.746500000000005,40541.43000000001,Target Hit,1020,4.054143000000001,2023,6
48,finnifty,19900,P,2023-07-04,2023-06-30 12:45:00,SELL,2023-06-30,13:00:00,35.7,142.85,10,2023-07-03 09:15:00,10.0,25.700000000000003,0.457,25.243000000000002,25369.215000000004,Target Hit,1005,2.5369215000000005,2023,6
50,finnifty,20350,P,2023-07-11,2023-07-06 13:15:00,SELL,2023-07-06,13:30:00,167.65,231.1,10,2023-07-07 10:45:00,231.1,-63.44999999999999,3.9875000000000003,-67.43749999999999,-66763.12499999999,Initial SL Hit,990,-6.676312499999998,2023,7
51,finnifty,20350,P,2023-07-11,2023-07-11 10:15:00,SELL,2023-07-11,10:30:00,184.6,333.1,10,2023-07-11 14:30:00,333.1,-148.50000000000003,5.1770000000000005,-153.67700000000002,-152140.23,Initial SL Hit,990,-15.214023000000001,2023,7
52,finnifty,20050,P,2023-07-18,2023-07-13 12:45:00,SELL,2023-07-13,13:00:00,64.95,191.6,10,2023-07-17 15:00:00,10.0,54.95,0.7495,54.200500000000005,54471.5025,Target Hit,1005,5.447150250000001,2023,7
54,finnifty,20300,P,2023-07-25,2023-07-20 12:45:00,SELL,2023-07-20,13:00:00,71.6,158.35,10,2023-07-25 09:15:00,10.0,61.599999999999994,0.816,60.78399999999999,60176.15999999999,Target Hit,990,6.0176159999999985,2023,7
59,finnifty,19500,P,2023-08-22,2023-08-17 14:00:00,SELL,2023-08-17,14:15:00,70.4,134.95,10,2023-08-21 15:00:00,10.0,60.400000000000006,0.804,59.596000000000004,60787.920000000006,Target Hit,1020,6.078792,2023,8
60,finnifty,19600,P,2023-08-29,2023-08-24 13:00:00,SELL,2023-08-24,13:15:00,32.4,134.0,10,2023-08-28 13:00:00,10.0,22.4,0.424,21.976,22415.52,Target Hit,1020,2.241552,2023,8
62,finnifty,19900,P,2023-09-05,2023-09-01 13:45:00,SELL,2023-09-01,14:00:00,173.0,351.4,10,2023-09-05 15:30:00,145.25,27.75,3.1825,24.5675,24690.337499999998,Expiry Exit,1005,2.46903375,2023,9
63,finnifty,19750,P,2023-09-12,2023-09-07 13:00:00,SELL,2023-09-07,13:15:00,53.85,134.15,10,2023-09-08 10:45:00,10.0,43.85,0.6385000000000001,43.2115,44075.73,Target Hit,1020,4.407573,2023,9
64,finnifty,20250,P,2023-09-18,2023-09-14 12:45:00,SELL,2023-09-14,13:00:00,43.55,110.6,10,2023-09-15 09:45:00,10.0,33.55,0.5355,33.0145,32684.355,Target Hit,990,3.2684355,2023,9
67,finnifty,19750,P,2023-10-03,2023-09-28 12:30:00,SELL,2023-09-28,12:45:00,99.0,201.3,10,2023-10-03 15:30:00,16.0,83.0,1.1500000000000001,81.85,83487.0,Expiry Exit,1020,8.348700000000001,2023,9
69,finnifty,19650,P,2023-10-10,2023-10-05 13:00:00,SELL,2023-10-05,13:15:00,55.25,179.7,10,2023-10-10 10:15:00,10.0,45.25,0.6525,44.5975,45489.45,Target Hit,1020,4.548945,2023,10
72,finnifty,19950,P,2023-10-17,2023-10-12 13:15:00,SELL,2023-10-12,13:30:00,98.3,157.35,10,2023-10-13 09:15:00,157.35,-59.05,2.5564999999999998,-61.6065,-61914.532499999994,Initial SL Hit,1005,-6.1914532499999995,2023,10
73,finnifty,19950,P,2023-10-17,2023-10-16 12:45:00,SELL,2023-10-16,13:00:00,125.0,254.4,10,2023-10-17 12:30:00,10.0,115.0,1.35,113.65,114218.25,Target Hit,1005,11.421825,2023,10
75,finnifty,19900,P,2023-10-23,2023-10-23 13:15:00,SELL,2023-10-23,13:30:00,304.6,379.9,10,2023-10-23 14:45:00,379.9,-75.29999999999995,6.845,-82.14499999999995,-82555.72499999995,Initial SL Hit,1005,-8.255572499999994,2023,10
77,finnifty,19450,P,2023-10-31,2023-10-27 14:00:00,SELL,2023-10-27,14:15:00,325.95,578.35,10,2023-10-31 15:30:00,245.0,80.94999999999999,5.7095,75.24049999999998,77873.91749999998,Expiry Exit,1035,7.7873917499999985,2023,10
78,finnifty,19150,P,2023-11-07,2023-11-02 12:45:00,SELL,2023-11-02,13:00:00,62.3,152.6,10,2023-11-06 09:15:00,10.0,52.3,0.723,51.577,54155.85,Target Hit,1050,5.415585,2023,11
80,finnifty,19550,P,2023-11-13,2023-11-09 13:00:00,SELL,2023-11-09,13:15:00,87.55,151.85,10,2023-11-12 18:15:00,10.0,77.55,0.9755,76.5745,78105.99,Target Hit,1020,7.810599,2023,11
83,finnifty,19750,P,2023-11-21,2023-11-16 13:15:00,SELL,2023-11-16,13:30:00,69.55,141.25,10,2023-11-17 09:15:00,176.6,-107.05,2.4615,-109.5115,-111701.73,Gap Outside ISL,1020,-11.170173,2023,11
85,finnifty,19600,P,2023-11-28,2023-11-23 12:45:00,SELL,2023-11-23,13:00:00,59.2,176.3,10,2023-11-28 09:15:00,10.0,49.2,0.6920000000000001,48.508,49478.16,Target Hit,1020,4.947816,2023,11
87,finnifty,19800,P,2023-12-05,2023-11-30 12:30:00,SELL,2023-11-30,12:45:00,60.0,108.25,10,2023-12-04 09:15:00,10.0,50.0,0.7000000000000001,49.3,49546.5,Target Hit,1005,4.95465,2023,11
89,finnifty,21150,P,2023-12-12,2023-12-07 13:15:00,SELL,2023-12-07,13:30:00,158.05,263.5,10,2023-12-12 09:15:00,10.0,148.05,1.6805,146.36950000000002,138319.17750000002,Target Hit,945,13.831917750000002,2023,12
91,finnifty,21200,P,2023-12-19,2023-12-14 12:30:00,SELL,2023-12-14,12:45:00,17.2,165.55,10,2023-12-15 09:15:00,10.0,7.199999999999999,0.272,6.927999999999999,6546.959999999999,Target Hit,945,0.654696,2023,12
94,finnifty,21300,P,2024-01-02,2023-12-28 13:30:00,SELL,2023-12-28,13:45:00,44.55,136.7,10,2024-01-01 11:00:00,10.0,34.55,0.5455,34.0045,32134.2525,Target Hit,945,3.2134252500000002,2023,12
96,finnifty,21350,P,2024-01-09,2024-01-04 12:45:00,SELL,2024-01-04,13:00:00,54.8,207.35,10,2024-01-09 10:15:00,10.0,44.8,0.648,44.151999999999994,41061.35999999999,Target Hit,930,4.106135999999999,2024,1
98,finnifty,21150,P,2024-01-16,2024-01-11 12:30:00,SELL,2024-01-11,12:45:00,54.55,157.35,10,2024-01-15 12:00:00,10.0,44.55,0.6455,43.9045,41489.7525,Target Hit,945,4.14897525,2024,1
100,finnifty,20750,P,2024-01-23,2024-01-19 12:15:00,SELL,2024-01-19,12:30:00,318.7,536.4,10,2024-01-23 12:00:00,536.4,-217.7,8.551,-226.25099999999998,-217200.95999999996,Initial SL Hit,960,-21.720095999999998,2024,1
102,finnifty,19900,P,2024-01-30,2024-01-25 14:45:00,SELL,2024-01-25,15:00:00,85.65,160.0,10,2024-01-29 09:45:00,10.0,75.65,0.9565000000000001,74.6935,75066.9675,Target Hit,1005,7.50669675,2024,1
103,finnifty,20250,P,2024-02-06,2024-02-01 12:30:00,SELL,2024-02-01,12:45:00,77.25,179.0,10,2024-02-06 11:30:00,10.0,67.25,0.8725,66.3775,65713.72499999999,Target Hit,990,6.571372499999999,2024,2
107,finnifty,20000,P,2024-02-20,2024-02-15 12:30:00,SELL,2024-02-15,12:45:00,50.95,143.2,10,2024-02-19 09:15:00,10.0,40.95,0.6095,40.340500000000006,40542.20250000001,Target Hit,1005,4.05422025,2024,2
110,finnifty,20600,P,2024-03-05,2024-02-29 14:15:00,SELL,2024-02-29,14:30:00,216.9,392.8,10,2024-03-04 14:00:00,10.0,206.9,2.269,204.631,199515.225,Target Hit,975,19.951522500000003,2024,2
111,finnifty,20800,P,2024-03-12,2024-03-07 12:45:00,SELL,2024-03-07,13:00:00,41.0,87.35,10,2024-03-12 09:30:00,10.0,31.0,0.51,30.49,29270.399999999998,Target Hit,960,2.92704,2024,3
114,finnifty,20600,P,2024-03-26,2024-03-21 12:45:00,SELL,2024-03-21,13:00:00,48.75,290.0,10,2024-03-26 09:30:00,10.0,38.75,0.5875,38.1625,37208.4375,Target Hit,975,3.72084375,2024,3
117,finnifty,20750,P,2024-04-02,2024-03-28 13:00:00,SELL,2024-03-28,13:15:00,17.65,91.45,10,2024-04-01 09:15:00,10.0,7.649999999999999,0.27649999999999997,7.373499999999998,7078.559999999999,Target Hit,960,0.7078559999999998,2024,3
118,finnifty,21050,P,2024-04-09,2024-04-04 13:00:00,SELL,2024-04-04,13:15:00,22.05,74.3,10,2024-04-05 14:00:00,10.0,12.05,0.32049999999999995,11.729500000000002,11084.377500000002,Target Hit,945,1.1084377500000002,2024,4
121,finnifty,21150,P,2024-04-23,2024-04-22 10:15:00,SELL,2024-04-22,10:30:00,52.05,449.0,10,2024-04-23 09:15:00,10.0,42.05,0.6204999999999999,41.4295,39150.877499999995,Target Hit,945,3.915087749999999,2024,4
122,finnifty,21400,P,2024-04-30,2024-04-25 12:45:00,SELL,2024-04-25,13:00:00,98.75,167.15,10,2024-04-26 15:00:00,167.15,-68.4,2.659,-71.05900000000001,-66084.87000000001,Initial SL Hit,930,-6.608487,2024,4
125,finnifty,21400,P,2024-04-30,2024-04-29 10:15:00,SELL,2024-04-29,10:30:00,37.05,167.4,10,2024-04-29 14:30:00,10.0,27.049999999999997,0.4705,26.579499999999996,24718.934999999998,Target Hit,930,2.4718934999999997,2024,4
128,finnifty,21300,P,2024-05-21,2024-05-17 09:15:00,SELL,2024-05-17,09:30:00,71.05,254.35,10,2024-05-21 10:00:00,10.0,61.05,0.8105,60.2395,56926.3275,Target Hit,945,5.69263275,2024,5
129,finnifty,21450,P,2024-05-28,2024-05-23 12:45:00,SELL,2024-05-23,13:00:00,61.5,267.7,10,2024-05-27 09:15:00,10.0,51.5,0.715,50.785,47230.049999999996,Target Hit,930,4.723005,2024,5
132,finnifty,21850,P,2024-06-04,2024-05-31 13:00:00,SELL,2024-05-31,13:15:00,411.0,525.1,10,2024-06-04 09:15:00,525.1,-114.10000000000002,9.361,-123.46100000000003,-112966.81500000003,Initial SL Hit,915,-11.296681500000002,2024,5
134,finnifty,21050,P,2024-06-11,2024-06-06 13:00:00,SELL,2024-06-06,13:15:00,36.95,502.45,10,2024-06-07 10:45:00,10.0,26.950000000000003,0.46950000000000003,26.480500000000003,25024.072500000002,Target Hit,945,2.50240725,2024,6
