Previous Day,Day High,Day Low,Daily Range,Current Day Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Max High,Min Low,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2019-12-30,12286.3,12213.95,72.34999999999854,12247.1,125%,12337.537499999999,12156.662500000002,low,12250,2020-01-02,2,NIFTY2010212250CE,CE,2019-12-31 15:16:00,17.15,2019-12-31 15:30:00,21.9,22.7,17.1,EOD Closing,-4.75,0.39049999999999996,-5.1405,6612.244897959184,-31408.16326530612,-33990.244897959186,-0.34897959183673466,-0.37766938775510206,2019
2020-01-01,12222.05,12165.4,56.649999999999636,12198.55,125%,12269.3625,12127.7375,high,12200,2020-01-02,0,NIFTY2010212200PE,PE,2020-01-02 12:36:00,0.95,2020-01-02 15:30:00,0.05,1.7,0.05,EOD Closing,0.8999999999999999,0.01,0.8899999999999999,6639.3442622950815,5975.409836065573,5909.016393442622,0.0663934426229508,0.06565573770491802,2020
2020-01-03,12265.5,12192.4,73.10000000000036,12170.6,125%,12261.975,12079.225,low,12150,2020-01-09,3,NIFTY2010912150CE,CE,2020-01-06 09:30:00,41.05,2020-01-06 15:30:00,18.9,47.55,16.2,EOD Closing,22.15,0.5994999999999999,21.5505,6666.666666666667,147666.66666666666,143670.0,1.6407407407407406,1.5963333333333334,2020
2020-01-17,12385.25,12322.25,63.0,12430.5,125%,12509.25,12351.75,low,12450,2020-01-23,3,NIFTY2012312450CE,CE,2020-01-20 09:32:00,20.2,2020-01-20 15:30:00,7.2,21.4,6.5,EOD Closing,13.0,0.27399999999999997,12.726,6506.024096385542,84578.31325301205,82795.66265060242,0.9397590361445785,0.9199518072289158,2020
2020-01-21,12230.05,12162.55,67.5,12218.35,125%,12302.725,12133.975,low,12200,2020-01-23,1,NIFTY2012312200CE,CE,2020-01-22 10:25:00,21.3,2020-01-22 15:30:00,9.75,26.1,7.8,EOD Closing,11.55,0.3105,11.239500000000001,6639.3442622950815,76684.4262295082,74622.90983606558,0.8520491803278689,0.8291434426229508,2020
2020-01-27,12197.85,12172.1,25.75,12148.1,125%,12180.2875,12115.9125,low,12150,2020-01-30,2,NIFTY20JAN12150CE,CE,2020-01-28 09:19:00,41.55,2020-01-28 15:30:00,25.4,65.95,20.0,EOD Closing,16.15,0.6694999999999999,15.4805,6666.666666666667,107666.66666666666,103203.33333333333,1.1962962962962962,1.1467037037037036,2020
2020-01-29,12169.4,12104.0,65.39999999999964,12147.75,125%,12229.5,12066.0,low,12150,2020-01-30,0,NIFTY20JAN12150CE,CE,2020-01-30 10:07:00,3.05,2020-01-30 15:30:00,0.1,3.4,0.05,EOD Closing,2.9499999999999997,0.0315,2.9185,6666.666666666667,19666.666666666664,19456.666666666668,0.2185185185185185,0.2161851851851852,2020
2020-01-31,12100.55,11946.15,154.39999999999964,11939.0,125%,12132.0,11746.0,low,11950,2020-02-06,5,NIFTY2020611950CE,CE,2020-02-01 13:30:00,54.3,2020-02-01 15:30:00,16.85,73.2,16.0,EOD Closing,37.449999999999996,0.7115,36.738499999999995,6778.242677824268,253845.1882845188,249022.46861924682,2.8205020920502086,2.7669163179916314,2020
2020-02-03,11749.85,11615.75,134.10000000000036,11786.25,125%,11953.875,11618.625,high,11800,2020-02-06,2,NIFTY2020611800PE,PE,2020-02-04 13:19:00,16.75,2020-02-04 15:30:00,9.85,17.75,9.05,EOD Closing,6.9,0.266,6.634,6864.406779661017,47364.40677966102,45538.47457627119,0.526271186440678,0.5059830508474576,2020
2020-02-07,12151.15,12074.0,77.14999999999964,12102.35,125%,12198.7875,12005.9125,low,12100,2020-02-13,3,NIFTY2021312100CE,CE,2020-02-10 10:25:00,26.65,2020-02-10 15:30:00,29.45,32.85,21.35,EOD Closing,-2.8000000000000007,0.5609999999999999,-3.3610000000000007,6694.214876033057,-18743.801652892565,-22499.25619834711,-0.2082644628099174,-0.2499917355371901,2020
