week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year
2024-02-17,2024-02-17 09:16:00,72675.4609,72545.3281,70809.8438,1735.4842999999964,47.75984296509625,73022.55776000001,72328.36404,72300,PE,2024-02-23,STRANGLE,475.0,376.35,2024-02-22 09:15:00,6,8.5135,90.13649999999998,2000000,8,221.30013831258645,19947.219917012444,0.9973609958506222,2024
2024-02-17,2024-02-21 13:15:00,72675.4609,72545.3281,70809.8438,1735.4842999999964,47.75984296509625,73022.55776000001,72328.36404,73000,CE,2024-02-23,RE-ENTRY,302.1,351.7,2024-02-22 14:15:00,2,6.537999999999999,-56.13799999999996,2000000,9,246.57534246575344,-13842.246575342457,-0.6921123287671228,2024
2024-02-17,2024-02-22 13:15:00,72675.4609,72545.3281,70809.8438,1735.4842999999964,47.75984296509625,73022.55776000001,72328.36404,72300,PE,2024-02-23,RE-ENTRY,145.95,0.05,2024-02-23 15:15:00,1,1.46,144.43999999999997,2000000,8,221.30013831258645,31964.59197786998,1.598229598893499,2024
2024-02-24,2024-02-24 09:16:00,72972.3203,73413.9297,72081.3594,1332.5702999999921,36.52262377081058,73238.83436000001,72705.80624,73200,CE,2024-03-01,STRANGLE,560.7,429.0,2024-03-01 11:15:00,6,9.897,121.80300000000004,2000000,9,245.9016393442623,29951.55737704919,1.4975778688524597,2024
2024-02-24,2024-02-24 09:16:00,72972.3203,73413.9297,72081.3594,1332.5702999999921,36.52262377081058,73238.83436000001,72705.80624,72700,PE,2024-03-01,STRANGLE,470.8,444.15,2024-02-28 10:15:00,6,9.149500000000002,17.50050000000003,2000000,8,220.08253094910592,3851.554332874835,0.19257771664374174,2024
2024-02-24,2024-03-01 09:15:00,72972.3203,73413.9297,72081.3594,1332.5702999999921,36.52262377081058,73238.83436000001,72705.80624,72700,PE,2024-03-01,RE-ENTRY,110.75,0.05,2024-03-01 15:15:00,0,1.108,109.592,2000000,8,220.08253094910592,24119.284731774416,1.2059642365887207,2024
2024-03-02,2024-03-02 09:16:00,73848.19,73819.2109,72099.3203,1719.8905999999988,46.57908609540731,74192.16812,73504.21188,74200,CE,2024-03-07,STRANGLE,444.5,0.05,2024-03-07 15:15:00,5,4.4455,440.0045,2000000,9,242.58760107816713,106739.63611859838,5.336981805929919,2024
2024-03-02,2024-03-02 09:16:00,73848.19,73819.2109,72099.3203,1719.8905999999988,46.57908609540731,74192.16812,73504.21188,73500,PE,2024-03-07,STRANGLE,443.4,394.45,2024-03-05 10:15:00,5,8.378499999999999,40.571499999999986,2000000,8,217.68707482993196,8831.891156462581,0.44159455782312906,2024
2024-03-02,2024-03-05 11:15:00,73848.19,73819.2109,72099.3203,1719.8905999999988,46.57908609540731,74192.16812,73504.21188,73500,PE,2024-03-07,RE-ENTRY,316.7,285.2,2024-03-06 10:15:00,2,6.019,25.481,2000000,8,217.68707482993196,5546.884353741497,0.27734421768707485,2024
2024-03-02,2024-03-06 12:15:00,73848.19,73819.2109,72099.3203,1719.8905999999988,46.57908609540731,74192.16812,73504.21188,73500,PE,2024-03-07,RE-ENTRY,221.6,0.05,2024-03-07 15:15:00,1,2.2165,219.3335,2000000,8,217.68707482993196,47746.06802721088,2.387303401360544,2024
2024-03-09,2024-03-09 09:16:00,74187.3516,74245.1719,73321.4766,923.6953000000067,24.901692271759345,74372.09066,74002.61253999999,74400,CE,2024-03-15,STRANGLE,400.0,0.05,2024-03-15 15:15:00,6,4.000500000000001,395.9495,2000000,9,241.93548387096774,95794.23387096774,4.789711693548387,2024
2024-03-09,2024-03-09 09:16:00,74187.3516,74245.1719,73321.4766,923.6953000000067,24.901692271759345,74372.09066,74002.61253999999,74000,PE,2024-03-15,STRANGLE,471.2,520.0,2024-03-11 10:15:00,6,9.912,-58.71200000000001,2000000,8,216.21621621621622,-12694.486486486489,-0.6347243243243244,2024
