,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
265,2023-01-16,61109.52,59963.83,1145.689999999995,60876.01,40%,61334.286,60417.734000000004,low,61300,2023-09-01,219,SENSEX2390161300CE,CE,2023-01-25 10:13:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3633.768352365416,,,,,2023,63000,SENSEX2390163000CE,0.0,0.0,0.0,0.0,,
266,2023-01-23,61265.49,58975.44,2290.0499999999956,59101.69,40%,60017.71,58185.670000000006,high,58200,2023-09-01,212,SENSEX2390158200PE,PE,2023-02-01 09:15:00,,2023-02-01 14:49:00,,SL Hit,,,,3827.3195876288655,,,,,2023,56600,SENSEX2390156600PE,0.0,0.0,0.0,0.0,,
267,2023-02-06,60863.63,60064.04,799.5899999999965,60652.82,40%,60972.655999999995,60332.984000000004,high,60300,2023-09-01,199,SENSEX2390160300PE,PE,2023-02-14 12:40:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3694.029850746269,,,,,2023,58600,SENSEX2390158600PE,0.0,0.0,0.0,0.0,,
268,2023-02-06,60863.63,60064.04,799.5899999999965,60652.82,40%,60972.655999999995,60332.984000000004,low,61000,2023-09-01,200,SENSEX2390161000CE,CE,2023-02-13 10:06:00,,2023-02-14 12:07:00,,SL Hit,,,,3651.639344262295,,,,,2023,62700,SENSEX2390162700CE,0.0,0.0,0.0,0.0,,
269,2023-02-13,61681.99,60245.05,1436.939999999995,61112.84,40%,61687.615999999995,60538.064,low,61700,2023-09-01,191,SENSEX2390161700CE,CE,2023-02-22 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3610.210696920584,,,,,2023,63400,SENSEX2390163400CE,0.0,0.0,0.0,0.0,,
270,2023-02-27,59967.04,58796.12,1170.9199999999983,60007.04,40%,60475.408,59538.672,high,59500,2023-09-01,179,SENSEX2390159500PE,PE,2023-03-06 10:26:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3743.697478991597,,,,,2023,57900,SENSEX2390157900PE,0.0,0.0,0.0,0.0,,
271,2023-02-27,59967.04,58796.12,1170.9199999999983,60007.04,40%,60475.408,59538.672,low,60500,2023-09-01,175,SENSEX2390160500CE,CE,2023-03-10 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3681.8181818181815,,,,,2023,62200,SENSEX2390162200CE,0.0,0.0,0.0,0.0,,
272,2023-03-06,60497.57,58886.35,1611.2200000000012,59033.77,40%,59678.257999999994,58389.282,low,59700,2023-09-01,172,SENSEX2390159700CE,CE,2023-03-13 14:00:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3731.1557788944724,,,,,2023,61300,SENSEX2390161300CE,0.0,0.0,0.0,0.0,,
273,2023-03-20,58417.83,57084.91,1332.9199999999983,57566.9,40%,58100.068,57033.732,high,57000,2023-09-01,156,SENSEX2390157000PE,PE,2023-03-29 15:27:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3907.894736842105,,,,,2023,55400,SENSEX2390155400PE,0.0,0.0,0.0,0.0,,
274,2023-03-27,59066.16,57415.45,1650.7100000000064,59131.16,40%,59791.444,58470.876000000004,high,58500,2023-09-01,148,SENSEX2390158500PE,PE,2023-04-06 10:05:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3807.6923076923076,,,,,2023,56900,SENSEX2390156900PE,0.0,0.0,0.0,0.0,,
275,2023-04-03,59949.62,58794.3,1155.3199999999997,59858.98,40%,60321.108,59396.852000000006,high,59400,2023-09-01,142,SENSEX2390159400PE,PE,2023-04-12 13:12:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3750.0000000000005,,,,,2023,57800,SENSEX2390157800PE,0.0,0.0,0.0,0.0,,
276,2023-04-10,60484.84,59766.23,718.6099999999933,60385.9,40%,60673.344,60098.456000000006,low,60700,2023-09-01,137,SENSEX2390160700CE,CE,2023-04-17 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3669.6869851729816,,,,,2023,62400,SENSEX2390162400CE,0.0,0.0,0.0,0.0,,
277,2023-04-17,60385.9,59412.81,973.0900000000038,59873.71,40%,60262.946,59484.473999999995,high,59500,2023-09-01,129,SENSEX2390159500PE,PE,2023-04-25 14:22:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3743.697478991597,,,,,2023,57900,SENSEX2390157900PE,0.0,0.0,0.0,0.0,,
278,2023-05-01,61797.21,61004.07,793.1399999999994,61166.09,40%,61483.346,60848.833999999995,high,60800,2023-09-01,116,SENSEX2390160800PE,PE,2023-05-08 09:25:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3663.6513157894738,,,,,2023,59100,SENSEX2390159100PE,0.0,0.0,0.0,0.0,,
279,2023-05-08,62165.76,61166.09,999.6700000000055,62157.1,40%,62556.968,61757.231999999996,high,61800,2023-09-01,109,SENSEX2390161800PE,PE,2023-05-15 14:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3604.368932038835,,,,,2023,60100,SENSEX2390160100PE,0.0,0.0,0.0,0.0,,
280,2023-05-08,62165.76,61166.09,999.6700000000055,62157.1,40%,62556.968,61757.231999999996,low,62600,2023-09-01,107,SENSEX2390162600CE,CE,2023-05-17 10:26:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3558.306709265176,,,,,2023,64300,SENSEX2390164300CE,734.05,1095.0,360.95000000000005,1284370.8067092653,,
281,2023-05-15,62562.67,61252.69,1309.979999999996,61579.78,40%,62103.772,61055.788,high,61100,2023-09-01,101,SENSEX2390161100PE,PE,2023-05-23 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3645.6628477905074,,,,,2023,59400,SENSEX2390159400PE,0.0,0.0,0.0,0.0,,
282,2023-05-22,62529.83,61484.86,1044.9700000000012,62801.54,40%,63219.528,62383.552,low,63200,2023-09-01,92,SENSEX2390163200CE,CE,2023-06-01 15:18:00,,2023-06-02 09:15:00,,SL Hit,,,,3524.525316455696,,,,,2023,64900,SENSEX2390164900CE,0.0,0.0,0.0,0.0,,
283,2023-05-29,63036.12,62364.54,671.5800000000017,62759.19,40%,63027.822,62490.558000000005,high,62500,2023-09-01,86,SENSEX2390162500PE,PE,2023-06-07 14:07:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3564.0,,,,,2023,60800,SENSEX2390160800PE,0.0,0.0,0.0,0.0,,
284,2023-06-05,63321.4,62554.33,767.0699999999997,62659.98,40%,62966.808000000005,62353.152,high,62400,2023-09-01,80,SENSEX2390162400PE,PE,2023-06-13 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3569.7115384615386,,,,,2023,60700,SENSEX2390160700PE,0.0,0.0,0.0,0.0,,
285,2023-06-12,63519.77,62616.1,903.6699999999983,63474.21,40%,63835.678,63112.742,low,63800,2023-09-01,74,SENSEX2390163800CE,CE,2023-06-19 13:19:00,,2023-06-21 09:25:00,,SL Hit,,,,3491.379310344828,,,,,2023,65600,SENSEX2390165600CE,0.0,0.0,0.0,0.0,,
286,2023-06-19,63601.71,62802.15,799.5599999999977,62946.5,40%,63266.324,62626.676,high,62600,2023-09-01,66,SENSEX2390162600PE,PE,2023-06-27 14:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,3558.306709265176,,,,,2023,60900,SENSEX2390160900PE,0.0,0.0,0.0,0.0,,
287,2023-06-26,64768.58,62856.0,1912.5800000000017,64846.26,40%,65611.292,64081.228,high,64100,2023-09-01,59,SENSEX2390164100PE,PE,2023-07-04 13:24:00,85.15,2023-09-01 15:30:00,0.05,Expiry Closing,85.10000000000001,0.8520000000000001,84.248,3475.0390015600624,295725.8190327613,292765.08580343216,1.194851794071763,1.182889235569423,2023,62300,SENSEX2390162300PE,0.0,0.0,0.0,0.0,292765.08580343216,3.252945397815913
288,2023-07-03,65898.98,64836.16,1062.8199999999924,65480.4,40%,65905.52799999999,65055.272000000004,high,65100,2023-09-01,50,SENSEX2390165100PE,PE,2023-07-13 09:46:00,412.4,2023-09-01 15:30:00,0.05,Expiry Closing,412.34999999999997,4.1245,408.22549999999995,3421.6589861751154,1410921.0829493087,1396808.4504608293,5.700691244239631,5.643670506912442,2023,63300,SENSEX2390163300PE,1.85,0.1,-1.75,-5987.903225806452,1390820.5472350228,15.453561635944698
289,2023-07-10,66159.79,65246.4,913.3899999999921,66158.57,40%,66523.926,65793.214,high,65800,2023-09-01,46,SENSEX2390165800PE,PE,2023-07-17 15:05:00,700.0,2023-09-01 15:30:00,422.1,Expiry Closing,277.9,11.221,266.679,3385.258358662614,940763.2978723403,902777.3138297871,3.8010638297872337,3.647585106382978,2023,64000,SENSEX2390164000PE,66.4,0.05,-66.35000000000001,-224611.89209726444,678165.4217325227,7.5351713525835855
290,2023-07-17,67619.17,66015.63,1603.5399999999936,66689.37,40%,67330.786,66047.954,low,67300,2023-09-01,35,SENSEX2390167300CE,CE,2023-07-28 09:21:00,0.45,2023-09-01 15:30:00,0.15,Expiry Closing,0.30000000000000004,0.006,0.29400000000000004,3309.806835066865,992.9420505200596,973.0832095096584,0.0040118870728083214,0.0039316493313521555,2023,69200,SENSEX2390169200CE,0.0,0.0,0.0,0.0,973.0832095096584,0.010812035661218428
291,2023-07-24,66984.17,65878.65,1105.520000000004,66197.66,40%,66639.868,65755.452,high,65800,2023-09-01,31,SENSEX2390165800PE,PE,2023-08-01 09:15:00,700.0,2023-08-02 11:01:00,700.0,SL Hit,0.0,14.0,-14.0,3385.258358662614,0.0,-47393.617021276594,0.0,-0.19148936170212763,2023,64000,SENSEX2390164000PE,0.0,0.0,0.0,0.0,-47393.617021276594,-0.5265957446808511
292,2023-07-24,66984.17,65878.65,1105.520000000004,66197.66,40%,66639.868,65755.452,low,66600,2023-09-01,30,SENSEX2390166600CE,CE,2023-08-02 11:37:00,11.5,2023-09-01 15:30:00,0.05,Expiry Closing,11.45,0.1155,11.334499999999998,3344.5945945945946,38295.60810810811,37909.307432432426,0.15472972972972973,0.1531689189189189,2023,68400,SENSEX2390168400CE,0.0,0.0,0.0,0.0,37909.307432432426,0.42121452702702694
293,2023-08-07,66067.9,65274.61,793.2899999999936,65153.02,40%,65470.335999999996,64835.704,high,64800,2023-09-01,18,SENSEX2390164800PE,PE,2023-08-14 14:50:00,280.8,2023-08-16 09:15:00,280.8,SL Hit,0.0,5.6160000000000005,-5.6160000000000005,3437.5,0.0,-19305.000000000004,0.0,-0.07800000000000001,2023,63000,SENSEX2390163000PE,0.0,0.0,0.0,0.0,-19305.000000000004,-0.21450000000000005
294,2023-08-07,66067.9,65274.61,793.2899999999936,65153.02,40%,65470.335999999996,64835.704,low,65500,2023-09-01,18,SENSEX2390165500CE,CE,2023-08-14 09:25:00,131.95,2023-09-01 15:30:00,0.1,Expiry Closing,131.85,1.3204999999999998,130.52949999999998,3400.763358778626,448390.6488549618,443899.9408396946,1.8116793893129768,1.7935351145038163,2023,67300,SENSEX2390167300CE,0.45,0.15,-0.30000000000000004,-1020.2290076335879,442879.711832061,4.9208856870229
295,2023-08-14,65605.74,64754.85,850.8900000000067,64927.79,40%,65268.146,64587.434,high,64600,2023-09-01,11,SENSEX2390164600PE,PE,2023-08-21 13:06:00,210.0,2023-08-25 10:33:00,153.95,SL Hit,56.05000000000001,3.6395,52.41050000000001,3448.142414860681,193268.3823529412,180718.86803405578,0.7808823529411768,0.7301772445820436,2023,62800,SENSEX2390162800PE,0.0,0.0,0.0,0.0,180718.86803405578,2.00798742260062
296,2023-08-21,65913.77,64735.82,1177.9500000000044,64940.5703,40%,65411.7503,64469.3903,high,64500,2023-09-01,2,SENSEX2390164500PE,PE,2023-08-30 09:30:00,22.05,2023-08-31 15:23:00,42.75,SL Hit,-20.7,0.648,-21.348,3453.4883720930234,-71487.20930232559,-73725.06976744186,-0.2888372093023256,-0.2978790697674419,2023,62700,SENSEX2390162700PE,0.0,0.0,0.0,0.0,-73725.06976744186,-0.8191674418604651
297,2023-08-28,65473.2695,64723.6289,749.6405999999988,65604.3672,40%,65904.22343999999,65304.51095999999,high,65300,2023-09-08,2,SENSEX2390865300PE,PE,2023-09-06 15:08:00,28.85,2023-09-08 15:30:00,0.3,Expiry Closing,28.55,0.29150000000000004,28.2585,3411.1791730474733,97389.16539050537,96394.80666156203,0.3934915773353752,0.38947396630934156,2023,63500,SENSEX2390863500PE,4.7,0.05,-4.65,-15861.983154670752,80532.82350689128,0.8948091500765698
298,2023-08-28,65473.2695,64723.6289,749.6405999999988,65604.3672,40%,65904.22343999999,65304.51095999999,low,65900,2023-09-08,4,SENSEX2390865900CE,CE,2023-09-04 10:39:00,106.85,2023-09-04 11:53:00,153.05,SL Hit,-46.20000000000002,2.5989999999999998,-48.799000000000014,3380.1213960546283,-156161.60849772388,-164946.54400606986,-0.6309559939301975,-0.6664506828528075,2023,67700,SENSEX2390867700CE,0.0,0.0,0.0,0.0,-164946.54400606986,-1.8327393778452208
299,2023-09-04,66766.9219,65285.5586,1481.3633000000045,66816.7031,40%,67409.24842,66224.15778,high,66200,2023-09-15,3,SENSEX2391566200PE,PE,2023-09-12 09:15:00,15.25,2023-09-15 15:30:00,0.15,Expiry Closing,15.1,0.154,14.946,3364.8036253776436,50808.534743202414,50290.35498489426,0.20528700906344413,0.20319335347432024,2023,64400,SENSEX2391564400PE,10.7,0.05,-10.649999999999999,-35835.1586102719,14455.196374622356,0.1606132930513595
300,2023-09-11,67927.2266,66735.8438,1191.3827999999921,67685.5469,40%,68162.10002,67208.99378,low,68200,2023-09-22,2,SENSEX2392268200CE,CE,2023-09-20 09:15:00,18.6,2023-09-22 15:30:00,0.05,Expiry Closing,18.55,0.18650000000000003,18.363500000000002,3266.129032258065,60586.693548387106,59977.56048387098,0.24479472140762462,0.24233357771261,2023,70100,SENSEX2392270100CE,0.0,0.0,0.0,0.0,59977.56048387098,0.6664173387096776
301,2023-09-25,66304.2891,65423.3906,880.8984999999957,65813.5,40%,66165.8594,65461.1406,low,66200,2023-10-06,3,SENSEX23100666200CE,CE,2023-10-03 09:35:00,114.3,2023-10-06 15:30:00,0.1,Expiry Closing,114.2,1.144,113.056,3364.8036253776436,384260.57401812694,380411.2386706949,1.5525679758308157,1.537015105740181,2023,68000,SENSEX23100668000CE,9.85,0.05,-9.799999999999999,-32975.0755287009,347436.163141994,3.8604018126888215
302,2023-10-02,66095.8125,64878.7695,1217.0429999999978,65578.3828,40%,66065.20000000001,65091.56560000001,high,65100,2023-10-13,3,SENSEX23101365100PE,PE,2023-10-10 13:01:00,62.45,2023-10-13 15:30:00,0.05,Expiry Closing,62.400000000000006,0.625,61.775000000000006,3421.6589861751154,213511.52073732723,211372.9838709678,0.8626728110599079,0.8540322580645163,2023,63300,SENSEX23101363300PE,11.95,0.05,-11.899999999999999,-40717.74193548387,170655.2419354839,1.8961693548387102
303,2023-10-09,66592.1562,65434.6094,1157.5467999999964,66179.4375,40%,66642.45622,65716.41878,low,66600,2023-10-20,1,SENSEX23102066600CE,CE,2023-10-19 09:15:00,9.6,2023-10-20 15:30:00,0.15,Expiry Closing,9.45,0.0975,9.3525,3344.5945945945946,31606.418918918916,31280.320945945943,0.1277027027027027,0.12638513513513513,2023,68400,SENSEX23102068400CE,1.3,0.05,-1.25,-4180.743243243243,27099.5777027027,0.30110641891891887
