week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year,Index,Trade Month,Portfolio,Allocation,New Qty,New PnL,ROI% PF
2024-08-30,2024-09-03 14:55:00,25249.7,25192.9,24771.65,421.25,8.34168326752397,25284.839340764447,25214.560659235554,25300,CE,2024-09-05,RE-ENTRY,74.8,0.05,2024-09-05 15:25:00,2,0.7484999999999999,74.0015,2000000,10,790.5138339920949,58499.209486166,2.9249604743083,2024,NIFTY,9,2000000,1000000,395.25691699604744,29249.604743083,1.4624802371541499
2024-08-31,2024-09-05 08:15:00,82725.28,82637.03,81278.44,1358.5899999999965,32.84582415435757,82996.99799999999,82453.562,82500,PE,2024-09-06,RE-ENTRY,331.95,331.95,2024-09-05 09:15:00,1,6.639,-6.639,2000000,8,193.93939393939397,-1287.5636363636363,-0.0643781818181818,2024,SENSEX,9,2000000,1000000,96.96969696969698,-643.7818181818183,-0.03218909090909091
2024-09-06,2024-09-06 09:16:00,25093.7,25333.65,25083.8,249.85000000000215,4.978341177267644,25106.138385431404,25081.2616145686,25100,PE,2024-09-12,STRANGLE,121.45,162.6,2024-09-06 09:35:00,6,2.8405,-43.99049999999999,2000000,9,717.1314741035857,-31546.97211155378,-1.5773486055776889,2024,NIFTY,9,2000000,1000000,358.56573705179284,-15773.48605577689,-0.7886743027888444
2024-09-06,2024-09-06 09:16:00,25093.7,25333.65,25083.8,249.85000000000215,4.978341177267644,25106.138385431404,25081.2616145686,25100,CE,2024-09-12,STRANGLE,148.65,166.45,2024-09-06 09:25:00,6,3.151,-20.950999999999983,2000000,10,796.8127490039841,-16694.02390438246,-0.8347011952191229,2024,NIFTY,9,2000000,1000000,398.40637450199205,-8347.01195219123,-0.41735059760956145
2024-09-06,2024-09-06 09:35:00,25093.7,25333.65,25083.8,249.85000000000215,4.978341177267644,25106.138385431404,25081.2616145686,25100,CE,2024-09-12,RE-ENTRY,122.6,90.35,2024-09-10 13:25:00,6,2.1295,30.1205,2000000,10,796.8127490039841,24000.3984063745,1.200019920318725,2024,NIFTY,9,2000000,1000000,398.40637450199205,12000.19920318725,0.6000099601593625
2024-09-07,2024-09-07 09:16:00,80973.75,82725.28,80981.93,1743.3500000000058,43.05963352320983,81322.42,80625.08,80600,PE,2024-09-13,STRANGLE,343.5,0.05,2024-09-13 15:15:00,6,3.4355,340.0145,2000000,8,198.51116625310172,67496.67493796526,3.3748337468982634,2024,SENSEX,9,2000000,1000000,99.25558312655086,33748.33746898263,1.6874168734491317
2024-09-07,2024-09-07 09:16:00,80973.75,82725.28,80981.93,1743.3500000000058,43.05963352320983,81322.42,80625.08,81300,CE,2024-09-13,STRANGLE,408.05,502.1,2024-09-09 10:15:00,6,9.1015,-103.1515,2000000,9,221.4022140221402,-22837.9704797048,-1.14189852398524,2024,SENSEX,9,2000000,1000000,110.7011070110701,-11418.985239852398,-0.57094926199262
2024-09-07,2024-09-09 11:15:00,80973.75,82725.28,80981.93,1743.3500000000058,43.05963352320983,81322.42,80625.08,81300,CE,2024-09-13,RE-ENTRY,429.1,466.85,2024-09-09 12:15:00,4,8.9595,-46.7095,2000000,9,221.4022140221402,-10341.586715867155,-0.5170793357933579,2024,SENSEX,9,2000000,1000000,110.7011070110701,-5170.793357933579,-0.2585396678966789
2024-09-06,2024-09-10 13:05:00,25093.7,25333.65,25083.8,249.85000000000215,4.978341177267644,25106.138385431404,25081.2616145686,25100,PE,2024-09-12,RE-ENTRY,95.75,111.25,2024-09-10 14:35:00,2,2.07,-17.57,2000000,9,717.1314741035857,-12600.0,-0.63,2024,NIFTY,9,2000000,1000000,358.56573705179284,-6300.0,-0.315
2024-09-06,2024-09-10 13:55:00,25093.7,25333.65,25083.8,249.85000000000215,4.978341177267644,25106.138385431404,25081.2616145686,25100,CE,2024-09-12,RE-ENTRY,78.35,85.45,2024-09-10 14:05:00,2,1.638,-8.738000000000008,2000000,10,796.8127490039841,-6962.54980079682,-0.348127490039841,2024,NIFTY,9,2000000,1000000,398.40637450199205,-3481.27490039841,-0.1740637450199205
2024-09-06,2024-09-10 14:25:00,25093.7,25333.65,25083.8,249.85000000000215,4.978341177267644,25106.138385431404,25081.2616145686,25100,CE,2024-09-12,RE-ENTRY,75.45,73.55,2024-09-12 13:55:00,2,1.49,0.4100000000000057,2000000,10,796.8127490039841,326.693227091638,0.0163346613545819,2024,NIFTY,9,2000000,1000000,398.40637450199205,163.346613545819,0.00816733067729095
2024-09-13,2024-09-13 09:16:00,25430.45,25433.35,24753.15,680.1999999999971,13.373731097955346,25521.418118928294,25339.481881071708,25500,CE,2024-09-19,STRANGLE,75.7,92.8,2024-09-19 09:15:00,6,1.685,-18.784999999999997,2000000,10,784.3137254901961,-14733.333333333328,-0.7366666666666664,2024,NIFTY,9,2000000,1000000,392.15686274509807,-7366.666666666666,-0.3683333333333333
2024-09-13,2024-09-13 09:16:00,25430.45,25433.35,24753.15,680.1999999999971,13.373731097955346,25521.418118928294,25339.481881071708,25350,PE,2024-09-19,STRANGLE,149.7,154.45,2024-09-13 09:15:00,6,3.0415,-7.791499999999999,2000000,9,710.0591715976332,-5532.426035502958,-0.2766213017751479,2024,NIFTY,9,2000000,1000000,355.0295857988166,-2766.213017751479,-0.13831065088757397
2024-09-13,2024-09-13 09:35:00,25430.45,25433.35,24753.15,680.1999999999971,13.373731097955346,25521.418118928294,25339.481881071708,25350,PE,2024-09-19,RE-ENTRY,152.85,156.2,2024-09-13 09:45:00,6,3.0905,-6.440499999999994,2000000,9,710.0591715976332,-4573.136094674552,-0.2286568047337276,2024,NIFTY,9,2000000,1000000,355.0295857988166,-2286.568047337276,-0.1143284023668638
2024-09-13,2024-09-13 10:25:00,25430.45,25433.35,24753.15,680.1999999999971,13.373731097955346,25521.418118928294,25339.481881071708,25350,PE,2024-09-19,RE-ENTRY,142.65,129.15,2024-09-18 13:35:00,6,2.718,10.782,2000000,9,710.0591715976332,7655.857988165681,0.382792899408284,2024,NIFTY,9,2000000,1000000,355.0295857988166,3827.9289940828403,0.19139644970414202
2024-09-14,2024-09-14 09:16:00,82985.33,83116.19,80895.05,2221.1399999999994,53.53090720974416,83429.558,82541.102,82500,PE,2024-09-20,STRANGLE,268.75,0.55,2024-09-20 15:15:00,6,2.693,265.507,2000000,8,193.93939393939397,51492.26666666667,2.5746133333333336,2024,SENSEX,9,2000000,1000000,96.96969696969698,25746.13333333334,1.287306666666667
