Day,Strike,Expiry,DTE,Option Type,Entry Price,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,ROI%,Trade Year
2017-01-20,8500,2017-01-25,5,CE,13.65,17.0625,2017-01-20 09:20:00,18.05,5.75,-3.4124999999999996,941.1764705882352,-3211.7647058823522,0.307125,-3212.071830882352,-0.3212071830882352,2017
2017-01-20,8300,2017-01-25,5,PE,14.9,18.625,2017-01-20 13:00:00,29.45,10.45,-3.7249999999999996,963.855421686747,-3590.3614457831322,0.33525,-3590.6966957831323,-0.35906966957831327,2017
2017-01-23,8400,2017-01-25,2,CE,20.6,25.75,2017-01-23 09:34:00,42.75,16.65,-5.149999999999999,952.3809523809524,-4904.761904761904,0.4635,-4905.2254047619035,-0.4905225404761903,2017
2017-01-23,8250,2017-01-25,2,PE,13.85,3.45,2017-01-23 15:30:00,13.1,3.3,10.399999999999999,969.6969696969697,10084.848484848484,0.17300000000000001,10084.675484848483,1.0084675484848484,2017
2017-01-24,8500,2017-01-25,1,CE,5.75,7.1875,2017-01-24 10:16:00,16.7,4.9,-1.4375,941.1764705882352,-1352.941176470588,0.129375,-1353.070551470588,-0.1353070551470588,2017
2017-01-24,8300,2017-01-25,1,PE,3.2,1.2,2017-01-24 15:30:00,3.4,1.2,2.0,963.855421686747,1927.710843373494,0.044000000000000004,1927.666843373494,0.1927666843373494,2017
2017-01-25,8600,2017-01-25,0,CE,0.45,0.5625,2017-01-25 09:31:00,3.1,0.05,-0.11249999999999999,930.2325581395348,-104.65116279069765,0.010125,-104.66128779069766,-0.010466128779069767,2017
2017-01-25,8400,2017-01-25,0,PE,1.1,0.05,2017-01-25 15:28:00,1.3,0.05,1.05,952.3809523809524,1000.0000000000001,0.011500000000000002,999.9885000000002,0.09999885000000001,2017
2017-01-27,8700,2017-02-02,6,CE,,,,,,,919.5402298850574,,,,,2017
2017-01-27,8500,2017-02-02,6,PE,,,,,,,941.1764705882352,,,,,2017
2017-01-30,8700,2017-02-02,3,CE,,,,,,,919.5402298850574,,,,,2017
2017-01-30,8550,2017-02-02,3,PE,,,,,,,935.672514619883,,,,,2017
2017-01-31,8700,2017-02-02,2,CE,,,,,,,919.5402298850574,,,,,2017
2017-01-31,8550,2017-02-02,2,PE,,,,,,,935.672514619883,,,,,2017
2017-02-01,8650,2017-02-02,1,CE,,,,,,,924.8554913294797,,,,,2017
2017-02-01,8500,2017-02-02,1,PE,,,,,,,941.1764705882352,,,,,2017
2017-02-02,8800,2017-02-02,0,CE,,,,,,,909.0909090909091,,,,,2017
2017-02-02,8650,2017-02-02,0,PE,,,,,,,924.8554913294797,,,,,2017
2017-02-03,8800,2017-02-09,6,CE,,,,,,,909.0909090909091,,,,,2017
2017-02-03,8650,2017-02-09,6,PE,,,,,,,924.8554913294797,,,,,2017
2017-02-06,8850,2017-02-09,3,CE,,,,,,,903.9548022598871,,,,,2017
2017-02-06,8700,2017-02-09,3,PE,,,,,,,919.5402298850574,,,,,2017
2017-02-07,8900,2017-02-09,2,CE,,,,,,,898.876404494382,,,,,2017
2017-02-07,8700,2017-02-09,2,PE,,,,,,,919.5402298850574,,,,,2017
2017-02-08,8850,2017-02-09,1,CE,,,,,,,903.9548022598871,,,,,2017
2017-02-08,8700,2017-02-09,1,PE,,,,,,,919.5402298850574,,,,,2017
2017-02-09,8900,2017-02-09,0,CE,,,,,,,898.876404494382,,,,,2017
2017-02-09,8700,2017-02-09,0,PE,,,,,,,919.5402298850574,,,,,2017
2017-02-10,8900,2017-02-16,6,CE,,,,,,,898.876404494382,,,,,2017
2017-02-10,8700,2017-02-16,6,PE,,,,,,,919.5402298850574,,,,,2017
2017-02-13,8900,2017-02-16,3,CE,,,,,,,898.876404494382,,,,,2017
2017-02-13,8750,2017-02-16,3,PE,,,,,,,914.2857142857143,,,,,2017
2017-02-14,8900,2017-02-16,2,CE,,,,,,,898.876404494382,,,,,2017
2017-02-14,8750,2017-02-16,2,PE,,,,,,,914.2857142857143,,,,,2017
2017-02-15,8850,2017-02-16,1,CE,,,,,,,903.9548022598871,,,,,2017
2017-02-15,8700,2017-02-16,1,PE,,,,,,,919.5402298850574,,,,,2017
2017-02-16,8850,2017-02-16,0,CE,,,,,,,903.9548022598871,,,,,2017
2017-02-16,8650,2017-02-16,0,PE,,,,,,,924.8554913294797,,,,,2017
2017-02-17,8950,2017-02-23,6,CE,12.85,16.0625,2017-02-17 12:30:00,17.05,7.95,-3.2125000000000004,893.8547486033519,-2871.5083798882683,0.289125,-2871.797504888268,-0.2871797504888268,2017
2017-02-17,8800,2017-02-23,6,PE,34.5,43.125,2017-02-17 09:36:00,53.95,26.25,-8.625,909.0909090909091,-7840.909090909091,0.77625,-7841.685340909091,-0.784168534090909,2017
2017-02-20,8900,2017-02-23,3,CE,14.65,18.3125,2017-02-20 09:53:00,31.3,12.0,-3.6624999999999996,898.876404494382,-3292.1348314606735,0.329625,-3292.4644564606733,-0.3292464456460673,2017
2017-02-20,8750,2017-02-23,3,PE,23.7,9.5,2017-02-20 15:30:00,22.85,9.05,14.2,914.2857142857143,12982.857142857143,0.332,12982.525142857143,1.2982525142857144,2017
2017-02-21,9000,2017-02-23,2,CE,6.0,7.5,2017-02-21 09:33:00,9.9,3.55,-1.5,888.8888888888889,-1333.3333333333335,0.135,-1333.4683333333335,-0.13334683333333333,2017
2017-02-21,8800,2017-02-23,2,PE,15.95,7.25,2017-02-21 15:30:00,17.25,6.05,8.7,909.0909090909091,7909.090909090909,0.23199999999999998,7908.858909090909,0.7908858909090909,2017
2017-02-22,9000,2017-02-23,1,CE,6.3,7.875,2017-02-22 09:21:00,14.65,4.0,-1.5750000000000002,888.8888888888889,-1400.0000000000002,0.14175000000000001,-1400.1417500000002,-0.14001417500000002,2017
2017-02-22,8850,2017-02-23,1,PE,12.1,6.7,2017-02-22 15:29:00,11.8,5.35,5.3999999999999995,903.9548022598871,4881.35593220339,0.188,4881.16793220339,0.488116793220339,2017
2017-02-23,9050,2017-02-23,0,CE,0.6,0.75,2017-02-23 09:16:00,1.65,0.05,-0.15000000000000002,883.9779005524862,-132.59668508287294,0.013500000000000002,-132.61018508287293,-0.013261018508287292,2017
2017-02-23,8850,2017-02-23,0,PE,2.45,0.05,2017-02-23 15:24:00,2.95,0.05,2.4000000000000004,903.9548022598871,2169.4915254237294,0.025,2169.4665254237293,0.21694665254237294,2017
2017-02-27,9050,2017-03-02,3,CE,,,,,,,883.9779005524862,,,,,2017
2017-02-27,8850,2017-03-02,3,PE,,,,,,,903.9548022598871,,,,,2017
2017-02-28,9000,2017-03-02,2,CE,,,,,,,888.8888888888889,,,,,2017
2017-02-28,8800,2017-03-02,2,PE,,,,,,,909.0909090909091,,,,,2017
2017-03-01,9000,2017-03-02,1,CE,,,,,,,888.8888888888889,,,,,2017
2017-03-01,8800,2017-03-02,1,PE,,,,,,,909.0909090909091,,,,,2017
2017-03-02,9050,2017-03-02,0,CE,,,,,,,883.9779005524862,,,,,2017
2017-03-02,8900,2017-03-02,0,PE,,,,,,,898.876404494382,,,,,2017
2017-03-03,8950,2017-03-09,6,CE,,,,,,,893.8547486033519,,,,,2017
2017-03-03,8800,2017-03-09,6,PE,,,,,,,909.0909090909091,,,,,2017
2017-03-06,9000,2017-03-09,3,CE,,,,,,,888.8888888888889,,,,,2017
2017-03-06,8850,2017-03-09,3,PE,,,,,,,903.9548022598871,,,,,2017
2017-03-07,9050,2017-03-09,2,CE,,,,,,,883.9779005524862,,,,,2017
2017-03-07,8900,2017-03-09,2,PE,,,,,,,898.876404494382,,,,,2017
2017-03-08,9050,2017-03-09,1,CE,,,,,,,883.9779005524862,,,,,2017
2017-03-08,8850,2017-03-09,1,PE,,,,,,,903.9548022598871,,,,,2017
2017-03-09,9000,2017-03-09,0,CE,,,,,,,888.8888888888889,,,,,2017
2017-03-09,8850,2017-03-09,0,PE,,,,,,,903.9548022598871,,,,,2017
2017-03-10,9050,2017-03-16,6,CE,,,,,,,883.9779005524862,,,,,2017
2017-03-10,8850,2017-03-16,6,PE,,,,,,,903.9548022598871,,,,,2017
2017-03-14,9200,2017-03-16,2,CE,,,,,,,869.5652173913044,,,,,2017
2017-03-14,9000,2017-03-16,2,PE,,,,,,,888.8888888888889,,,,,2017
2017-03-15,9200,2017-03-16,1,CE,,,,,,,869.5652173913044,,,,,2017
2017-03-15,9000,2017-03-16,1,PE,,,,,,,888.8888888888889,,,,,2017
2017-03-16,9200,2017-03-16,0,CE,,,,,,,869.5652173913044,,,,,2017
2017-03-16,9050,2017-03-16,0,PE,,,,,,,883.9779005524862,,,,,2017
2017-03-17,9300,2017-03-23,6,CE,,,,,,,860.2150537634409,,,,,2017
2017-03-17,9100,2017-03-23,6,PE,,,,,,,879.1208791208791,,,,,2017
2017-03-20,9250,2017-03-23,3,CE,,,,,,,864.8648648648649,,,,,2017
2017-03-20,9100,2017-03-23,3,PE,,,,,,,879.1208791208791,,,,,2017
2017-03-21,9250,2017-03-23,2,CE,,,,,,,864.8648648648649,,,,,2017
2017-03-21,9050,2017-03-23,2,PE,,,,,,,883.9779005524862,,,,,2017
2017-03-22,9150,2017-03-23,1,CE,,,,,,,874.3169398907104,,,,,2017
2017-03-22,8950,2017-03-23,1,PE,,,,,,,893.8547486033519,,,,,2017
2017-03-23,9150,2017-03-23,0,CE,,,,,,,874.3169398907104,,,,,2017
2017-03-23,8950,2017-03-23,0,PE,,,,,,,893.8547486033519,,,,,2017
2017-03-24,9200,2017-03-30,6,CE,16.5,20.625,2017-03-24 09:34:00,24.4,14.9,-4.125,869.5652173913044,-3586.9565217391305,0.37125,-3587.3277717391306,-0.3587327771739131,2017
2017-03-24,9000,2017-03-30,6,PE,16.9,14.65,2017-03-24 15:30:00,17.65,9.65,2.2499999999999982,888.8888888888889,1999.9999999999984,0.3155,1999.6844999999985,0.19996844999999983,2017
2017-03-27,9200,2017-03-30,3,CE,8.6,6.25,2017-03-27 15:30:00,9.9,4.05,2.3499999999999996,869.5652173913044,2043.478260869565,0.1485,2043.329760869565,0.2043329760869565,2017
2017-03-27,9000,2017-03-30,3,PE,16.05,20.0625,2017-03-27 09:53:00,29.3,15.1,-4.012499999999999,888.8888888888889,-3566.666666666666,0.361125,-3567.027791666666,-0.3567027791666666,2017
2017-03-28,9150,2017-03-30,2,CE,15.85,19.8125,2017-03-28 10:41:00,22.85,12.0,-3.9625000000000004,874.3169398907104,-3464.48087431694,0.356625,-3464.83749931694,-0.346483749931694,2017
2017-03-28,9000,2017-03-30,2,PE,9.75,6.0,2017-03-28 15:30:00,9.65,5.7,3.75,888.8888888888889,3333.3333333333335,0.1575,3333.1758333333337,0.3333175833333334,2017
2017-03-29,9200,2017-03-30,1,CE,8.4,7.4,2017-03-29 15:30:00,10.0,4.6,1.0,869.5652173913044,869.5652173913044,0.158,869.4072173913044,0.08694072173913044,2017
2017-03-29,9050,2017-03-30,1,PE,6.4,8.0,2017-03-29 09:24:00,9.4,3.65,-1.5999999999999996,883.9779005524862,-1414.3646408839775,0.14400000000000002,-1414.5086408839775,-0.14145086408839774,2017
2017-03-30,9250,2017-03-30,0,CE,0.4,0.5,2017-03-30 09:24:00,1.15,0.05,-0.09999999999999998,864.8648648648649,-86.48648648648647,0.009000000000000001,-86.49548648648647,-0.008649548648648649,2017
2017-03-30,9050,2017-03-30,0,PE,1.55,0.05,2017-03-30 15:29:00,1.55,0.05,1.5,883.9779005524862,1325.9668508287293,0.016,1325.9508508287292,0.1325950850828729,2017
2017-03-31,9250,2017-04-06,6,CE,,,,,,,864.8648648648649,,,,,2017
2017-03-31,9050,2017-04-06,6,PE,,,,,,,883.9779005524862,,,,,2017
2017-04-03,9300,2017-04-06,3,CE,,,,,,,860.2150537634409,,,,,2017
2017-04-03,9150,2017-04-06,3,PE,,,,,,,874.3169398907104,,,,,2017
2017-04-05,9350,2017-04-06,1,CE,,,,,,,855.6149732620321,,,,,2017
2017-04-05,9150,2017-04-06,1,PE,,,,,,,874.3169398907104,,,,,2017
2017-04-06,9350,2017-04-06,0,CE,,,,,,,855.6149732620321,,,,,2017
2017-04-06,9150,2017-04-06,0,PE,,,,,,,874.3169398907104,,,,,2017
2017-04-07,9300,2017-04-13,6,CE,,,,,,,860.2150537634409,,,,,2017
2017-04-07,9150,2017-04-13,6,PE,,,,,,,874.3169398907104,,,,,2017
2017-04-10,9300,2017-04-13,3,CE,,,,,,,860.2150537634409,,,,,2017
2017-04-10,9150,2017-04-13,3,PE,,,,,,,874.3169398907104,,,,,2017
2017-04-11,9300,2017-04-13,2,CE,,,,,,,860.2150537634409,,,,,2017
2017-04-11,9100,2017-04-13,2,PE,,,,,,,879.1208791208791,,,,,2017
2017-04-12,9350,2017-04-13,1,CE,,,,,,,855.6149732620321,,,,,2017
2017-04-12,9150,2017-04-13,1,PE,,,,,,,874.3169398907104,,,,,2017
2017-04-13,9300,2017-04-13,0,CE,,,,,,,860.2150537634409,,,,,2017
2017-04-13,9100,2017-04-13,0,PE,,,,,,,879.1208791208791,,,,,2017
2017-04-17,9250,2017-04-20,3,CE,,,,,,,864.8648648648649,,,,,2017
2017-04-17,9050,2017-04-20,3,PE,,,,,,,883.9779005524862,,,,,2017
2017-04-18,9250,2017-04-20,2,CE,,,,,,,864.8648648648649,,,,,2017
2017-04-18,9050,2017-04-20,2,PE,,,,,,,883.9779005524862,,,,,2017
2017-04-19,9200,2017-04-20,1,CE,,,,,,,869.5652173913044,,,,,2017
2017-04-19,9000,2017-04-20,1,PE,,,,,,,888.8888888888889,,,,,2017
2017-04-20,9200,2017-04-20,0,CE,,,,,,,869.5652173913044,,,,,2017
2017-04-20,9000,2017-04-20,0,PE,,,,,,,888.8888888888889,,,,,2017
2017-04-21,9250,2017-04-27,6,CE,20.85,9.55,2017-04-21 15:30:00,19.85,5.95,11.3,864.8648648648649,9772.972972972973,0.30400000000000005,9772.668972972973,0.9772668972972973,2017
2017-04-21,9100,2017-04-27,6,PE,19.95,24.9375,2017-04-21 09:23:00,54.55,20.05,-4.987500000000001,879.1208791208791,-4384.615384615385,0.448875,-4385.064259615385,-0.43850642596153844,2017
2017-04-24,9250,2017-04-27,3,CE,7.2,9.0,2017-04-24 09:22:00,26.8,6.4,-1.7999999999999998,864.8648648648649,-1556.7567567567567,0.162,-1556.9187567567567,-0.15569187567567566,2017
2017-04-24,9050,2017-04-27,3,PE,14.75,7.65,2017-04-24 15:30:00,15.2,5.3,7.1,883.9779005524862,6276.2430939226515,0.22399999999999998,6276.019093922651,0.6276019093922651,2017
2017-04-25,9350,2017-04-27,2,CE,5.0,6.25,2017-04-25 11:08:00,11.35,3.55,-1.25,855.6149732620321,-1069.51871657754,0.1125,-1069.63121657754,-0.106963121657754,2017
2017-04-25,9200,2017-04-27,2,PE,16.8,9.8,2017-04-25 15:30:00,17.25,8.45,7.0,869.5652173913044,6086.956521739131,0.266,6086.690521739131,0.6086690521739131,2017
2017-04-26,9450,2017-04-27,1,CE,1.4,1.75,2017-04-26 09:18:00,4.1,0.8,-0.3500000000000001,846.5608465608466,-296.29629629629636,0.0315,-296.32779629629636,-0.029632779629629638,2017
2017-04-26,9250,2017-04-27,1,PE,10.1,4.1,2017-04-26 15:30:00,10.65,4.1,6.0,864.8648648648649,5189.189189189189,0.142,5189.047189189189,0.5189047189189189,2017
2017-04-27,9450,2017-04-27,0,CE,0.55,0.6875,2017-04-27 09:24:00,0.7,0.05,-0.13749999999999996,846.5608465608466,-116.40211640211636,0.012375,-116.41449140211637,-0.011641449140211636,2017
2017-04-27,9250,2017-04-27,0,PE,1.15,1.4375,2017-04-27 09:16:00,3.25,0.05,-0.2875000000000001,864.8648648648649,-248.64864864864873,0.025875,-248.67452364864874,-0.024867452364864876,2017
2017-04-28,9450,2017-05-04,6,CE,,,,,,,846.5608465608466,,,,,2017
2017-04-28,9250,2017-05-04,6,PE,,,,,,,864.8648648648649,,,,,2017
2017-05-02,9450,2017-05-04,2,CE,,,,,,,846.5608465608466,,,,,2017
2017-05-02,9250,2017-05-04,2,PE,,,,,,,864.8648648648649,,,,,2017
2017-05-03,9450,2017-05-04,1,CE,,,,,,,846.5608465608466,,,,,2017
2017-05-03,9250,2017-05-04,1,PE,,,,,,,864.8648648648649,,,,,2017
2017-05-04,9450,2017-05-04,0,CE,,,,,,,846.5608465608466,,,,,2017
2017-05-04,9250,2017-05-04,0,PE,,,,,,,864.8648648648649,,,,,2017
2017-05-05,9450,2017-05-11,6,CE,,,,,,,846.5608465608466,,,,,2017
2017-05-05,9300,2017-05-11,6,PE,,,,,,,860.2150537634409,,,,,2017
2017-05-08,9400,2017-05-11,3,CE,,,,,,,851.063829787234,,,,,2017
2017-05-08,9200,2017-05-11,3,PE,,,,,,,869.5652173913044,,,,,2017
2017-05-09,9450,2017-05-11,2,CE,,,,,,,846.5608465608466,,,,,2017
2017-05-09,9250,2017-05-11,2,PE,,,,,,,864.8648648648649,,,,,2017
2017-05-10,9450,2017-05-11,1,CE,,,,,,,846.5608465608466,,,,,2017
2017-05-10,9250,2017-05-11,1,PE,,,,,,,864.8648648648649,,,,,2017
2017-05-11,9550,2017-05-11,0,CE,,,,,,,837.696335078534,,,,,2017
2017-05-11,9350,2017-05-11,0,PE,,,,,,,855.6149732620321,,,,,2017
2017-05-12,9550,2017-05-18,6,CE,,,,,,,837.696335078534,,,,,2017
2017-05-12,9350,2017-05-18,6,PE,,,,,,,855.6149732620321,,,,,2017
2017-05-15,9550,2017-05-18,3,CE,,,,,,,837.696335078534,,,,,2017
2017-05-15,9350,2017-05-18,3,PE,,,,,,,855.6149732620321,,,,,2017
2017-05-16,9550,2017-05-18,2,CE,,,,,,,837.696335078534,,,,,2017
2017-05-16,9350,2017-05-18,2,PE,,,,,,,855.6149732620321,,,,,2017
2017-05-17,9600,2017-05-18,1,CE,,,,,,,833.3333333333334,,,,,2017
2017-05-17,9400,2017-05-18,1,PE,,,,,,,851.063829787234,,,,,2017
2017-05-18,9550,2017-05-18,0,CE,,,,,,,837.696335078534,,,,,2017
2017-05-18,9350,2017-05-18,0,PE,,,,,,,855.6149732620321,,,,,2017
2017-05-19,9550,2017-05-25,6,CE,18.85,23.5625,2017-05-19 09:31:00,30.45,8.25,-4.712499999999999,837.696335078534,-3947.6439790575905,0.42412500000000003,-3948.0681040575905,-0.39480681040575905,2017
2017-05-19,9400,2017-05-25,6,PE,26.7,33.375,2017-05-19 11:31:00,53.15,16.5,-6.675000000000001,851.063829787234,-5680.851063829788,0.60075,-5681.451813829787,-0.5681451813829786,2017
2017-05-22,9600,2017-05-25,3,CE,8.35,3.6,2017-05-22 15:29:00,9.05,2.6,4.75,833.3333333333334,3958.3333333333335,0.1195,3958.2138333333337,0.3958213833333334,2017
2017-05-22,9400,2017-05-25,3,PE,16.35,20.4375,2017-05-22 09:35:00,31.55,16.15,-4.087499999999999,851.063829787234,-3478.7234042553177,0.367875,-3479.0912792553177,-0.34790912792553175,2017
2017-05-23,9550,2017-05-25,2,CE,8.8,2.7,2017-05-23 15:29:00,8.7,2.25,6.1000000000000005,837.696335078534,5109.947643979058,0.115,5109.832643979058,0.5109832643979058,2017
2017-05-23,9350,2017-05-25,2,PE,11.95,14.9375,2017-05-23 09:19:00,39.45,11.05,-2.9875000000000007,855.6149732620321,-2556.1497326203216,0.268875,-2556.418607620322,-0.25564186076203216,2017
2017-05-24,9500,2017-05-25,1,CE,7.05,8.8125,2017-05-24 10:55:00,9.15,0.8,-1.7625000000000002,842.1052631578947,-1484.2105263157896,0.15862500000000002,-1484.3691513157896,-0.14843691513157894,2017
2017-05-24,9300,2017-05-25,1,PE,6.3,7.875,2017-05-24 09:18:00,24.45,5.1,-1.5750000000000002,860.2150537634409,-1354.8387096774195,0.14175000000000001,-1354.9804596774195,-0.13549804596774195,2017
2017-05-25,9500,2017-05-25,0,CE,0.75,0.9375,2017-05-25 10:58:00,12.8,0.2,-0.1875,842.1052631578947,-157.89473684210526,0.016875,-157.91161184210526,-0.015791161184210527,2017
2017-05-25,9300,2017-05-25,0,PE,2.85,3.5625,2017-05-25 09:27:00,4.3,0.05,-0.7124999999999999,860.2150537634409,-612.9032258064516,0.064125,-612.9673508064516,-0.061296735080645155,2017
2017-05-26,9600,2017-06-01,6,CE,,,,,,,833.3333333333334,,,,,2017
2017-05-26,9400,2017-06-01,6,PE,,,,,,,851.063829787234,,,,,2017
2017-05-29,9650,2017-06-01,3,CE,,,,,,,829.0155440414508,,,,,2017
2017-05-29,9450,2017-06-01,3,PE,,,,,,,846.5608465608466,,,,,2017
2017-05-30,9700,2017-06-01,2,CE,,,,,,,824.7422680412371,,,,,2017
2017-05-30,9500,2017-06-01,2,PE,,,,,,,842.1052631578947,,,,,2017
2017-05-31,9750,2017-06-01,1,CE,,,,,,,820.5128205128206,,,,,2017
2017-05-31,9550,2017-06-01,1,PE,,,,,,,837.696335078534,,,,,2017
2017-06-01,9700,2017-06-01,0,CE,,,,,,,824.7422680412371,,,,,2017
2017-06-01,9500,2017-06-01,0,PE,,,,,,,842.1052631578947,,,,,2017
2017-06-02,9750,2017-06-08,6,CE,,,,,,,820.5128205128206,,,,,2017
2017-06-02,9550,2017-06-08,6,PE,,,,,,,837.696335078534,,,,,2017
2017-06-05,9750,2017-06-08,3,CE,,,,,,,820.5128205128206,,,,,2017
2017-06-05,9550,2017-06-08,3,PE,,,,,,,837.696335078534,,,,,2017
2017-06-06,9800,2017-06-08,2,CE,,,,,,,816.3265306122449,,,,,2017
2017-06-06,9600,2017-06-08,2,PE,,,,,,,833.3333333333334,,,,,2017
2017-06-07,9750,2017-06-08,1,CE,,,,,,,820.5128205128206,,,,,2017
2017-06-07,9550,2017-06-08,1,PE,,,,,,,837.696335078534,,,,,2017
2017-06-08,9800,2017-06-08,0,CE,,,,,,,816.3265306122449,,,,,2017
2017-06-08,9600,2017-06-08,0,PE,,,,,,,833.3333333333334,,,,,2017
2017-06-09,9750,2017-06-15,6,CE,,,,,,,820.5128205128206,,,,,2017
2017-06-09,9550,2017-06-15,6,PE,,,,,,,837.696335078534,,,,,2017
2017-06-12,9750,2017-06-15,3,CE,,,,,,,820.5128205128206,,,,,2017
2017-06-12,9550,2017-06-15,3,PE,,,,,,,837.696335078534,,,,,2017
2017-06-13,9700,2017-06-15,2,CE,,,,,,,824.7422680412371,,,,,2017
2017-06-13,9500,2017-06-15,2,PE,,,,,,,842.1052631578947,,,,,2017
2017-06-14,9700,2017-06-15,1,CE,,,,,,,824.7422680412371,,,,,2017
2017-06-14,9550,2017-06-15,1,PE,,,,,,,837.696335078534,,,,,2017
2017-06-15,9700,2017-06-15,0,CE,,,,,,,824.7422680412371,,,,,2017
2017-06-15,9500,2017-06-15,0,PE,,,,,,,842.1052631578947,,,,,2017
2017-06-16,9700,2017-06-22,6,CE,,,,,,,824.7422680412371,,,,,2017
2017-06-16,9500,2017-06-22,6,PE,,,,,,,842.1052631578947,,,,,2017
2017-06-19,9700,2017-06-22,3,CE,,,,,,,824.7422680412371,,,,,2017
2017-06-19,9550,2017-06-22,3,PE,,,,,,,837.696335078534,,,,,2017
2017-06-20,9750,2017-06-22,2,CE,,,,,,,820.5128205128206,,,,,2017
2017-06-20,9550,2017-06-22,2,PE,,,,,,,837.696335078534,,,,,2017
2017-06-21,9750,2017-06-22,1,CE,,,,,,,820.5128205128206,,,,,2017
2017-06-21,9550,2017-06-22,1,PE,,,,,,,837.696335078534,,,,,2017
2017-06-22,9750,2017-06-22,0,CE,,,,,,,820.5128205128206,,,,,2017
2017-06-22,9550,2017-06-22,0,PE,,,,,,,837.696335078534,,,,,2017
2017-06-23,9750,2017-06-29,6,CE,9.0,5.75,2017-06-23 15:29:00,9.7,4.45,3.25,820.5128205128206,2666.666666666667,0.1475,2666.519166666667,0.2666519166666667,2017
2017-06-23,9550,2017-06-29,6,PE,23.2,29.0,2017-06-23 09:46:00,37.2,20.4,-5.800000000000001,837.696335078534,-4858.638743455498,0.522,-4859.160743455498,-0.4859160743455498,2017
2017-06-27,9700,2017-06-29,2,CE,11.45,2.85,2017-06-27 15:30:00,13.2,1.8,8.6,824.7422680412371,7092.783505154639,0.143,7092.640505154639,0.7092640505154639,2017
2017-06-27,9500,2017-06-29,2,PE,9.75,12.1875,2017-06-27 09:24:00,50.75,9.15,-2.4375,842.1052631578947,-2052.6315789473683,0.21937500000000001,-2052.8509539473685,-0.20528509539473686,2017
2017-06-28,9600,2017-06-29,1,CE,4.9,6.125,2017-06-28 09:27:00,9.4,2.2,-1.2249999999999996,833.3333333333334,-1020.833333333333,0.11025,-1020.943583333333,-0.10209435833333329,2017
2017-06-28,9400,2017-06-29,1,PE,9.85,4.3,2017-06-28 15:30:00,11.2,4.05,5.55,851.063829787234,4723.404255319148,0.1415,4723.262755319149,0.4723262755319149,2017
2017-06-29,9600,2017-06-29,0,CE,3.7,4.625,2017-06-29 09:35:00,7.6,0.05,-0.9249999999999998,833.3333333333334,-770.8333333333333,0.08324999999999999,-770.9165833333333,-0.07709165833333333,2017
