Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year
2017-03-28,9150,2017-03-30,2,CE,15.85,19.8125,19.8125,2017-03-28 10:41:00,22.85,12.0,-3.9625000000000004,2185.792349726776,-8661.202185792352,0.356625,-9440.710382513664,250.0,-0.9440710382513664,2017
2017-03-28,9000,2017-03-30,2,PE,9.75,12.1875,6.0,2017-03-28 15:30:00,9.65,5.7,3.75,2222.222222222222,8333.333333333334,0.1575,7983.333333333333,250.0,0.7983333333333332,2017
2017-03-29,9200,2017-03-30,1,CE,8.4,10.5,7.4,2017-03-29 15:30:00,10.0,4.6,1.0,2173.913043478261,2173.913043478261,0.158,1830.4347826086957,250.0,0.18304347826086956,2017
2017-03-29,9050,2017-03-30,1,PE,6.4,8.0,8.0,2017-03-29 09:24:00,9.4,3.65,-1.5999999999999996,2209.9447513812156,-3535.9116022099442,0.14400000000000002,-3854.1436464088397,250.0,-0.38541436464088397,2017
2017-03-30,9250,2017-03-30,0,CE,0.4,0.5,0.5,2017-03-30 09:24:00,1.15,0.05,-0.09999999999999998,2162.162162162162,-216.21621621621617,0.009000000000000001,-235.67567567567565,250.0,-0.023567567567567567,2017
2017-03-30,9050,2017-03-30,0,PE,1.55,1.9375,0.05,2017-03-30 15:29:00,1.55,0.05,1.5,2209.9447513812156,3314.9171270718234,0.016,3279.558011049724,250.0,0.32795580110497236,2017
2017-03-31,9250,2017-04-06,6,CE,,,,,,,,,,,,,,2017
2017-03-31,9050,2017-04-06,6,PE,,,,,,,,,,,,,,2017
2017-04-03,9300,2017-04-06,3,CE,,,,,,,,,,,,,,2017
2017-04-03,9150,2017-04-06,3,PE,,,,,,,,,,,,,,2017
2017-04-05,9350,2017-04-06,1,CE,,,,,,,,,,,,,,2017
2017-04-05,9150,2017-04-06,1,PE,,,,,,,,,,,,,,2017
2017-04-06,9350,2017-04-06,0,CE,,,,,,,,,,,,,,2017
2017-04-06,9150,2017-04-06,0,PE,,,,,,,,,,,,,,2017
2017-04-07,9300,2017-04-13,6,CE,,,,,,,,,,,,,,2017
2017-04-07,9150,2017-04-13,6,PE,,,,,,,,,,,,,,2017
2017-04-10,9300,2017-04-13,3,CE,,,,,,,,,,,,,,2017
2017-04-10,9150,2017-04-13,3,PE,,,,,,,,,,,,,,2017
2017-04-11,9300,2017-04-13,2,CE,,,,,,,,,,,,,,2017
2017-04-11,9100,2017-04-13,2,PE,,,,,,,,,,,,,,2017
2017-04-12,9350,2017-04-13,1,CE,,,,,,,,,,,,,,2017
2017-04-12,9150,2017-04-13,1,PE,,,,,,,,,,,,,,2017
2017-04-13,9300,2017-04-13,0,CE,,,,,,,,,,,,,,2017
2017-04-13,9100,2017-04-13,0,PE,,,,,,,,,,,,,,2017
2017-04-17,9250,2017-04-20,3,CE,,,,,,,,,,,,,,2017
2017-04-17,9050,2017-04-20,3,PE,,,,,,,,,,,,,,2017
2017-04-18,9250,2017-04-20,2,CE,,,,,,,,,,,,,,2017
2017-04-18,9050,2017-04-20,2,PE,,,,,,,,,,,,,,2017
2017-04-19,9200,2017-04-20,1,CE,,,,,,,,,,,,,,2017
2017-04-19,9000,2017-04-20,1,PE,,,,,,,,,,,,,,2017
2017-04-20,9200,2017-04-20,0,CE,,,,,,,,,,,,,,2017
2017-04-20,9000,2017-04-20,0,PE,,,,,,,,,,,,,,2017
2017-04-21,9250,2017-04-27,6,CE,20.85,26.0625,9.55,2017-04-21 15:30:00,19.85,5.95,11.3,2162.162162162162,24432.432432432433,0.30400000000000005,23775.135135135137,250.0,2.377513513513514,2017
2017-04-21,9100,2017-04-27,6,PE,19.95,24.9375,24.9375,2017-04-21 09:23:00,54.55,20.05,-4.987500000000001,2197.8021978021975,-10961.538461538461,0.448875,-11948.076923076924,249.99999999999994,-1.1948076923076925,2017
2017-04-24,9250,2017-04-27,3,CE,7.2,9.0,9.0,2017-04-24 09:22:00,26.8,6.4,-1.7999999999999998,2162.162162162162,-3891.891891891891,0.162,-4242.162162162162,250.0,-0.42421621621621614,2017
2017-04-24,9050,2017-04-27,3,PE,14.75,18.4375,7.65,2017-04-24 15:30:00,15.2,5.3,7.1,2209.9447513812156,15690.60773480663,0.22399999999999998,15195.580110497238,250.0,1.5195580110497238,2017
2017-04-25,9350,2017-04-27,2,CE,5.0,6.25,6.25,2017-04-25 11:08:00,11.35,3.55,-1.25,2139.03743315508,-2673.7967914438505,0.1125,-2914.438502673797,250.0,-0.2914438502673797,2017
2017-04-25,9200,2017-04-27,2,PE,16.8,21.0,9.8,2017-04-25 15:30:00,17.25,8.45,7.0,2173.913043478261,15217.391304347828,0.266,14639.13043478261,250.0,1.463913043478261,2017
2017-04-26,9450,2017-04-27,1,CE,1.4,1.75,1.75,2017-04-26 09:18:00,4.1,0.8,-0.3500000000000001,2116.4021164021165,-740.740740740741,0.0315,-807.4074074074075,250.0,-0.08074074074074074,2017
2017-04-26,9250,2017-04-27,1,PE,10.1,12.625,4.1,2017-04-26 15:30:00,10.65,4.1,6.0,2162.162162162162,12972.972972972973,0.142,12665.945945945945,250.0,1.2665945945945944,2017
2017-04-27,9450,2017-04-27,0,CE,0.55,0.6875,0.6875,2017-04-27 09:24:00,0.7,0.05,-0.13749999999999996,2116.4021164021165,-291.0052910052909,0.012375,-317.19576719576713,250.0,-0.03171957671957672,2017
2017-04-27,9250,2017-04-27,0,PE,1.15,1.4375,1.4375,2017-04-27 09:16:00,3.25,0.05,-0.2875000000000001,2162.162162162162,-621.6216216216218,0.025875,-677.5675675675677,250.0,-0.06775675675675677,2017
2017-04-28,9450,2017-05-04,6,CE,,,,,,,,,,,,,,2017
2017-04-28,9250,2017-05-04,6,PE,,,,,,,,,,,,,,2017
2017-05-02,9450,2017-05-04,2,CE,,,,,,,,,,,,,,2017
2017-05-02,9250,2017-05-04,2,PE,,,,,,,,,,,,,,2017
2017-05-03,9450,2017-05-04,1,CE,,,,,,,,,,,,,,2017
2017-05-03,9250,2017-05-04,1,PE,,,,,,,,,,,,,,2017
2017-05-04,9450,2017-05-04,0,CE,,,,,,,,,,,,,,2017
2017-05-04,9250,2017-05-04,0,PE,,,,,,,,,,,,,,2017
2017-05-05,9450,2017-05-11,6,CE,,,,,,,,,,,,,,2017
2017-05-05,9300,2017-05-11,6,PE,,,,,,,,,,,,,,2017
2017-05-08,9400,2017-05-11,3,CE,,,,,,,,,,,,,,2017
2017-05-08,9200,2017-05-11,3,PE,,,,,,,,,,,,,,2017
2017-05-09,9450,2017-05-11,2,CE,,,,,,,,,,,,,,2017
2017-05-09,9250,2017-05-11,2,PE,,,,,,,,,,,,,,2017
2017-05-10,9450,2017-05-11,1,CE,,,,,,,,,,,,,,2017
2017-05-10,9250,2017-05-11,1,PE,,,,,,,,,,,,,,2017
2017-05-11,9550,2017-05-11,0,CE,,,,,,,,,,,,,,2017
2017-05-11,9350,2017-05-11,0,PE,,,,,,,,,,,,,,2017
2017-05-12,9550,2017-05-18,6,CE,,,,,,,,,,,,,,2017
2017-05-12,9350,2017-05-18,6,PE,,,,,,,,,,,,,,2017
2017-05-15,9550,2017-05-18,3,CE,,,,,,,,,,,,,,2017
2017-05-15,9350,2017-05-18,3,PE,,,,,,,,,,,,,,2017
2017-05-16,9550,2017-05-18,2,CE,,,,,,,,,,,,,,2017
2017-05-16,9350,2017-05-18,2,PE,,,,,,,,,,,,,,2017
2017-05-17,9600,2017-05-18,1,CE,,,,,,,,,,,,,,2017
2017-05-17,9400,2017-05-18,1,PE,,,,,,,,,,,,,,2017
2017-05-18,9550,2017-05-18,0,CE,,,,,,,,,,,,,,2017
2017-05-18,9350,2017-05-18,0,PE,,,,,,,,,,,,,,2017
2017-05-19,9550,2017-05-25,6,CE,18.85,23.5625,23.5625,2017-05-19 09:31:00,30.45,8.25,-4.712499999999999,2094.240837696335,-9869.109947643976,0.42412500000000003,-10757.329842931933,250.0,-1.0757329842931933,2017
2017-05-19,9400,2017-05-25,6,PE,26.7,33.375,33.375,2017-05-19 11:31:00,53.15,16.5,-6.675000000000001,2127.659574468085,-14202.127659574468,0.60075,-15480.319148936169,249.99999999999994,-1.548031914893617,2017
2017-05-22,9600,2017-05-25,3,CE,8.35,10.4375,3.6,2017-05-22 15:29:00,9.05,2.6,4.75,2083.3333333333335,9895.833333333334,0.1195,9646.875,250.0,0.9646875,2017
2017-05-22,9400,2017-05-25,3,PE,16.35,20.4375,20.4375,2017-05-22 09:35:00,31.55,16.15,-4.087499999999999,2127.659574468085,-8696.808510638293,0.367875,-9479.52127659574,249.99999999999994,-0.947952127659574,2017
2017-05-23,9550,2017-05-25,2,CE,8.8,11.0,2.7,2017-05-23 15:29:00,8.7,2.25,6.1000000000000005,2094.240837696335,12774.869109947644,0.115,12534.031413612565,250.0,1.2534031413612565,2017
2017-05-23,9350,2017-05-25,2,PE,11.95,14.9375,14.9375,2017-05-23 09:19:00,39.45,11.05,-2.9875000000000007,2139.03743315508,-6390.374331550804,0.268875,-6965.508021390376,250.0,-0.6965508021390375,2017
2017-05-24,9500,2017-05-25,1,CE,7.05,8.8125,8.8125,2017-05-24 10:55:00,9.15,0.8,-1.7625000000000002,2105.2631578947367,-3710.5263157894738,0.15862500000000002,-4044.4736842105262,250.0,-0.40444736842105267,2017
2017-05-24,9300,2017-05-25,1,PE,6.3,7.875,7.875,2017-05-24 09:18:00,24.45,5.1,-1.5750000000000002,2150.537634408602,-3387.0967741935488,0.14175000000000001,-3691.9354838709683,250.0,-0.36919354838709684,2017
2017-05-25,9500,2017-05-25,0,CE,0.75,0.9375,0.9375,2017-05-25 10:58:00,12.8,0.2,-0.1875,2105.2631578947367,-394.7368421052631,0.016875,-430.2631578947368,250.0,-0.043026315789473676,2017
2017-05-25,9300,2017-05-25,0,PE,2.85,3.5625,3.5625,2017-05-25 09:27:00,4.3,0.05,-0.7124999999999999,2150.537634408602,-1532.2580645161288,0.064125,-1670.1612903225805,250.0,-0.16701612903225807,2017
2017-05-26,9600,2017-06-01,6,CE,,,,,,,,,,,,,,2017
2017-05-26,9400,2017-06-01,6,PE,,,,,,,,,,,,,,2017
2017-05-29,9650,2017-06-01,3,CE,,,,,,,,,,,,,,2017
2017-05-29,9450,2017-06-01,3,PE,,,,,,,,,,,,,,2017
2017-05-30,9700,2017-06-01,2,CE,,,,,,,,,,,,,,2017
2017-05-30,9500,2017-06-01,2,PE,,,,,,,,,,,,,,2017
2017-05-31,9750,2017-06-01,1,CE,,,,,,,,,,,,,,2017
2017-05-31,9550,2017-06-01,1,PE,,,,,,,,,,,,,,2017
2017-06-01,9700,2017-06-01,0,CE,,,,,,,,,,,,,,2017
2017-06-01,9500,2017-06-01,0,PE,,,,,,,,,,,,,,2017
2017-06-02,9750,2017-06-08,6,CE,,,,,,,,,,,,,,2017
2017-06-02,9550,2017-06-08,6,PE,,,,,,,,,,,,,,2017
2017-06-05,9750,2017-06-08,3,CE,,,,,,,,,,,,,,2017
2017-06-05,9550,2017-06-08,3,PE,,,,,,,,,,,,,,2017
2017-06-06,9800,2017-06-08,2,CE,,,,,,,,,,,,,,2017
2017-06-06,9600,2017-06-08,2,PE,,,,,,,,,,,,,,2017
2017-06-07,9750,2017-06-08,1,CE,,,,,,,,,,,,,,2017
2017-06-07,9550,2017-06-08,1,PE,,,,,,,,,,,,,,2017
2017-06-08,9800,2017-06-08,0,CE,,,,,,,,,,,,,,2017
2017-06-08,9600,2017-06-08,0,PE,,,,,,,,,,,,,,2017
2017-06-09,9750,2017-06-15,6,CE,,,,,,,,,,,,,,2017
2017-06-09,9550,2017-06-15,6,PE,,,,,,,,,,,,,,2017
2017-06-12,9750,2017-06-15,3,CE,,,,,,,,,,,,,,2017
2017-06-12,9550,2017-06-15,3,PE,,,,,,,,,,,,,,2017
2017-06-13,9700,2017-06-15,2,CE,,,,,,,,,,,,,,2017
2017-06-13,9500,2017-06-15,2,PE,,,,,,,,,,,,,,2017
2017-06-14,9700,2017-06-15,1,CE,,,,,,,,,,,,,,2017
2017-06-14,9550,2017-06-15,1,PE,,,,,,,,,,,,,,2017
2017-06-15,9700,2017-06-15,0,CE,,,,,,,,,,,,,,2017
2017-06-15,9500,2017-06-15,0,PE,,,,,,,,,,,,,,2017
2017-06-16,9700,2017-06-22,6,CE,,,,,,,,,,,,,,2017
2017-06-16,9500,2017-06-22,6,PE,,,,,,,,,,,,,,2017
2017-06-19,9700,2017-06-22,3,CE,,,,,,,,,,,,,,2017
2017-06-19,9550,2017-06-22,3,PE,,,,,,,,,,,,,,2017
2017-06-20,9750,2017-06-22,2,CE,,,,,,,,,,,,,,2017
2017-06-20,9550,2017-06-22,2,PE,,,,,,,,,,,,,,2017
2017-06-21,9750,2017-06-22,1,CE,,,,,,,,,,,,,,2017
2017-06-21,9550,2017-06-22,1,PE,,,,,,,,,,,,,,2017
2017-06-22,9750,2017-06-22,0,CE,,,,,,,,,,,,,,2017
2017-06-22,9550,2017-06-22,0,PE,,,,,,,,,,,,,,2017
2017-06-23,9750,2017-06-29,6,CE,9.0,11.25,5.75,2017-06-23 15:29:00,9.7,4.45,3.25,2051.2820512820513,6666.666666666667,0.1475,6364.102564102564,250.0,0.6364102564102565,2017
2017-06-23,9550,2017-06-29,6,PE,23.2,29.0,29.0,2017-06-23 09:46:00,37.2,20.4,-5.800000000000001,2094.240837696335,-12146.596858638744,0.522,-13239.790575916231,250.0,-1.3239790575916233,2017
2017-06-27,9700,2017-06-29,2,CE,11.45,14.3125,2.85,2017-06-27 15:30:00,13.2,1.8,8.6,2061.855670103093,17731.9587628866,0.143,17437.113402061856,250.0,1.7437113402061857,2017
2017-06-27,9500,2017-06-29,2,PE,9.75,12.1875,12.1875,2017-06-27 09:24:00,50.75,9.15,-2.4375,2105.2631578947367,-5131.578947368421,0.21937500000000001,-5593.421052631578,250.0,-0.5593421052631579,2017
2017-06-28,9600,2017-06-29,1,CE,4.9,6.125,6.125,2017-06-28 09:27:00,9.4,2.2,-1.2249999999999996,2083.3333333333335,-2552.0833333333326,0.11025,-2781.7708333333326,250.0,-0.27817708333333324,2017
2017-06-28,9400,2017-06-29,1,PE,9.85,12.3125,4.3,2017-06-28 15:30:00,11.2,4.05,5.55,2127.659574468085,11808.51063829787,0.1415,11507.446808510636,249.99999999999994,1.1507446808510637,2017
2017-06-29,9600,2017-06-29,0,CE,3.7,4.625,4.625,2017-06-29 09:35:00,7.6,0.05,-0.9249999999999998,2083.3333333333335,-1927.083333333333,0.08324999999999999,-2100.520833333333,250.0,-0.2100520833333333,2017
2017-06-29,9450,2017-06-29,0,PE,3.1,3.875,3.875,2017-06-29 13:11:00,6.0,0.05,-0.7749999999999999,2116.4021164021165,-1640.21164021164,0.06974999999999999,-1787.8306878306876,250.0,-0.17878306878306877,2017
2017-06-30,9550,2017-07-06,6,CE,,,,,,,,,,,,,,2017
2017-06-30,9400,2017-07-06,6,PE,,,,,,,,,,,,,,2017
2017-07-03,9700,2017-07-06,3,CE,,,,,,,,,,,,,,2017
2017-07-03,9500,2017-07-06,3,PE,,,,,,,,,,,,,,2017
2017-07-04,9750,2017-07-06,2,CE,,,,,,,,,,,,,,2017
2017-07-04,9550,2017-07-06,2,PE,,,,,,,,,,,,,,2017
2017-07-05,9700,2017-07-06,1,CE,,,,,,,,,,,,,,2017
2017-07-05,9500,2017-07-06,1,PE,,,,,,,,,,,,,,2017
2017-07-06,9750,2017-07-06,0,CE,,,,,,,,,,,,,,2017
