,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
58,finnifty,18950,P,2023-05-02,2023-04-27 13:00:00,SELL,2023-04-27,13:15:00,53.65,111.7,3,2023-05-02 09:15:00,3.0,50.65,0.5665,50.0835,52587.675,Target Hit,1050,5.2587675,2023,4
59,finnifty,18950,C,2023-05-02,2023-04-28 12:30:00,SELL,2023-04-28,12:45:00,124.0,200.15,3,2023-04-28 15:00:00,200.15,-76.15,3.2415,-79.39150000000001,-83361.07500000001,Initial SL Hit,1050,-8.3361075,2023,4
60,finnifty,19150,P,2023-05-09,2023-05-04 12:45:00,SELL,2023-05-04,13:00:00,35.75,133.5,3,2023-05-05 14:45:00,133.5,-97.75,1.6925000000000001,-99.4425,-104414.625,Initial SL Hit,1050,-10.4414625,2023,5
61,finnifty,19150,C,2023-05-09,2023-05-05 12:45:00,SELL,2023-05-05,13:00:00,99.8,363.75,3,2023-05-09 15:00:00,126.2,-26.400000000000006,2.2600000000000002,-28.660000000000007,-30093.000000000007,Expiry Exit,1050,-3.009300000000001,2023,5
62,finnifty,19150,P,2023-05-09,2023-05-08 13:00:00,SELL,2023-05-08,13:15:00,15.25,188.05,3,2023-05-09 09:15:00,3.0,12.25,0.1825,12.0675,12670.875,Target Hit,1050,1.2670875,2023,5
63,finnifty,19300,P,2023-05-16,2023-05-11 12:45:00,SELL,2023-05-11,13:00:00,78.75,224.6,3,2023-05-16 09:15:00,3.0,75.75,0.8175,74.9325,77555.13750000001,Target Hit,1035,7.755513750000001,2023,5
64,finnifty,19300,C,2023-05-16,2023-05-12 13:00:00,SELL,2023-05-12,13:15:00,168.5,199.95,3,2023-05-12 13:30:00,199.95,-31.44999999999999,3.6845,-35.13449999999999,-36364.20749999999,Initial SL Hit,1035,-3.6364207499999988,2023,5
65,finnifty,19300,C,2023-05-16,2023-05-16 13:30:00,SELL,2023-05-16,13:45:00,209.2,311.35,3,2023-05-16 15:00:00,137.2,72.0,3.464,68.536,70934.76,Expiry Exit,1035,7.093476,2023,5
66,finnifty,19450,P,2023-05-23,2023-05-18 13:00:00,SELL,2023-05-18,13:15:00,121.05,278.6,3,2023-05-23 15:00:00,51.3,69.75,1.7235,68.0265,70407.4275,Expiry Exit,1035,7.040742750000001,2023,5
67,finnifty,19450,C,2023-05-23,2023-05-19 11:15:00,SELL,2023-05-19,11:30:00,37.85,126.9,3,2023-05-23 14:45:00,3.0,34.85,0.40850000000000003,34.441500000000005,35646.95250000001,Target Hit,1035,3.564695250000001,2023,5
68,finnifty,19300,C,2023-05-30,2023-05-25 12:45:00,SELL,2023-05-25,13:00:00,50.0,202.35,3,2023-05-29 09:15:00,202.35,-152.35,2.5235,-154.8735,-160294.0725,Initial SL Hit,1035,-16.02940725,2023,5
69,finnifty,19300,P,2023-05-30,2023-05-26 11:45:00,SELL,2023-05-26,12:00:00,92.0,210.05,3,2023-05-30 09:15:00,3.0,89.0,0.9500000000000001,88.05,91131.75,Target Hit,1035,9.113175,2023,5
70,finnifty,19300,C,2023-05-30,2023-05-30 13:00:00,SELL,2023-05-30,13:15:00,221.65,318.45,3,2023-05-30 15:00:00,309.6,-87.95000000000002,5.3125,-93.26250000000002,-96526.68750000001,Expiry Exit,1035,-9.652668750000002,2023,5
71,finnifty,19550,P,2023-06-06,2023-06-01 13:00:00,SELL,2023-06-01,13:15:00,149.65,248.75,3,2023-06-01 15:15:00,248.75,-99.1,3.984,-103.08399999999999,-105145.68,Initial SL Hit,1020,-10.514567999999999,2023,6
72,finnifty,19550,C,2023-06-06,2023-06-01 13:30:00,SELL,2023-06-01,13:45:00,61.8,97.95,3,2023-06-06 09:45:00,3.0,58.8,0.648,58.151999999999994,59315.03999999999,Target Hit,1020,5.931503999999999,2023,6
73,finnifty,19550,P,2023-06-06,2023-06-02 10:15:00,SELL,2023-06-02,10:30:00,208.8,258.65,3,2023-06-06 15:00:00,57.25,151.55,2.6605000000000003,148.8895,151867.29,Expiry Exit,1020,15.186729000000001,2023,6
74,finnifty,19550,P,2023-06-13,2023-06-08 12:45:00,SELL,2023-06-08,13:00:00,84.5,137.0,3,2023-06-08 14:45:00,137.0,-52.5,2.215,-54.715,-55809.3,Initial SL Hit,1020,-5.58093,2023,6
75,finnifty,19550,C,2023-06-13,2023-06-08 15:00:00,SELL,2023-06-08,15:15:00,43.65,137.0,3,2023-06-13 09:15:00,3.0,40.65,0.46649999999999997,40.183499999999995,40987.17,Target Hit,1020,4.098717,2023,6
76,finnifty,19550,P,2023-06-13,2023-06-13 10:15:00,SELL,2023-06-13,10:30:00,89.15,161.55,3,2023-06-13 15:00:00,78.15,11.0,1.673,9.327,9513.539999999999,Expiry Exit,1020,0.9513539999999999,2023,6
77,finnifty,19500,C,2023-06-20,2023-06-15 12:45:00,SELL,2023-06-15,13:00:00,29.8,87.9,3,2023-06-16 14:45:00,87.9,-58.10000000000001,1.177,-59.27700000000001,-60462.54000000001,Initial SL Hit,1020,-6.046254000000001,2023,6
78,finnifty,19500,P,2023-06-20,2023-06-16 14:30:00,SELL,2023-06-16,14:45:00,79.0,283.4,3,2023-06-20 15:00:00,6.85,72.15,0.8584999999999999,71.2915,72717.33,Expiry Exit,1020,7.271732999999999,2023,6
79,finnifty,19500,C,2023-06-20,2023-06-19 13:45:00,SELL,2023-06-19,14:00:00,13.85,94.2,3,2023-06-20 09:15:00,3.0,10.85,0.1685,10.6815,10895.13,Target Hit,1020,1.089513,2023,6
80,finnifty,19600,P,2023-06-27,2023-06-22 13:00:00,SELL,2023-06-22,13:15:00,73.25,138.2,3,2023-06-26 13:45:00,138.2,-64.94999999999999,2.1145,-67.0645,-68405.79,Initial SL Hit,1020,-6.840578999999999,2023,6
81,finnifty,19600,C,2023-06-27,2023-06-23 10:30:00,SELL,2023-06-23,10:45:00,67.65,189.65,3,2023-06-27 15:00:00,189.65,-122.0,2.573,-124.573,-127064.45999999999,Initial SL Hit,1020,-12.706446,2023,6
82,finnifty,19600,P,2023-06-27,2023-06-27 10:45:00,SELL,2023-06-27,11:00:00,50.35,142.15,3,2023-06-27 14:15:00,3.0,47.35,0.5335,46.816500000000005,47752.83,Target Hit,1020,4.775283,2023,6
83,finnifty,19900,P,2023-07-04,2023-06-30 12:45:00,SELL,2023-06-30,13:00:00,35.7,142.85,3,2023-07-04 09:15:00,3.0,32.7,0.387,32.313,32474.565000000002,Target Hit,1005,3.2474565,2023,6
84,finnifty,20350,C,2023-07-11,2023-07-06 12:45:00,SELL,2023-07-06,13:00:00,79.25,153.1,3,2023-07-11 09:30:00,3.0,76.25,0.8225,75.4275,74673.22499999999,Target Hit,990,7.4673225,2023,7
85,finnifty,20350,P,2023-07-11,2023-07-06 13:15:00,SELL,2023-07-06,13:30:00,167.65,231.1,3,2023-07-07 10:45:00,231.1,-63.44999999999999,3.9875000000000003,-67.43749999999999,-66763.12499999999,Initial SL Hit,990,-6.676312499999998,2023,7
86,finnifty,20350,P,2023-07-11,2023-07-11 10:15:00,SELL,2023-07-11,10:30:00,184.6,333.1,3,2023-07-11 14:30:00,333.1,-148.50000000000003,5.1770000000000005,-153.67700000000002,-152140.23,Initial SL Hit,990,-15.214023000000001,2023,7
87,finnifty,20050,P,2023-07-18,2023-07-13 12:45:00,SELL,2023-07-13,13:00:00,64.95,191.6,3,2023-07-18 11:00:00,3.0,61.95,0.6795,61.270500000000006,61576.85250000001,Target Hit,1005,6.157685250000001,2023,7
88,finnifty,20050,C,2023-07-18,2023-07-13 14:45:00,SELL,2023-07-13,15:00:00,86.7,177.5,3,2023-07-17 14:30:00,177.5,-90.8,2.642,-93.442,-93909.20999999999,Initial SL Hit,1005,-9.390920999999999,2023,7
89,finnifty,20300,P,2023-07-25,2023-07-20 12:45:00,SELL,2023-07-20,13:00:00,71.6,158.35,3,2023-07-25 12:30:00,3.0,68.6,0.746,67.854,67175.46,Target Hit,990,6.7175460000000005,2023,7
90,finnifty,20300,C,2023-07-25,2023-07-24 12:15:00,SELL,2023-07-24,12:30:00,225.5,389.0,3,2023-07-25 15:00:00,223.1,2.4000000000000057,4.486000000000001,-2.085999999999995,-2065.139999999995,Expiry Exit,990,-0.20651399999999948,2023,7
91,finnifty,20550,C,2023-08-01,2023-07-27 12:45:00,SELL,2023-07-27,13:00:00,106.9,190.7,3,2023-08-01 10:30:00,3.0,103.9,1.099,102.801,100230.975,Target Hit,975,10.0230975,2023,7
92,finnifty,20550,P,2023-08-01,2023-07-31 12:45:00,SELL,2023-07-31,13:00:00,239.3,340.05,3,2023-08-01 15:00:00,225.1,14.200000000000017,4.644,9.556000000000017,9317.100000000017,Expiry Exit,975,0.9317100000000017,2023,7
93,finnifty,20150,C,2023-08-08,2023-08-03 13:00:00,SELL,2023-08-03,13:15:00,31.35,146.8,3,2023-08-08 14:15:00,3.0,28.35,0.3435,28.006500000000003,27726.435,Target Hit,990,2.7726435,2023,8
94,finnifty,20150,P,2023-08-08,2023-08-07 09:30:00,SELL,2023-08-07,09:45:00,137.45,410.0,3,2023-08-08 15:00:00,67.3,70.14999999999999,2.0475,68.10249999999999,67421.47499999999,Expiry Exit,990,6.7421475,2023,8
95,finnifty,20100,C,2023-08-14,2023-08-10 13:00:00,SELL,2023-08-10,13:15:00,39.2,95.35,3,2023-08-11 14:45:00,3.0,36.2,0.42200000000000004,35.778000000000006,35420.22000000001,Target Hit,990,3.542022000000001,2023,8
96,finnifty,19500,C,2023-08-22,2023-08-17 13:45:00,SELL,2023-08-17,14:00:00,126.7,185.4,3,2023-08-22 15:00:00,55.55,71.15,1.8225,69.3275,70714.05,Expiry Exit,1020,7.071405,2023,8
97,finnifty,19500,P,2023-08-22,2023-08-17 14:00:00,SELL,2023-08-17,14:15:00,70.4,134.95,3,2023-08-22 10:15:00,3.0,67.4,0.7340000000000001,66.66600000000001,67999.32,Target Hit,1020,6.799932,2023,8
98,finnifty,19600,P,2023-08-29,2023-08-24 13:00:00,SELL,2023-08-24,13:15:00,32.4,140.45,3,2023-08-29 09:15:00,3.0,29.4,0.354,29.046,29626.92,Target Hit,1020,2.9626919999999997,2023,8
99,finnifty,19600,C,2023-08-29,2023-08-25 10:15:00,SELL,2023-08-25,10:30:00,74.4,361.2,3,2023-08-29 15:00:00,199.65,-125.25,2.7405000000000004,-127.9905,-130550.31,Expiry Exit,1020,-13.055031,2023,8
100,finnifty,19900,C,2023-09-05,2023-08-31 12:45:00,SELL,2023-08-31,13:00:00,28.2,108.45,3,2023-09-05 09:15:00,3.0,25.2,0.312,24.887999999999998,25012.44,Target Hit,1005,2.5012440000000002,2023,8
101,finnifty,19900,P,2023-09-05,2023-09-01 13:45:00,SELL,2023-09-01,14:00:00,173.0,351.4,3,2023-09-05 15:00:00,148.85,24.150000000000006,3.2185,20.931500000000007,21036.15750000001,Expiry Exit,1005,2.103615750000001,2023,9
102,finnifty,19750,P,2023-09-12,2023-09-07 13:00:00,SELL,2023-09-07,13:15:00,53.85,134.15,3,2023-09-11 09:15:00,3.0,50.85,0.5685,50.2815,51287.130000000005,Target Hit,1020,5.128713,2023,9
103,finnifty,20250,P,2023-09-18,2023-09-14 12:45:00,SELL,2023-09-14,13:00:00,43.55,121.15,3,2023-09-18 09:15:00,3.0,40.55,0.46549999999999997,40.0845,39683.655,Target Hit,990,3.9683655,2023,9
104,finnifty,20250,C,2023-09-18,2023-09-15 09:15:00,SELL,2023-09-15,09:30:00,225.85,260.0,3,2023-09-15 09:45:00,260.0,-34.150000000000006,4.8585,-39.008500000000005,-38618.41500000001,Initial SL Hit,990,-3.861841500000001,2023,9
105,finnifty,20250,C,2023-09-18,2023-09-18 13:15:00,SELL,2023-09-18,13:30:00,188.55,362.95,3,2023-09-18 15:00:00,151.25,37.30000000000001,3.398,33.90200000000001,33562.98000000001,Expiry Exit,990,3.356298000000001,2023,9
106,finnifty,20200,C,2023-09-26,2023-09-21 12:45:00,SELL,2023-09-21,13:00:00,17.4,134.95,3,2023-09-25 09:15:00,3.0,14.399999999999999,0.204,14.195999999999998,14054.039999999997,Target Hit,990,1.4054039999999997,2023,9
107,finnifty,20200,P,2023-09-26,2023-09-26 12:00:00,SELL,2023-09-26,12:15:00,382.9,459.3,3,2023-09-26 15:00:00,400.35,-17.450000000000045,7.8325000000000005,-25.282500000000045,-25029.675000000043,Expiry Exit,990,-2.5029675000000045,2023,9
108,finnifty,19750,P,2023-10-03,2023-09-28 13:15:00,SELL,2023-09-28,13:30:00,103.0,172.0,3,2023-10-03 15:00:00,21.8,81.2,1.248,79.952,81551.04,Expiry Exit,1020,8.155104,2023,9
109,finnifty,19750,C,2023-10-03,2023-09-28 14:45:00,SELL,2023-09-28,15:00:00,72.1,161.5,3,2023-10-03 13:15:00,3.0,69.1,0.751,68.34899999999999,69715.98,Target Hit,1020,6.971597999999999,2023,9
