,Stock Name,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
42,ASHOK LEYLAND,2017-09-01,123.35,2017-10-03,131.85,8.5,10970.927043335161,93252.87986834887,9.325287986834887,6.890960680989055,2017,3
43,ASHOK LEYLAND,2017-10-03,131.85,2017-11-01,118.85,-13.0,10970.927043335161,-142622.0515633571,-14.262205156335709,-9.859689040576413,2017,3
44,ASHOK LEYLAND,2017-11-01,118.85,2017-12-01,119.85,1.0,10970.927043335161,10970.927043335161,1.0970927043335161,0.8413967185527976,2017,3
45,ASHOK LEYLAND,2017-12-01,119.85,2018-01-01,126.3,6.450000000000003,10970.927043335161,70762.47942951182,7.0762479429511815,5.381727158948689,2017,3
46,ASHOK LEYLAND,2018-01-01,126.3,2018-02-01,142.05,15.750000000000014,10970.927043335161,172792.10093252893,17.279210093252896,12.470308788598587,2017,3
47,ASHOK LEYLAND,2018-02-01,142.05,2018-03-01,145.8,3.75,10970.927043335161,41140.976412506854,4.114097641250685,2.6399155227032733,2017,3
48,ASHOK LEYLAND,2018-03-01,145.8,2018-04-02,165.3,19.5,10970.927043335161,213933.07734503565,21.393307734503566,13.37448559670782,2017,3
49,ASHOK LEYLAND,2018-04-02,165.3,2018-05-02,149.0,-16.30000000000001,10970.927043335161,-178826.11080636326,-17.882611080636327,-9.860859044162137,2017,3
50,ASHOK LEYLAND,2018-05-02,149.0,2018-06-01,123.95,-25.049999999999997,10970.927043335161,-274821.72243554576,-27.482172243554576,-16.81208053691275,2017,3
51,ASHOK LEYLAND,2020-08-03,68.2,2020-09-01,74.8,6.599999999999994,14662.756598240469,96774.193548387,9.6774193548387,9.677419354838701,2020,4
52,ASHOK LEYLAND,2020-09-01,74.8,2020-10-01,79.05,4.25,14662.756598240469,62316.71554252199,6.231671554252198,5.6818181818181825,2020,4
53,ASHOK LEYLAND,2020-10-01,79.05,2020-11-02,92.6,13.549999999999997,14662.756598240469,198680.35190615832,19.86803519061583,17.141049968374446,2020,4
54,ASHOK LEYLAND,2020-11-02,92.6,2020-12-01,95.95,3.3500000000000085,14662.756598240469,49120.234604105695,4.91202346041057,3.6177105831533574,2020,4
55,ASHOK LEYLAND,2020-12-01,95.95,2021-01-01,110.85,14.899999999999991,14662.756598240469,218475.07331378286,21.847507331378285,15.528921313183941,2020,4
56,ASHOK LEYLAND,2021-01-01,110.85,2021-02-01,129.25,18.400000000000006,14662.756598240469,269794.7214076247,26.97947214076247,16.59900766801985,2020,4
57,ASHOK LEYLAND,2021-02-01,129.25,2021-03-01,114.3,-14.950000000000003,14662.756598240469,-219208.21114369505,-21.920821114369502,-11.566731141199229,2020,4
58,ASHOK LEYLAND,2021-03-01,114.3,2021-04-01,112.95,-1.3499999999999943,14662.756598240469,-19794.72140762455,-1.979472140762455,-1.1811023622047196,2020,4
59,ASHOK LEYLAND,2021-04-01,112.95,2021-05-03,124.2,11.25,14662.756598240469,164956.01173020527,16.49560117302053,9.9601593625498,2020,4
60,ASHOK LEYLAND,2021-05-03,124.2,2021-06-01,123.4,-0.7999999999999972,14662.756598240469,-11730.205278592333,-1.1730205278592334,-0.6441223832528157,2020,4
61,ASHOK LEYLAND,2021-06-01,123.4,2021-07-01,133.25,9.849999999999994,14662.756598240469,144428.15249266854,14.442815249266856,7.982171799027547,2020,4
62,ASHOK LEYLAND,2021-07-01,133.25,2021-08-02,122.95,-10.299999999999997,14662.756598240469,-151026.3929618768,-15.102639296187679,-7.729831144465289,2020,4
63,ASHOK LEYLAND,2021-08-02,122.95,2021-09-01,134.55,11.600000000000009,14662.756598240469,170087.97653958955,17.008797653958954,9.434729564863773,2020,4
64,ASHOK LEYLAND,2021-09-01,134.55,2021-10-01,142.8,8.25,14662.756598240469,120967.74193548386,12.096774193548386,6.131549609810478,2020,4
65,ASHOK LEYLAND,2021-10-01,142.8,2021-11-01,119.8,-23.000000000000014,14662.756598240469,-337243.401759531,-33.7243401759531,-16.106442577030823,2020,4
66,ASHOK LEYLAND,2021-11-01,119.8,2021-12-01,123.25,3.450000000000003,14662.756598240469,50586.51026392966,5.058651026392965,2.879799666110186,2020,4
67,ASHOK LEYLAND,2021-12-01,123.25,2022-01-03,133.15,9.900000000000006,14662.756598240469,145161.29032258072,14.516129032258071,8.032454361054771,2020,4
68,ASHOK LEYLAND,2022-01-03,133.15,2022-02-01,119.05,-14.100000000000009,14662.756598240469,-206744.86803519074,-20.674486803519073,-10.589560645888103,2020,4
