,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
12,JINDALSTEL,LONG,2018-02-01,255.65,2018-03-01,220.15,-35.5,7945.967421533572,-282081.8434644418,-28.208184346444177,-13.886172501466849,2017,1L
55,JINDALSTEL,SHORT,2018-03-01,220.15,2018-04-02,253.6,-33.44999999999999,4542.357483533954,-151941.85782421072,-15.194185782421071,15.194185782421071,2018,2S
56,JINDALSTEL,SHORT,2018-04-02,253.6,2018-05-02,230.45,23.150000000000006,4542.357483533954,105155.57574381106,10.515557574381106,-9.128548895899057,2018,2S
57,JINDALSTEL,SHORT,2018-05-02,230.45,2018-06-01,223.9,6.549999999999983,4542.357483533954,29752.441517147323,2.9752441517147323,-2.8422651334345774,2018,2S
58,JINDALSTEL,SHORT,2018-06-01,223.9,2018-07-02,205.9,18.0,4542.357483533954,81762.43470361117,8.176243470361118,-8.039303260384099,2018,2S
59,JINDALSTEL,SHORT,2018-07-02,205.9,2018-08-01,222.25,-16.349999999999994,4542.357483533954,-74267.54485578013,-7.426754485578013,7.940747935891207,2018,2S
60,JINDALSTEL,SHORT,2018-08-01,222.25,2018-09-03,196.2,26.05000000000001,4542.357483533954,118328.41244605956,11.832841244605955,-11.721034870641175,2018,2S
61,JINDALSTEL,SHORT,2018-09-03,196.2,2018-10-01,172.2,24.0,4542.357483533954,109016.5796048149,10.90165796048149,-12.232415902140675,2018,2S
62,JINDALSTEL,SHORT,2018-10-01,172.2,2018-11-01,154.35,17.849999999999994,4542.357483533954,81081.08108108105,8.108108108108105,-10.365853658536581,2018,2S
63,JINDALSTEL,SHORT,2018-11-01,154.35,2018-12-03,165.7,-11.349999999999994,4542.357483533954,-51555.757438110355,-5.155575743811036,7.353417557499187,2018,2S
64,JINDALSTEL,SHORT,2018-12-03,165.7,2019-01-01,135.75,29.94999999999999,4542.357483533954,136043.60663184186,13.604360663184186,-18.074834037417013,2018,2S
65,JINDALSTEL,SHORT,2019-01-01,135.75,2019-02-01,157.85,-22.099999999999994,4542.357483533954,-100386.10038610036,-10.038610038610035,16.27992633517495,2018,2S
