,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
24,SRF,LONG,2018-11-01,432.94,2018-12-03,401.79,-31.149999999999977,2451.4610707981956,-76363.01235536374,-7.636301235536373,-7.194992377696674,2018,3L
25,SRF,LONG,2018-12-03,401.79,2019-01-01,403.95,2.159999999999968,2451.4610707981956,5295.155912924024,0.5295155912924023,0.5375942656611583,2018,3L
26,SRF,LONG,2019-01-01,403.95,2019-02-01,460.5,56.55000000000001,2451.4610707981956,138630.123553638,13.863012355363798,13.999257333828446,2018,3L
27,SRF,LONG,2019-02-01,460.5,2019-03-01,482.81,22.310000000000002,2451.4610707981956,54692.09648950775,5.469209648950775,4.844733984799133,2018,3L
28,SRF,LONG,2019-03-01,482.81,2019-04-01,515.22,32.410000000000025,2451.4610707981956,79451.85330456958,7.945185330456958,6.712785567821715,2018,3L
29,SRF,LONG,2019-04-01,515.22,2019-05-02,571.87,56.64999999999998,2451.4610707981956,138875.26966071772,13.887526966071773,10.995302977368885,2018,3L
30,SRF,LONG,2019-05-02,571.87,2019-06-03,611.1,39.23000000000002,2451.4610707981956,96170.81780741326,9.617081780741325,6.859950688093451,2018,3L
31,SRF,LONG,2019-06-03,611.1,2019-07-01,541.24,-69.86000000000001,2451.4610707981956,-171259.07040596197,-17.125907040596196,-11.431844215349372,2018,3L
32,SRF,LONG,2019-07-01,541.24,2019-08-01,556.97,15.730000000000018,2451.4610707981956,38561.48264365566,3.8561482643655665,2.9062892616953695,2018,3L
33,SRF,LONG,2019-08-01,556.97,2019-09-03,554.81,-2.160000000000082,2451.4610707981956,-5295.155912924303,-0.5295155912924303,-0.3878126290464624,2018,3L
34,SRF,LONG,2019-09-03,554.81,2019-10-01,575.75,20.940000000000055,2451.4610707981956,51333.59482251435,5.133359482251435,3.7742650637155166,2018,3L
35,SRF,LONG,2019-10-01,575.75,2019-11-01,642.74,66.99000000000001,2451.4610707981956,164223.37713277116,16.422337713277116,11.635258358662616,2018,3L
36,SRF,LONG,2019-11-01,642.74,2019-12-02,688.63,45.889999999999986,2451.4610707981956,112497.54853892916,11.249754853892915,7.139745464729126,2018,3L
37,SRF,LONG,2019-12-02,688.63,2020-01-01,753.84,65.21000000000004,2451.4610707981956,159859.7764267504,15.985977642675042,9.46952645106952,2018,3L
38,SRF,LONG,2020-01-01,753.84,2020-02-01,776.53,22.68999999999994,2451.4610707981956,55623.65169641091,5.562365169641091,3.009922529979829,2018,3L
39,SRF,LONG,2020-02-01,776.53,2020-03-02,558.94,-217.58999999999992,2451.4610707981956,-533413.4143949791,-53.34134143949791,-28.02081052889134,2018,3L
74,SRF,SHORT,2020-03-02,558.94,2020-04-01,745.07,186.13,1789.1007979389558,333005.33152037783,33.30053315203778,33.30053315203778,2020,4S
75,SRF,SHORT,2020-04-01,745.07,2020-05-04,696.43,-48.6400000000001,1789.1007979389558,-87021.862811751,-8.702186281175099,-6.528245668192263,2020,4S
76,SRF,SHORT,2020-05-04,696.43,2020-06-01,719.58,23.15000000000009,1789.1007979389558,41417.68347228699,4.141768347228699,3.324095745444638,2020,4S
77,SRF,SHORT,2020-06-01,719.58,2020-07-01,759.8,40.219999999999914,1789.1007979389558,71957.63409310464,7.195763409310464,5.589371577864853,2020,4S
40,SRF,LONG,2020-07-01,759.8,2020-08-03,815.21,55.41000000000008,1316.1358252171624,72927.08607528308,7.292708607528307,7.292708607528309,2020,4L
41,SRF,LONG,2020-08-03,815.21,2020-09-01,828.98,13.769999999999982,1316.1358252171624,18123.190313240302,1.8123190313240303,1.689135314826852,2020,4L
