,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
30,2013-08-12 09:15:00,BAJFINANCE,2013-08-12,10:15:00,110.9,2013-08-16,11:15:00,115.115,4.214999999999989,3.9889849999999893,9017.132551848512,35969.20649233534,3.5969206492335335,2013,8
31,2013-09-05 11:15:00,BAJFINANCE,2013-09-05,12:15:00,102.525,2013-09-12,15:15:00,112.0,9.474999999999994,9.260474999999994,9753.718605218239,90324.06730065831,9.032406730065832,2013,9
32,2013-09-17 13:15:00,BAJFINANCE,2013-09-17,14:15:00,118.1,2013-09-24,09:15:00,119.31,1.210000000000008,0.972590000000008,8467.400508044031,8235.309060118612,0.8235309060118613,2013,9
33,2013-10-03 12:15:00,BAJFINANCE,2013-10-03,14:15:00,119.2,2013-10-10,14:15:00,125.8,6.599999999999994,6.354999999999994,8389.261744966443,53313.7583892617,5.33137583892617,2013,10
34,2013-10-14 15:15:00,BAJFINANCE,2013-10-15,09:15:00,129.9,2013-10-15,10:15:00,126.3,-3.6000000000000085,-3.8562000000000083,7698.229407236336,-29685.91224018482,-2.968591224018482,2013,10
35,2013-10-23 15:15:00,BAJFINANCE,2013-10-24,09:15:00,128.6,2013-10-29,09:15:00,126.25,-2.3499999999999943,-2.6048499999999946,7776.049766718507,-20255.44323483666,-2.025544323483666,2013,10
36,2013-10-30 13:15:00,BAJFINANCE,2013-10-30,14:15:00,131.995,2013-11-21,14:15:00,139.07,7.074999999999989,6.8039349999999885,7576.044547141937,51546.91465585809,5.154691465585809,2013,10
37,2013-11-29 14:15:00,BAJFINANCE,2013-11-29,15:15:00,141.4,2013-12-12,11:15:00,146.995,5.594999999999999,5.3066049999999985,7072.135785007072,37529.03111739744,3.7529031117397444,2013,11
38,2013-12-23 09:15:00,BAJFINANCE,2013-12-23,10:15:00,153.3,2013-12-26,11:15:00,151.6,-1.700000000000017,-2.004900000000017,6523.1572080887145,-13078.277886497175,-1.3078277886497176,2013,12
39,2013-12-30 14:15:00,BAJFINANCE,2013-12-30,15:15:00,156.595,2014-01-15,10:15:00,154.62,-1.9749999999999943,-2.286214999999994,6385.899932948051,-14599.540215204792,-1.4599540215204794,2013,12
