,Total ROI,Total Trades,Win Rate,Avg Profit% per Trade,Avg Loss% per Trade,Max Drawdown,ROI/DD Ratio
"(2012, 7)",-0.7355800432919442,9,44.44444444444444,0.43161515994256605,-0.49240813661244165,-1.1125254523574224,-0.6611804177003435
"(2012, 8)",2.2115363664856162,9,77.77777777777779,0.34368235495743116,-0.0971200591082009,-0.050325744821023345,43.94443389463274
"(2012, 9)",5.243440638623706,9,88.88888888888889,0.7004138134193562,-0.3598698687311437,-0.3598698687311437,14.570379723958062
"(2012, 10)",-1.475778199449063,7,14.285714285714285,0.02170138888888868,-0.24957993138965862,-1.4411785925812837,-1.0240078551304377
"(2012, 11)",6.841157227868975,7,71.42857142857143,1.403131971052464,-0.0872513136966723,-0.1363370177878629,50.178281283177625
"(2012, 12)",0.38867290772504925,7,57.14285714285714,0.33908363213277204,-0.322553873602013,-0.20616319444444497,1.8852681671547604
"(2013, 1)",-1.1018743643518214,7,42.857142857142854,0.1556137856315821,-0.3921789303116419,-0.6230010660980806,-1.7686556641916735
"(2013, 2)",-3.069550072835832,7,14.285714285714285,0.32850997683527206,-0.5663433416118506,-3.085695860188271,-0.9947675376692977
"(2013, 3)",0.6235507719098959,7,57.14285714285714,0.39062792627069376,-0.312986977724293,-0.6329571759259257,0.9851389566722748
"(2013, 4)",4.26281504268534,7,71.42857142857143,0.8827582115561368,-0.0754880075476715,-0.15097601509534303,28.235048063716118
"(2013, 5)",2.8705755348729434,7,57.14285714285714,0.8634231838186195,-0.1943724001338447,-0.36313965884861427,7.90488029860057
"(2013, 6)",-2.4589082919910448,7,42.857142857142854,0.1662953556924143,-0.739448589767072,-2.62575424248157,-0.9364578954910718
"(2013, 7)",-0.9571729790934995,7,42.857142857142854,0.7774568199878679,-0.8223858597642758,-2.2744004890548526,-0.42084627738154473
"(2013, 8)",-3.3735616576317176,7,14.285714285714285,0.07605388961321198,-0.5749359245408215,-2.619590498858568,-1.2878202372094711
"(2013, 9)",5.3359313472123295,7,100.0,0.7622759067446185,,0.0,inf
"(2013, 10)",2.9157287815268114,7,100.0,0.41653268307525876,,0.0,inf
"(2013, 11)",0.2671876567543038,7,57.14285714285714,0.29054983912156246,-0.29833723324398204,-0.6437418513689698,0.415054040973268
"(2013, 12)",1.9585417714957152,7,71.42857142857143,0.42832668746461433,-0.09154583291367813,-0.11405759908753987,17.171514981588583
"(2014, 1)",-5.973601536093873,7,14.285714285714285,0.019013472403302607,-0.9987691680828625,-5.992615008497175,-0.9968271827280173
"(2014, 2)",1.9791473112918228,7,71.42857142857143,0.5649540247175363,-0.4228114061479296,-0.8456228122958591,2.3404611163675373
"(2014, 3)",8.113954627178103,7,100.0,1.1591363753111577,,0.0,inf
"(2014, 4)",-0.6178967629090418,7,42.857142857142854,0.36456875795785804,-0.42790075919565396,-0.7900822199383346,-0.7820664069079649
"(2014, 5)",8.86070045981518,7,85.71428571428571,1.5020431928975047,-0.1515586975698498,-0.15155869756984952,58.46382030125001
