,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Initial SL,Initial Target,Exit Date,Exit Time,Exit Price,Remark,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
29,2013-11-06 15:15:00,PERSISTENT,2013-11-07,09:15:00,202.625,194.51999999999998,226.94000000000003,2013-11-13,13:15:00,201.3125,SuperTrend Reversed,-1.3125,-1.7164375,4935.225169648365,-8471.005552128316,-0.8471005552128316,2013,11
30,2013-11-21 09:15:00,PERSISTENT,2013-11-21,10:15:00,208.475,200.136,233.49200000000002,2013-11-27,09:15:00,217.625,SuperTrend Reversed,9.150000000000006,8.723900000000006,4796.738218011752,41846.26454011275,4.184626454011275,2013,11
31,2013-12-10 12:15:00,PERSISTENT,2013-12-10,13:15:00,218.7375,209.988,244.98600000000005,2013-12-17,14:15:00,225.5,SuperTrend Reversed,6.762499999999989,6.318262499999989,4571.689810846334,28885.136293502434,2.888513629350243,2013,12
32,2013-12-19 11:15:00,PERSISTENT,2013-12-19,12:15:00,234.9625,225.564,263.158,2013-12-23,09:15:00,263.158,Target Hit,28.19550000000001,27.69737950000001,4255.99829760068,117880.00000000003,11.788000000000002,2013,12
33,2013-12-23 12:15:00,PERSISTENT,2013-12-23,13:15:00,249.15,239.184,279.04800000000006,2013-12-31,12:15:00,244.125,SuperTrend Reversed,-5.025000000000006,-5.518275000000005,4013.646397752358,-22148.404575556917,-2.2148404575556917,2013,12
34,2014-01-06 14:15:00,PERSISTENT,2014-01-07,09:15:00,247.5,237.6,277.20000000000005,2014-01-17,09:15:00,247.9625,SuperTrend Reversed,0.4625000000000057,-0.03296249999999429,4040.40404040404,-133.1818181817951,-0.013318181818179512,2014,1
35,2014-02-07 12:15:00,PERSISTENT,2014-02-10,09:15:00,239.5,229.92,268.24,2014-02-14,12:15:00,247.0875,SuperTrend Reversed,7.587500000000006,7.100912500000006,4175.365344467641,29648.903966597103,2.96489039665971,2014,2
36,2014-02-19 15:15:00,PERSISTENT,2014-02-20,09:15:00,253.8125,243.66,284.27000000000004,2014-02-24,15:15:00,284.27000000000004,Target Hit,30.45750000000004,29.919417500000037,3939.9162767791186,117880.00000000015,11.788000000000014,2014,2
37,2014-02-25 10:15:00,PERSISTENT,2014-02-25,11:15:00,286.5,275.03999999999996,320.88000000000005,2014-03-07,14:15:00,281.875,SuperTrend Reversed,-4.625,-5.193375,3490.4013961605583,-18126.96335078534,-1.8126963350785341,2014,2
38,2014-03-21 10:15:00,PERSISTENT,2014-03-21,11:15:00,268.125,257.4,300.3,2014-03-27,15:15:00,262.9,SuperTrend Reversed,-5.225000000000023,-5.756025000000022,3729.60372960373,-21467.692307692392,-2.146769230769239,2014,3
39,2014-04-02 12:15:00,PERSISTENT,2014-04-02,13:15:00,268.7875,258.036,301.04200000000003,2014-04-07,10:15:00,265.975,SuperTrend Reversed,-2.8125,-3.3472625000000003,3720.4111054271493,-12453.192577779844,-1.2453192577779846,2014,4
40,2014-04-15 13:15:00,PERSISTENT,2014-04-15,14:15:00,268.2375,257.508,300.42600000000004,2014-04-28,09:15:00,257.4125,SuperTrend Reversed,-10.824999999999989,-11.35064999999999,3728.0395172188823,-42315.67174612047,-4.231567174612047,2014,4
