,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
40,PIDILITE IND,LONG,2020-01-01,1518.25,2020-02-01,1510.6,-7.650000000000091,859.3649293172344,-6574.141709276922,-0.6574141709276922,-0.5038695866952143,2018,3L
41,PIDILITE IND,LONG,2020-02-01,1510.6,2020-03-02,1354.85,-155.75,859.3649293172344,-133846.08774115925,-13.384608774115925,-10.310472659870252,2018,3L
72,PIDILITE IND,SHORT,2020-03-02,1354.85,2020-04-01,1528.65,173.80000000000018,738.0890873528435,128279.88338192434,12.827988338192434,12.827988338192434,2020,4S
73,PIDILITE IND,SHORT,2020-04-01,1528.65,2020-05-04,1451.95,-76.70000000000005,738.0890873528435,-56611.43299996313,-5.661143299996313,-5.017499100513527,2020,4S
74,PIDILITE IND,SHORT,2020-05-04,1451.95,2020-06-01,1369.95,-82.0,738.0890873528435,-60523.30516293317,-6.052330516293317,-5.647577395915837,2020,4S
75,PIDILITE IND,SHORT,2020-06-01,1369.95,2020-07-01,1360.75,-9.200000000000045,738.0890873528435,-6790.419603646194,-0.6790419603646194,-0.6715573561078905,2020,4S
76,PIDILITE IND,SHORT,2020-07-01,1360.75,2020-08-03,1409.35,48.59999999999991,738.0890873528435,35871.129645348126,3.5871129645348123,3.5715598015800043,2020,4S
77,PIDILITE IND,SHORT,2020-08-03,1409.35,2020-09-01,1436.85,27.5,738.0890873528435,20297.449902203196,2.0297449902203195,1.9512541242416717,2020,4S
78,PIDILITE IND,SHORT,2020-09-01,1436.85,2020-10-01,1572.25,135.4000000000001,738.0890873528435,99937.26242757509,9.993726242757509,9.42339144656715,2020,4S
79,PIDILITE IND,SHORT,2020-10-01,1572.25,2020-11-02,1543.7,-28.549999999999955,738.0890873528435,-21072.44344392365,-2.107244344392365,-1.8158689775798986,2020,4S
80,PIDILITE IND,SHORT,2020-11-02,1543.7,2020-12-01,1771.7,228.0,738.0890873528435,168284.31191644832,16.82843119164483,14.769709140377016,2020,4S
42,PIDILITE IND,LONG,2020-12-01,1771.7,2021-01-01,1674.9,-96.79999999999995,564.4296438448947,-54636.789524185784,-5.4636789524185785,-5.4636789524185785,2020,4L
43,PIDILITE IND,LONG,2021-01-01,1674.9,2021-02-01,1690.35,15.449999999999818,564.4296438448947,8720.43799740352,0.8720437997403521,0.9224431309331791,2020,4L
44,PIDILITE IND,LONG,2021-02-01,1690.35,2021-03-01,1822.25,131.9000000000001,564.4296438448947,74448.27002314167,7.444827002314167,7.803117697518271,2020,4L
45,PIDILITE IND,LONG,2021-03-01,1822.25,2021-04-01,1826.3,4.0499999999999545,564.4296438448947,2285.9400575717978,0.22859400575717978,0.22225270956235174,2020,4L
46,PIDILITE IND,LONG,2021-04-01,1826.3,2021-05-03,2101.1,274.79999999999995,564.4296438448947,155105.26612857703,15.510526612857703,15.046815966708643,2020,4L
47,PIDILITE IND,LONG,2021-05-03,2101.1,2021-06-01,2163.35,62.25,564.4296438448947,35135.745329344696,3.513574532934469,2.962733806101566,2020,4L
48,PIDILITE IND,LONG,2021-06-01,2163.35,2021-07-01,2289.4,126.05000000000018,564.4296438448947,71146.35660664907,7.1146356606649075,5.826611505304282,2020,4L
49,PIDILITE IND,LONG,2021-07-01,2289.4,2021-08-02,2286.95,-2.450000000000273,564.4296438448947,-1382.852627420146,-0.1382852627420146,-0.10701493841182286,2020,4L
50,PIDILITE IND,LONG,2021-08-02,2286.95,2021-09-01,2387.05,100.10000000000036,564.4296438448947,56499.40734887416,5.649940734887416,4.377008679682563,2020,4L
51,PIDILITE IND,LONG,2021-09-01,2387.05,2021-10-01,2324.05,-63.0,564.4296438448947,-35559.06756222837,-3.5559067562228366,-2.6392409040447413,2020,4L
