,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
109,SIEMENS,SHORT,2012-12-03,667.9,2013-01-01,660.2,-7.699999999999932,1464.0216675206793,-11272.966839909132,-1.127296683990913,-1.152867195687967,2012,3S
110,SIEMENS,SHORT,2013-01-01,660.2,2013-02-01,508.85,-151.35000000000002,1464.0216675206793,-221579.67937925484,-22.157967937925484,-22.92487125113602,2012,3S
111,SIEMENS,SHORT,2013-02-01,508.85,2013-03-01,551.3,42.44999999999993,1464.0216675206793,62147.71978625274,6.214771978625274,8.34234057187775,2012,3S
112,SIEMENS,SHORT,2013-03-01,551.3,2013-04-01,549.0,-2.2999999999999545,1464.0216675206793,-3367.249835297496,-0.33672498352974956,-0.4171957192091338,2012,3S
113,SIEMENS,SHORT,2013-04-01,549.0,2013-05-02,595.55,46.549999999999955,1464.0216675206793,68150.20862308756,6.815020862308756,8.47905282331511,2012,3S
114,SIEMENS,SHORT,2013-05-02,595.55,2013-06-03,559.25,-36.299999999999955,1464.0216675206793,-53143.98653100059,-5.314398653100059,-6.095206111997306,2012,3S
115,SIEMENS,SHORT,2013-06-03,559.25,2013-07-01,515.4,-43.85000000000002,1464.0216675206793,-64197.35012078182,-6.419735012078181,-7.840858292355837,2012,3S
116,SIEMENS,SHORT,2013-07-01,515.4,2013-08-01,433.0,-82.39999999999998,1464.0216675206793,-120635.38540370394,-12.063538540370395,-15.987582460225063,2012,3S
117,SIEMENS,SHORT,2013-08-01,433.0,2013-09-02,481.3,48.30000000000001,1464.0216675206793,70712.24654124882,7.071224654124883,11.154734411085453,2012,3S
118,SIEMENS,SHORT,2013-09-02,481.3,2013-10-01,583.8,102.49999999999994,1464.0216675206793,150062.22092086956,15.006222092086954,21.29648867650113,2012,3S
10,SIEMENS,LONG,2013-10-01,583.8,2013-11-01,622.15,38.35000000000002,1712.9153819801304,65690.30489893803,6.569030489893804,6.569030489893804,2013,3L
11,SIEMENS,LONG,2013-11-01,622.15,2013-12-02,665.0,42.85000000000002,1712.9153819801304,73398.42411784863,7.339842411784862,6.887406573977341,2013,3L
12,SIEMENS,LONG,2013-12-02,665.0,2014-01-01,555.35,-109.64999999999998,1712.9153819801304,-187821.17163412127,-18.782117163412128,-16.488721804511275,2013,3L
13,SIEMENS,LONG,2014-01-01,555.35,2014-02-03,621.95,66.60000000000002,1712.9153819801304,114080.16443987672,11.408016443987673,11.992437201764657,2013,3L
14,SIEMENS,LONG,2014-02-03,621.95,2014-03-03,771.8,149.8499999999999,1712.9153819801304,256680.36998972239,25.668036998972237,24.093576654071853,2013,3L
15,SIEMENS,LONG,2014-03-03,771.8,2014-04-01,698.0,-73.79999999999995,1712.9153819801304,-126413.15519013355,-12.641315519013355,-9.562062710546769,2013,3L
16,SIEMENS,LONG,2014-04-01,698.0,2014-05-02,872.8,174.79999999999995,1712.9153819801304,299417.6087701267,29.94176087701267,25.042979942693407,2013,3L
17,SIEMENS,LONG,2014-05-02,872.8,2014-06-02,965.55,92.75,1712.9153819801304,158872.9016786571,15.88729016786571,10.626718606782768,2013,3L
18,SIEMENS,LONG,2014-06-02,965.55,2014-07-01,883.4,-82.14999999999998,1712.9153819801304,-140715.99862966768,-14.07159986296677,-8.508104189322147,2013,3L
19,SIEMENS,LONG,2014-07-01,883.4,2014-08-01,797.3,-86.10000000000002,1712.9153819801304,-147482.01438848928,-14.748201438848927,-9.746434231378768,2013,3L
20,SIEMENS,LONG,2014-08-01,797.3,2014-09-01,830.7,33.40000000000009,1712.9153819801304,57211.37375813651,5.721137375813652,4.189138341903938,2013,3L
21,SIEMENS,LONG,2014-09-01,830.7,2014-10-01,877.7,47.0,1712.9153819801304,80507.02295306613,8.050702295306614,5.657878897315516,2013,3L
22,SIEMENS,LONG,2014-10-01,877.7,2014-11-03,911.55,33.84999999999991,1712.9153819801304,57982.18568002726,5.798218568002725,3.8566708442520117,2013,3L
23,SIEMENS,LONG,2014-11-03,911.55,2014-12-01,905.1,-6.449999999999932,1712.9153819801304,-11048.304213771724,-1.1048304213771725,-0.7075859799242973,2013,3L
24,SIEMENS,LONG,2014-12-01,905.1,2015-01-01,1047.3,142.19999999999993,1712.9153819801304,243576.56731757443,24.357656731757444,15.71097116340735,2013,3L
25,SIEMENS,LONG,2015-01-01,1047.3,2015-02-02,1341.25,293.95000000000005,1712.9153819801304,503511.47653305944,50.35114765330594,28.06741143893823,2013,3L
26,SIEMENS,LONG,2015-02-02,1341.25,2015-03-02,1408.1,66.84999999999991,1712.9153819801304,114508.39328537157,11.450839328537157,4.98415657036346,2013,3L
27,SIEMENS,LONG,2015-03-02,1408.1,2015-04-01,1369.2,-38.899999999999864,1712.9153819801304,-66632.40835902684,-6.663240835902684,-2.7625878843832017,2013,3L
28,SIEMENS,LONG,2015-04-01,1369.2,2015-05-04,1377.95,8.75,1712.9153819801304,14988.009592326142,1.4988009592326141,0.6390593047034765,2013,3L
29,SIEMENS,LONG,2015-05-04,1377.95,2015-06-01,1356.25,-21.700000000000045,1712.9153819801304,-37170.26378896891,-3.7170263788968905,-1.5748031496063024,2013,3L
30,SIEMENS,LONG,2015-06-01,1356.25,2015-07-01,1463.15,106.90000000000009,1712.9153819801304,183110.6543336761,18.31106543336761,7.882027649769592,2013,3L
31,SIEMENS,LONG,2015-07-01,1463.15,2015-08-03,1271.8,-191.35000000000014,1712.9153819801304,-327766.3583418982,-32.77663583418982,-13.077948262310777,2013,3L
32,SIEMENS,LONG,2015-08-03,1271.8,2015-09-01,1330.9,59.100000000000136,1712.9153819801304,101233.29907502593,10.123329907502592,4.646957068721508,2013,3L
33,SIEMENS,LONG,2015-09-01,1330.9,2015-10-01,1329.2,-1.7000000000000455,1712.9153819801304,-2911.9561493662995,-0.29119561493662993,-0.12773311293110265,2013,3L
34,SIEMENS,LONG,2015-10-01,1329.2,2015-11-02,1247.1,-82.10000000000014,1712.9153819801304,-140630.35286056894,-14.063035286056893,-6.176647607583519,2013,3L
119,SIEMENS,SHORT,2015-11-02,1247.1,2015-12-01,1197.05,-50.049999999999955,801.8603159329646,-40133.10881244484,-4.013310881244484,-4.013310881244484,2015,4S
120,SIEMENS,SHORT,2015-12-01,1197.05,2016-01-01,1026.05,-171.0,801.8603159329646,-137118.11402453695,-13.711811402453694,-14.28511758071927,2015,4S
121,SIEMENS,SHORT,2016-01-01,1026.05,2016-02-01,994.1,-31.949999999999932,801.8603159329646,-25619.437094058165,-2.5619437094058166,-3.11388333901856,2015,4S
122,SIEMENS,SHORT,2016-02-01,994.1,2016-03-01,1104.55,110.44999999999993,801.8603159329646,88565.47189479588,8.856547189479587,11.110552258324105,2015,4S
123,SIEMENS,SHORT,2016-03-01,1104.55,2016-04-01,1146.0,41.450000000000045,801.8603159329646,33237.11009542142,3.323711009542142,3.752659454076325,2015,4S
124,SIEMENS,SHORT,2016-04-01,1146.0,2016-05-02,1213.55,67.54999999999995,801.8603159329646,54165.66434127172,5.416566434127171,5.894415357766139,2015,4S
35,SIEMENS,LONG,2016-05-02,1213.55,2016-06-01,1316.2,102.65000000000009,824.0286761979318,84586.54361171777,8.458654361171778,8.458654361171776,2016,4L
36,SIEMENS,LONG,2016-06-01,1316.2,2016-07-01,1312.7,-3.5,824.0286761979318,-2884.1003666927613,-0.2884100366692761,-0.26591703388542776,2016,4L
37,SIEMENS,LONG,2016-07-01,1312.7,2016-08-01,1274.95,-37.75,824.0286761979318,-31107.082526471924,-3.1107082526471923,-2.8757522663213226,2016,4L
38,SIEMENS,LONG,2016-08-01,1274.95,2016-09-01,1247.65,-27.299999999999955,824.0286761979318,-22495.9828602035,-2.24959828602035,-2.1412604415859406,2016,4L
39,SIEMENS,LONG,2016-09-01,1247.65,2016-10-03,1191.9,-55.75,824.0286761979318,-45939.59869803469,-4.593959869803469,-4.468400593115056,2016,4L
40,SIEMENS,LONG,2016-10-03,1191.9,2016-11-01,1093.65,-98.25,824.0286761979318,-80960.8174364468,-8.09608174364468,-8.243141203121066,2016,4L
125,SIEMENS,SHORT,2016-11-01,1093.65,2016-12-01,1109.3,15.649999999999864,914.3693137658299,14309.879760435113,1.4309879760435114,1.4309879760435114,2016,5S
126,SIEMENS,SHORT,2016-12-01,1109.3,2017-01-02,1152.55,43.25,914.3693137658299,39546.472820372146,3.9546472820372145,3.898855133868205,2016,5S
127,SIEMENS,SHORT,2017-01-02,1152.55,2017-02-01,1212.05,59.5,914.3693137658299,54404.97416906688,5.440497416906688,5.162465836623141,2016,5S
128,SIEMENS,SHORT,2017-02-01,1212.05,2017-03-01,1260.95,48.90000000000009,914.3693137658299,44712.65944314917,4.471265944314917,4.034487026112791,2016,5S
41,SIEMENS,LONG,2017-03-01,1260.95,2017-04-03,1321.2,60.25,793.0528569729172,47781.434632618264,4.778143463261826,4.778143463261826,2017,5L
42,SIEMENS,LONG,2017-04-03,1321.2,2017-05-02,1376.05,54.84999999999991,793.0528569729172,43498.94920496444,4.349894920496443,4.151528913109288,2017,5L
43,SIEMENS,LONG,2017-05-02,1376.05,2017-06-01,1338.8,-37.25,793.0528569729172,-29541.218922241165,-2.9541218922241166,-2.7070237273354896,2017,5L
44,SIEMENS,LONG,2017-06-01,1338.8,2017-07-03,1457.0,118.20000000000005,793.0528569729172,93738.84769419885,9.373884769419885,8.828801912160147,2017,5L
45,SIEMENS,LONG,2017-07-03,1457.0,2017-08-01,1291.95,-165.04999999999995,793.0528569729172,-130893.37404337995,-13.089337404337995,-11.328071379547012,2017,5L
