Month,Month High,Month Low,Monthly Range,Current Month Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2019-08-31,28818.65,26563.1,2255.550000000003,27239.2,35%,28028.6425,26449.7575,high,26400,2019-09-26,14,BANKNIFTY19SEP26400PE,PE,2019-09-12 09:49:00,39.8,2019-09-26 15:30:00,0.1,Expiry Closing,39.699999999999996,0.399,39.300999999999995,265.1515151515151,10526.51515151515,10420.719696969694,1.052651515151515,1.0420719696969694,2019
2019-09-30,30795.0,26642.6,4152.4000000000015,29226.15,35%,30679.49,27772.81,low,30700,2019-10-31,27,BANKNIFTY19OCT30700CE,CE,2019-10-04 13:33:00,107.5,2019-10-31 15:30:00,0.05,Expiry Closing,107.45,1.0755,106.3745,228.01302931596092,24500.0,24254.771986970685,2.45,2.425477198697069,2019
2019-10-31,30413.5,27571.2,2842.2999999999993,30196.15,35%,31190.955,29201.345,high,29200,2019-11-28,17,BANKNIFTY19NOV29200PE,PE,2019-11-11 15:16:00,80.8,2019-11-28 15:30:00,0.05,Expiry Closing,80.75,0.8085,79.9415,239.72602739726028,19357.87671232877,19164.058219178085,1.9357876712328768,1.9164058219178086,2019
2019-11-30,32155.75,30015.1,2140.6500000000015,32008.3,35%,32757.5275,31259.0725,low,32800,2019-12-26,20,BANKNIFTY19DEC32800CE,CE,2019-12-06 14:33:00,68.1,2019-12-16 09:15:00,118.65,SL Hit,-50.55000000000001,1.8675,-52.41750000000001,213.41463414634146,-10788.109756097563,-11186.661585365855,-1.0788109756097564,-1.1186661585365856,2019
2019-12-31,32611.2,30997.85,1613.3500000000022,32237.9,35%,32802.5725,31673.2275,low,32800,2020-01-30,24,BANKNIFTY20JAN32800CE,CE,2020-01-06 09:21:00,143.85,2020-01-30 15:30:00,0.05,Expiry Closing,143.79999999999998,1.439,142.361,213.41463414634146,30689.024390243896,30381.920731707312,3.0689024390243897,3.0381920731707313,2020
2020-01-31,32463.1,30522.05,1941.0499999999993,30726.2,35%,31405.5675,30046.8325,high,30000,2020-02-27,21,BANKNIFTY20FEB30000PE,PE,2020-02-06 13:24:00,103.0,2020-02-18 09:21:00,137.05,SL Hit,-34.05000000000001,2.4005,-36.45050000000001,233.33333333333334,-7945.000000000003,-8505.11666666667,-0.7945000000000002,-0.8505116666666671,2020
2020-01-31,32463.1,30522.05,1941.0499999999993,30726.2,35%,31405.5675,30046.8325,low,31400,2020-02-27,26,BANKNIFTY20FEB31400CE,CE,2020-02-01 13:30:00,221.35,2020-02-27 15:30:00,0.1,Expiry Closing,221.25,2.2145,219.0355,222.9299363057325,49323.24840764332,48829.57006369427,4.932324840764331,4.882957006369427,2020
2020-02-29,31598.55,29053.4,2545.149999999998,29701.0,35%,30591.802499999998,28810.197500000002,low,30600,2020-03-26,24,BANKNIFTY20MAR30600CE,CE,2020-03-02 15:10:00,179.05,2020-03-26 15:30:00,0.5,Expiry Closing,178.55,1.7955,176.7545,228.75816993464053,40844.77124183007,40434.03594771242,4.084477124183007,4.043403594771243,2020
2020-04-30,21966.65,17149.85,4816.800000000003,20514.75,35%,22200.63,18828.87,low,22200,2020-05-28,16,BANKNIFTY20MAY22200CE,CE,2020-05-12 09:15:00,40.8,2020-05-28 15:30:00,0.05,Expiry Closing,40.75,0.4085,40.3415,315.31531531531533,12849.0990990991,12720.292792792794,1.2849099099099102,1.2720292792792793,2020
2020-05-31,20514.75,17108.35,3406.4000000000015,19728.9,35%,20921.140000000003,18536.66,high,18500,2020-06-25,22,BANKNIFTY20JUN18500PE,PE,2020-06-03 09:15:00,201.45,2020-06-25 15:30:00,0.1,Expiry Closing,201.35,2.0155,199.3345,378.3783783783784,76186.48648648648,75423.86486486487,7.618648648648648,7.542386486486487,2020
