,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year,Cumulative ROI%,Running Max ROI%,Drawdown,Slippage in pts,PnL w cs,ROI% w cs
75,2018-10-19,25491.45,24699.85,791.6000000000022,24771.85,50%,25167.65,24376.049999999996,low,25200,2018-11-01,6,BANKNIFTY18110125200CE,CE,2018-10-26 15:23:00,38.65,2018-10-31 15:20:00,102.75,Expiry Closing,-64.1,258.26805442701243,-16554.982288771494,-1.6554982288771496,2018,-0.7870764352570128,0.8684217936201368,-1.6554982288771496,1.4140000000000001,-16920.17331773129,-1.6920173317731289
76,2018-11-02,25857.6,25500.45,357.1499999999978,25742.55,50%,25921.125,25563.975,high,25600,2018-11-15,1,BANKNIFTY18111525600PE,PE,2018-11-14 09:15:00,35.9,2018-11-14 15:20:00,0.05,Friday Closing,35.85,250.7607212264128,8989.7718559669,0.8989771855966899,2018,10.908711885825998,11.12832456344638,-0.2196126776203826,0.3595,8899.623376686004,0.8899623376686003
77,2018-11-02,25857.6,25500.45,357.1499999999978,25742.55,50%,25921.125,25563.975,low,25900,2018-11-15,3,BANKNIFTY18111525900CE,CE,2018-11-12 14:55:00,58.35,2018-11-14 09:15:00,133.7,SL Hit,-75.35,250.7607212264128,-18894.820344410204,-1.8894820344410204,2018,-2.6765584696980333,0.8684217936201368,-3.54498026331817,1.9204999999999999,-19376.40630952553,-1.937640630952553
78,2018-11-16,26378.05,25951.35,426.7000000000007,26096.0,50%,26309.35,25882.65,high,25900,2018-11-29,3,BANKNIFTY18NOV25900PE,PE,2018-11-26 14:10:00,49.75,2018-11-28 15:20:00,0.1,Friday Closing,49.65,247.0604556935082,12266.551625182681,1.2266551625182682,2018,12.135367048344266,12.135367048344266,0.0,0.4985,12143.391988019468,1.2143391988019467
79,2018-11-23,27003.05,26026.05,977.0,27009.3,50%,27497.8,26520.8,low,27500,2018-12-06,1,BANKNIFTY18120627500CE,CE,2018-12-05 09:30:00,1.9,2018-12-05 15:20:00,0.05,Expiry Closing,1.8499999999999999,236.38254696739375,437.3077118896784,0.043730771188967836,2018,-2.6328276985090655,0.8684217936201368,-3.5012494921292023,0.0195,432.6982522238142,0.04326982522238142
80,2018-11-30,27032.9,26150.6,882.3000000000029,26307.4,50%,26748.550000000003,25866.25,low,26700,2018-12-13,2,BANKNIFTY18121326700CE,CE,2018-12-11 09:15:00,48.55,2018-12-12 15:20:00,102.5,Expiry Closing,-53.95,243.0038263756353,-13110.056432965524,-1.3110056432965524,2018,-3.9438333418056177,0.8684217936201368,-4.812255135425755,1.5105000000000002,-13477.113712705921,-1.3477113712705922
81,2018-12-14,27363.45,26734.8,628.6500000000015,27261.25,50%,27575.575,26946.925,low,27600,2018-12-27,6,BANKNIFTY18DEC27600CE,CE,2018-12-21 13:59:00,35.0,2018-12-26 15:20:00,0.05,Expiry Closing,34.95,235.71584636041135,8238.268830296378,0.8238268830296377,2018,-3.12000645877598,0.8684217936201368,-3.9884282523961168,0.3505,8155.650426147054,0.8155650426147054
82,2018-12-28,27428.85,26923.75,505.09999999999854,26999.7,50%,27252.25,26747.15,high,26700,2019-01-10,6,BANKNIFTY1911026700PE,PE,2019-01-04 12:51:00,42.7,2019-01-09 15:20:00,0.05,Friday Closing,42.650000000000006,238.51241640598482,10172.554559715254,1.0172554559715254,2019,13.152622504315792,13.152622504315792,0.0,0.4275,10070.590501701696,1.0070590501701695
83,2019-01-04,27752.95,26926.9,826.0499999999993,27602.8,50%,28015.824999999997,27189.775,low,28000,2019-01-17,3,BANKNIFTY1911728000CE,CE,2019-01-14 11:54:00,10.65,2019-01-16 15:20:00,0.05,Expiry Closing,10.6,232.01172908525808,2459.3243283037355,0.24593243283037355,2019,-2.8740740259456063,0.8684217936201368,-3.742495819565743,0.10700000000000001,2434.499073291613,0.2434499073291613
84,2019-01-11,27612.15,27182.25,429.90000000000146,27550.05,50%,27765.0,27335.1,low,27800,2019-01-24,1,BANKNIFTY1912427800CE,CE,2019-01-23 14:46:00,7.55,2019-01-23 15:20:00,0.05,Expiry Closing,7.5,234.1076895371871,1755.8076715289033,0.17558076715289034,2019,-2.698493258792716,0.8684217936201368,-3.566915052412853,0.076,1738.015487124077,0.17380154871240772
85,2019-01-18,27622.2,27142.8,479.40000000000146,27261.45,50%,27501.15,27021.75,low,27500,2019-01-31,3,BANKNIFTY19JAN27500CE,CE,2019-01-28 09:15:00,46.45,2019-01-30 15:20:00,0.1,Expiry Closing,46.35,236.35375247944177,10954.996427422126,1.0954996427422126,2019,-1.6029936160505036,0.8684217936201368,-2.4714154096706404,0.4655,10844.973755642946,1.0844973755642946
86,2019-01-25,27431.4,26443.7,987.7000000000007,27334.55,50%,27828.4,26840.699999999997,low,27800,2019-02-07,3,BANKNIFTY1920727800CE,CE,2019-02-04 09:45:00,9.75,2019-02-06 15:20:00,0.15,Expiry Closing,9.6,233.57433413347513,2242.313607681361,0.22423136076813613,2019,-1.3787622552823675,0.8684217936201368,-2.247184048902504,0.099,2219.189748602147,0.22191897486021472
